* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.730. Timing signal peak level -20.4 dBFS, measurement signal peak level -17.9 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 7, 2023 2:25:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0591 ms (-20 mm, -0.8 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 119.3 ppm
* Measurement: KATO Steel R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 81.056 104.6092
1.015000 81.101 104.7829
1.030000 81.140 104.8798
1.044000 81.171 104.8951
1.060000 81.200 104.8166
1.075000 81.221 104.6433
1.090000 81.235 104.3667
1.106000 81.242 103.9558
1.120000 81.238 103.5263
1.138000 81.220 102.8880
1.150000 81.199 102.4096
1.172000 81.148 101.4249
1.180000 81.125 101.0328
1.206000 81.036 99.6361
1.220000 80.981 98.8078
1.241000 80.891 97.4679
1.250000 80.850 96.8585
1.265000 80.780 95.7969
1.280000 80.707 94.6787
1.315000 80.534 91.8559
1.320000 80.509 91.4289
1.340000 80.411 89.6627
1.360000 80.318 87.8060
1.380000 80.231 85.8612
1.400000 80.151 83.8310
1.430000 80.052 80.6313
1.450000 80.002 78.3991
1.475000 79.960 75.4851
1.500000 79.919 72.2997
1.525000 79.876 68.8424
1.550000 79.835 65.1509
1.575000 79.797 61.2628
1.600000 79.765 57.2157
1.625000 79.740 53.0472
1.650000 79.726 48.7949
1.675000 79.723 44.4965
1.700000 79.736 40.1895
1.725000 79.765 35.9116
1.750000 79.813 31.7003
1.775000 79.883 27.5933
1.800000 79.977 23.6282
1.825000 80.096 19.8426
1.850000 80.246 16.1947
1.875000 80.430 12.5232
1.900000 80.645 8.8381
1.925000 80.885 5.1573
1.950000 81.148 1.4989
1.975000 81.430 -2.1192
2.000000 81.725 -5.6790
2.030000 82.092 -9.8484
2.060000 82.467 -13.8770
2.090000 82.843 -17.7336
2.120000 83.212 -21.3872
2.140000 83.451 -23.6949
2.180000 83.902 -27.9612
2.200000 84.111 -29.9015
2.240000 84.519 -33.3703
2.270000 84.825 -35.6441
2.300000 85.130 -37.6747
2.330000 85.433 -39.4958
2.360000 85.732 -41.1413
2.400000 86.124 -43.1204
2.430000 86.411 -44.4875
2.470000 86.783 -46.2182
2.500000 87.051 -47.4911
2.540000 87.394 -49.2190
2.580000 87.718 -51.0285
2.620000 88.023 -52.7457
2.650000 88.242 -53.9519
2.690000 88.521 -55.4677
2.720000 88.721 -56.5466
2.760000 88.978 -57.9242
2.800000 89.224 -59.2511
2.850000 89.519 -60.8700
2.900000 89.803 -62.4821
2.950000 90.078 -64.1196
3.000000 90.336 -65.7355
3.040000 90.532 -67.0005
3.070000 90.673 -67.9323
3.110000 90.853 -69.1514
3.150000 91.026 -70.3428
3.200000 91.233 -71.7914
3.250000 91.432 -73.1929
3.300000 91.625 -74.5449
3.350000 91.810 -75.8332
3.400000 91.984 -77.0576
3.450000 92.148 -78.2312
3.500000 92.304 -79.3672
3.550000 92.453 -80.4787
3.600000 92.596 -81.5790
3.650000 92.734 -82.6811
3.700000 92.867 -83.7926
3.750000 92.993 -84.9023
3.820000 93.157 -86.4392
3.870000 93.268 -87.5153
3.950000 93.436 -89.1801
4.000000 93.536 -90.1740
4.060000 93.653 -91.3079
4.120000 93.763 -92.3782
4.180000 93.867 -93.3973
4.250000 93.981 -94.5384
4.310000 94.075 -95.4904
4.370000 94.166 -96.4319
4.440000 94.270 -97.5267
4.500000 94.354 -98.4495
4.550000 94.422 -99.2048
4.620000 94.513 -100.2388
4.680000 94.589 -101.1011
4.750000 94.676 -102.0760
4.820000 94.762 -103.0111
4.870000 94.822 -103.6537
4.940000 94.904 -104.5257
5.000000 94.972 -105.2545
5.080000 95.061 -106.2117
5.150000 95.138 -107.0453
5.220000 95.213 -107.8677
5.300000 95.298 -108.7908
5.380000 95.380 -109.6983
5.450000 95.450 -110.4815
5.520000 95.519 -111.2560
5.600000 95.596 -112.1270
5.700000 95.690 -113.1967
5.800000 95.780 -114.2495
5.900000 95.867 -115.2899
6.000000 95.950 -116.3160
6.080000 96.015 -117.1262
6.150000 96.069 -117.8274
6.220000 96.122 -118.5214
6.300000 96.180 -119.3076
6.400000 96.249 -120.2792
6.500000 96.314 -121.2332
6.600000 96.377 -122.1639
6.700000 96.436 -123.0703
6.800000 96.492 -123.9549
6.900000 96.546 -124.8187
7.000000 96.598 -125.6627
7.100000 96.648 -126.4865
7.200000 96.696 -127.2898
7.300000 96.743 -128.0724
7.400000 96.789 -128.8327
7.500000 96.834 -129.5705
7.620000 96.886 -130.4316
7.750000 96.942 -131.3412
7.880000 96.996 -132.2235
8.000000 97.045 -133.0169
8.120000 97.094 -133.7936
8.250000 97.146 -134.6138
8.380000 97.196 -135.4155
8.500000 97.242 -136.1418
8.620000 97.286 -136.8540
8.750000 97.332 -137.6092
8.850000 97.366 -138.1789
9.000000 97.414 -139.0155
9.120000 97.452 -139.6666
9.250000 97.491 -140.3508
9.380000 97.530 -141.0143
9.500000 97.564 -141.6108
9.620000 97.594 -142.1929
9.750000 97.624 -142.8065
9.880000 97.648 -143.4044
10.000000 97.662 -143.9446
10.150000 97.672 -144.6013
10.300000 97.675 -145.2300
10.440000 97.670 -145.7894
10.600000 97.661 -146.4041
10.750000 97.654 -146.9586
10.900000 97.646 -147.4941
11.060000 97.639 -148.0613
11.200000 97.634 -148.5542
11.380000 97.627 -149.1732
11.500000 97.622 -149.5752
11.720000 97.611 -150.2899
11.800000 97.607 -150.5411
12.060000 97.597 -151.3306
12.200000 97.592 -151.7449
12.410000 97.587 -152.3499
12.500000 97.584 -152.6016
12.650000 97.580 -153.0109
12.800000 97.575 -153.4090
13.150000 97.563 -154.2965
13.200000 97.562 -154.4199
13.400000 97.557 -154.9054
13.600000 97.553 -155.3804
13.800000 97.551 -155.8453
14.000000 97.548 -156.3052
14.300000 97.544 -156.9856
14.500000 97.539 -157.4295
14.750000 97.532 -157.9693
15.000000 97.526 -158.4911
15.250000 97.522 -158.9979
15.500000 97.520 -159.4868
15.750000 97.519 -159.9576
16.000000 97.519 -160.4131
16.250000 97.519 -160.8626
16.500000 97.520 -161.3088
16.750000 97.522 -161.7531
17.000000 97.524 -162.1934
17.250000 97.527 -162.6269
17.500000 97.529 -163.0498
17.750000 97.530 -163.4579
18.000000 97.531 -163.8516
18.250000 97.532 -164.2313
18.500000 97.533 -164.5990
18.750000 97.535 -164.9572
19.000000 97.539 -165.3083
19.250000 97.543 -165.6569
19.500000 97.547 -166.0017
19.750000 97.551 -166.3417
20.000000 97.554 -166.6734
20.299999 97.555 -167.0587
20.600000 97.556 -167.4284
20.900000 97.555 -167.7829
21.200001 97.554 -168.1245
21.400000 97.554 -168.3471
21.799999 97.551 -168.7839
22.000000 97.550 -168.9998
22.400000 97.547 -169.4291
22.700001 97.544 -169.7478
23.000000 97.541 -170.0625
23.299999 97.536 -170.3733
23.600000 97.531 -170.6793
24.000000 97.524 -171.0774
24.299999 97.519 -171.3665
24.700001 97.513 -171.7391
25.000000 97.509 -172.0113
25.400000 97.506 -172.3701
25.799999 97.503 -172.7305
26.200001 97.500 -173.0941
26.500000 97.498 -173.3651
26.900000 97.493 -173.7160
27.200001 97.489 -173.9672
27.600000 97.485 -174.2863
28.000000 97.482 -174.5952
28.500000 97.480 -174.9810
29.000000 97.477 -175.3683
29.500000 97.472 -175.7415
30.000000 97.465 -176.0908
30.400000 97.459 -176.3614
30.700001 97.454 -176.5665
31.100000 97.447 -176.8474
31.500000 97.438 -177.1320
32.000000 97.423 -177.4753
32.500000 97.407 -177.7928
33.000000 97.393 -178.0953
33.500000 97.380 -178.4000
34.000000 97.367 -178.7103
34.500000 97.355 -179.0173
35.000000 97.343 -179.3154
35.500000 97.332 -179.6073
36.000000 97.322 -179.8960
36.500000 97.311 179.8206
37.000000 97.301 179.5436
37.500000 97.291 179.2707
38.200001 97.276 178.8940
38.700001 97.265 178.6351
39.500000 97.246 178.2428
40.000000 97.236 178.0016
40.599998 97.222 177.7114
41.200001 97.206 177.4252
41.799999 97.189 177.1447
42.500000 97.166 176.8297
43.099998 97.147 176.5895
43.700001 97.132 176.3759
44.400002 97.122 176.1043
45.000000 97.115 175.8120
45.500000 97.103 175.5436
46.200001 97.077 175.1918
46.799999 97.054 174.9394
47.500000 97.032 174.6773
48.200001 97.015 174.4167
48.700001 97.003 174.2248
49.400002 96.988 173.9483
50.000000 96.974 173.7053
50.799999 96.952 173.3840
51.500000 96.930 173.1210
52.200001 96.908 172.8783
53.000000 96.884 172.6148
53.799999 96.860 172.3561
54.500000 96.839 172.1291
55.200001 96.816 171.9069
56.000000 96.790 171.6781
57.000000 96.761 171.4149
58.000000 96.731 171.1724
59.000000 96.710 170.9912
60.000000 96.700 170.7070
60.799999 96.679 170.3995
61.500000 96.648 170.1809
62.200001 96.619 170.0211
63.000000 96.591 169.8516
64.000000 96.561 169.6282
65.000000 96.535 169.3775
66.000000 96.507 169.1042
67.000000 96.478 168.8422
68.000000 96.450 168.5801
69.000000 96.420 168.3176
70.000000 96.388 168.0662
71.000000 96.356 167.8301
72.000000 96.325 167.6022
73.000000 96.293 167.3716
74.000000 96.259 167.1475
75.000000 96.226 166.9376
76.199997 96.187 166.6960
77.500000 96.145 166.4344
78.800003 96.102 166.1777
80.000000 96.061 165.9493
81.199997 96.020 165.7266
82.500000 95.976 165.4948
83.800003 95.932 165.2652
85.000000 95.893 165.0633
86.199997 95.855 164.8650
87.500000 95.814 164.6551
88.500000 95.782 164.5025
90.000000 95.734 164.2816
91.199997 95.697 164.1076
92.500000 95.655 163.9232
93.800003 95.613 163.7507
95.000000 95.575 163.5945
96.199997 95.535 163.4391
97.500000 95.491 163.2791
98.800003 95.448 163.1264
100.000000 95.408 162.9932
101.500000 95.359 162.8359
103.000000 95.310 162.6746
104.400002 95.261 162.5247
106.000000 95.204 162.3699
107.500000 95.152 162.2317
109.000000 95.101 162.0972
110.599998 95.047 161.9578
112.000000 94.999 161.8416
113.800003 94.937 161.7003
115.000000 94.897 161.6092
117.199997 94.828 161.4500
118.000000 94.804 161.3914
120.599998 94.725 161.1981
122.000000 94.679 161.1416
124.099998 94.614 161.0729
125.000000 94.586 161.0374
126.500000 94.538 160.9755
128.000000 94.490 160.9153
131.500000 94.385 160.8040
132.000000 94.371 160.7889
134.000000 94.315 160.7316
136.000000 94.260 160.6790
138.000000 94.206 160.6331
140.000000 94.152 160.5983
143.000000 94.075 160.5779
145.000000 94.025 160.5703
147.500000 93.963 160.5636
150.000000 93.899 160.5441
152.500000 93.837 160.5444
155.000000 93.779 160.5499
157.500000 93.721 160.5633
160.000000 93.663 160.5876
162.500000 93.606 160.6028
165.000000 93.549 160.6071
167.500000 93.491 160.6204
170.000000 93.431 160.6503
172.500000 93.372 160.6819
175.000000 93.310 160.7113
177.500000 93.249 160.7587
180.000000 93.189 160.7988
182.500000 93.125 160.8314
185.000000 93.062 160.8901
187.500000 93.002 160.9563
190.000000 92.941 161.0252
192.500000 92.880 161.1084
195.000000 92.820 161.2016
197.500000 92.764 161.2945
200.000000 92.711 161.3857
203.000000 92.647 161.5016
206.000000 92.583 161.6323
209.000000 92.521 161.7735
212.000000 92.460 161.9169
214.000000 92.420 162.0133
218.000000 92.340 162.2166
220.000000 92.301 162.3235
224.000000 92.226 162.5445
227.000000 92.171 162.7161
230.000000 92.117 162.8983
233.000000 92.065 163.0855
236.000000 92.013 163.2622
240.000000 91.943 163.5025
243.000000 91.894 163.7067
247.000000 91.829 163.9875
250.000000 91.785 164.1909
254.000000 91.728 164.4419
258.000000 91.670 164.6894
262.000000 91.611 164.9571
265.000000 91.568 165.1568
269.000000 91.513 165.4115
272.000000 91.474 165.6036
276.000000 91.425 165.8660
280.000000 91.378 166.1310
285.000000 91.316 166.4637
290.000000 91.256 166.7913
295.000000 91.201 167.1248
