* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.730. Timing signal peak level -18.5 dBFS, measurement signal peak level -17.8 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 7, 2023 2:30:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0554 ms (-19 mm, -0.75 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 119.5 ppm
* Measurement: KATO W1 L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
0.366211, 76.744, 84.2133
0.732422, 79.885, 96.4628
1.098633, 81.516, 106.0995
1.464844, 80.102, 80.7147
1.831055, 79.596, 22.4720
2.197266, 83.667, -28.9609
2.563477, 87.349, -50.1134
2.929688, 89.796, -62.7671
3.295898, 91.466, -73.5757
3.662109, 92.634, -81.7805
4.028320, 93.462, -89.3532
4.394531, 94.074, -95.2837
4.760742, 94.561, -100.5663
5.126953, 94.984, -105.0491
5.493164, 95.365, -109.2058
5.859375, 95.706, -113.1298
6.225586, 96.003, -116.8850
6.591797, 96.252, -120.4811
6.958008, 96.460, -123.8125
7.324219, 96.638, -126.8831
7.690430, 96.799, -129.6687
8.056641, 96.949, -132.2216
8.422852, 97.093, -134.5796
8.789062, 97.228, -136.7822
9.155273, 97.353, -138.8428
9.521484, 97.468, -140.7470
9.887695, 97.557, -142.5178
10.253906, 97.590, -144.1635
10.620117, 97.582, -145.6367
10.986328, 97.570, -146.9773
11.352539, 97.562, -148.2732
11.718750, 97.552, -149.5015
12.084961, 97.541, -150.6554
12.451172, 97.532, -151.7563
12.817383, 97.517, -152.7736
13.183594, 97.498, -153.6986
13.549805, 97.484, -154.5468
13.916016, 97.477, -155.3388
14.282227, 97.475, -156.1125
14.648438, 97.473, -156.8814
15.014648, 97.473, -157.6481
15.380859, 97.475, -158.4155
15.747070, 97.478, -159.1625
16.113281, 97.476, -159.8766
16.479492, 97.474, -160.5621
16.845703, 97.473, -161.2180
17.211914, 97.476, -161.8470
17.578125, 97.481, -162.4531
17.944336, 97.486, -163.0407
18.310547, 97.490, -163.6154
18.676758, 97.493, -164.1732
19.042969, 97.497, -164.7076
19.409180, 97.500, -165.2158
19.775391, 97.504, -165.6947
20.141602, 97.509, -166.1487
20.507812, 97.514, -166.5900
20.874023, 97.519, -167.0288
21.240234, 97.522, -167.4686
21.606445, 97.522, -167.9041
21.972656, 97.518, -168.3267
22.338867, 97.512, -168.7309
22.705078, 97.507, -169.1156
23.071289, 97.501, -169.4863
23.437500, 97.497, -169.8522
23.803711, 97.494, -170.2186
24.169922, 97.492, -170.5856
24.536133, 97.489, -170.9506
24.902344, 97.485, -171.3110
25.268555, 97.481, -171.6652
25.634766, 97.477, -172.0118
26.000977, 97.472, -172.3493
26.367188, 97.467, -172.6757
26.733398, 97.462, -172.9888
27.099609, 97.458, -173.2893
27.465820, 97.455, -173.5806
27.832031, 97.452, -173.8672
28.198242, 97.450, -174.1522
28.564453, 97.447, -174.4355
28.930664, 97.443, -174.7144
29.296875, 97.438, -174.9854
29.663086, 97.433, -175.2475
30.029297, 97.427, -175.5023
30.395508, 97.420, -175.7529
30.761719, 97.412, -176.0020
31.127930, 97.404, -176.2505
31.494141, 97.395, -176.4983
31.860352, 97.387, -176.7450
32.226562, 97.379, -176.9906
32.592773, 97.370, -177.2352
32.958984, 97.360, -177.4774
33.325195, 97.350, -177.7149
33.691406, 97.340, -177.9455
34.057617, 97.331, -178.1695
34.423828, 97.324, -178.3900
34.790039, 97.318, -178.6098
35.156250, 97.311, -178.8298
35.522461, 97.304, -179.0475
35.888672, 97.297, -179.2597
36.254883, 97.289, -179.4648
36.621094, 97.280, -179.6643
