* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.730. Timing signal peak level -18.9 dBFS, measurement signal peak level -17.8 dBFS
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 7, 2023 2:32:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0560 ms (-19 mm, -0.76 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 119.1 ppm
* Measurement: KATO W1 R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
0.366211, 76.973, 91.0972
0.732422, 80.386, 102.0279
1.098633, 82.094, 109.8783
1.464844, 80.711, 84.4423
1.831055, 80.091, 26.5830
2.197266, 83.941, -25.7278
2.563477, 87.576, -48.1844
2.929688, 90.004, -61.5795
3.295898, 91.657, -73.0468
3.662109, 92.811, -81.8049
4.028320, 93.625, -89.7928
4.394531, 94.224, -96.0723
4.760742, 94.701, -101.5771
5.126953, 95.119, -106.2250
5.493164, 95.499, -110.4846
5.859375, 95.840, -114.4856
6.225586, 96.135, -118.2904
6.591797, 96.379, -121.9007
6.958008, 96.579, -125.2036
7.324219, 96.750, -128.2016
7.690430, 96.907, -130.8913
8.056641, 97.056, -133.3514
8.422852, 97.201, -135.6435
8.789062, 97.335, -137.8116
9.155273, 97.453, -139.8559
9.521484, 97.560, -141.7433
9.887695, 97.638, -143.4856
10.253906, 97.662, -145.0961
10.620117, 97.646, -146.5411
10.986328, 97.628, -147.8700
11.352539, 97.613, -149.1657
11.718750, 97.593, -150.3889
12.084961, 97.574, -151.5163
12.451172, 97.560, -152.5677
12.817383, 97.546, -153.5308
13.183594, 97.535, -154.4250
13.549805, 97.531, -155.2870
13.916016, 97.532, -156.1369
14.282227, 97.531, -156.9897
14.648438, 97.524, -157.8267
15.014648, 97.514, -158.6260
15.380859, 97.508, -159.3855
15.747070, 97.504, -160.0987
16.113281, 97.500, -160.7763
16.479492, 97.498, -161.4404
16.845703, 97.497, -162.0945
17.211914, 97.497, -162.7317
17.578125, 97.497, -163.3417
17.944336, 97.495, -163.9187
18.310547, 97.495, -164.4689
18.676758, 97.496, -164.9991
19.042969, 97.499, -165.5166
19.409180, 97.504, -166.0274
19.775391, 97.508, -166.5264
20.141602, 97.511, -167.0065
20.507812, 97.512, -167.4662
20.874023, 97.513, -167.9076
21.240234, 97.514, -168.3366
21.606445, 97.514, -168.7593
21.972656, 97.513, -169.1796
22.338867, 97.510, -169.5970
22.705078, 97.506, -170.0050
23.071289, 97.500, -170.3966
23.437500, 97.493, -170.7700
23.803711, 97.488, -171.1277
24.169922, 97.484, -171.4762
24.536133, 97.482, -171.8235
24.902344, 97.480, -172.1739
25.268555, 97.476, -172.5256
25.634766, 97.471, -172.8710
26.000977, 97.464, -173.2028
26.367188, 97.458, -173.5179
26.733398, 97.452, -173.8190
27.099609, 97.447, -174.1130
27.465820, 97.444, -174.4069
27.832031, 97.439, -174.7039
28.198242, 97.434, -175.0018
28.564453, 97.428, -175.2963
28.930664, 97.422, -175.5837
29.296875, 97.415, -175.8638
29.663086, 97.408, -176.1389
30.029297, 97.400, -176.4113
30.395508, 97.391, -176.6808
30.761719, 97.380, -176.9451
31.127930, 97.370, -177.2024
31.494141, 97.360, -177.4545
31.860352, 97.351, -177.7060
32.226562, 97.343, -177.9600
32.592773, 97.334, -178.2144
32.958984, 97.323, -178.4621
33.325195, 97.312, -178.6964
33.691406, 97.302, -178.9176
34.057617, 97.294, -179.1342
34.423828, 97.287, -179.3565
34.790039, 97.279, -179.5856
35.156250, 97.269, -179.8105
35.522461, 97.256, 179.9835
35.888672, 97.243, 179.8008
36.254883, 97.232, 179.6283
36.621094, 97.222, 179.4436
36.987305, 97.210, 179.2358
37.353516, 97.192, 179.0204
37.719727, 97.166, 178.8351
38.085938, 97.137, 178.7148
38.452148, 97.113, 178.6623
38.818359, 97.101, 178.6382
39.184570, 97.102, 178.5792
39.550781, 97.110, 178.4344
39.916992, 97.115, 178.1948
40.283203, 97.110, 177.8967
40.649414, 97.092, 177.5985
41.015625, 97.066, 177.3479
41.381836, 97.039, 177.1602
41.748047, 97.016, 177.0188
42.114258, 97.001, 176.8927
42.480469, 96.991, 176.7565
42.846680, 96.984, 176.6009
43.212891, 96.978, 176.4308
43.579102, 96.971, 176.2575
43.945312, 96.962, 176.0916
44.311523, 96.954, 175.9394
44.677734, 96.946, 175.8029
45.043945, 96.940, 175.6793
45.410156, 96.936, 175.5614
45.776367, 96.934, 175.4402
46.142578, 96.933, 175.3083
46.508789, 96.930, 175.1651
46.875000, 96.926, 175.0164
47.241211, 96.920, 174.8719
47.607422, 96.911, 174.7391
47.973633, 96.902, 174.6196
48.339844, 96.894, 174.5092
48.706055, 96.885, 174.4017
49.072266, 96.877, 174.2927
49.438477, 96.869, 174.1811
49.804688, 96.861, 174.0684
50.170898, 96.853, 173.9560
50.537109, 96.845, 173.8435
50.903320, 96.838, 173.7293
51.269531, 96.832, 173.6115
51.635742, 96.825, 173.4891
52.001953, 96.819, 173.3627
52.368164, 96.813, 173.2336
52.734375, 96.807, 173.1030
53.100586, 96.801, 172.9713
53.466797, 96.796, 172.8379
53.833008, 96.790, 172.7014
54.199219, 96.784, 172.5607
54.565430, 96.778, 172.4164
54.931641, 96.770, 172.2712
55.297852, 96.761, 172.1297
55.664062, 96.751, 171.9963
56.030273, 96.740, 171.8729
56.396484, 96.729, 171.7578
56.762695, 96.718, 171.6462
57.128906, 96.708, 171.5338
57.495117, 96.697, 171.4200
57.861328, 96.684, 171.3094
58.227539, 96.670, 171.2091
58.593750, 96.657, 171.1232
58.959961, 96.645, 171.0488
59.326172, 96.636, 170.9749
59.692383, 96.630, 170.8871
60.058594, 96.626, 170.7748
60.424805, 96.620, 170.6367
60.791016, 96.611, 170.4813
61.157227, 96.599, 170.3224
61.523438, 96.584, 170.1724
61.889648, 96.568, 170.0372
