* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -18.3 dBFS, measurement signal peak level -8.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Oct 15, 2023 2:01:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0642 ms (-22 mm, -0.87 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: KBEAR KW1 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 91.679 -93.2786
1.015000 91.904 -94.9080
1.030000 92.124 -96.4768
1.044000 92.323 -97.8801
1.060000 92.542 -99.4042
1.075000 92.737 -100.7486
1.090000 92.920 -102.0041
1.106000 93.104 -103.2403
1.120000 93.263 -104.2497
1.138000 93.466 -105.4586
1.150000 93.600 -106.2120
1.172000 93.846 -107.4923
1.180000 93.934 -107.9274
1.206000 94.219 -109.2396
1.220000 94.370 -109.8871
1.241000 94.593 -110.7897
1.250000 94.687 -111.1538
1.265000 94.842 -111.7335
1.280000 94.994 -112.2829
1.315000 95.337 -113.4699
1.320000 95.384 -113.6308
1.340000 95.570 -114.2592
1.360000 95.749 -114.8700
1.380000 95.921 -115.4732
1.400000 96.084 -116.0782
1.430000 96.313 -117.0108
1.450000 96.454 -117.6633
1.475000 96.617 -118.5228
1.500000 96.760 -119.3737
1.525000 96.886 -120.2003
1.550000 96.997 -121.0023
1.575000 97.093 -121.7795
1.600000 97.178 -122.5317
1.625000 97.253 -123.2585
1.650000 97.320 -123.9597
1.675000 97.381 -124.6352
1.700000 97.437 -125.2845
1.725000 97.491 -125.9075
1.750000 97.544 -126.5040
1.775000 97.598 -127.0736
1.800000 97.656 -127.6161
1.825000 97.718 -128.1313
1.850000 97.784 -128.6124
1.875000 97.846 -129.0461
1.900000 97.905 -129.4370
1.925000 97.961 -129.7903
1.950000 98.015 -130.1113
1.975000 98.067 -130.4052
2.000000 98.118 -130.6773
2.030000 98.177 -130.9824
2.060000 98.236 -131.2727
2.090000 98.295 -131.5573
2.120000 98.355 -131.8451
2.140000 98.396 -132.0433
2.180000 98.482 -132.4669
2.200000 98.527 -132.6976
2.240000 98.621 -133.1701
2.270000 98.694 -133.5239
2.300000 98.767 -133.8771
2.330000 98.842 -134.2293
2.360000 98.917 -134.5802
2.400000 99.017 -135.0457
2.430000 99.092 -135.3925
2.470000 99.191 -135.8516
2.500000 99.264 -136.1929
2.540000 99.358 -136.6434
2.580000 99.448 -137.0881
2.620000 99.536 -137.5258
2.650000 99.601 -137.8499
2.690000 99.686 -138.2777
2.720000 99.749 -138.5959
2.760000 99.832 -139.0175
2.800000 99.913 -139.4373
2.850000 100.012 -139.9613
2.900000 100.110 -140.4867
2.950000 100.206 -141.0145
3.000000 100.301 -141.5357
3.040000 100.377 -141.9487
3.070000 100.432 -142.2577
3.110000 100.505 -142.6703
3.150000 100.576 -143.0859
3.200000 100.663 -143.6128
3.250000 100.746 -144.1522
3.300000 100.826 -144.7084
3.350000 100.903 -145.2881
3.400000 100.977 -145.8885
3.450000 101.048 -146.5017
3.500000 101.116 -147.1202
3.550000 101.180 -147.7361
3.600000 101.241 -148.3417
3.650000 101.299 -148.9292
3.700000 101.352 -149.4955
3.750000 101.402 -150.0489
3.820000 101.466 -150.8069
3.870000 101.507 -151.3393
3.950000 101.567 -152.1820
4.000000 101.600 -152.7063
4.060000 101.636 -153.3389
4.120000 101.667 -153.9829
4.180000 101.692 -154.6283
4.250000 101.717 -155.3669
4.310000 101.734 -155.9738
4.370000 101.748 -156.5437
4.440000 101.754 -157.1523
4.500000 101.756 -157.6368
4.550000 101.759 -158.0173
4.620000 101.763 -158.5181
4.680000 101.765 -158.9208
4.750000 101.767 -159.3636
4.820000 101.766 -159.7765
4.870000 101.764 -160.0498
4.940000 101.760 -160.4047
5.000000 101.758 -160.6857
5.080000 101.757 -161.0314
5.150000 101.761 -161.3086
5.220000 101.768 -161.5443
5.300000 101.779 -161.7743
5.380000 101.793 -161.9879
5.450000 101.810 -162.1823
5.520000 101.831 -162.3982
5.600000 101.862 -162.6415
5.700000 101.907 -162.9527
5.800000 101.957 -163.3088
5.900000 102.007 -163.7444
6.000000 102.063 -164.2434
6.080000 102.109 -164.6861
6.150000 102.147 -165.1078
6.220000 102.180 -165.5640
6.300000 102.212 -166.1351
6.400000 102.250 -166.9198
6.500000 102.277 -167.7571
6.600000 102.289 -168.6194
6.700000 102.285 -169.5323
6.800000 102.268 -170.4864
6.900000 102.234 -171.4243
7.000000 102.183 -172.3014
7.100000 102.112 -173.1656
7.200000 102.026 -173.9811
7.300000 101.928 -174.6878
7.400000 101.818 -175.2607
7.500000 101.692 -175.7361
7.620000 101.535 -176.1340
7.750000 101.373 -176.2898
7.880000 101.208 -176.1552
8.000000 101.073 -175.8386
8.120000 100.974 -175.3719
8.250000 100.897 -174.6339
8.380000 100.861 -173.8351
8.500000 100.875 -173.1633
8.620000 100.932 -172.4755
8.750000 101.026 -171.8685
8.850000 101.116 -171.5925
9.000000 101.290 -171.4094
9.120000 101.440 -171.4893
9.250000 101.595 -171.8477
9.380000 101.754 -172.4727
9.500000 101.884 -173.2145
9.620000 101.990 -174.0999
9.750000 102.085 -175.2394
9.880000 102.148 -176.4467
10.000000 102.173 -177.5977
10.150000 102.166 -179.0990
10.300000 102.122 179.4831
10.440000 102.043 178.2245
10.600000 101.925 176.9131
10.750000 101.798 175.8643
10.900000 101.654 174.9694
11.060000 101.499 174.2010
11.200000 101.361 173.6900
11.380000 101.191 173.2144
11.500000 101.084 173.0138
11.720000 100.903 172.8350
11.800000 100.846 172.8145
12.060000 100.684 172.9087
12.200000 100.614 173.0136
12.410000 100.531 173.2409
12.500000 100.503 173.3510
12.650000 100.464 173.5592
12.800000 100.436 173.7765
13.150000 100.414 174.2717
13.200000 100.415 174.3299
13.400000 100.433 174.5346
13.600000 100.462 174.6505
13.800000 100.501 174.6596
14.000000 100.538 174.5588
14.300000 100.582 174.2157
14.500000 100.595 173.8987
14.750000 100.590 173.4803
15.000000 100.565 173.0775
15.250000 100.527 172.7523
15.500000 100.484 172.5122
15.750000 100.441 172.3519
16.000000 100.402 172.2383
16.250000 100.369 172.1207
16.500000 100.339 171.9778
16.750000 100.310 171.7878
17.000000 100.277 171.5663
17.250000 100.240 171.3290
17.500000 100.198 171.0991
17.750000 100.154 170.8949
18.000000 100.111 170.7119
18.250000 100.073 170.5446
18.500000 100.041 170.3681
18.750000 100.013 170.1715
19.000000 99.990 169.9447
19.250000 99.967 169.6909
19.500000 99.943 169.4261
19.750000 99.919 169.1629
20.000000 99.895 168.9209
20.299999 99.870 168.6572
20.600000 99.851 168.4122
20.900000 99.840 168.1647
21.200001 99.833 167.8929
21.400000 99.828 167.6969
21.799999 99.814 167.2933
22.000000 99.804 167.1021
22.400000 99.781 166.7761
22.700001 99.766 166.5876
23.000000 99.758 166.4246
23.299999 99.755 166.2465
23.600000 99.755 166.0257
24.000000 99.747 165.6562
24.299999 99.730 165.3572
24.700001 99.688 165.0066
25.000000 99.650 164.8240
25.400000 99.603 164.6917
25.799999 99.570 164.6105
26.200001 99.551 164.4731
26.500000 99.538 164.2984
26.900000 99.514 163.9870
27.200001 99.487 163.7375
27.600000 99.443 163.4412
28.000000 99.399 163.2097
28.500000 99.356 162.9629
29.000000 99.325 162.6748
29.500000 99.297 162.3224
30.000000 99.266 161.9494
30.400000 99.239 161.6603
30.700001 99.220 161.4491
31.100000 99.194 161.1691
31.500000 99.168 160.8918
32.000000 99.133 160.5637
32.500000 99.097 160.2701
33.000000 99.063 160.0060
33.500000 99.030 159.7592
34.000000 98.998 159.5287
34.500000 98.971 159.3126
35.000000 98.948 159.0868
35.500000 98.928 158.8153
36.000000 98.901 158.4944
36.500000 98.863 158.1690
37.000000 98.817 157.9000
37.500000 98.773 157.7041
38.200001 98.725 157.4780
38.700001 98.700 157.2907
39.500000 98.665 156.9249
40.000000 98.644 156.6534
40.599998 98.616 156.2641
41.200001 98.573 155.8448
41.799999 98.515 155.5137
42.500000 98.452 155.3090
43.099998 98.420 155.1743
43.700001 98.398 154.9687
44.400002 98.367 154.6734
45.000000 98.339 154.4268
45.500000 98.318 154.2032
46.200001 98.285 153.8257
46.799999 98.249 153.4729
47.500000 98.200 153.0726
48.200001 98.148 152.6632
48.700001 98.104 152.3710
49.400002 98.033 152.0493
50.000000 97.975 151.9223
50.799999 97.930 151.8854
51.500000 97.920 151.8021
52.200001 97.918 151.6326
53.000000 97.920 151.3727
53.799999 97.919 150.9388
54.500000 97.885 150.4321
55.200001 97.814 150.0005
56.000000 97.718 149.6984
57.000000 97.612 149.4486
58.000000 97.528 149.0641
59.000000 97.421 148.5748
60.000000 97.330 148.4189
60.799999 97.312 148.2772
61.500000 97.304 148.0267
62.200001 97.292 147.8090
63.000000 97.288 147.5550
64.000000 97.252 147.1541
65.000000 97.183 147.0262
66.000000 97.131 146.9124
67.000000 97.047 146.6544
68.000000 96.948 146.5932
69.000000 96.894 146.5039
70.000000 96.858 146.1177
71.000000 96.798 145.6058
72.000000 96.723 145.2944
73.000000 96.673 145.1924
74.000000 96.648 145.0289
75.000000 96.619 144.7345
76.199997 96.555 144.2609
77.500000 96.440 143.8998
78.800003 96.353 143.8088
80.000000 96.303 143.6397
81.199997 96.257 143.4128
82.500000 96.201 143.1588
83.800003 96.135 142.9014
85.000000 96.069 142.7045
86.199997 96.013 142.5079
87.500000 95.975 142.2534
88.500000 95.956 141.9326
90.000000 95.892 141.3830
91.199997 95.806 141.1015
92.500000 95.691 141.0717
93.800003 95.595 141.1768
95.000000 95.525 141.1045
96.199997 95.460 140.8506
97.500000 95.404 140.4836
98.800003 95.374 139.9897
100.000000 95.327 139.4026
101.500000 95.201 139.0909
103.000000 95.086 139.4145
104.400002 95.008 139.7142
106.000000 94.919 139.8917
107.500000 94.852 139.8665
109.000000 94.788 139.5741
110.599998 94.695 139.4798
112.000000 94.671 139.5171
113.800003 94.608 139.1739
115.000000 94.551 139.1594
117.199997 94.534 138.7260
118.000000 94.492 138.2747
120.599998 94.250 138.6009
122.000000 94.309 139.0363
124.099998 94.269 137.9123
125.000000 94.146 137.6522
126.500000 93.952 137.8639
128.000000 93.839 138.3368
131.500000 93.877 138.5005
132.000000 93.896 138.2871
134.000000 93.896 137.0311
136.000000 93.750 136.1695
138.000000 93.601 136.1832
140.000000 93.518 136.3083
143.000000 93.381 136.2766
145.000000 93.282 136.3656
147.500000 93.160 136.2971
150.000000 93.043 136.2147
152.500000 92.991 136.2705
155.000000 92.947 136.2962
157.500000 92.860 136.3356
160.000000 92.767 136.2368
162.500000 92.683 135.9912
165.000000 92.589 135.9070
167.500000 92.499 135.9745
170.000000 92.414 135.8804
172.500000 92.326 135.7271
175.000000 92.254 135.6805
177.500000 92.189 135.6729
180.000000 92.107 135.6573
182.500000 91.998 135.6755
185.000000 91.893 135.7327
187.500000 91.807 135.7592
190.000000 91.733 135.8168
192.500000 91.655 135.8680
195.000000 91.561 135.8558
197.500000 91.464 135.7758
200.000000 91.369 135.6306
203.000000 91.265 135.6187
206.000000 91.198 135.8395
209.000000 91.129 136.0156
212.000000 91.031 136.1819
214.000000 90.975 136.2902
218.000000 90.877 136.2559
220.000000 90.815 136.2145
224.000000 90.698 136.2372
227.000000 90.639 136.2346
230.000000 90.572 136.1042
233.000000 90.448 136.2203
236.000000 90.305 136.5211
240.000000 90.124 136.6662
243.000000 90.062 136.6515
247.000000 90.006 136.5395
250.000000 89.943 136.6619
254.000000 89.869 137.1012
258.000000 89.803 137.4648
262.000000 89.707 137.4155
265.000000 89.635 137.3264
269.000000 89.555 137.2442
272.000000 89.490 137.1616
276.000000 89.411 137.1973
280.000000 89.343 137.5730
285.000000 89.260 137.9604
290.000000 89.162 138.3019
295.000000 89.043 138.5804
300.000000 88.936 138.7648
304.000000 88.846 139.0387
307.000000 88.786 139.2300
