* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -16.3 dBFS, measurement signal peak level -14.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 23, 2024 3:57:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0668 ms (-23 mm, -0.9 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -23.8 ppm
* Measurement: KZ EDC Pro S1 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 72.687, -23.9899
1.015000, 72.971, -24.8299
1.030000, 73.251, -25.6734
1.044000, 73.509, -26.4650
1.060000, 73.799, -27.3756
1.075000, 74.064, -28.2358
1.090000, 74.324, -29.1002
1.106000, 74.597, -30.0115
1.120000, 74.834, -30.7744
1.138000, 75.140, -31.6930
1.150000, 75.344, -32.2683
1.172000, 75.717, -33.2589
1.180000, 75.853, -33.6039
1.206000, 76.292, -34.6622
1.220000, 76.527, -35.1975
1.241000, 76.876, -35.9632
1.250000, 77.024, -36.2796
1.265000, 77.269, -36.7934
1.280000, 77.511, -37.2928
1.315000, 78.063, -38.4159
1.320000, 78.139, -38.5727
1.340000, 78.442, -39.1933
1.360000, 78.737, -39.8055
1.380000, 79.021, -40.4508
1.400000, 79.295, -41.1091
1.430000, 79.684, -42.0993
1.450000, 79.928, -42.7624
1.475000, 80.213, -43.5789
1.500000, 80.475, -44.3400
1.525000, 80.714, -45.0327
1.550000, 80.934, -45.6664
1.575000, 81.136, -46.2688
1.600000, 81.324, -46.8635
1.625000, 81.499, -47.4288
1.650000, 81.665, -47.9726
1.675000, 81.823, -48.5021
1.700000, 81.977, -49.0231
1.725000, 82.128, -49.5412
1.750000, 82.280, -50.0605
1.775000, 82.434, -50.5992
1.800000, 82.594, -51.1733
1.825000, 82.760, -51.7536
1.850000, 82.931, -52.3260
1.875000, 83.102, -52.8702
1.900000, 83.273, -53.3825
1.925000, 83.442, -53.8668
1.950000, 83.609, -54.3276
1.975000, 83.775, -54.7804
2.000000, 83.940, -55.2398
2.030000, 84.136, -55.7765
2.060000, 84.329, -56.3041
2.090000, 84.520, -56.8283
2.120000, 84.709, -57.3540
2.140000, 84.834, -57.7075
2.180000, 85.080, -58.4449
2.200000, 85.202, -58.8352
2.240000, 85.442, -59.5986
2.270000, 85.619, -60.1454
2.300000, 85.794, -60.6712
2.330000, 85.966, -61.1789
2.360000, 86.136, -61.6726
2.400000, 86.360, -62.3522
2.430000, 86.525, -62.8591
2.470000, 86.743, -63.5298
2.500000, 86.903, -64.0328
2.540000, 87.114, -64.7077
2.580000, 87.322, -65.4001
2.620000, 87.526, -66.1103
2.650000, 87.677, -66.6291
2.690000, 87.874, -67.3034
2.720000, 88.020, -67.7973
2.760000, 88.211, -68.4411
2.800000, 88.399, -69.1092
2.850000, 88.629, -69.9384
2.900000, 88.854, -70.7612
2.950000, 89.074, -71.5807
3.000000, 89.288, -72.4171
