* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.710. Timing signal peak level -37.4 dBFS, measurement signal peak level -37.2 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 7, 2023 4:30:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0536 ms (-18 mm, -0.72 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 120.7 ppm
* Measurement: KZ Krila DDDD R
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 90.370 16.5292
20.144928 90.385 16.3683
20.290907 90.402 16.1647
20.437943 90.418 15.9281
20.586044 90.429 15.6677
20.735220 90.437 15.3784
20.885475 90.440 15.0823
21.036821 90.436 14.7790
21.189262 90.426 14.4814
21.342808 90.412 14.2155
21.497467 90.392 13.9752
21.653246 90.372 13.7772
21.810154 90.349 13.6274
21.968201 90.328 13.5113
22.127390 90.312 13.4262
22.287735 90.299 13.3662
22.449242 90.292 13.3155
22.611917 90.290 13.2762
22.775772 90.291 13.2240
22.940815 90.296 13.1602
23.107054 90.303 13.0762
23.274498 90.311 12.9656
23.443153 90.318 12.8405
23.613033 90.324 12.7046
23.784142 90.329 12.5613
23.956491 90.332 12.4176
24.130091 90.335 12.2722
24.304947 90.338 12.1291
24.481071 90.340 11.9866
24.658470 90.343 11.8430
24.837156 90.345 11.6971
25.017136 90.347 11.5390
25.198421 90.348 11.3705
25.381020 90.347 11.1970
25.564941 90.343 11.0195
25.750195 90.337 10.8525
25.936790 90.328 10.6958
26.124741 90.318 10.5574
26.314051 90.308 10.4370
26.504732 90.299 10.3392
26.696796 90.293 10.2586
26.890253 90.291 10.1812
27.085112 90.292 10.1002
27.281382 90.295 9.9970
27.479073 90.301 9.8729
27.678198 90.305 9.7222
27.878765 90.308 9.5529
28.080786 90.308 9.3650
28.284271 90.303 9.1787
28.489231 90.295 8.9979
28.695675 90.286 8.8401
28.903616 90.275 8.7040
29.113064 90.266 8.5885
29.324028 90.259 8.4861
29.536524 90.255 8.3913
29.750557 90.253 8.2916
29.966141 90.253 8.1832
30.183289 90.252 8.0600
30.402010 90.250 7.9269
30.622314 90.247 7.7913
30.844217 90.243 7.6588
31.067726 90.238 7.5319
31.292856 90.235 7.4089
31.519617 90.233 7.2855
31.748020 90.232 7.1566
31.978081 90.232 7.0105
32.209808 90.232 6.8453
32.443211 90.229 6.6602
32.678310 90.221 6.4681
32.915108 90.209 6.2773
33.153625 90.191 6.1072
33.393871 90.171 5.9681
33.635857 90.149 5.8699
33.879597 90.131 5.8094
34.125103 90.118 5.7728
34.372387 90.111 5.7468
34.621464 90.110 5.7093
34.872345 90.112 5.6501
35.125042 90.116 5.5605
35.379574 90.119 5.4422
35.635948 90.120 5.3079
35.894180 90.117 5.1676
36.154285 90.112 5.0358
36.416275 90.106 4.9202
36.680161 90.100 4.8206
36.945961 90.097 4.7336
37.213688 90.097 4.6443
37.483353 90.098 4.5451
37.754974 90.101 4.4313
38.028561 90.103 4.3004
38.304131 90.103 4.1593
38.581699 90.099 4.0191
38.861279 90.094 3.8897
39.142883 90.086 3.7797
39.426529 90.078 3.6921
39.712231 90.072 3.6232
40.000000 90.067 3.5657
40.289856 90.065 3.5096
40.581814 90.065 3.4452
40.875885 90.065 3.3650
41.172089 90.064 3.2665
41.470440 90.060 3.1543
41.770950 90.051 3.0395
42.073643 90.037 2.9396
42.378525 90.020 2.8718
42.685616 90.005 2.8406
42.994934 89.995 2.8324
43.306492 89.991 2.8206
43.620308 89.993 2.7746
43.936401 89.995 2.6749
44.254780 89.993 2.5304
44.575470 89.984 2.3768
44.898483 89.972 2.2465
45.223835 89.963 2.1440
45.551544 89.962 2.0408
45.881630 89.967 1.8909
46.214108 89.973 1.6656
46.548996 89.971 1.3865
46.886307 89.957 1.1254
47.226067 89.942 0.9537
47.568283 89.940 0.8690
47.912983 89.964 0.7642
48.260181 90.007 0.4850
48.609894 90.044 -0.0557
48.962143 90.042 -0.7906
49.316940 89.984 -1.4982
49.674313 89.879 -1.9038
50.034271 89.765 -1.8398
50.396843 89.690 -1.3661
50.762039 89.683 -0.7523
51.129883 89.734 -0.3098
51.500389 89.806 -0.1957
51.873581 89.858 -0.3464
52.249481 89.876 -0.5675
52.628101 89.870 -0.6843
53.009464 89.860 -0.6451
53.393593 89.863 -0.5172
53.780506 89.881 -0.4079
54.170223 89.904 -0.3882
54.562763 89.921 -0.4645
54.958145 89.920 -0.5865
55.356396 89.900 -0.6663
55.757530 89.870 -0.6160
56.161572 89.847 -0.4187
56.568542 89.851 -0.1849
56.978462 89.875 -0.1006
57.391350 89.888 -0.2539
57.807232 89.857 -0.4856
58.226128 89.783 -0.4594
58.648056 89.719 0.0382
59.073048 89.734 0.8182
59.501114 89.847 1.3228
59.932281 89.995 1.0796
60.366577 90.081 0.1385
60.804020 90.054 -0.9675
61.244629 89.940 -1.6715
61.688435 89.817 -1.7747
62.135452 89.748 -1.5513
62.585712 89.735 -1.4142
63.039234 89.734 -1.5121
63.496040 89.720 -1.7137
63.956161 89.696 -1.8603
64.419617 89.681 -1.9572
64.886421 89.675 -2.0987
65.356621 89.666 -2.2965
65.830215 89.646 -2.4587
66.307251 89.628 -2.5205
66.787743 89.622 -2.5239
67.271713 89.629 -2.5520
67.759193 89.637 -2.6265
68.250206 89.642 -2.7094
68.744774 89.645 -2.7786
69.242928 89.650 -2.8574
69.744690 89.652 -2.9690
70.250084 89.647 -3.1002
70.759148 89.633 -3.2180
71.271896 89.613 -3.3026
71.788361 89.590 -3.3467
72.308571 89.567 -3.3479
72.832550 89.550 -3.3204
73.360321 89.541 -3.3060
73.891922 89.540 -3.3475
74.427376 89.536 -3.4520
74.966705 89.527 -3.5832
75.509949 89.514 -3.6992
76.057121 89.502 -3.7941
76.608261 89.492 -3.8867
77.163399 89.482 -3.9799
77.722557 89.471 -4.0547
78.285767 89.463 -4.1078
78.853058 89.457 -4.1655
79.424461 89.450 -4.2368
80.000000 89.437 -4.2860
80.579712 89.427 -4.2904
81.163628 89.424 -4.2917
81.751770 89.424 -4.3473
82.344177 89.418 -4.4423
82.940880 89.405 -4.5175
83.541901 89.395 -4.5759
84.147285 89.388 -4.6667
84.757050 89.376 -4.7864
85.371231 89.358 -4.8734
85.989868 89.343 -4.9069
86.612984 89.335 -4.9352
87.240616 89.328 -4.9790
87.872803 89.321 -5.0096
88.509560 89.320 -5.0255
89.150940 89.323 -5.0768
89.796967 89.322 -5.1790
90.447670 89.311 -5.2806
91.103088 89.296 -5.3357
91.763260 89.283 -5.3660
92.428215 89.272 -5.4052
93.097992 89.260 -5.4471
93.772614 89.250 -5.4836
94.452133 89.243 -5.5417
95.136566 89.236 -5.6334
95.825966 89.224 -5.7302
96.520363 89.212 -5.8093
97.219788 89.202 -5.8685
97.924286 89.196 -5.9246
98.633881 89.191 -6.0101
99.348625 89.174 -6.1052
100.068542 89.150 -6.1194
100.793686 89.133 -6.0529
101.524078 89.127 -6.0342
102.259766 89.115 -6.0996
103.000778 89.095 -6.1742
103.747162 89.074 -6.2553
104.498962 89.050 -6.3559
105.256203 89.025 -6.4100
106.018929 89.015 -6.4300
106.787186 89.018 -6.5228
107.561012 89.016 -6.6688
108.340446 89.005 -6.7384
109.125526 89.001 -6.7177
109.916290 89.004 -6.7054
110.712791 88.998 -6.7278
111.515060 88.977 -6.7153
112.323143 88.954 -6.6458
113.137085 88.937 -6.6064
113.956924 88.918 -6.6798
114.782700 88.889 -6.7886
115.614464 88.869 -6.8579
116.452255 88.872 -6.9977
117.296112 88.886 -7.2231
118.146095 88.917 -7.5723
119.002228 88.922 -8.1912
119.864563 88.844 -8.6104
120.733154 88.761 -8.3036
121.608040 88.761 -7.7756
122.489258 88.792 -7.5775
123.376869 88.793 -7.5892
124.270905 88.766 -7.6196
125.171425 88.723 -7.5919
126.078468 88.680 -7.5154
126.992081 88.645 -7.3656
127.912323 88.640 -7.1874
128.839233 88.658 -7.1783
129.772842 88.664 -7.2742
130.713242 88.661 -7.3490
131.660431 88.651 -7.4048
132.614502 88.635 -7.4044
133.575485 88.618 -7.4026
134.543427 88.594 -7.3810
135.518387 88.578 -7.3341
136.500412 88.570 -7.3484
137.489548 88.565 -7.4017
138.485855 88.558 -7.5138
139.489380 88.540 -7.5992
140.500168 88.524 -7.6097
141.518295 88.511 -7.6263
142.543793 88.497 -7.6237
143.576721 88.487 -7.6147
144.617142 88.480 -7.6489
145.665100 88.466 -7.7081
146.720642 88.449 -7.7034
147.783844 88.442 -7.6616
148.854752 88.437 -7.6476
149.933411 88.428 -7.6413
151.019897 88.412 -7.6396
152.114243 88.393 -7.6365
153.216522 88.373 -7.6632
154.326797 88.353 -7.7207
155.445114 88.337 -7.7805
156.571533 88.327 -7.8542
157.706116 88.317 -7.9143
158.848923 88.308 -7.9069
160.000000 88.303 -7.8956
161.159424 88.283 -7.8912
162.327255 88.252 -7.8053
163.503540 88.221 -7.7112
164.688354 88.193 -7.5988
165.881760 88.182 -7.5242
167.083801 88.180 -7.5267
168.294571 88.182 -7.5883
169.514099 88.178 -7.6768
170.742462 88.158 -7.6912
171.979736 88.133 -7.5877
173.225967 88.107 -7.4448
174.481232 88.080 -7.3150
175.745605 88.053 -7.2439
177.019119 88.023 -7.2550
178.301880 87.989 -7.2832
179.593933 87.968 -7.2601
180.895340 87.970 -7.3037
182.206177 87.968 -7.4091
183.526520 87.959 -7.4567
184.856430 87.946 -7.4061
186.195984 87.934 -7.2963
187.545227 87.918 -7.2157
188.904266 87.896 -7.1932
190.273132 87.864 -7.2294
191.651932 87.830 -7.2224
193.040726 87.812 -7.1720
194.439575 87.806 -7.1245
195.848572 87.803 -7.0696
197.267761 87.794 -7.0277
198.697250 87.778 -6.9884
200.137085 87.760 -6.9835
201.587372 87.743 -7.0300
203.048157 87.722 -7.0854
204.519531 87.699 -7.0369
206.001556 87.685 -6.8829
207.494324 87.676 -6.7650
208.997925 87.653 -6.7122
210.512405 87.623 -6.6658
212.037857 87.600 -6.6167
213.574371 87.587 -6.5835
215.122025 87.575 -6.5220
216.680893 87.561 -6.4077
218.251053 87.545 -6.2927
219.832581 87.529 -6.1986
221.425583 87.518 -6.1668
223.030121 87.506 -6.1801
224.646286 87.487 -6.1726
226.274170 87.462 -6.1047
227.913849 87.440 -6.0020
229.565399 87.426 -5.9242
231.228928 87.423 -5.8290
232.904510 87.428 -5.7455
234.592224 87.417 -5.6534
236.292191 87.378 -5.5181
238.004456 87.318 -5.3019
239.729126 87.280 -5.0491
241.466309 87.281 -5.0273
243.216080 87.283 -5.1746
244.978516 87.277 -5.2576
246.753738 87.265 -5.2312
248.541809 87.251 -5.1251
250.342850 87.240 -5.0078
252.156937 87.230 -4.9199
253.984161 87.214 -4.8186
255.824646 87.197 -4.6907
257.678467 87.176 -4.5851
259.545685 87.153 -4.4816
261.426483 87.134 -4.4042
263.320862 87.116 -4.3386
265.229004 87.102 -4.2776
267.150970 87.090 -4.2320
269.086853 87.079 -4.1785
271.036774 87.065 -4.0880
273.000824 87.047 -3.9230
274.979095 87.029 -3.7355
276.971710 87.012 -3.5980
278.978760 86.996 -3.5186
281.000336 86.983 -3.4703
283.036591 86.966 -3.3829
285.087585 86.942 -3.1813
287.153442 86.922 -2.9219
289.234283 86.907 -2.7592
291.330200 86.897 -2.7302
293.441284 86.897 -2.7920
295.567688 86.902 -2.8182
297.709503 86.906 -2.7238
299.866821 86.895 -2.5709
302.039795 86.862 -2.4032
304.228485 86.831 -2.2311
306.433044 86.820 -2.0961
308.653595 86.822 -1.9764
310.890228 86.820 -1.8187
313.143066 86.806 -1.6534
315.412231 86.787 -1.5293
317.697845 86.771 -1.4730
320.000000 86.754 -1.3900
322.318848 86.740 -1.2190
324.654510 86.723 -1.0389
327.007080 86.701 -0.8630
329.376709 86.689 -0.7185
331.763519 86.686 -0.6067
334.167603 86.685 -0.4589
