* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.710. Timing signal peak level -37.4 dBFS, measurement signal peak level -37.3 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 7, 2023 4:29:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0533 ms (-18 mm, -0.72 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 120.6 ppm
* Measurement: KZ Krila DDDU R
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 90.447 16.3558
20.144928 90.442 16.1505
20.290907 90.435 15.9630
20.437943 90.428 15.7910
20.586044 90.423 15.6367
20.735220 90.420 15.5024
20.885475 90.419 15.3685
21.036821 90.421 15.2311
21.189262 90.425 15.0871
21.342808 90.429 14.9237
21.497467 90.435 14.7441
21.653246 90.439 14.5496
21.810154 90.440 14.3372
21.968201 90.439 14.1174
22.127390 90.434 13.8905
22.287735 90.425 13.6666
22.449242 90.413 13.4702
22.611917 90.398 13.2970
22.775772 90.383 13.1579
22.940815 90.368 13.0557
23.107054 90.356 12.9739
23.274498 90.349 12.9150
23.443153 90.347 12.8595
23.613033 90.350 12.8003
23.784142 90.358 12.7250
23.956491 90.370 12.6120
24.130091 90.383 12.4659
24.304947 90.395 12.2779
24.481071 90.405 12.0550
24.658470 90.408 11.8152
24.837156 90.407 11.5598
25.017136 90.399 11.3134
25.198421 90.387 11.0759
25.381020 90.371 10.8725
25.564941 90.352 10.7014
25.750195 90.334 10.5675
25.936790 90.318 10.4680
26.124741 90.306 10.3833
26.314051 90.298 10.3124
26.504732 90.295 10.2381
26.696796 90.295 10.1589
26.890253 90.298 10.0603
27.085112 90.302 9.9444
27.281382 90.305 9.8071
27.479073 90.307 9.6571
27.678198 90.308 9.5013
27.878765 90.307 9.3440
28.080786 90.305 9.1881
28.284271 90.303 9.0357
28.489231 90.300 8.8876
28.695675 90.298 8.7423
28.903616 90.296 8.5980
29.113064 90.294 8.4483
29.324028 90.291 8.2953
29.536524 90.287 8.1392
29.750557 90.282 7.9849
29.966141 90.275 7.8341
30.183289 90.265 7.6910
30.402010 90.254 7.5582
30.622314 90.242 7.4416
30.844217 90.230 7.3379
31.067726 90.220 7.2460
31.292856 90.211 7.1580
31.519617 90.204 7.0714
31.748020 90.199 6.9827
31.978081 90.196 6.8858
32.209808 90.192 6.7792
32.443211 90.189 6.6622
32.678310 90.185 6.5384
32.915108 90.179 6.4097
33.153625 90.173 6.2798
33.393871 90.165 6.1535
33.635857 90.156 6.0351
33.879597 90.149 5.9254
34.125103 90.144 5.8200
34.372387 90.141 5.7148
34.621464 90.140 5.6044
34.872345 90.139 5.4847
35.125042 90.139 5.3524
35.379574 90.138 5.2089
35.635948 90.136 5.0622
35.894180 90.132 4.9185
36.154285 90.126 4.7861
36.416275 90.120 4.6685
36.680161 90.115 4.5632
36.945961 90.112 4.4650
37.213688 90.111 4.3590
37.483353 90.111 4.2401
37.754974 90.110 4.1072
38.028561 90.106 3.9630
38.304131 90.098 3.8212
38.581699 90.087 3.6947
38.861279 90.074 3.5926
39.142883 90.061 3.5184
39.426529 90.050 3.4640
39.712231 90.042 3.4173
40.000000 90.036 3.3676
40.289856 90.033 3.3062
40.581814 90.030 3.2323
40.875885 90.026 3.1497
41.172089 90.023 3.0592
41.470440 90.021 2.9591
41.770950 90.018 2.8466
42.073643 90.014 2.7181
42.378525 90.009 2.5775
42.685616 90.001 2.4377
42.994934 89.992 2.3114
43.306492 89.983 2.2059
43.620308 89.976 2.1193
43.936401 89.972 2.0401
44.254780 89.970 1.9525
44.575470 89.969 1.8551
44.898483 89.966 1.7603
45.223835 89.963 1.6852
45.551544 89.961 1.6391
45.881630 89.964 1.6129
46.214108 89.973 1.5781
46.548996 89.987 1.5010
46.886307 89.998 1.3655
47.226067 90.002 1.1868
47.568283 89.994 1.0095
47.912983 89.976 0.8820
48.260181 89.954 0.8305
48.609894 89.936 0.8469
48.962143 89.928 0.8916
49.316940 89.930 0.9120
49.674313 89.937 0.8660
50.034271 89.944 0.7383
50.396843 89.942 0.5470
50.762039 89.928 0.3394
51.129883 89.903 0.1721
51.500389 89.877 0.0801
51.873581 89.859 0.0497
52.249481 89.855 0.0187
52.628101 89.860 -0.0796
53.009464 89.862 -0.2612
53.393593 89.852 -0.4665
53.780506 89.830 -0.5984
54.170223 89.809 -0.6053
54.562763 89.805 -0.5335
54.958145 89.818 -0.4905
55.356396 89.835 -0.5417
55.757530 89.840 -0.6435
56.161572 89.832 -0.6927
56.568542 89.825 -0.6549
56.978462 89.828 -0.6252
57.391350 89.826 -0.7184
57.807232 89.791 -0.8782
58.226128 89.713 -0.8364
58.648056 89.629 -0.3358
59.073048 89.610 0.5577
59.501114 89.697 1.3543
59.932281 89.849 1.4837
60.366577 89.973 0.7958
60.804020 89.993 -0.3106
61.244629 89.910 -1.2364
61.688435 89.784 -1.6057
62.135452 89.694 -1.5123
62.585712 89.669 -1.3558
63.039234 89.682 -1.4313
63.496040 89.692 -1.7371
63.956161 89.679 -2.0956
64.419617 89.655 -2.3671
64.886421 89.632 -2.5317
65.356621 89.618 -2.6202
65.830215 89.612 -2.6560
66.307251 89.617 -2.6668
66.787743 89.629 -2.6975
67.271713 89.640 -2.7759
67.759193 89.642 -2.8731
68.250206 89.635 -2.9362
68.744774 89.625 -2.9507
69.242928 89.617 -2.9533
69.744690 89.608 -2.9752
70.250084 89.598 -3.0054
70.759148 89.588 -3.0234
71.271896 89.586 -3.0543
71.788361 89.589 -3.1616
72.308571 89.585 -3.3616
72.832550 89.565 -3.5726
73.360321 89.537 -3.6796
73.891922 89.519 -3.6664
74.427376 89.522 -3.6468
74.966705 89.536 -3.7317
75.509949 89.539 -3.9037
76.057121 89.525 -4.0503
76.608261 89.505 -4.1033
77.163399 89.492 -4.1060
77.722557 89.483 -4.1302
78.285767 89.469 -4.1808
78.853058 89.450 -4.2181
79.424461 89.431 -4.2297
80.000000 89.418 -4.2414
80.579712 89.409 -4.2824
81.163628 89.404 -4.3630
81.751770 89.398 -4.4728
82.344177 89.392 -4.5949
82.940880 89.385 -4.7163
83.541901 89.378 -4.8285
84.147285 89.373 -4.9212
84.757050 89.371 -5.0048
85.371231 89.372 -5.1196
85.989868 89.365 -5.2777
86.612984 89.340 -5.3968
87.240616 89.311 -5.3886
87.872803 89.296 -5.2948
88.509560 89.298 -5.2577
89.150940 89.299 -5.3148
89.796967 89.294 -5.3890
90.447670 89.292 -5.4528
91.103088 89.293 -5.5537
91.763260 89.291 -5.6854
92.428215 89.288 -5.8278
93.097992 89.280 -6.0145
93.772614 89.252 -6.2066
94.452133 89.207 -6.2464
95.136566 89.173 -6.1039
95.825966 89.163 -5.9531
96.520363 89.163 -5.9110
97.219788 89.158 -5.9495
97.924286 89.148 -6.0332
98.633881 89.130 -6.1367
99.348625 89.106 -6.2025
100.068542 89.087 -6.2099
100.793686 89.080 -6.2119
101.524078 89.078 -6.2729
102.259766 89.071 -6.3883
103.000778 89.054 -6.4680
103.747162 89.041 -6.4605
104.498962 89.042 -6.4722
105.256203 89.043 -6.6050
106.018929 89.025 -6.7652
106.787186 89.000 -6.8276
107.561012 88.984 -6.8294
108.340446 88.976 -6.8506
109.125526 88.968 -6.8956
109.916290 88.957 -6.9312
110.712791 88.944 -6.9439
111.515060 88.931 -6.9495
112.323143 88.919 -6.9727
113.137085 88.903 -7.0521
113.956924 88.873 -7.1658
114.782700 88.839 -7.1657
115.614464 88.841 -7.1615
116.452255 88.855 -7.4534
117.296112 88.839 -7.8089
118.146095 88.834 -8.0414
119.002228 88.830 -8.4657
119.864563 88.764 -8.7604
120.733154 88.703 -8.4547
121.608040 88.712 -8.0410
122.489258 88.731 -7.8562
123.376869 88.738 -7.7101
124.270905 88.741 -7.6532
125.171425 88.721 -7.6733
126.078468 88.688 -7.6190
126.992081 88.662 -7.5318
127.912323 88.643 -7.4547
128.839233 88.635 -7.3907
129.772842 88.633 -7.3771
130.713242 88.629 -7.3917
131.660431 88.623 -7.4146
132.614502 88.612 -7.4496
133.575485 88.598 -7.4917
134.543427 88.582 -7.5613
135.518387 88.562 -7.6513
136.500412 88.541 -7.7126
137.489548 88.526 -7.7172
138.485855 88.525 -7.7041
139.489380 88.531 -7.7247
140.500168 88.535 -7.7763
141.518295 88.531 -7.8556
142.543793 88.513 -7.9329
143.576721 88.485 -7.9507
144.617142 88.457 -7.9178
145.665100 88.435 -7.8553
146.720642 88.425 -7.8180
147.783844 88.419 -7.8615
148.854752 88.405 -7.9224
149.933411 88.390 -7.9609
151.019897 88.373 -8.0129
152.114243 88.349 -8.0437
153.216522 88.327 -8.0327
154.326797 88.307 -8.0171
155.445114 88.288 -7.9901
156.571533 88.269 -7.9559
157.706116 88.248 -7.8691
158.848923 88.242 -7.7553
160.000000 88.248 -7.7993
161.159424 88.234 -7.9780
162.327255 88.201 -8.0673
163.503540 88.178 -8.0159
164.688354 88.171 -7.9317
165.881760 88.170 -7.8427
167.083801 88.168 -7.7639
168.294571 88.157 -7.7074
169.514099 88.139 -7.6750
170.742462 88.120 -7.6822
171.979736 88.101 -7.7826
173.225967 88.074 -7.8930
174.481232 88.049 -7.8686
175.745605 88.042 -7.7670
177.019119 88.037 -7.6947
178.301880 88.020 -7.6437
179.593933 87.990 -7.6030
180.895340 87.957 -7.5913
182.206177 87.926 -7.6405
183.526520 87.901 -7.6940
184.856430 87.889 -7.7092
186.195984 87.885 -7.7032
187.545227 87.880 -7.6846
188.904266 87.862 -7.6749
190.273132 87.832 -7.6201
191.651932 87.807 -7.5416
193.040726 87.790 -7.5004
194.439575 87.774 -7.4763
195.848572 87.760 -7.4000
197.267761 87.752 -7.2995
198.697250 87.741 -7.2368
200.137085 87.721 -7.1958
201.587372 87.697 -7.1825
203.048157 87.669 -7.1579
204.519531 87.645 -7.0891
206.001556 87.629 -6.9819
207.494324 87.621 -6.8960
208.997925 87.609 -6.8671
210.512405 87.587 -6.8310
212.037857 87.567 -6.7444
213.574371 87.557 -6.6673
215.122025 87.550 -6.6293
216.680893 87.541 -6.6063
218.251053 87.528 -6.5617
219.832581 87.514 -6.5462
221.425583 87.488 -6.5389
223.030121 87.460 -6.4752
224.646286 87.442 -6.4201
226.274170 87.427 -6.4060
227.913849 87.409 -6.3746
229.565399 87.395 -6.2853
231.228928 87.383 -6.1921
232.904510 87.363 -6.0566
234.592224 87.343 -5.8293
236.292191 87.324 -5.5496
238.004456 87.310 -5.2596
239.729126 87.306 -5.1287
241.466309 87.291 -5.2233
243.216080 87.264 -5.3745
244.978516 87.239 -5.4332
246.753738 87.229 -5.3848
248.541809 87.223 -5.3167
250.342850 87.203 -5.2695
252.156937 87.163 -5.1712
253.984161 87.129 -4.9428
255.824646 87.120 -4.6981
257.678467 87.118 -4.5828
259.545685 87.103 -4.5417
261.426483 87.083 -4.5209
263.320862 87.063 -4.4737
265.229004 87.050 -4.3607
267.150970 87.040 -4.2219
269.086853 87.024 -4.0642
271.036774 87.012 -3.9057
273.000824 87.007 -3.8219
274.979095 86.997 -3.7989
276.971710 86.981 -3.7733
278.978760 86.962 -3.7538
281.000336 86.941 -3.6789
283.036591 86.930 -3.5310
285.087585 86.921 -3.3976
287.153442 86.901 -3.2868
289.234283 86.878 -3.2016
291.330200 86.856 -3.1654
293.441284 86.832 -3.0835
295.567688 86.817 -2.9530
297.709503 86.801 -2.8476
299.866821 86.788 -2.7069
302.039795 86.791 -2.5875
304.228485 86.785 -2.5037
306.433044 86.763 -2.3162
308.653595 86.743 -2.0781
310.890228 86.735 -1.9023
313.143066 86.734 -1.7707
315.412231 86.731 -1.6143
317.697845 86.719 -1.4159
320.000000 86.703 -1.2700
322.318848 86.689 -1.2461
324.654510 86.678 -1.2311
327.007080 86.675 -1.1181
329.376709 86.670 -0.9445
331.763519 86.659 -0.7869
334.167603 86.640 -0.6758
336.589142 86.620 -0.5274
