* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.710. Timing signal peak level -37.2 dBFS, measurement signal peak level -37.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 7, 2023 4:00:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0562 ms (-19 mm, -0.76 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 120.7 ppm
* Measurement: KZ Krila DDUD L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 93.953 3.5939
20.299999 93.930 3.1757
20.600000 93.911 2.7629
20.900000 93.893 2.3502
21.200001 93.873 1.9434
21.400000 93.860 1.6819
21.799999 93.833 1.1842
22.000000 93.821 0.9449
22.400000 93.800 0.4688
22.700001 93.787 0.0986
23.000000 93.773 -0.2894
23.299999 93.755 -0.6872
23.600000 93.734 -1.0801
24.000000 93.701 -1.5742
24.299999 93.676 -1.9171
24.700001 93.645 -2.3521
25.000000 93.624 -2.6804
25.400000 93.595 -3.1369
25.799999 93.561 -3.6049
26.200001 93.522 -4.0533
26.500000 93.490 -4.3611
26.900000 93.451 -4.7334
27.200001 93.424 -4.9982
27.600000 93.393 -5.3555
28.000000 93.363 -5.7311
28.500000 93.322 -6.2067
29.000000 93.279 -6.6462
29.500000 93.240 -7.0400
30.000000 93.207 -7.4250
30.400000 93.182 -7.7523
30.700001 93.161 -8.0103
31.100000 93.129 -8.3564
31.500000 93.094 -8.6855
32.000000 93.048 -9.0538
32.500000 93.006 -9.3849
33.000000 92.966 -9.7175
33.500000 92.927 -10.0781
34.000000 92.882 -10.4542
34.500000 92.832 -10.8031
35.000000 92.780 -11.0944
35.500000 92.734 -11.3384
36.000000 92.697 -11.5782
36.500000 92.667 -11.8504
37.000000 92.638 -12.1659
37.500000 92.606 -12.5132
38.200001 92.553 -12.9976
38.700001 92.511 -13.2907
39.500000 92.458 -13.6552
40.000000 92.439 -13.9258
40.599998 92.412 -14.3978
41.200001 92.351 -14.9164
41.799999 92.261 -15.2311
42.500000 92.173 -15.2619
43.099998 92.137 -15.2638
43.700001 92.114 -15.4406
44.400002 92.069 -15.7588
45.000000 92.021 -15.9750
45.500000 91.989 -16.1364
46.200001 91.951 -16.4391
46.799999 91.912 -16.7601
47.500000 91.858 -17.0969
48.200001 91.804 -17.3611
48.700001 91.768 -17.5145
49.400002 91.722 -17.6769
50.000000 91.689 -17.7880
50.799999 91.650 -17.9655
51.500000 91.609 -18.1395
52.200001 91.562 -18.2915
53.000000 91.508 -18.4773
53.799999 91.445 -18.7078
54.500000 91.383 -18.8957
55.200001 91.326 -19.0561
56.000000 91.274 -19.2939
57.000000 91.206 -19.6476
58.000000 91.169 -19.7897
59.000000 91.199 -20.3677
60.000000 91.104 -21.4011
60.799999 90.948 -21.4355
61.500000 90.872 -20.9625
62.200001 90.855 -20.6277
63.000000 90.832 -20.5300
64.000000 90.780 -20.4524
65.000000 90.727 -20.5060
66.000000 90.649 -20.6542
67.000000 90.570 -20.7332
68.000000 90.507 -20.8414
69.000000 90.447 -21.0054
70.000000 90.389 -21.1107
71.000000 90.341 -21.1831
72.000000 90.292 -21.2629
73.000000 90.237 -21.3153
74.000000 90.176 -21.3459
75.000000 90.111 -21.3345
76.199997 90.043 -21.2867
77.500000 89.978 -21.3196
78.800003 89.910 -21.3819
80.000000 89.850 -21.4491
81.199997 89.783 -21.4907
82.500000 89.720 -21.4611
83.800003 89.665 -21.5112
85.000000 89.608 -21.5678
86.199997 89.552 -21.5838
87.500000 89.495 -21.5428
88.500000 89.457 -21.4977
90.000000 89.399 -21.4854
91.199997 89.342 -21.4657
92.500000 89.278 -21.4305
93.800003 89.213 -21.3651
95.000000 89.162 -21.2823
96.199997 89.119 -21.2374
97.500000 89.077 -21.2107
98.800003 89.033 -21.2347
100.000000 88.980 -21.2386
101.500000 88.910 -21.1561
103.000000 88.846 -21.0507
104.400002 88.793 -20.9655
106.000000 88.738 -20.9237
107.500000 88.677 -20.8802
109.000000 88.614 -20.7418
110.599998 88.549 -20.5697
112.000000 88.497 -20.4317
113.800003 88.436 -20.2926
115.000000 88.396 -20.1763
117.199997 88.332 -19.6758
118.000000 88.322 -19.4255
120.599998 88.306 -19.1213
122.000000 88.234 -19.3049
124.099998 88.096 -19.3242
125.000000 88.057 -19.2999
126.500000 88.015 -19.2676
128.000000 87.989 -19.1965
131.500000 87.919 -18.8474
132.000000 87.906 -18.7878
134.000000 87.853 -18.5635
136.000000 87.814 -18.3811
138.000000 87.775 -18.1871
140.000000 87.736 -17.9307
143.000000 87.655 -17.7518
145.000000 87.601 -17.6500
147.500000 87.561 -17.4128
150.000000 87.531 -17.0884
152.500000 87.476 -16.7454
155.000000 87.412 -16.4433
157.500000 87.362 -16.2073
160.000000 87.329 -16.0058
162.500000 87.295 -15.8530
165.000000 87.250 -15.6864
167.500000 87.202 -15.4967
170.000000 87.157 -15.2619
172.500000 87.113 -15.0680
175.000000 87.057 -14.8597
177.500000 87.009 -14.5850
180.000000 86.978 -14.2844
182.500000 86.953 -13.8964
185.000000 86.923 -13.4512
187.500000 86.888 -13.0751
190.000000 86.848 -12.8768
192.500000 86.810 -12.7790
195.000000 86.781 -12.6705
197.500000 86.749 -12.4694
200.000000 86.710 -12.1166
203.000000 86.678 -11.6550
206.000000 86.651 -11.3647
209.000000 86.614 -11.0712
212.000000 86.569 -10.7256
214.000000 86.542 -10.5399
218.000000 86.497 -10.2795
220.000000 86.479 -10.1110
224.000000 86.444 -9.6426
227.000000 86.419 -9.2953
230.000000 86.406 -9.0485
233.000000 86.401 -8.8445
236.000000 86.375 -8.6047
240.000000 86.299 -8.3096
243.000000 86.254 -8.0231
247.000000 86.244 -7.5570
250.000000 86.236 -7.2360
254.000000 86.210 -6.8309
258.000000 86.178 -6.3820
262.000000 86.134 -5.9564
265.000000 86.109 -5.6299
269.000000 86.092 -5.2272
272.000000 86.077 -4.9553
276.000000 86.061 -4.6609
280.000000 86.049 -4.4170
285.000000 86.031 -3.9810
290.000000 86.008 -3.5468
295.000000 85.993 -3.0774
300.000000 85.977 -2.4810
304.000000 85.964 -2.1548
307.000000 85.957 -1.9359
311.000000 85.942 -1.5994
315.000000 85.922 -1.2960
320.000000 85.904 -0.9926
325.000000 85.892 -0.6665
330.000000 85.884 -0.2184
335.000000 85.868 0.2416
340.000000 85.844 0.6727
345.000000 85.820 1.0992
350.000000 85.817 1.5502
355.000000 85.816 1.9465
360.000000 85.805 2.2577
365.000000 85.782 2.6917
370.000000 85.761 3.1639
375.000000 85.751 3.5359
382.000000 85.744 3.9944
387.000000 85.745 4.3927
395.000000 85.740 5.0634
400.000000 85.723 5.4144
406.000000 85.699 5.8702
412.000000 85.688 6.3568
418.000000 85.670 6.8278
425.000000 85.649 7.3102
431.000000 85.635 7.7087
437.000000 85.624 8.1198
444.000000 85.624 8.6573
450.000000 85.628 9.0918
455.000000 85.624 9.4432
462.000000 85.615 9.9691
468.000000 85.609 10.4259
475.000000 85.596 11.0074
482.000000 85.586 11.5848
487.000000 85.594 11.9171
494.000000 85.604 12.3287
500.000000 85.601 12.6523
508.000000 85.598 13.1419
515.000000 85.593 13.6655
522.000000 85.596 14.2093
530.000000 85.617 14.8057
538.000000 85.623 15.4778
545.000000 85.617 15.9849
552.000000 85.621 16.3409
560.000000 85.632 16.7852
570.000000 85.650 17.4813
580.000000 85.677 18.1818
590.000000 85.701 18.8324
600.000000 85.733 19.4248
608.000000 85.760 19.8728
615.000000 85.787 20.2491
622.000000 85.817 20.5804
630.000000 85.860 20.8768
640.000000 85.915 21.0469
650.000000 85.923 20.7556
660.000000 85.811 20.2231
670.000000 85.560 20.3629
680.000000 85.335 21.8708
690.000000 85.272 23.8683
700.000000 85.320 25.4465
710.000000 85.399 26.5492
720.000000 85.460 27.4246
730.000000 85.485 28.1647
740.000000 85.496 28.8765
750.000000 85.499 29.7068
762.000000 85.496 30.9325
775.000000 85.546 32.3215
788.000000 85.626 33.6405
800.000000 85.697 34.6674
812.000000 85.775 35.6005
825.000000 85.860 36.5930
838.000000 85.942 37.5118
850.000000 86.007 38.3039
862.000000 86.072 39.0930
875.000000 86.150 39.9663
885.000000 86.204 40.6141
900.000000 86.289 41.6143
912.000000 86.365 42.3806
925.000000 86.452 43.1423
938.000000 86.544 43.9296
950.000000 86.627 44.6977
962.000000 86.702 45.4172
975.000000 86.788 46.0919
988.000000 86.879 46.7404
1000.000000 86.965 47.3549
1015.000000 87.081 48.0724
1030.000000 87.192 48.7550
1044.000000 87.284 49.3494
1060.000000 87.393 50.0076
1075.000000 87.505 50.5815
1090.000000 87.621 51.0794
1106.000000 87.741 51.6104
1120.000000 87.852 52.0797
1138.000000 87.998 52.6165
1150.000000 88.095 52.9440
1172.000000 88.260 53.5334
1180.000000 88.320 53.7357
1206.000000 88.517 54.3205
1220.000000 88.623 54.6415
1241.000000 88.783 55.0973
1250.000000 88.848 55.2722
1265.000000 88.951 55.5569
1280.000000 89.051 55.8505
1315.000000 89.273 56.4661
1320.000000 89.303 56.5455
1340.000000 89.421 56.8820
1360.000000 89.523 57.2481
1380.000000 89.619 57.6349
1400.000000 89.719 57.9724
1430.000000 89.870 58.4353
1450.000000 89.981 58.7633
1475.000000 90.123 59.1620
1500.000000 90.255 59.5724
1525.000000 90.383 60.0252
1550.000000 90.501 60.4802
1575.000000 90.613 60.8981
1600.000000 90.726 61.2666
1625.000000 90.843 61.6443
1650.000000 90.963 62.0359
1675.000000 91.081 62.4322
1700.000000 91.198 62.8128
1725.000000 91.311 63.1746
1750.000000 91.426 63.5314
1775.000000 91.540 63.8810
1800.000000 91.652 64.2223
1825.000000 91.770 64.5515
1850.000000 91.890 64.8499
1875.000000 92.010 65.1250
1900.000000 92.127 65.3812
1925.000000 92.245 65.6119
1950.000000 92.364 65.8055
1975.000000 92.480 65.9887
2000.000000 92.592 66.1608
2030.000000 92.722 66.3399
2060.000000 92.852 66.4911
2090.000000 92.983 66.6168
2120.000000 93.115 66.7025
2140.000000 93.200 66.7418
2180.000000 93.365 66.8009
2200.000000 93.445 66.8201
2240.000000 93.600 66.8205
2270.000000 93.714 66.7818
2300.000000 93.823 66.7091
2330.000000 93.929 66.6111
2360.000000 94.032 66.5038
2400.000000 94.161 66.3151
2430.000000 94.251 66.1526
2470.000000 94.365 65.9350
2500.000000 94.447 65.7556
2540.000000 94.551 65.4879
2580.000000 94.641 65.1963
2620.000000 94.719 64.8922
2650.000000 94.773 64.6592
2690.000000 94.839 64.3618
2720.000000 94.881 64.1352
2760.000000 94.928 63.8247
2800.000000 94.966 63.5293
2850.000000 94.998 63.2076
2900.000000 95.014 62.9484
2950.000000 95.017 62.7809
3000.000000 95.012 62.7217
3040.000000 95.008 62.8259
3070.000000 95.009 63.0001
3110.000000 95.022 63.3427
3150.000000 95.060 63.7680
3200.000000 95.160 64.2781
3250.000000 95.308 64.5258
3300.000000 95.468 64.3526
3350.000000 95.607 63.8172
3400.000000 95.710 63.0704
3450.000000 95.780 62.2536
3500.000000 95.825 61.4550
3550.000000 95.848 60.6925
3600.000000 95.859 59.9658
3650.000000 95.860 59.2687
3700.000000 95.851 58.5797
3750.000000 95.835 57.8950
3820.000000 95.789 56.9009
3870.000000 95.736 56.1718
3950.000000 95.617 55.0397
4000.000000 95.522 54.3654
4060.000000 95.389 53.5938
4120.000000 95.233 52.8761
4180.000000 95.053 52.2484
4250.000000 94.815 51.7087
4310.000000 94.593 51.4590
4370.000000 94.362 51.4178
4440.000000 94.096 51.5795
4500.000000 93.879 51.8138
4550.000000 93.709 52.0400
4620.000000 93.485 52.3834
4680.000000 93.303 52.6718
4750.000000 93.093 52.9276
4820.000000 92.867 53.0576
4870.000000 92.687 53.1250
4940.000000 92.406 53.2944
5000.000000 92.137 53.5682
5080.000000 91.755 54.2138
5150.000000 91.411 55.0580
5220.000000 91.066 56.1421
