* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.710. Timing signal peak level -37.6 dBFS, measurement signal peak level -37.4 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 7, 2023 3:59:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0561 ms (-19 mm, -0.76 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 120.7 ppm
* Measurement: KZ Krila DDUU L
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 93.991 3.7106
20.144928 93.984 3.4870
20.290907 93.978 3.2526
20.437943 93.971 3.0118
20.586044 93.963 2.7699
20.735220 93.953 2.5256
20.885475 93.942 2.2815
21.036821 93.928 2.0362
21.189262 93.913 1.7941
21.342808 93.896 1.5621
21.497467 93.878 1.3387
21.653246 93.860 1.1281
21.810154 93.841 0.9331
21.968201 93.822 0.7455
22.127390 93.805 0.5611
22.287735 93.789 0.3813
22.449242 93.774 0.2052
22.611917 93.760 0.0326
22.775772 93.747 -0.1425
22.940815 93.735 -0.3194
23.107054 93.723 -0.5032
23.274498 93.712 -0.6962
23.443153 93.701 -0.8942
23.613033 93.690 -1.0947
23.784142 93.679 -1.2993
23.956491 93.668 -1.5090
24.130091 93.658 -1.7234
24.304947 93.646 -1.9425
24.481071 93.634 -2.1655
24.658470 93.622 -2.3883
24.837156 93.608 -2.6117
25.017136 93.594 -2.8364
25.198421 93.578 -3.0615
25.381020 93.562 -3.2799
25.564941 93.544 -3.4917
25.750195 93.527 -3.6919
25.936790 93.509 -3.8815
26.124741 93.492 -4.0659
26.314051 93.477 -4.2447
26.504732 93.462 -4.4191
26.696796 93.449 -4.5912
26.890253 93.437 -4.7679
27.085112 93.426 -4.9498
27.281382 93.414 -5.1422
27.479073 93.401 -5.3396
27.678198 93.388 -5.5385
27.878765 93.372 -5.7355
28.080786 93.356 -5.9290
28.284271 93.339 -6.1151
28.489231 93.322 -6.2926
28.695675 93.305 -6.4621
28.903616 93.289 -6.6261
29.113064 93.274 -6.7936
29.324028 93.260 -6.9658
29.536524 93.246 -7.1461
29.750557 93.231 -7.3324
29.966141 93.214 -7.5241
30.183289 93.194 -7.7152
30.402010 93.172 -7.9013
30.622314 93.149 -8.0727
30.844217 93.126 -8.2325
31.067726 93.105 -8.3811
31.292856 93.087 -8.5323
31.519617 93.071 -8.6920
31.748020 93.056 -8.8698
31.978081 93.042 -9.0711
32.209808 93.025 -9.2946
32.443211 93.004 -9.5299
32.678310 92.979 -9.7575
32.915108 92.949 -9.9656
33.153625 92.918 -10.1362
33.393871 92.887 -10.2708
33.635857 92.861 -10.3689
33.879597 92.843 -10.4572
34.125103 92.831 -10.5564
34.372387 92.824 -10.6874
34.621464 92.818 -10.8609
34.872345 92.809 -11.0653
35.125042 92.795 -11.2893
35.379574 92.775 -11.4995
35.635948 92.751 -11.6780
35.894180 92.727 -11.8171
36.154285 92.706 -11.9236
36.416275 92.689 -12.0265
36.680161 92.677 -12.1438
36.945961 92.665 -12.2933
37.213688 92.648 -12.4712
37.483353 92.625 -12.6485
37.754974 92.597 -12.8017
38.028561 92.566 -12.9060
38.304131 92.540 -12.9719
38.581699 92.521 -13.0363
38.861279 92.507 -13.1369
39.142883 92.495 -13.3153
39.426529 92.472 -13.5694
39.712231 92.432 -13.8404
40.000000 92.375 -14.0562
40.289856 92.305 -14.1402
40.581814 92.238 -14.0398
40.875885 92.194 -13.8008
41.172089 92.182 -13.5334
41.470440 92.202 -13.3609
41.770950 92.240 -13.3913
42.073643 92.277 -13.6682
42.378525 92.292 -14.1248
42.685616 92.277 -14.6392
42.994934 92.235 -15.0941
43.306492 92.178 -15.4095
43.620308 92.121 -15.5661
43.936401 92.078 -15.6121
44.254780 92.052 -15.6362
44.575470 92.039 -15.7050
44.898483 92.030 -15.8388
45.223835 92.017 -16.0201
45.551544 91.998 -16.2111
45.881630 91.973 -16.3769
46.214108 91.946 -16.5009
46.548996 91.921 -16.5874
46.886307 91.901 -16.6541
47.226067 91.885 -16.7248
47.568283 91.874 -16.8206
47.912983 91.861 -16.9542
48.260181 91.844 -17.1245
48.609894 91.820 -17.3125
48.962143 91.787 -17.4889
49.316940 91.749 -17.6297
49.674313 91.711 -17.7300
50.034271 91.675 -17.8080
50.396843 91.643 -17.8890
50.762039 91.612 -17.9825
51.129883 91.579 -18.0737
51.500389 91.548 -18.1420
51.873581 91.523 -18.1923
52.249481 91.508 -18.2672
52.628101 91.498 -18.4152
53.009464 91.481 -18.6416
53.393593 91.450 -18.8823
53.780506 91.405 -19.0388
54.170223 91.361 -19.0587
54.562763 91.333 -18.9923
54.958145 91.325 -18.9588
55.356396 91.321 -19.0390
55.757530 91.301 -19.1897
56.161572 91.262 -19.2766
56.568542 91.220 -19.2135
56.978462 91.195 -19.0749
57.391350 91.187 -19.0380
57.807232 91.166 -19.1778
58.226128 91.104 -19.3284
58.648056 91.009 -19.1943
59.073048 90.933 -18.6394
59.501114 90.935 -17.9113
59.932281 91.017 -17.5159
60.366577 91.115 -17.7803
60.804020 91.152 -18.5616
61.244629 91.103 -19.4074
61.688435 90.998 -19.9212
62.135452 90.897 -20.0493
62.585712 90.835 -20.0344
63.039234 90.800 -20.1007
63.496040 90.767 -20.2629
63.956161 90.730 -20.4150
64.419617 90.698 -20.5181
64.886421 90.677 -20.6350
65.356621 90.657 -20.8033
65.830215 90.628 -20.9638
66.307251 90.596 -21.0441
66.787743 90.571 -21.0643
67.271713 90.555 -21.1069
67.759193 90.535 -21.2005
68.250206 90.503 -21.2903
68.744774 90.464 -21.3241
69.242928 90.426 -21.3138
69.744690 90.389 -21.2935
70.250084 90.351 -21.2628
70.759148 90.317 -21.2080
71.271896 90.290 -21.1550
71.788361 90.268 -21.1551
72.308571 90.245 -21.2177
72.832550 90.215 -21.2983
73.360321 90.183 -21.3550
73.891922 90.155 -21.3911
74.427376 90.131 -21.4348
74.966705 90.109 -21.4969
75.509949 90.084 -21.5635
76.057121 90.057 -21.6176
76.608261 90.028 -21.6512
77.163399 89.999 -21.6615
77.722557 89.970 -21.6482
78.285767 89.944 -21.6240
78.853058 89.920 -21.6212
79.424461 89.893 -21.6551
80.000000 89.858 -21.6893
80.579712 89.819 -21.6727
81.163628 89.788 -21.6146
81.751770 89.767 -21.5938
82.344177 89.747 -21.6586
82.940880 89.716 -21.7667
83.541901 89.674 -21.8365
84.147285 89.633 -21.8249
84.757050 89.602 -21.7652
85.371231 89.583 -21.7328
85.989868 89.564 -21.7700
86.612984 89.535 -21.8196
87.240616 89.501 -21.8035
87.872803 89.474 -21.7432
88.509560 89.454 -21.7294
89.150940 89.426 -21.7597
89.796967 89.391 -21.7673
90.447670 89.356 -21.7527
91.103088 89.318 -21.7462
91.763260 89.275 -21.6959
92.428215 89.239 -21.5767
93.097992 89.220 -21.4806
93.772614 89.206 -21.4858
94.452133 89.185 -21.5513
95.136566 89.158 -21.6185
95.825966 89.128 -21.6729
96.520363 89.095 -21.6994
97.219788 89.064 -21.6962
97.924286 89.032 -21.6680
98.633881 88.999 -21.5823
99.348625 88.975 -21.4478
100.068542 88.961 -21.3699
100.793686 88.938 -21.3835
101.524078 88.898 -21.3758
102.259766 88.858 -21.2914
103.000778 88.827 -21.2176
103.747162 88.797 -21.1950
104.498962 88.763 -21.1703
105.256203 88.733 -21.1260
106.018929 88.707 -21.0734
106.787186 88.682 -20.9943
107.561012 88.661 -20.8799
108.340446 88.645 -20.7592
109.125526 88.628 -20.6848
109.916290 88.596 -20.6541
110.712791 88.545 -20.5516
111.515060 88.503 -20.3626
112.323143 88.478 -20.2898
113.137085 88.445 -20.3836
113.956924 88.402 -20.4859
114.782700 88.364 -20.5603
115.614464 88.335 -20.5685
116.452255 88.331 -20.5094
117.296112 88.338 -20.5363
118.146095 88.326 -20.4198
119.002228 88.353 -20.0621
119.864563 88.413 -20.1147
120.733154 88.380 -20.5122
121.608040 88.271 -20.4415
122.489258 88.191 -20.0054
123.376869 88.146 -19.6903
124.270905 88.106 -19.5454
125.171425 88.064 -19.5355
126.078468 88.015 -19.5076
126.992081 87.985 -19.3994
127.912323 87.976 -19.3626
128.839233 87.961 -19.3735
129.772842 87.941 -19.3269
130.713242 87.920 -19.2570
131.660431 87.891 -19.1813
132.614502 87.860 -19.0886
133.575485 87.829 -19.0197
134.543427 87.795 -18.9672
135.518387 87.765 -18.8670
136.500412 87.751 -18.7413
137.489548 87.745 -18.6579
138.485855 87.735 -18.5700
139.489380 87.723 -18.4387
140.500168 87.709 -18.2889
141.518295 87.695 -18.1468
142.543793 87.679 -18.0525
143.576721 87.655 -18.0107
144.617142 87.624 -17.9763
145.665100 87.590 -17.9091
146.720642 87.560 -17.8163
147.783844 87.531 -17.6812
148.854752 87.507 -17.4914
149.933411 87.491 -17.2990
151.019897 87.476 -17.1611
152.114243 87.454 -17.1038
153.216522 87.417 -17.0727
154.326797 87.380 -16.9663
155.445114 87.362 -16.8764
156.571533 87.348 -16.8835
157.706116 87.325 -16.8382
158.848923 87.307 -16.6597
160.000000 87.304 -16.4104
161.159424 87.307 -16.2166
162.327255 87.291 -16.0828
163.503540 87.262 -15.9017
164.688354 87.235 -15.7157
165.881760 87.215 -15.5966
167.083801 87.199 -15.5415
168.294571 87.183 -15.5164
169.514099 87.168 -15.4731
170.742462 87.149 -15.3991
171.979736 87.123 -15.2806
173.225967 87.093 -15.1115
174.481232 87.065 -14.9171
175.745605 87.046 -14.7619
177.019119 87.031 -14.6660
178.301880 87.019 -14.5884
179.593933 87.007 -14.5284
180.895340 86.978 -14.4576
182.206177 86.935 -14.2418
183.526520 86.901 -13.9417
184.856430 86.878 -13.6833
186.195984 86.860 -13.5313
187.545227 86.835 -13.4367
188.904266 86.807 -13.3139
190.273132 86.783 -13.1540
191.651932 86.759 -12.9812
193.040726 86.741 -12.8020
194.439575 86.730 -12.6985
195.848572 86.714 -12.6471
197.267761 86.697 -12.5309
198.697250 86.687 -12.3539
200.137085 86.680 -12.1842
201.587372 86.662 -12.0291
203.048157 86.638 -11.8450
204.519531 86.622 -11.7130
206.001556 86.600 -11.6344
207.494324 86.580 -11.4635
208.997925 86.574 -11.2816
210.512405 86.563 -11.1899
212.037857 86.533 -11.1055
213.574371 86.500 -10.9487
215.122025 86.483 -10.7354
216.680893 86.482 -10.5645
218.251053 86.476 -10.4528
219.832581 86.455 -10.3379
221.425583 86.427 -10.1703
223.030121 86.410 -9.9921
224.646286 86.400 -9.8674
226.274170 86.381 -9.6844
227.913849 86.360 -9.4399
229.565399 86.332 -9.2770
231.228928 86.300 -9.1964
232.904510 86.285 -9.1757
234.592224 86.283 -9.1983
236.292191 86.262 -9.0592
238.004456 86.231 -8.5792
239.729126 86.217 -7.9849
241.466309 86.230 -7.6690
243.216080 86.240 -7.6955
244.978516 86.238 -7.7992
246.753738 86.224 -7.7970
248.541809 86.201 -7.6542
250.342850 86.184 -7.5002
252.156937 86.175 -7.4442
253.984161 86.160 -7.3498
255.824646 86.147 -7.0284
257.678467 86.143 -6.6518
259.545685 86.129 -6.4595
261.426483 86.100 -6.3820
263.320862 86.082 -6.2765
265.229004 86.079 -6.1216
267.150970 86.073 -5.9162
269.086853 86.066 -5.7340
271.036774 86.054 -5.6539
273.000824 86.035 -5.5540
274.979095 86.018 -5.3290
276.971710 86.003 -5.0574
278.978760 85.984 -4.8616
281.000336 85.963 -4.7315
283.036591 85.954 -4.5854
285.087585 85.960 -4.4061
287.153442 85.967 -4.2035
289.234283 85.970 -3.9933
291.330200 85.971 -3.8360
293.441284 85.966 -3.7063
295.567688 85.955 -3.5319
297.709503 85.939 -3.2417
299.866821 85.930 -2.9077
302.039795 85.919 -2.6839
304.228485 85.901 -2.5022
306.433044 85.898 -2.3160
308.653595 85.907 -2.1792
310.890228 85.904 -2.0394
313.143066 85.889 -1.8340
315.412231 85.869 -1.5976
317.697845 85.856 -1.3865
