* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.710. Timing signal peak level -37.7 dBFS, measurement signal peak level -37.3 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 7, 2023 3:56:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0556 ms (-19 mm, -0.75 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 120.7 ppm
* Measurement: KZ Krila DUDU L
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 92.252 6.3901
20.144928 92.241 6.2136
20.290907 92.232 6.0424
20.437943 92.224 5.8754
20.586044 92.217 5.7076
20.735220 92.212 5.5413
20.885475 92.208 5.3654
21.036821 92.204 5.1744
21.189262 92.199 4.9728
21.342808 92.193 4.7613
21.497467 92.185 4.5399
21.653246 92.175 4.3213
21.810154 92.161 4.1052
21.968201 92.146 3.8966
22.127390 92.129 3.6979
22.287735 92.111 3.5120
22.449242 92.093 3.3495
22.611917 92.075 3.2076
22.775772 92.060 3.0789
22.940815 92.047 2.9662
23.107054 92.037 2.8508
23.274498 92.030 2.7301
23.443153 92.025 2.5981
23.613033 92.022 2.4501
23.784142 92.021 2.2844
23.956491 92.019 2.0945
24.130091 92.017 1.8847
24.304947 92.012 1.6585
24.481071 92.005 1.4185
24.658470 91.994 1.1788
24.837156 91.981 0.9379
25.017136 91.966 0.7021
25.198421 91.948 0.4715
25.381020 91.929 0.2537
25.564941 91.908 0.0483
25.750195 91.888 -0.1424
25.936790 91.867 -0.3189
26.124741 91.847 -0.4865
26.314051 91.827 -0.6442
26.504732 91.810 -0.7899
26.696796 91.793 -0.9255
26.890253 91.780 -1.0562
27.085112 91.768 -1.1861
27.281382 91.759 -1.3241
27.479073 91.752 -1.4727
27.678198 91.747 -1.6356
27.878765 91.742 -1.8168
28.080786 91.736 -2.0205
28.284271 91.729 -2.2389
28.489231 91.718 -2.4711
28.695675 91.704 -2.6994
28.903616 91.687 -2.9208
29.113064 91.668 -3.1230
29.324028 91.647 -3.3034
29.536524 91.627 -3.4550
29.750557 91.609 -3.5864
29.966141 91.593 -3.6996
30.183289 91.580 -3.8152
30.402010 91.570 -3.9372
30.622314 91.561 -4.0762
30.844217 91.553 -4.2348
31.067726 91.544 -4.4150
31.292856 91.532 -4.6088
31.519617 91.517 -4.8075
31.748020 91.498 -4.9988
31.978081 91.477 -5.1737
32.209808 91.454 -5.3298
32.443211 91.431 -5.4643
32.678310 91.409 -5.5828
32.915108 91.389 -5.6885
33.153625 91.369 -5.7932
33.393871 91.351 -5.8979
33.635857 91.333 -6.0042
33.879597 91.316 -6.1122
34.125103 91.300 -6.2218
34.372387 91.283 -6.3331
34.621464 91.267 -6.4436
34.872345 91.250 -6.5542
35.125042 91.233 -6.6656
35.379574 91.216 -6.7772
35.635948 91.198 -6.8848
35.894180 91.180 -6.9855
36.154285 91.162 -7.0769
36.416275 91.146 -7.1612
36.680161 91.132 -7.2448
36.945961 91.122 -7.3368
37.213688 91.115 -7.4549
37.483353 91.108 -7.6035
37.754974 91.099 -7.7822
38.028561 91.088 -7.9848
38.304131 91.071 -8.1937
38.581699 91.052 -8.3958
38.861279 91.032 -8.5849
39.142883 91.012 -8.7637
39.426529 90.995 -8.9514
39.712231 90.978 -9.1642
40.000000 90.958 -9.4076
40.289856 90.931 -9.6747
40.581814 90.893 -9.9319
40.875885 90.846 -10.1292
41.172089 90.793 -10.2323
41.470440 90.744 -10.2285
41.770950 90.706 -10.1330
42.073643 90.686 -9.9979
42.378525 90.683 -9.8955
42.685616 90.690 -9.8713
42.994934 90.699 -9.9374
43.306492 90.701 -10.0723
43.620308 90.693 -10.2299
43.936401 90.675 -10.3601
44.254780 90.654 -10.4376
44.575470 90.635 -10.4734
44.898483 90.622 -10.5010
45.223835 90.612 -10.5536
45.551544 90.602 -10.6461
45.881630 90.587 -10.7683
46.214108 90.565 -10.8937
46.548996 90.538 -10.9968
46.886307 90.511 -11.0702
47.226067 90.487 -11.1301
47.568283 90.466 -11.2008
47.912983 90.446 -11.2941
48.260181 90.424 -11.4020
48.609894 90.399 -11.5026
48.962143 90.374 -11.5796
49.316940 90.353 -11.6365
49.674313 90.340 -11.6958
50.034271 90.333 -11.7873
50.396843 90.327 -11.9288
50.762039 90.318 -12.1139
51.129883 90.301 -12.3118
51.500389 90.275 -12.4785
51.873581 90.243 -12.5746
52.249481 90.214 -12.5864
52.628101 90.195 -12.5382
53.009464 90.188 -12.4904
53.393593 90.189 -12.5086
53.780506 90.185 -12.6151
54.170223 90.166 -12.7642
54.562763 90.130 -12.8709
54.958145 90.089 -12.8823
55.356396 90.055 -12.8297
55.757530 90.031 -12.8056
56.161572 90.007 -12.8706
56.568542 89.970 -12.9837
56.978462 89.923 -13.0494
57.391350 89.886 -13.0555
57.807232 89.870 -13.1458
58.226128 89.858 -13.4975
58.648056 89.806 -14.0899
59.073048 89.687 -14.6108
59.501114 89.522 -14.6328
59.932281 89.392 -14.0051
60.366577 89.372 -13.0906
60.804020 89.459 -12.5064
61.244629 89.575 -12.5822
61.688435 89.644 -13.1388
62.135452 89.645 -13.7173
62.585712 89.615 -14.0193
63.039234 89.598 -14.0962
63.496040 89.601 -14.1498
63.956161 89.604 -14.2660
64.419617 89.594 -14.3604
64.886421 89.581 -14.3661
65.356621 89.576 -14.3448
65.830215 89.570 -14.3892
66.307251 89.549 -14.4733
66.787743 89.510 -14.4888
67.271713 89.471 -14.3908
67.759193 89.446 -14.2566
68.250206 89.430 -14.1799
68.744774 89.414 -14.1797
69.242928 89.394 -14.2221
69.744690 89.370 -14.2851
70.250084 89.345 -14.3566
70.759148 89.319 -14.4099
71.271896 89.297 -14.4307
71.788361 89.282 -14.4534
72.308571 89.272 -14.5245
72.832550 89.256 -14.6379
73.360321 89.229 -14.7304
73.891922 89.197 -14.7480
74.427376 89.168 -14.6896
74.966705 89.148 -14.5998
75.509949 89.135 -14.5382
76.057121 89.122 -14.5319
76.608261 89.102 -14.5534
77.163399 89.076 -14.5546
77.722557 89.052 -14.5302
78.285767 89.033 -14.5250
78.853058 89.015 -14.5666
79.424461 88.992 -14.6241
80.000000 88.966 -14.6569
80.579712 88.943 -14.6651
81.163628 88.923 -14.6604
81.751770 88.905 -14.6355
82.344177 88.892 -14.5885
82.940880 88.884 -14.5465
83.541901 88.878 -14.5409
84.147285 88.869 -14.5769
84.757050 88.849 -14.6216
85.371231 88.821 -14.6273
85.989868 88.791 -14.5757
86.612984 88.764 -14.5016
87.240616 88.739 -14.4308
87.872803 88.715 -14.3528
88.509560 88.698 -14.2910
89.150940 88.686 -14.3185
89.796967 88.661 -14.4212
90.447670 88.620 -14.4717
91.103088 88.583 -14.4068
91.763260 88.562 -14.3257
92.428215 88.547 -14.3081
93.097992 88.527 -14.3109
93.772614 88.508 -14.2896
94.452133 88.493 -14.2827
95.136566 88.476 -14.3152
95.825966 88.451 -14.3525
96.520363 88.421 -14.3632
97.219788 88.388 -14.3265
97.924286 88.360 -14.2246
98.633881 88.345 -14.1017
99.348625 88.341 -14.0511
100.068542 88.330 -14.0786
100.793686 88.309 -14.0828
101.524078 88.290 -14.0154
102.259766 88.282 -13.9534
103.000778 88.276 -13.9710
103.747162 88.258 -14.0297
104.498962 88.230 -14.0586
105.256203 88.199 -14.0443
106.018929 88.168 -13.9845
106.787186 88.146 -13.8997
107.561012 88.131 -13.8584
108.340446 88.112 -13.8407
109.125526 88.096 -13.7776
109.916290 88.088 -13.7271
110.712791 88.075 -13.7159
111.515060 88.051 -13.6400
112.323143 88.030 -13.4721
113.137085 88.017 -13.2818
113.956924 88.011 -13.1738
114.782700 87.989 -13.1824
115.614464 87.949 -13.1628
116.452255 87.919 -13.1124
117.296112 87.901 -13.1936
118.146095 87.884 -13.4440
119.002228 87.847 -13.8785
119.864563 87.755 -14.1768
120.733154 87.666 -13.8487
121.608040 87.675 -13.2689
122.489258 87.734 -13.0513
123.376869 87.768 -13.0636
124.270905 87.775 -13.0793
125.171425 87.756 -13.0563
126.078468 87.721 -12.9057
126.992081 87.694 -12.6803
127.912323 87.679 -12.5377
128.839233 87.664 -12.5067
129.772842 87.649 -12.5339
130.713242 87.633 -12.6149
131.660431 87.609 -12.6799
132.614502 87.587 -12.6376
133.575485 87.575 -12.5490
134.543427 87.560 -12.4556
135.518387 87.542 -12.3062
136.500412 87.529 -12.1442
137.489548 87.515 -12.0408
138.485855 87.490 -11.9587
139.489380 87.465 -11.8362
140.500168 87.451 -11.7049
141.518295 87.450 -11.6481
142.543793 87.450 -11.6815
143.576721 87.440 -11.7307
144.617142 87.426 -11.7078
145.665100 87.416 -11.6507
146.720642 87.401 -11.5808
147.783844 87.385 -11.4631
148.854752 87.372 -11.3457
149.933411 87.358 -11.2842
151.019897 87.333 -11.2632
152.114243 87.303 -11.2050
153.216522 87.281 -11.1037
154.326797 87.273 -11.0190
155.445114 87.270 -10.9871
156.571533 87.263 -10.9471
157.706116 87.254 -10.8568
158.848923 87.245 -10.7634
160.000000 87.224 -10.6774
161.159424 87.193 -10.5313
162.327255 87.169 -10.3516
163.503540 87.153 -10.2409
164.688354 87.139 -10.1761
165.881760 87.136 -10.1352
167.083801 87.135 -10.1774
168.294571 87.123 -10.1876
169.514099 87.108 -10.1167
170.742462 87.090 -9.9624
171.979736 87.076 -9.7593
173.225967 87.064 -9.6320
174.481232 87.044 -9.5953
175.745605 87.019 -9.5649
177.019119 87.005 -9.5236
178.301880 87.003 -9.4777
179.593933 87.009 -9.4367
180.895340 87.000 -9.3866
182.206177 86.971 -9.1953
183.526520 86.939 -8.9034
184.856430 86.911 -8.6559
186.195984 86.885 -8.4981
187.545227 86.867 -8.4684
188.904266 86.848 -8.4970
190.273132 86.833 -8.4850
191.651932 86.818 -8.4625
193.040726 86.788 -8.3806
194.439575 86.754 -8.1631
195.848572 86.736 -7.9259
197.267761 86.732 -7.7580
198.697250 86.736 -7.6633
200.137085 86.742 -7.6308
201.587372 86.736 -7.6031
203.048157 86.720 -7.4932
204.519531 86.708 -7.3435
206.001556 86.695 -7.2526
207.494324 86.671 -7.1649
208.997925 86.646 -7.0299
210.512405 86.625 -6.9062
212.037857 86.604 -6.8188
213.574371 86.586 -6.7397
215.122025 86.579 -6.6619
216.680893 86.583 -6.5911
218.251053 86.589 -6.5275
219.832581 86.587 -6.4049
221.425583 86.580 -6.2391
223.030121 86.561 -6.0860
224.646286 86.535 -5.9307
226.274170 86.514 -5.7974
227.913849 86.500 -5.6849
229.565399 86.494 -5.5487
231.228928 86.498 -5.3817
232.904510 86.500 -5.2875
234.592224 86.478 -5.2711
236.292191 86.443 -5.2198
238.004456 86.425 -5.2052
239.729126 86.409 -5.2859
241.466309 86.384 -5.1842
243.216080 86.381 -4.8995
244.978516 86.384 -4.6586
246.753738 86.375 -4.4577
248.541809 86.363 -4.3157
250.342850 86.346 -4.2121
252.156937 86.331 -4.0839
253.984161 86.318 -3.9490
255.824646 86.301 -3.7996
257.678467 86.287 -3.6594
259.545685 86.275 -3.5521
261.426483 86.267 -3.4513
263.320862 86.261 -3.3276
265.229004 86.257 -3.1582
267.150970 86.253 -2.9519
269.086853 86.251 -2.7606
271.036774 86.245 -2.5895
273.000824 86.238 -2.4083
274.979095 86.231 -2.2742
276.971710 86.214 -2.1936
278.978760 86.197 -2.1096
281.000336 86.187 -2.0320
283.036591 86.177 -1.9355
285.087585 86.158 -1.7902
287.153442 86.126 -1.5897
289.234283 86.097 -1.3578
291.330200 86.086 -1.1459
293.441284 86.090 -0.9598
295.567688 86.106 -0.7621
297.709503 86.123 -0.5609
299.866821 86.132 -0.3723
302.039795 86.123 -0.2367
304.228485 86.098 -0.1164
306.433044 86.078 0.0083
308.653595 86.073 0.1205
310.890228 86.073 0.2434
313.143066 86.067 0.4316
315.412231 86.058 0.6418
317.697845 86.053 0.8216
320.000000 86.053 0.9462
