* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -24.1 dBFS, measurement signal peak level -14.3 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 27, 2024 7:54:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0676 ms (-23 mm, -0.91 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: KZ Linglong R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 90.146, -97.2570
1.015000, 90.432, -97.9144
1.030000, 90.714, -98.5597
1.044000, 90.974, -99.1533
1.060000, 91.264, -99.8243
1.075000, 91.530, -100.4483
1.090000, 91.789, -101.0686
1.106000, 92.061, -101.7201
1.120000, 92.298, -102.2697
1.138000, 92.604, -102.9401
1.150000, 92.809, -103.3649
1.172000, 93.185, -104.1074
1.180000, 93.321, -104.3713
1.206000, 93.764, -105.1857
1.220000, 94.000, -105.5996
1.241000, 94.350, -106.1921
1.250000, 94.498, -106.4365
1.265000, 94.743, -106.8327
1.280000, 94.983, -107.2161
1.315000, 95.525, -108.0693
1.320000, 95.600, -108.1872
1.340000, 95.893, -108.6508
1.360000, 96.173, -109.1025
1.380000, 96.439, -109.5841
1.400000, 96.690, -110.0745
1.430000, 97.036, -110.8045
1.450000, 97.243, -111.2898
1.475000, 97.473, -111.8908
1.500000, 97.669, -112.4687
1.525000, 97.833, -113.0156
1.550000, 97.968, -113.5324
1.575000, 98.077, -114.0431
1.600000, 98.166, -114.5680
1.625000, 98.237, -115.0711
1.650000, 98.295, -115.5557
1.675000, 98.342, -116.0250
1.700000, 98.384, -116.4823
1.725000, 98.424, -116.9308
1.750000, 98.465, -117.3733
1.775000, 98.512, -117.8300
1.800000, 98.568, -118.3199
1.825000, 98.636, -118.8107
1.850000, 98.713, -119.3014
1.875000, 98.792, -119.7860
1.900000, 98.871, -120.2613
1.925000, 98.949, -120.7262
1.950000, 99.026, -121.1795
1.975000, 99.102, -121.6381
2.000000, 99.178, -122.1181
2.030000, 99.267, -122.6786
2.060000, 99.355, -123.2252
2.090000, 99.442, -123.7595
2.120000, 99.527, -124.2834
2.140000, 99.583, -124.6279
2.180000, 99.692, -125.3297
2.200000, 99.745, -125.6978
2.240000, 99.850, -126.4310
2.270000, 99.926, -126.9770
2.300000, 100.001, -127.5168
2.330000, 100.075, -128.0482
2.360000, 100.146, -128.5700
2.400000, 100.240, -129.2969
2.430000, 100.308, -129.8352
2.470000, 100.397, -130.5346
2.500000, 100.463, -131.0458
2.540000, 100.547, -131.7110
2.580000, 100.630, -132.3818
2.620000, 100.710, -133.0866
2.650000, 100.768, -133.6124
2.690000, 100.843, -134.3070
2.720000, 100.898, -134.8203
2.760000, 100.969, -135.4900
2.800000, 101.038, -136.1817
2.850000, 101.120, -137.0243
2.900000, 101.199, -137.8337
2.950000, 101.274, -138.6169
3.000000, 101.345, -139.4236
3.040000, 101.399, -140.0764
3.070000, 101.438, -140.5609
3.110000, 101.487, -141.1968
3.150000, 101.535, -141.8180
3.200000, 101.591, -142.5999
3.250000, 101.646, -143.3643
3.300000, 101.698, -144.0972
3.350000, 101.747, -144.8109
3.400000, 101.793, -145.5489
3.450000, 101.837, -146.2887
3.500000, 101.877, -147.0104
3.550000, 101.916, -147.7081
3.600000, 101.952, -148.4043
3.650000, 101.987, -149.0823
3.700000, 102.019, -149.7376
3.750000, 102.049, -150.3807
3.820000, 102.087, -151.2968
3.870000, 102.112, -151.9400
3.950000, 102.149, -152.9255
4.000000, 102.171, -153.5315
4.060000, 102.196, -154.2408
4.120000, 102.219, -154.9295
4.180000, 102.241, -155.6080
4.250000, 102.263, -156.4073
4.310000, 102.282, -157.0649
4.370000, 102.298, -157.6992
4.440000, 102.317, -158.4421
4.500000, 102.331, -159.0614
4.550000, 102.341, -159.5649
4.620000, 102.355, -160.2771
4.680000, 102.365, -160.8728
4.750000, 102.377, -161.5405
4.820000, 102.388, -162.2058
4.870000, 102.396, -162.6738
4.940000, 102.406, -163.3120
5.000000, 102.413, -163.8580
5.080000, 102.422, -164.5740
5.150000, 102.429, -165.1765
5.220000, 102.434, -165.7834
5.300000, 102.439, -166.4660
5.380000, 102.443, -167.1297
5.450000, 102.446, -167.7106
5.520000, 102.448, -168.2715
5.600000, 102.450, -168.9048
5.700000, 102.450, -169.6894
5.800000, 102.449, -170.4512
5.900000, 102.447, -171.2012
6.000000, 102.443, -171.9329
6.080000, 102.438, -172.5171
6.150000, 102.434, -173.0109
6.220000, 102.429, -173.5057
6.300000, 102.423, -174.0580
6.400000, 102.415, -174.7349
6.500000, 102.405, -175.4048
6.600000, 102.394, -176.0545
6.700000, 102.383, -176.6962
