* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -22.9 dBFS, measurement signal peak level -17.3 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -28.3 dBFS using an acoustic timing reference
* Dated: Sep 12, 2024 12:59:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 Delay -0.0686 ms (-24 mm, -0.93 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -25.5 ppm
* Measurement: 50 Ohm R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 82.316, 141.0605
1.015000, 82.866, 139.9383
1.030000, 83.397, 138.8154
1.044000, 83.874, 137.7614
1.060000, 84.391, 136.5444
1.075000, 84.847, 135.3871
1.090000, 85.271, 134.2130
1.106000, 85.694, 132.9563
1.120000, 86.047, 131.8820
1.138000, 86.484, 130.5586
1.150000, 86.767, 129.7145
1.172000, 87.267, 128.2409
1.180000, 87.443, 127.7246
1.206000, 87.996, 126.1303
1.220000, 88.281, 125.3206
1.241000, 88.693, 124.1634
1.250000, 88.864, 123.6866
1.265000, 89.143, 122.9149
1.280000, 89.413, 122.1691
1.315000, 90.010, 120.5124
1.320000, 90.092, 120.2837
1.340000, 90.412, 119.3844
1.360000, 90.719, 118.5067
1.380000, 91.014, 117.6064
1.400000, 91.298, 116.7008
1.430000, 91.706, 115.3483
1.450000, 91.965, 114.4444
1.475000, 92.272, 113.3161
1.500000, 92.552, 112.2157
1.525000, 92.802, 111.1581
1.550000, 93.024, 110.1451
1.575000, 93.222, 109.1578
1.600000, 93.398, 108.1800
1.625000, 93.558, 107.2383
1.650000, 93.703, 106.3284
1.675000, 93.837, 105.4456
1.700000, 93.964, 104.5850
1.725000, 94.086, 103.7417
1.750000, 94.207, 102.9109
1.775000, 94.331, 102.0738
1.800000, 94.461, 101.2125
1.825000, 94.597, 100.3516
1.850000, 94.739, 99.4922
1.875000, 94.879, 98.6417
1.900000, 95.016, 97.8055
1.925000, 95.150, 96.9865
1.950000, 95.279, 96.1864
1.975000, 95.406, 95.3948
2.000000, 95.530, 94.6013
2.030000, 95.675, 93.6744
2.060000, 95.816, 92.7723
2.090000, 95.954, 91.8921
2.120000, 96.089, 91.0306
2.140000, 96.177, 90.4647
2.180000, 96.351, 89.3283
2.200000, 96.436, 88.7462
2.240000, 96.603, 87.5871
2.270000, 96.723, 86.7248
2.300000, 96.841, 85.8732
2.330000, 96.955, 85.0355
2.360000, 97.066, 84.2140
2.400000, 97.210, 83.1085
2.430000, 97.314, 82.2957
2.470000, 97.450, 81.2406
2.500000, 97.550, 80.4699
2.540000, 97.680, 79.4664
2.580000, 97.806, 78.4670
2.620000, 97.929, 77.4433
2.650000, 98.018, 76.6800
2.690000, 98.132, 75.6731
