* Measurement data measured by REW V5.31.1
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -16.6 dBFS, measurement signal peak level -16.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jun 27, 2024 9:24:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0694 ms (-24 mm, -0.94 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: KZ Merga L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 78.260, 117.0562
1.015000, 78.973, 116.4482
1.030000, 79.660, 115.8109
1.044000, 80.273, 115.1882
1.060000, 80.935, 114.4423
1.075000, 81.513, 113.7094
1.090000, 82.047, 112.9470
1.106000, 82.572, 112.1223
1.120000, 83.008, 111.4264
1.138000, 83.545, 110.5901
1.150000, 83.891, 110.0687
1.172000, 84.498, 109.1746
1.180000, 84.711, 108.8626
1.206000, 85.375, 107.9124
1.220000, 85.715, 107.4356
1.241000, 86.204, 106.7582
1.250000, 86.406, 106.4797
1.265000, 86.732, 106.0287
1.280000, 87.047, 105.5916
1.315000, 87.740, 104.6101
1.320000, 87.834, 104.4729
1.340000, 88.200, 103.9283
1.360000, 88.550, 103.3879
1.380000, 88.885, 102.8080
1.400000, 89.205, 102.2078
1.430000, 89.662, 101.2892
1.450000, 89.952, 100.6608
1.475000, 90.293, 99.8663
1.500000, 90.597, 99.0948
1.525000, 90.862, 98.3624
1.550000, 91.089, 97.6687
1.575000, 91.285, 96.9886
1.600000, 91.453, 96.3009
1.625000, 91.598, 95.6401
1.650000, 91.724, 95.0016
1.675000, 91.837, 94.3807
1.700000, 91.941, 93.7729
1.725000, 92.041, 93.1736
1.750000, 92.140, 92.5788
1.775000, 92.245, 91.9674
1.800000, 92.358, 91.3193
1.825000, 92.484, 90.6664
1.850000, 92.617, 90.0119
1.875000, 92.751, 89.3655
1.900000, 92.881, 88.7324
1.925000, 93.009, 88.1143
1.950000, 93.133, 87.5123
1.975000, 93.254, 86.9097
2.000000, 93.372, 86.2898
2.030000, 93.511, 85.5665
2.060000, 93.646, 84.8614
2.090000, 93.778, 84.1719
2.120000, 93.907, 83.4949
2.140000, 93.992, 83.0487
2.180000, 94.158, 82.1433
2.200000, 94.240, 81.6730
2.240000, 94.399, 80.7355
2.270000, 94.515, 80.0386
2.300000, 94.628, 79.3509
2.330000, 94.737, 78.6753
2.360000, 94.844, 78.0129
2.400000, 94.982, 77.1044
2.430000, 95.082, 76.4338
2.470000, 95.213, 75.5628
2.500000, 95.309, 74.9256
2.540000, 95.433, 74.0949
2.580000, 95.555, 73.2601
2.620000, 95.673, 72.3925
2.650000, 95.758, 71.7460
2.690000, 95.869, 70.8934
2.720000, 95.949, 70.2642
2.760000, 96.053, 69.4439
2.800000, 96.154, 68.6060
2.850000, 96.275, 67.5867
2.900000, 96.392, 66.6062
2.950000, 96.504, 65.6556
3.000000, 96.610, 64.6837
3.040000, 96.692, 63.9007
3.070000, 96.750, 63.3200
3.110000, 96.826, 62.5583
3.150000, 96.899, 61.8144
3.200000, 96.987, 60.8831
3.250000, 97.071, 59.9736
3.300000, 97.152, 59.0985
3.350000, 97.230, 58.2436
3.400000, 97.304, 57.3648
3.450000, 97.374, 56.4859
3.500000, 97.441, 55.6277
3.550000, 97.504, 54.7972
3.600000, 97.565, 53.9722
3.650000, 97.623, 53.1693
3.700000, 97.679, 52.3912
3.750000, 97.731, 51.6260
3.820000, 97.799, 50.5409
3.870000, 97.845, 49.7794
3.950000, 97.914, 48.6110
4.000000, 97.955, 47.8949
4.060000, 98.002, 47.0569
4.120000, 98.047, 46.2407
4.180000, 98.089, 45.4358
4.250000, 98.135, 44.4924
4.310000, 98.172, 43.7157
4.370000, 98.207, 42.9675
4.440000, 98.246, 42.0967
4.500000, 98.276, 41.3701
4.550000, 98.301, 40.7787
4.620000, 98.332, 39.9469
4.680000, 98.358, 39.2530
4.750000, 98.387, 38.4766
4.820000, 98.415, 37.7077
4.870000, 98.434, 37.1678
4.940000, 98.459, 36.4321
5.000000, 98.479, 35.8058
5.080000, 98.505, 34.9887
5.150000, 98.525, 34.3035
5.220000, 98.545, 33.6182
5.300000, 98.565, 32.8506
5.380000, 98.584, 32.1069
5.450000, 98.599, 31.4606
5.520000, 98.614, 30.8386
5.600000, 98.630, 30.1402
5.700000, 98.647, 29.2803
5.800000, 98.664, 28.4498
5.900000, 98.679, 27.6378
6.000000, 98.692, 26.8501
6.080000, 98.701, 26.2252
6.150000, 98.709, 25.6982
6.220000, 98.716, 25.1727
6.300000, 98.724, 24.5880
6.400000, 98.733, 23.8746
6.500000, 98.741, 23.1723
6.600000, 98.747, 22.4933
6.700000, 98.754, 21.8256
6.800000, 98.759, 21.1767
6.900000, 98.764, 20.5383
7.000000, 98.768, 19.9207
7.100000, 98.772, 19.3133
7.200000, 98.776, 18.7222
7.300000, 98.779, 18.1398
7.400000, 98.781, 17.5726
7.500000, 98.783, 17.0096
7.620000, 98.784, 16.3530
7.750000, 98.785, 15.6639
7.880000, 98.785, 14.9888
8.000000, 98.783, 14.3877
8.120000, 98.781, 13.8009
8.250000, 98.779, 13.1821
8.380000, 98.775, 12.5845
8.500000, 98.771, 12.0464
8.620000, 98.767, 11.5257
8.750000, 98.762, 10.9792
8.850000, 98.758, 10.5707
9.000000, 98.752, 9.9814
9.120000, 98.748, 9.5229
9.250000, 98.743, 9.0370
9.380000, 98.739, 8.5662
9.500000, 98.736, 8.1381
9.620000, 98.733, 7.7217
9.750000, 98.729, 7.2807
9.880000, 98.719, 6.8435
10.000000, 98.700, 6.4516
10.150000, 98.666, 5.9376
10.300000, 98.624, 5.4440
10.440000, 98.580, 5.0013
10.600000, 98.528, 4.5172
10.750000, 98.479, 4.0850
10.900000, 98.431, 3.6733
11.060000, 98.383, 3.2311
11.200000, 98.342, 2.8247
11.380000, 98.289, 2.3291
11.500000, 98.254, 2.0153
11.720000, 98.189, 1.4720
11.800000, 98.167, 1.2843
