* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.710. Timing signal peak level -13.0 dBFS, measurement signal peak level -12.8 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 12, 2023 6:39:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0624 ms (-21 mm, -0.84 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: Kiwi Ears Quartet DU R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 68.744 -57.9416
1.015000 69.103 -56.8918
1.030000 69.451 -55.8751
1.044000 69.765 -54.9598
1.060000 70.108 -53.9581
1.075000 70.413 -53.0665
1.090000 70.699 -52.2252
1.106000 70.982 -51.3848
1.120000 71.222 -50.6812
1.138000 71.523 -49.8137
1.150000 71.719 -49.2577
1.172000 72.070 -48.2829
1.180000 72.194 -47.9422
1.206000 72.589 -46.8829
1.220000 72.795 -46.3416
1.241000 73.097 -45.5655
1.250000 73.224 -45.2454
1.265000 73.431 -44.7279
1.280000 73.634 -44.2293
1.315000 74.091 -43.1341
1.320000 74.155 -42.9848
1.340000 74.405 -42.4042
1.360000 74.649 -41.8481
1.380000 74.887 -41.3140
1.400000 75.120 -40.7994
1.430000 75.459 -40.0588
1.450000 75.680 -39.5822
1.475000 75.948 -39.0035
1.500000 76.202 -38.4575
1.525000 76.441 -37.9482
1.550000 76.667 -37.4760
1.575000 76.880 -37.0411
1.600000 77.083 -36.6439
1.625000 77.277 -36.2844
1.650000 77.463 -35.9631
1.675000 77.644 -35.6802
1.700000 77.820 -35.4360
1.725000 77.993 -35.2307
1.750000 78.165 -35.0646
1.775000 78.337 -34.9380
1.800000 78.511 -34.8512
1.825000 78.687 -34.8044
1.850000 78.866 -34.8055
1.875000 79.042 -34.8695
1.900000 79.215 -34.9913
1.925000 79.385 -35.1648
1.950000 79.553 -35.3842
1.975000 79.718 -35.6433
2.000000 79.881 -35.9362
2.030000 80.074 -36.3239
2.060000 80.264 -36.7413
2.090000 80.452 -37.1779
2.120000 80.638 -37.6235
2.140000 80.762 -37.9204
2.180000 81.007 -38.5001
2.200000 81.129 -38.7769
2.240000 81.371 -39.3432
2.270000 81.550 -39.7906
2.300000 81.728 -40.2554
2.330000 81.905 -40.7356
2.360000 82.079 -41.2291
2.400000 82.307 -41.9044
2.430000 82.475 -42.4213
2.470000 82.696 -43.1206
2.500000 82.858 -43.6501
2.540000 83.069 -44.3590
2.580000 83.275 -45.0691
2.620000 83.474 -45.7949
2.650000 83.621 -46.3504
2.690000 83.811 -47.1028
2.720000 83.951 -47.6740
2.760000 84.133 -48.4419
2.800000 84.311 -49.2137
2.850000 84.528 -50.1784
2.900000 84.741 -51.1366
2.950000 84.948 -52.0840
3.000000 85.148 -53.0394
3.040000 85.304 -53.8090
3.070000 85.418 -54.3869
3.110000 85.568 -55.1554
3.150000 85.713 -55.9180
3.200000 85.892 -56.8575
3.250000 86.066 -57.7748
3.300000 86.237 -58.6627
3.350000 86.403 -59.5225
3.400000 86.564 -60.3600
3.450000 86.721 -61.1783
3.500000 86.873 -61.9799
3.550000 87.023 -62.7678
3.600000 87.169 -63.5447
3.650000 87.314 -64.3135
3.700000 87.457 -65.0759
3.750000 87.596 -65.8303
3.820000 87.785 -66.8691
3.870000 87.918 -67.5957
3.950000 88.127 -68.7261
4.000000 88.256 -69.4092
4.060000 88.410 -70.2007
4.120000 88.562 -70.9571
4.180000 88.712 -71.6854
4.250000 88.885 -72.5107
4.310000 89.031 -73.2065
4.370000 89.177 -73.9005
4.440000 89.347 -74.7126
4.500000 89.491 -75.4005
4.550000 89.610 -75.9681
4.620000 89.776 -76.7554
4.680000 89.917 -77.4249
4.750000 90.080 -78.2014
4.820000 90.242 -78.9713
4.870000 90.357 -79.5150
4.940000 90.516 -80.2706
5.000000 90.651 -80.9159
5.080000 90.828 -81.7779
5.150000 90.980 -82.5379
5.220000 91.130 -83.3027
5.300000 91.298 -84.1792
5.380000 91.462 -85.0552
5.450000 91.602 -85.8189
5.520000 91.738 -86.5783
5.600000 91.889 -87.4463
5.700000 92.072 -88.5275
5.800000 92.248 -89.5955
5.900000 92.417 -90.6427
6.000000 92.577 -91.6759
6.080000 92.701 -92.4898
6.150000 92.806 -93.1894
6.220000 92.908 -93.8745
6.300000 93.021 -94.6406
6.400000 93.156 -95.5762
6.500000 93.286 -96.4839
6.600000 93.412 -97.3600
6.700000 93.534 -98.2011
6.800000 93.653 -99.0109
6.900000 93.768 -99.7953
7.000000 93.882 -100.5587
7.100000 93.994 -101.2955
7.200000 94.103 -102.0105
7.300000 94.211 -102.7114
7.400000 94.318 -103.4011
7.500000 94.423 -104.0744
7.620000 94.546 -104.8690
7.750000 94.676 -105.7238
7.880000 94.802 -106.5693
8.000000 94.915 -107.3409
8.120000 95.023 -108.1052
8.250000 95.134 -108.9265
8.380000 95.241 -109.7335
8.500000 95.333 -110.4614
8.620000 95.420 -111.1764
8.750000 95.509 -111.9282
8.850000 95.574 -112.4855
9.000000 95.665 -113.2918
9.120000 95.736 -113.9088
9.250000 95.810 -114.5450
9.380000 95.883 -115.1491
9.500000 95.947 -115.6859
9.620000 96.010 -116.2042
9.750000 96.075 -116.7429
9.880000 96.135 -117.2713
10.000000 96.184 -117.7533
10.150000 96.238 -118.3457
10.300000 96.287 -118.9398
10.440000 96.327 -119.4927
10.600000 96.369 -120.1352
10.750000 96.409 -120.7571
10.900000 96.449 -121.3959
11.060000 96.489 -122.1085
11.200000 96.522 -122.7599
11.380000 96.560 -123.6152
11.500000 96.580 -124.1970
11.720000 96.608 -125.2677
11.800000 96.616 -125.6521
12.060000 96.632 -126.8814
12.200000 96.636 -127.5117
12.410000 96.636 -128.4116
12.500000 96.636 -128.7695
12.650000 96.632 -129.3309
12.800000 96.629 -129.8513
13.150000 96.633 -130.9052
13.200000 96.637 -131.0459
13.400000 96.656 -131.5780
13.600000 96.686 -132.1112
13.800000 96.728 -132.6610
14.000000 96.774 -133.2599
14.300000 96.847 -134.2563
14.500000 96.889 -134.9798
14.750000 96.932 -135.8945
15.000000 96.963 -136.7891
15.250000 96.986 -137.5986
15.500000 97.011 -138.3028
15.750000 97.042 -138.9043
16.000000 97.086 -139.4373
16.250000 97.145 -139.9847
16.500000 97.214 -140.5883
16.750000 97.287 -141.3017
17.000000 97.350 -142.1121
17.250000 97.396 -142.9822
17.500000 97.420 -143.8576
17.750000 97.422 -144.6426
18.000000 97.410 -145.3024
18.250000 97.391 -145.8002
18.500000 97.382 -146.1583
18.750000 97.387 -146.4292
19.000000 97.410 -146.6632
19.250000 97.449 -146.9459
19.500000 97.495 -147.3019
19.750000 97.544 -147.7487
20.000000 97.586 -148.2702
20.299999 97.623 -148.9440
20.600000 97.646 -149.6202
20.900000 97.659 -150.2558
21.200001 97.669 -150.8350
21.400000 97.677 -151.1979
21.799999 97.698 -151.8972
22.000000 97.712 -152.2488
22.400000 97.744 -152.9799
22.700001 97.769 -153.5555
23.000000 97.791 -154.1481
23.299999 97.810 -154.7459
23.600000 97.824 -155.3329
24.000000 97.836 -156.0670
24.299999 97.841 -156.5533
24.700001 97.846 -157.0867
25.000000 97.853 -157.3943
25.400000 97.876 -157.7029
25.799999 97.919 -157.9643
26.200001 97.979 -158.2771
26.500000 98.029 -158.5953
26.900000 98.087 -159.1487
27.200001 98.114 -159.6284
27.600000 98.121 -160.2619
28.000000 98.100 -160.7580
28.500000 98.067 -161.0807
29.000000 98.070 -161.2172
29.500000 98.120 -161.5041
30.000000 98.176 -162.1854
30.400000 98.193 -162.9617
30.700001 98.181 -163.5790
31.100000 98.143 -164.3125
31.500000 98.098 -164.8796
32.000000 98.064 -165.4137
32.500000 98.069 -165.9523
33.000000 98.094 -166.6564
33.500000 98.112 -167.5003
34.000000 98.113 -168.3205
34.500000 98.110 -168.9733
35.000000 98.122 -169.4581
35.500000 98.159 -169.9058
36.000000 98.207 -170.4406
36.500000 98.242 -171.0569
37.000000 98.253 -171.6377
37.500000 98.252 -172.0972
38.200001 98.249 -172.6051
38.700001 98.245 -172.9697
39.500000 98.218 -173.5239
40.000000 98.197 -173.7972
40.599998 98.182 -174.1141
41.200001 98.173 -174.5054
41.799999 98.161 -174.9367
42.500000 98.152 -175.4232
43.099998 98.159 -175.8863
43.700001 98.165 -176.4332
44.400002 98.158 -177.0639
45.000000 98.149 -177.5000
45.500000 98.149 -177.8185
46.200001 98.158 -178.2957
46.799999 98.157 -178.7404
47.500000 98.145 -179.1957
48.200001 98.138 -179.5579
48.700001 98.141 -179.8291
49.400002 98.145 179.6921
50.000000 98.138 179.2344
50.799999 98.119 178.6852
51.500000 98.108 178.2570
52.200001 98.104 177.8221
53.000000 98.104 177.3137
53.799999 98.106 176.7754
54.500000 98.098 176.2933
55.200001 98.083 175.8821
56.000000 98.070 175.4940
57.000000 98.057 174.9668
58.000000 98.030 174.4701
59.000000 98.011 174.0216
60.000000 97.993 173.4784
60.799999 97.971 173.0470
61.500000 97.953 172.6884
62.200001 97.937 172.3183
63.000000 97.915 171.9009
64.000000 97.887 171.4377
65.000000 97.867 171.0010
66.000000 97.853 170.5489
67.000000 97.840 170.0672
68.000000 97.824 169.5618
69.000000 97.802 169.0694
70.000000 97.779 168.5972
71.000000 97.753 168.1448
72.000000 97.727 167.7138
73.000000 97.699 167.2736
74.000000 97.665 166.8393
75.000000 97.629 166.4630
76.199997 97.600 166.0112
77.500000 97.568 165.4645
78.800003 97.533 164.9717
80.000000 97.506 164.5726
81.199997 97.487 164.1485
82.500000 97.454 163.6121
83.800003 97.408 163.1341
85.000000 97.371 162.7071
86.199997 97.338 162.2450
87.500000 97.294 161.7233
88.500000 97.252 161.4121
90.000000 97.209 161.1129
91.199997 97.194 160.8210
92.500000 97.172 160.3460
93.800003 97.126 159.8652
95.000000 97.086 159.4886
96.199997 97.053 159.0994
97.500000 97.019 158.6542
98.800003 96.983 158.2283
100.000000 96.948 157.8665
101.500000 96.899 157.4603
103.000000 96.851 157.0844
104.400002 96.809 156.7166
106.000000 96.758 156.2511
107.500000 96.702 155.8336
109.000000 96.647 155.4664
110.599998 96.592 155.0634
112.000000 96.544 154.6934
113.800003 96.484 154.2193
115.000000 96.448 153.8987
117.199997 96.379 153.3196
118.000000 96.350 153.1387
120.599998 96.263 152.6839
122.000000 96.223 152.4058
124.099998 96.156 151.9415
125.000000 96.127 151.7483
126.500000 96.081 151.4322
128.000000 96.036 151.1306
131.500000 95.938 150.4464
132.000000 95.924 150.3454
134.000000 95.864 149.9615
136.000000 95.805 149.6005
138.000000 95.744 149.2674
140.000000 95.685 148.9310
143.000000 95.591 148.4132
145.000000 95.531 148.1044
147.500000 95.457 147.7029
150.000000 95.379 147.2443
152.500000 95.298 146.8141
155.000000 95.224 146.4904
157.500000 95.155 146.1947
160.000000 95.076 145.8579
162.500000 94.996 145.5076
165.000000 94.923 145.1786
167.500000 94.854 144.8542
170.000000 94.776 144.4918
172.500000 94.688 144.1558
175.000000 94.608 143.9228
177.500000 94.528 143.7804
180.000000 94.438 143.6359
182.500000 94.347 143.3938
185.000000 94.267 143.0594
187.500000 94.187 142.7662
190.000000 94.106 142.5657
192.500000 94.030 142.3339
195.000000 93.948 142.1219
197.500000 93.869 142.0518
200.000000 93.795 141.9758
203.000000 93.711 141.7546
206.000000 93.628 141.4859
209.000000 93.531 141.2626
212.000000 93.435 141.1464
214.000000 93.386 141.0613
218.000000 93.282 140.8028
220.000000 93.223 140.7203
224.000000 93.124 140.6965
227.000000 93.033 140.5922
230.000000 92.925 140.2858
233.000000 92.849 140.0074
236.000000 92.784 139.9705
240.000000 92.665 139.9478
243.000000 92.593 139.8283
247.000000 92.478 139.8669
250.000000 92.355 139.9267
254.000000 92.225 139.9733
258.000000 92.121 140.0318
262.000000 92.026 139.9828
265.000000 91.967 140.0452
269.000000 91.866 140.2260
272.000000 91.782 140.2538
