* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -18.4 dBFS, measurement signal peak level -15.7 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 24, 2024 3:12:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0671 ms (-23 mm, -0.91 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Kiwi Ears Quintet L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 75.665 -7.6849
1.015000 76.089 -8.8671
1.030000 76.498 -10.0390
1.044000 76.864 -11.1201
1.060000 77.260 -12.3367
1.075000 77.607 -13.4551
1.090000 77.927 -14.5480
1.106000 78.238 -15.6876
1.120000 78.498 -16.6950
1.138000 78.819 -18.0107
1.150000 79.026 -18.8987
1.172000 79.390 -20.5446
1.180000 79.518 -21.1475
1.206000 79.917 -23.1173
1.220000 80.122 -24.1812
1.241000 80.418 -25.7756
1.250000 80.541 -26.4569
1.265000 80.740 -27.5877
1.280000 80.933 -28.7106
1.315000 81.361 -31.2853
1.320000 81.420 -31.6465
1.340000 81.650 -33.0716
1.360000 81.872 -34.4600
1.380000 82.088 -35.8059
1.400000 82.297 -37.1032
1.430000 82.602 -38.9453
1.450000 82.800 -40.0954
1.475000 83.043 -41.4360
1.500000 83.267 -42.6762
1.525000 83.473 -43.8266
1.550000 83.663 -44.8962
1.575000 83.837 -45.8940
1.600000 83.999 -46.8290
1.625000 84.149 -47.7103
1.650000 84.291 -48.5469
1.675000 84.426 -49.3478
1.700000 84.555 -50.1220
1.725000 84.682 -50.8786
1.750000 84.807 -51.6265
1.775000 84.933 -52.3749
1.800000 85.061 -53.1326
1.825000 85.195 -53.9088
1.850000 85.331 -54.6987
1.875000 85.463 -55.4740
1.900000 85.592 -56.2340
1.925000 85.718 -56.9787
1.950000 85.840 -57.7087
1.975000 85.960 -58.4242
2.000000 86.078 -59.1256
2.030000 86.217 -59.9492
2.060000 86.355 -60.7535
2.090000 86.492 -61.5392
2.120000 86.628 -62.3068
2.140000 86.720 -62.8088
2.180000 86.904 -63.7902
2.200000 86.997 -64.2699
2.240000 87.184 -65.1951
2.270000 87.325 -65.8583
2.300000 87.465 -66.4983
2.330000 87.605 -67.1181
2.360000 87.744 -67.7206
2.400000 87.929 -68.5021
2.430000 88.065 -69.0755
2.470000 88.246 -69.8288
2.500000 88.379 -70.3890
2.540000 88.553 -71.1352
2.580000 88.723 -71.8843
2.620000 88.890 -72.6194
2.650000 89.013 -73.1599
2.690000 89.175 -73.8685
2.720000 89.294 -74.3924
2.760000 89.451 -75.0832
2.800000 89.606 -75.7677
2.850000 89.797 -76.6189
2.900000 89.984 -77.4703
2.950000 90.169 -78.3264
3.000000 90.351 -79.1824
3.040000 90.494 -79.8650
3.070000 90.600 -80.3753
3.110000 90.739 -81.0527
3.150000 90.876 -81.7263
3.200000 91.045 -82.5618
3.250000 91.210 -83.3887
3.300000 91.372 -84.2057
3.350000 91.531 -85.0088
3.400000 91.686 -85.7985
3.450000 91.838 -86.5789
3.500000 91.987 -87.3541
3.550000 92.132 -88.1283
3.600000 92.274 -88.9055
3.650000 92.413 -89.6900
3.700000 92.548 -90.4850
3.750000 92.679 -91.2888
3.820000 92.857 -92.4215
3.870000 92.980 -93.2306
3.950000 93.171 -94.5142
4.000000 93.286 -95.3035
4.060000 93.420 -96.2327
4.120000 93.548 -97.1481
4.180000 93.673 -98.0523
4.250000 93.812 -99.0948
4.310000 93.926 -99.9796
4.370000 94.037 -100.8579
4.440000 94.160 -101.8776
4.500000 94.260 -102.7497
4.550000 94.341 -103.4720
4.620000 94.449 -104.4707
4.680000 94.538 -105.3102
4.750000 94.638 -106.2638
4.820000 94.734 -107.1878
4.870000 94.799 -107.8335
4.940000 94.886 -108.7176
5.000000 94.958 -109.4571
5.080000 95.051 -110.4170
5.150000 95.130 -111.2325
5.220000 95.206 -112.0240
5.300000 95.289 -112.9001
5.380000 95.369 -113.7475
5.450000 95.438 -114.4669
5.520000 95.507 -115.1662
5.600000 95.584 -115.9346
5.700000 95.679 -116.8559
5.800000 95.773 -117.7475
5.900000 95.868 -118.6207
6.000000 95.964 -119.4627
6.080000 96.040 -120.1202
6.150000 96.107 -120.6913
6.220000 96.175 -121.2644
6.300000 96.252 -121.9204
6.400000 96.349 -122.7342
6.500000 96.445 -123.5487
6.600000 96.540 -124.3718
6.700000 96.633 -125.2043
6.800000 96.725 -126.0430
6.900000 96.813 -126.8881
7.000000 96.898 -127.7406
7.100000 96.979 -128.6049
7.200000 97.056 -129.4738
7.300000 97.128 -130.3378
7.400000 97.195 -131.1945
7.500000 97.256 -132.0505
7.620000 97.324 -133.0623
7.750000 97.390 -134.1229
7.880000 97.447 -135.1548
8.000000 97.494 -136.0730
8.120000 97.538 -136.9474
8.250000 97.580 -137.8488
8.380000 97.619 -138.7057
8.500000 97.655 -139.4565
8.620000 97.689 -140.1661
8.750000 97.727 -140.9030
8.850000 97.757 -141.4538
9.000000 97.803 -142.2440
9.120000 97.841 -142.8623
9.250000 97.885 -143.5298
9.380000 97.932 -144.1880
9.500000 97.973 -144.7992
9.620000 98.011 -145.4214
9.750000 98.050 -146.1023
9.880000 98.080 -146.7886
10.000000 98.098 -147.4304
10.150000 98.109 -148.2387
10.300000 98.109 -149.0299
10.440000 98.096 -149.7552
10.600000 98.073 -150.5578
10.750000 98.049 -151.2731
10.900000 98.021 -151.9569
11.060000 97.991 -152.6491
11.200000 97.964 -153.2233
11.380000 97.932 -153.9197
11.500000 97.911 -154.3542
11.720000 97.878 -155.1093
11.800000 97.868 -155.3748
12.060000 97.846 -156.2103
12.200000 97.841 -156.6673
12.410000 97.838 -157.3607
12.500000 97.837 -157.6652
12.650000 97.836 -158.1823
12.800000 97.835 -158.7080
13.150000 97.826 -159.9645
13.200000 97.825 -160.1435
13.400000 97.815 -160.8597
13.600000 97.805 -161.5578
13.800000 97.794 -162.2296
14.000000 97.784 -162.8773
14.300000 97.772 -163.8090
14.500000 97.768 -164.4160
14.750000 97.767 -165.1862
15.000000 97.772 -165.9826
15.250000 97.777 -166.8277
15.500000 97.776 -167.6960
15.750000 97.765 -168.5640
16.000000 97.741 -169.3817
16.250000 97.710 -170.1050
16.500000 97.677 -170.7202
16.750000 97.652 -171.2152
17.000000 97.645 -171.6451
17.250000 97.655 -172.0591
17.500000 97.683 -172.5242
17.750000 97.718 -173.1047
18.000000 97.750 -173.7989
18.250000 97.767 -174.6031
18.500000 97.762 -175.4318
18.750000 97.735 -176.2123
19.000000 97.688 -176.8766
19.250000 97.636 -177.3554
19.500000 97.590 -177.6679
19.750000 97.562 -177.8351
20.000000 97.561 -177.9549
20.299999 97.591 -178.1638
20.600000 97.642 -178.5467
20.900000 97.696 -179.1553
21.200001 97.731 -179.9529
21.400000 97.738 179.4733
21.799999 97.715 178.3473
22.000000 97.690 177.8481
22.400000 97.631 177.0291
22.700001 97.593 176.5377
23.000000 97.567 176.0835
23.299999 97.549 175.6099
23.600000 97.534 175.0979
24.000000 97.511 174.3733
24.299999 97.488 173.8417
24.700001 97.455 173.1979
25.000000 97.436 172.7654
25.400000 97.424 172.2086
25.799999 97.428 171.5864
26.200001 97.435 170.8344
26.500000 97.432 170.1919
26.900000 97.408 169.2952
27.200001 97.374 168.6634
27.600000 97.315 167.9601
28.000000 97.256 167.4527
28.500000 97.212 166.9971
29.000000 97.206 166.4981
29.500000 97.210 165.7939
30.000000 97.191 164.9580
30.400000 97.155 164.3415
30.700001 97.123 163.9614
31.100000 97.089 163.5468
31.500000 97.072 163.1505
32.000000 97.069 162.5300
32.500000 97.057 161.7324
33.000000 97.018 160.8947
33.500000 96.959 160.1724
34.000000 96.904 159.6003
34.500000 96.865 159.0912
35.000000 96.840 158.5555
35.500000 96.819 157.9609
36.000000 96.793 157.3246
36.500000 96.761 156.6776
37.000000 96.722 156.0596
37.500000 96.679 155.5007
38.200001 96.629 154.7879
38.700001 96.599 154.2585
39.500000 96.540 153.3667
40.000000 96.494 152.8826
40.599998 96.452 152.3998
41.200001 96.431 151.8627
41.799999 96.409 151.1548
42.500000 96.350 150.2793
43.099998 96.286 149.6985
43.700001 96.242 149.2038
44.400002 96.205 148.4945
45.000000 96.151 147.8058
45.500000 96.090 147.3441
46.200001 96.019 146.9360
46.799999 95.994 146.6096
47.500000 95.982 146.0129
48.200001 95.948 145.2770
48.700001 95.909 144.7962
49.400002 95.852 144.2477
50.000000 95.810 143.8330
50.799999 95.761 143.2694
51.500000 95.714 142.7873
52.200001 95.671 142.3485
53.000000 95.631 141.8096
53.799999 95.582 141.1628
54.500000 95.522 140.6385
55.200001 95.466 140.2234
56.000000 95.421 139.7099
57.000000 95.348 138.9243
58.000000 95.260 138.3498
59.000000 95.206 137.8260
60.000000 95.148 137.1713
60.799999 95.099 136.6944
61.500000 95.063 136.2368
62.200001 95.016 135.7327
63.000000 94.954 135.2373
64.000000 94.896 134.6277
65.000000 94.827 133.8585
66.000000 94.738 133.2408
67.000000 94.672 132.6991
68.000000 94.608 132.1063
69.000000 94.543 131.5452
70.000000 94.477 130.9886
71.000000 94.411 130.4936
72.000000 94.355 130.0029
73.000000 94.298 129.4615
74.000000 94.234 128.9290
75.000000 94.166 128.4487
76.199997 94.088 127.9292
77.500000 94.009 127.3648
78.800003 93.925 126.7700
80.000000 93.838 126.2470
81.199997 93.759 125.7372
82.500000 93.668 125.0674
83.800003 93.559 124.5240
85.000000 93.494 124.1437
86.199997 93.450 123.5495
87.500000 93.376 122.9053
88.500000 93.328 122.5443
90.000000 93.272 121.9544
91.199997 93.223 121.4735
92.500000 93.159 120.9393
93.800003 93.078 120.5025
95.000000 93.013 120.1929
96.199997 92.958 119.8137
97.500000 92.896 119.3086
98.800003 92.824 118.7932
100.000000 92.759 118.3901
101.500000 92.691 117.9091
103.000000 92.625 117.4262
104.400002 92.563 116.9933
106.000000 92.483 116.5283
107.500000 92.410 116.1642
109.000000 92.345 115.7046
110.599998 92.265 115.1263
112.000000 92.192 114.6431
113.800003 92.108 114.0748
115.000000 92.062 113.7612
117.199997 92.003 113.2396
118.000000 91.984 113.0323
120.599998 91.890 112.1786
122.000000 91.811 111.7728
124.099998 91.706 111.2769
125.000000 91.668 111.0563
126.500000 91.609 110.6842
128.000000 91.551 110.3128
131.500000 91.410 109.5074
132.000000 91.392 109.3933
134.000000 91.328 108.9116
136.000000 91.271 108.4139
138.000000 91.213 107.9421
140.000000 91.151 107.5565
143.000000 91.078 106.9692
145.000000 91.032 106.5517
147.500000 90.974 106.0250
150.000000 90.885 105.5177
152.500000 90.783 104.9689
155.000000 90.716 104.4114
157.500000 90.705 103.9172
160.000000 90.676 103.6711
162.500000 90.570 103.5276
165.000000 90.473 103.1622
167.500000 90.455 102.2650
170.000000 90.443 101.5459
172.500000 90.389 101.3870
175.000000 90.298 101.2137
177.500000 90.198 100.7072
180.000000 90.128 100.1850
182.500000 90.098 99.7743
185.000000 90.072 99.3932
187.500000 90.020 99.0395
190.000000 89.938 98.6451
192.500000 89.848 98.1160
195.000000 89.783 97.5195
197.500000 89.739 97.0582
200.000000 89.704 96.7253
203.000000 89.668 96.2750
206.000000 89.646 95.9309
209.000000 89.606 95.6336
212.000000 89.550 95.3061
214.000000 89.548 95.1959
218.000000 89.595 95.1303
220.000000 89.563 94.8239
224.000000 89.385 93.5839
227.000000 89.335 92.8165
230.000000 89.397 92.2189
233.000000 89.436 91.6717
236.000000 89.425 91.6895
240.000000 89.334 91.7621
243.000000 89.211 91.6876
247.000000 89.143 91.2296
250.000000 89.113 90.6777
254.000000 89.093 89.9681
258.000000 89.110 89.5570
262.000000 89.077 89.3249
265.000000 89.035 89.0479
269.000000 89.016 88.5811
272.000000 88.998 88.2292
276.000000 88.960 87.7669
280.000000 88.945 87.4563
285.000000 88.939 87.0959
290.000000 88.923 86.5899
295.000000 88.853 86.1773
