* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -18.5 dBFS, measurement signal peak level -9.9 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 6, 2024 3:40:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0161 ms (-5.5 mm, -0.22 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Cadenza 12 Velvet L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 87.788 -90.3275
1.015000 87.993 -91.3903
1.030000 88.196 -92.4101
1.044000 88.384 -93.3192
1.060000 88.596 -94.3026
1.075000 88.793 -95.1660
1.090000 88.987 -95.9681
1.106000 89.191 -96.7516
1.120000 89.371 -97.3789
1.138000 89.604 -98.1118
1.150000 89.761 -98.5575
1.172000 90.049 -99.2930
1.180000 90.155 -99.5363
1.206000 90.496 -100.2478
1.220000 90.680 -100.5861
1.241000 90.954 -101.0434
1.250000 91.071 -101.2233
1.265000 91.264 -101.5050
1.280000 91.455 -101.7674
1.315000 91.893 -102.3271
1.320000 91.954 -102.4033
1.340000 92.195 -102.7041
1.360000 92.430 -103.0063
1.380000 92.657 -103.3191
1.400000 92.876 -103.6522
1.430000 93.187 -104.2104
1.450000 93.381 -104.6354
1.475000 93.608 -105.2364
1.500000 93.820 -105.8686
1.525000 94.018 -106.5164
1.550000 94.203 -107.1763
1.575000 94.375 -107.8451
1.600000 94.537 -108.5196
1.625000 94.689 -109.1963
1.650000 94.832 -109.8719
1.675000 94.967 -110.5433
1.700000 95.096 -111.2069
1.725000 95.218 -111.8597
1.750000 95.336 -112.4981
1.775000 95.450 -113.1190
1.800000 95.562 -113.7189
1.825000 95.672 -114.2947
1.850000 95.779 -114.8444
1.875000 95.876 -115.3713
1.900000 95.964 -115.8779
1.925000 96.044 -116.3670
1.950000 96.118 -116.8410
1.975000 96.186 -117.3025
2.000000 96.250 -117.7541
2.030000 96.323 -118.2866
2.060000 96.392 -118.8130
2.090000 96.461 -119.3378
2.120000 96.530 -119.8653
2.140000 96.578 -120.2208
2.180000 96.679 -120.9466
2.200000 96.734 -121.3195
2.240000 96.848 -122.0752
2.270000 96.936 -122.6457
2.300000 97.026 -123.2183
2.330000 97.115 -123.7921
2.360000 97.204 -124.3661
2.400000 97.322 -125.1303
2.430000 97.407 -125.7014
2.470000 97.518 -126.4582
2.500000 97.596 -127.0213
2.540000 97.694 -127.7640
2.580000 97.783 -128.4968
2.620000 97.863 -129.2280
2.650000 97.919 -129.7754
2.690000 97.988 -130.5020
2.720000 98.036 -131.0431
2.760000 98.097 -131.7578
2.800000 98.154 -132.4622
2.850000 98.224 -133.3248
2.900000 98.292 -134.1630
2.950000 98.360 -134.9722
3.000000 98.427 -135.7518
3.040000 98.479 -136.3571
3.070000 98.516 -136.8018
3.110000 98.565 -137.3846
3.150000 98.611 -137.9579
3.200000 98.666 -138.6647
3.250000 98.717 -139.3651
3.300000 98.764 -140.0638
3.350000 98.806 -140.7636
3.400000 98.844 -141.4610
3.450000 98.877 -142.1513
3.500000 98.908 -142.8296
3.550000 98.936 -143.4911
3.600000 98.963 -144.1312
3.650000 98.990 -144.7449
3.700000 99.016 -145.3277
3.750000 99.041 -145.8808
3.820000 99.073 -146.6154
3.870000 99.094 -147.1193
3.950000 99.125 -147.9046
4.000000 99.143 -148.3909
4.060000 99.164 -148.9766
4.120000 99.184 -149.5564
4.180000 99.201 -150.1268
4.250000 99.220 -150.7779
4.310000 99.236 -151.3214
4.370000 99.251 -151.8493
4.440000 99.268 -152.4420
4.500000 99.282 -152.9284
4.550000 99.294 -153.3216
4.620000 99.309 -153.8590
4.680000 99.321 -154.3123
4.750000 99.334 -154.8391
4.820000 99.346 -155.3666
4.870000 99.354 -155.7407
4.940000 99.364 -156.2589
5.000000 99.372 -156.6959
5.080000 99.381 -157.2658
5.150000 99.387 -157.7500
5.220000 99.393 -158.2228
5.300000 99.397 -158.7496
5.380000 99.400 -159.2612
5.450000 99.401 -159.6955
5.520000 99.402 -160.1169
5.600000 99.401 -160.5838
5.700000 99.397 -161.1447
5.800000 99.393 -161.6792
5.900000 99.389 -162.1853
6.000000 99.385 -162.6611
6.080000 99.381 -163.0227
6.150000 99.378 -163.3274
6.220000 99.377 -163.6233
6.300000 99.376 -163.9467
6.400000 99.377 -164.3271
6.500000 99.380 -164.6943
6.600000 99.385 -165.0627
6.700000 99.394 -165.4274
6.800000 99.405 -165.7875
6.900000 99.418 -166.1548
7.000000 99.432 -166.5397
7.100000 99.448 -166.9352
7.200000 99.466 -167.3435
7.300000 99.481 -167.7704
7.400000 99.495 -168.2212
7.500000 99.508 -168.6944
7.620000 99.520 -169.2802
7.750000 99.525 -169.9260
7.880000 99.524 -170.5948
8.000000 99.515 -171.2102
8.120000 99.499 -171.8038
8.250000 99.473 -172.4376
8.380000 99.440 -173.0355
8.500000 99.405 -173.5350
8.620000 99.363 -173.9944
8.750000 99.315 -174.4374
8.850000 99.279 -174.7318
9.000000 99.222 -175.0995
9.120000 99.179 -175.3454
9.250000 99.140 -175.5678
9.380000 99.107 -175.7394
9.500000 99.080 -175.8851
9.620000 99.058 -176.0305
9.750000 99.039 -176.1769
9.880000 99.018 -176.3432
10.000000 98.996 -176.5275
10.150000 98.965 -176.7863
10.300000 98.926 -177.0799
10.440000 98.882 -177.3918
10.600000 98.825 -177.7690
10.750000 98.765 -178.1330
10.900000 98.699 -178.5036
11.060000 98.623 -178.8654
11.200000 98.551 -179.1613
11.380000 98.457 -179.4706
11.500000 98.392 -179.6202
11.720000 98.278 -179.7959
11.800000 98.240 -179.8248
12.060000 98.135 -179.8184
12.200000 98.095 -179.7937
12.410000 98.055 -179.7422
12.500000 98.043 -179.7429
12.650000 98.033 -179.7628
12.800000 98.029 -179.8291
13.150000 98.030 179.7742
13.200000 98.030 179.6951
13.400000 98.026 179.3111
13.600000 98.015 178.8808
13.800000 97.993 178.4197
14.000000 97.961 177.9810
14.300000 97.901 177.3915
14.500000 97.857 177.0747
14.750000 97.807 176.7383
15.000000 97.767 176.4494
15.250000 97.740 176.1444
15.500000 97.717 175.7998
15.750000 97.694 175.4113
16.000000 97.661 174.9962
16.250000 97.617 174.6098
16.500000 97.564 174.2836
16.750000 97.507 174.0635
17.000000 97.458 173.9433
17.250000 97.421 173.8929
17.500000 97.401 173.8673
17.750000 97.394 173.7907
18.000000 97.393 173.6423
18.250000 97.391 173.4001
18.500000 97.378 173.1037
18.750000 97.354 172.8011
19.000000 97.318 172.5374
19.250000 97.277 172.3645
19.500000 97.239 172.2728
19.750000 97.210 172.2515
20.000000 97.195 172.2408
20.299999 97.191 172.1743
20.600000 97.192 172.0057
20.900000 97.190 171.7322
21.200001 97.173 171.4067
21.400000 97.153 171.2057
21.799999 97.104 170.8897
22.000000 97.079 170.7828
22.400000 97.041 170.6348
22.700001 97.024 170.5222
23.000000 97.013 170.3662
23.299999 97.001 170.1734
23.600000 96.986 169.9724
24.000000 96.963 169.7361
24.299999 96.951 169.5872
24.700001 96.945 169.3794
25.000000 96.945 169.1733
25.400000 96.939 168.8163
25.799999 96.914 168.4343
26.200001 96.873 168.1396
26.500000 96.840 168.0117
26.900000 96.806 167.9371
27.200001 96.791 167.8953
27.600000 96.780 167.7866
28.000000 96.766 167.6029
28.500000 96.731 167.3620
29.000000 96.687 167.2231
29.500000 96.655 167.1591
30.000000 96.635 167.0416
30.400000 96.619 166.8651
30.700001 96.602 166.6984
31.100000 96.573 166.4681
31.500000 96.539 166.2507
32.000000 96.497 165.9916
32.500000 96.455 165.7216
33.000000 96.411 165.4442
33.500000 96.366 165.1864
34.000000 96.324 164.9542
34.500000 96.286 164.7285
35.000000 96.248 164.5099
35.500000 96.209 164.3365
36.000000 96.174 164.2349
36.500000 96.153 164.1671
37.000000 96.144 164.0485
37.500000 96.136 163.8362
38.200001 96.102 163.4735
38.700001 96.064 163.2656
39.500000 96.002 163.0321
40.000000 95.960 162.9106
40.599998 95.906 162.8347
41.200001 95.864 162.8715
41.799999 95.848 162.8916
42.500000 95.843 162.6885
43.099998 95.819 162.3928
43.700001 95.781 162.1801
44.400002 95.750 162.0340
45.000000 95.736 161.8307
45.500000 95.717 161.5829
46.200001 95.670 161.2720
46.799999 95.627 161.1332
47.500000 95.593 161.0132
48.200001 95.562 160.8232
48.700001 95.532 160.6898
49.400002 95.488 160.6088
50.000000 95.465 160.5946
50.799999 95.455 160.4344
51.500000 95.434 160.1061
52.200001 95.380 159.7792
53.000000 95.302 159.6247
53.799999 95.244 159.6610
54.500000 95.220 159.6632
55.200001 95.205 159.5321
56.000000 95.173 159.2625
57.000000 95.104 159.0012
58.000000 95.043 158.9231
59.000000 94.994 158.7843
60.000000 94.932 158.7474
60.799999 94.910 158.8129
61.500000 94.911 158.7045
62.200001 94.898 158.4134
63.000000 94.848 158.0724
64.000000 94.764 157.8978
65.000000 94.712 157.9196
66.000000 94.688 157.7238
67.000000 94.621 157.4075
68.000000 94.541 157.4494
69.000000 94.517 157.5736
70.000000 94.510 157.3889
71.000000 94.470 157.1023
72.000000 94.420 156.9672
73.000000 94.384 156.8867
74.000000 94.346 156.8087
75.000000 94.310 156.8344
76.199997 94.281 156.8139
77.500000 94.225 156.7981
78.800003 94.172 156.7789
80.000000 94.100 156.6970
81.199997 94.034 156.6513
82.500000 93.959 156.4897
83.800003 93.886 156.4487
85.000000 93.843 156.4500
86.199997 93.815 156.4540
87.500000 93.793 156.3708
88.500000 93.761 156.2440
90.000000 93.688 156.1101
91.199997 93.629 156.0837
92.500000 93.580 156.0431
93.800003 93.546 156.0378
95.000000 93.535 156.0068
96.199997 93.524 156.0008
97.500000 93.520 156.0224
98.800003 93.499 155.9951
100.000000 93.458 156.0399
101.500000 93.398 156.1768
103.000000 93.338 156.3046
104.400002 93.281 156.3003
106.000000 93.194 156.2294
107.500000 93.121 156.2601
109.000000 93.074 156.2524
110.599998 93.051 156.2475
112.000000 93.040 156.1494
113.800003 92.983 156.0809
115.000000 92.927 156.1725
117.199997 92.821 156.2460
118.000000 92.776 156.2270
120.599998 92.708 156.5128
122.000000 92.766 156.6198
124.099998 92.823 156.3990
125.000000 92.803 156.3524
126.500000 92.726 156.5135
128.000000 92.655 156.7759
131.500000 92.541 156.3974
132.000000 92.528 156.3654
134.000000 92.515 156.4261
136.000000 92.502 156.6257
138.000000 92.448 156.8819
140.000000 92.378 156.9479
143.000000 92.306 156.6879
145.000000 92.292 156.6838
147.500000 92.276 156.9444
150.000000 92.218 157.2682
152.500000 92.166 157.4666
155.000000 92.143 157.3892
157.500000 92.100 157.3525
160.000000 92.037 157.3934
162.500000 91.965 157.3704
165.000000 91.931 157.4419
167.500000 91.925 157.6590
170.000000 91.876 158.0908
172.500000 91.775 158.4968
175.000000 91.686 158.8399
177.500000 91.724 158.8741
180.000000 91.782 158.4266
182.500000 91.773 158.2270
185.000000 91.725 158.3964
187.500000 91.687 158.7167
190.000000 91.678 158.7479
192.500000 91.655 158.5217
195.000000 91.630 158.4641
197.500000 91.613 158.6069
200.000000 91.586 158.7422
203.000000 91.522 158.7104
206.000000 91.458 158.7532
209.000000 91.428 158.9552
212.000000 91.409 159.1013
214.000000 91.399 159.1299
218.000000 91.380 159.1459
220.000000 91.364 159.1996
224.000000 91.311 159.3633
227.000000 91.271 159.4409
230.000000 91.242 159.4804
233.000000 91.220 159.5233
236.000000 91.189 159.5983
240.000000 91.141 159.7776
243.000000 91.117 159.8977
247.000000 91.091 159.9924
250.000000 91.070 160.0419
254.000000 91.039 160.1357
258.000000 91.004 160.2163
262.000000 90.975 160.4293
265.000000 90.962 160.6200
269.000000 90.941 160.7203
272.000000 90.921 160.7390
276.000000 90.889 160.8292
280.000000 90.858 160.9575
285.000000 90.830 161.0641
290.000000 90.803 161.1331
295.000000 90.775 161.2419
300.000000 90.747 161.3821
304.000000 90.722 161.5052
