* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -16.1 dBFS, measurement signal peak level -15.2 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 15, 2024 3:43:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0711 ms (-24 mm, -0.96 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: Letshuoer D13 Blue R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 79.312 28.8002
1.015000 79.536 26.8981
1.030000 79.755 25.0191
1.044000 79.956 23.2912
1.060000 80.178 21.3532
1.075000 80.379 19.5776
1.090000 80.572 17.8477
1.106000 80.769 16.0521
1.120000 80.939 14.4855
1.138000 81.158 12.4680
1.150000 81.303 11.1222
1.172000 81.568 8.6568
1.180000 81.664 7.7617
1.206000 81.973 4.8618
1.220000 82.138 3.3085
1.241000 82.382 0.9929
1.250000 82.486 0.0067
1.265000 82.658 -1.6271
1.280000 82.827 -3.2473
1.315000 83.214 -6.9654
1.320000 83.268 -7.4885
1.340000 83.482 -9.5582
1.360000 83.691 -11.5888
1.380000 83.894 -13.5762
1.400000 84.092 -15.5163
1.430000 84.376 -18.3293
1.450000 84.558 -20.1340
1.475000 84.774 -22.3054
1.500000 84.978 -24.3985
1.525000 85.170 -26.4199
1.550000 85.351 -28.3724
1.575000 85.522 -30.2587
1.600000 85.685 -32.0816
1.625000 85.840 -33.8438
1.650000 85.989 -35.5480
1.675000 86.134 -37.1971
1.700000 86.274 -38.7937
1.725000 86.412 -40.3406
1.750000 86.548 -41.8405
1.775000 86.684 -43.2962
1.800000 86.821 -44.7104
1.825000 86.960 -46.0859
1.850000 87.099 -47.4132
1.875000 87.236 -48.6678
1.900000 87.370 -49.8545
1.925000 87.500 -50.9794
1.950000 87.628 -52.0488
1.975000 87.754 -53.0687
2.000000 87.878 -54.0452
2.030000 88.024 -55.1684
2.060000 88.169 -56.2485
2.090000 88.312 -57.2962
2.120000 88.454 -58.3220
2.140000 88.548 -58.9989
2.180000 88.737 -60.3503
2.200000 88.832 -61.0308
2.240000 89.021 -62.3594
2.270000 89.162 -63.3154
2.300000 89.302 -64.2397
2.330000 89.441 -65.1353
2.360000 89.579 -66.0047
2.400000 89.760 -67.1280
2.430000 89.894 -67.9471
2.470000 90.071 -69.0133
2.500000 90.200 -69.7970
2.540000 90.370 -70.8261
2.580000 90.535 -71.8399
2.620000 90.697 -72.8192
2.650000 90.815 -73.5299
2.690000 90.969 -74.4495
2.720000 91.083 -75.1207
2.760000 91.232 -75.9946
2.800000 91.379 -76.8486
2.850000 91.558 -77.8951
2.900000 91.735 -78.9266
2.950000 91.910 -79.9487
3.000000 92.081 -80.9423
3.040000 92.215 -81.7160
3.070000 92.315 -82.2861
3.110000 92.445 -83.0349
3.150000 92.573 -83.7738
3.200000 92.731 -84.6882
3.250000 92.885 -85.5981
3.300000 93.037 -86.5093
3.350000 93.185 -87.4175
3.400000 93.331 -88.3171
3.450000 93.473 -89.2087
3.500000 93.612 -90.0929
3.550000 93.748 -90.9703
3.600000 93.881 -91.8416
3.650000 94.010 -92.7073
3.700000 94.137 -93.5665
3.750000 94.260 -94.4170
3.820000 94.426 -95.5957
3.870000 94.541 -96.4312
3.950000 94.719 -97.7609
4.000000 94.826 -98.5900
4.060000 94.950 -99.5857
4.120000 95.069 -100.5829
4.180000 95.183 -101.5783
4.250000 95.311 -102.7324
4.310000 95.416 -103.7112
4.370000 95.516 -104.6765
4.440000 95.627 -105.7840
4.500000 95.716 -106.7227
4.550000 95.788 -107.4967
4.620000 95.882 -108.5662
4.680000 95.959 -109.4680
4.750000 96.044 -110.5007
4.820000 96.125 -111.5137
4.870000 96.179 -112.2274
4.940000 96.250 -113.2103
5.000000 96.307 -114.0351
5.080000 96.380 -115.1059
5.150000 96.441 -116.0120
5.220000 96.498 -116.8895
5.300000 96.559 -117.8602
5.380000 96.616 -118.7999
5.450000 96.665 -119.5992
5.520000 96.713 -120.3783
5.600000 96.766 -121.2367
5.700000 96.830 -122.2688
5.800000 96.892 -123.2698
5.900000 96.954 -124.2518
6.000000 97.017 -125.2019
6.080000 97.067 -125.9451
6.150000 97.110 -126.5903
6.220000 97.153 -127.2367
6.300000 97.201 -127.9756
6.400000 97.262 -128.8920
6.500000 97.320 -129.8068
6.600000 97.375 -130.7272
6.700000 97.428 -131.6571
6.800000 97.477 -132.5915
6.900000 97.523 -133.5233
7.000000 97.562 -134.4478
7.100000 97.596 -135.3744
7.200000 97.625 -136.2930
7.300000 97.649 -137.1892
7.400000 97.667 -138.0582
7.500000 97.679 -138.9095
7.620000 97.687 -139.8904
7.750000 97.692 -140.8815
7.880000 97.690 -141.8036
8.000000 97.687 -142.5963
8.120000 97.687 -143.3295
8.250000 97.688 -144.0509
8.380000 97.690 -144.7232
8.500000 97.696 -145.3151
8.620000 97.710 -145.8667
8.750000 97.729 -146.4531
8.850000 97.748 -146.9150
9.000000 97.784 -147.6057
9.120000 97.815 -148.1746
9.250000 97.849 -148.8243
9.380000 97.886 -149.5009
9.500000 97.916 -150.1427
9.620000 97.939 -150.8039
9.750000 97.959 -151.5417
9.880000 97.968 -152.2736
10.000000 97.962 -152.9395
10.150000 97.942 -153.7604
10.300000 97.910 -154.5269
10.440000 97.868 -155.1902
10.600000 97.816 -155.8944
10.750000 97.770 -156.4951
10.900000 97.725 -157.0477
11.060000 97.683 -157.6205
11.200000 97.652 -158.1023
11.380000 97.614 -158.7183
11.500000 97.590 -159.1342
11.720000 97.546 -159.8931
11.800000 97.528 -160.1694
12.060000 97.466 -161.0490
12.200000 97.427 -161.4809
12.410000 97.363 -162.0609
12.500000 97.334 -162.2585
12.650000 97.284 -162.5266
12.800000 97.236 -162.7150
13.150000 97.157 -162.8211
13.200000 97.152 -162.8167
13.400000 97.149 -162.7324
13.600000 97.174 -162.6691
13.800000 97.230 -162.6640
14.000000 97.302 -162.8077
14.300000 97.429 -163.3352
14.500000 97.507 -163.9129
14.750000 97.586 -164.8117
15.000000 97.636 -165.8590
15.250000 97.653 -166.9409
15.500000 97.642 -167.9714
15.750000 97.606 -168.9002
16.000000 97.553 -169.6775
16.250000 97.494 -170.3085
16.500000 97.436 -170.8028
16.750000 97.385 -171.1806
17.000000 97.346 -171.4818
17.250000 97.322 -171.7356
17.500000 97.313 -171.9775
17.750000 97.317 -172.2556
18.000000 97.330 -172.5941
18.250000 97.349 -173.0190
18.500000 97.366 -173.5385
18.750000 97.376 -174.1345
19.000000 97.374 -174.7891
19.250000 97.358 -175.4516
19.500000 97.329 -176.0824
19.750000 97.287 -176.6498
20.000000 97.240 -177.1196
20.299999 97.183 -177.5571
20.600000 97.135 -177.8767
20.900000 97.101 -178.1218
21.200001 97.082 -178.3503
21.400000 97.077 -178.5229
21.799999 97.074 -178.9471
22.000000 97.073 -179.2050
22.400000 97.058 -179.7930
22.700001 97.031 179.7531
23.000000 96.989 179.3527
23.299999 96.936 179.0605
23.600000 96.882 178.9050
24.000000 96.826 178.9020
24.299999 96.809 178.9844
24.700001 96.823 179.0581
25.000000 96.853 178.9765
25.400000 96.899 178.6042
25.799999 96.921 177.9750
26.200001 96.902 177.2590
26.500000 96.865 176.7846
26.900000 96.804 176.3196
27.200001 96.765 176.0787
27.600000 96.734 175.7910
28.000000 96.722 175.3878
28.500000 96.698 174.6443
29.000000 96.630 173.8506
29.500000 96.531 173.3235
30.000000 96.450 173.1510
30.400000 96.423 173.1196
30.700001 96.423 173.0573
31.100000 96.439 172.8499
31.500000 96.454 172.5076
32.000000 96.459 171.9830
32.500000 96.445 171.4598
33.000000 96.418 171.0087
33.500000 96.386 170.6600
34.000000 96.360 170.3897
34.500000 96.346 170.1011
35.000000 96.330 169.7170
35.500000 96.293 169.2867
36.000000 96.239 168.9452
36.500000 96.187 168.7330
37.000000 96.155 168.5258
37.500000 96.132 168.1905
38.200001 96.074 167.5856
38.700001 96.015 167.2445
39.500000 95.941 166.9039
40.000000 95.913 166.6838
40.599998 95.883 166.3882
41.200001 95.857 166.1265
41.799999 95.844 165.8557
42.500000 95.829 165.4214
43.099998 95.800 165.0052
43.700001 95.757 164.6526
44.400002 95.703 164.3195
45.000000 95.656 164.0599
45.500000 95.616 163.8636
46.200001 95.566 163.6069
46.799999 95.531 163.3600
47.500000 95.490 163.0467
48.200001 95.456 162.7617
48.700001 95.441 162.5492
49.400002 95.425 162.1585
50.000000 95.398 161.7756
50.799999 95.340 161.4067
51.500000 95.294 161.2670
52.200001 95.264 161.1617
53.000000 95.235 160.9653
53.799999 95.196 160.6888
54.500000 95.147 160.4222
55.200001 95.091 160.1734
56.000000 95.024 159.8980
57.000000 94.938 159.6150
58.000000 94.887 159.4091
59.000000 94.849 158.8926
60.000000 94.758 158.4948
60.799999 94.711 158.4498
61.500000 94.694 158.2620
62.200001 94.653 157.9461
63.000000 94.580 157.7487
64.000000 94.516 157.6432
65.000000 94.456 157.3690
66.000000 94.381 157.1647
67.000000 94.327 157.0440
68.000000 94.285 156.8562
69.000000 94.239 156.6472
70.000000 94.186 156.4723
71.000000 94.126 156.3329
72.000000 94.062 156.2629
73.000000 94.011 156.1611
74.000000 93.956 155.9075
75.000000 93.886 155.6302
76.199997 93.810 155.3700
77.500000 93.750 155.0838
78.800003 93.699 154.7445
80.000000 93.633 154.4448
81.199997 93.548 154.3289
82.500000 93.462 154.3576
83.800003 93.386 154.3445
85.000000 93.316 154.1931
86.199997 93.232 153.9824
87.500000 93.145 153.8237
88.500000 93.090 153.7408
90.000000 93.028 153.5406
91.199997 92.963 153.3947
92.500000 92.902 153.4324
93.800003 92.868 153.5140
95.000000 92.852 153.4866
96.199997 92.824 153.3652
97.500000 92.777 153.2799
98.800003 92.722 153.2422
100.000000 92.662 153.2176
101.500000 92.573 153.2261
103.000000 92.485 153.2792
104.400002 92.409 153.2836
106.000000 92.322 153.2665
107.500000 92.254 153.2700
109.000000 92.192 153.1815
110.599998 92.121 153.0982
112.000000 92.061 153.0745
113.800003 91.995 153.0899
115.000000 91.949 153.1022
117.199997 91.854 153.2285
118.000000 91.821 153.2813
120.599998 91.716 153.2006
122.000000 91.658 153.0427
124.099998 91.590 152.7518
125.000000 91.565 152.6403
126.500000 91.519 152.5363
128.000000 91.452 152.6521
131.500000 91.313 153.5931
132.000000 91.296 153.6952
134.000000 91.236 153.9617
136.000000 91.170 154.0591
138.000000 91.114 154.3004
140.000000 91.057 154.3823
143.000000 90.908 154.4966
145.000000 90.831 154.5099
147.500000 90.752 154.5495
150.000000 90.692 154.7996
152.500000 90.627 154.8665
155.000000 90.506 154.9358
157.500000 90.409 155.4225
160.000000 90.389 155.9293
162.500000 90.358 155.8590
165.000000 90.241 155.8412
167.500000 90.152 156.2907
170.000000 90.119 156.8419
172.500000 90.105 157.3170
175.000000 90.045 157.5820
177.500000 89.928 157.9717
180.000000 89.830 158.2800
182.500000 89.759 158.2463
185.000000 89.707 158.1326
187.500000 89.669 158.1812
190.000000 89.626 158.3416
192.500000 89.561 158.5493
195.000000 89.487 158.7875
197.500000 89.401 159.0578
200.000000 89.319 159.4342
203.000000 89.291 159.7564
206.000000 89.292 159.9593
209.000000 89.272 160.3163
212.000000 89.217 160.6172
214.000000 89.187 160.6680
218.000000 89.130 160.7007
220.000000 89.099 161.0218
224.000000 89.032 161.5858
227.000000 88.937 161.7218
230.000000 88.873 162.1655
233.000000 88.864 162.8019
236.000000 88.848 163.1722
240.000000 88.780 163.3401
243.000000 88.715 163.6609
247.000000 88.629 164.2207
250.000000 88.578 164.4902
254.000000 88.525 164.8026
258.000000 88.451 165.1874
262.000000 88.379 165.5544
265.000000 88.356 165.8079
269.000000 88.328 166.1531
272.000000 88.287 166.4767
276.000000 88.233 166.9775
280.000000 88.195 167.4401
285.000000 88.140 167.9969
290.000000 88.074 168.8279
295.000000 88.048 169.8072
300.000000 87.989 170.3128
