* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 1.000. Timing signal peak level -13.1 dBFS, measurement signal peak level -6.0 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: May 28, 2023 7:50:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0693 ms (-24 mm, -0.94 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -1.1 ppm
* Measurement: EJ07M L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 74.117 47.8807
1.015000 74.388 46.1575
1.030000 74.656 44.5022
1.044000 74.902 43.0247
1.060000 75.179 41.4231
1.075000 75.433 40.0132
1.090000 75.681 38.6990
1.106000 75.939 37.4105
1.120000 76.163 36.3813
1.138000 76.448 35.1839
1.150000 76.636 34.4586
1.172000 76.978 33.2666
1.180000 77.102 32.8738
1.206000 77.499 31.7284
1.220000 77.711 31.1853
1.241000 78.025 30.4513
1.250000 78.159 30.1621
1.265000 78.380 29.7079
1.280000 78.599 29.2824
1.315000 79.103 28.3600
1.320000 79.174 28.2323
1.340000 79.457 27.7211
1.360000 79.736 27.1960
1.380000 80.012 26.6398
1.400000 80.285 26.0353
1.430000 80.688 25.0002
1.450000 80.952 24.1994
1.475000 81.278 23.0529
1.500000 81.598 21.8124
1.525000 81.912 20.5069
1.550000 82.220 19.1478
1.575000 82.523 17.7465
1.600000 82.820 16.3144
1.625000 83.112 14.8629
1.650000 83.400 13.4036
1.675000 83.683 11.9476
1.700000 83.961 10.5066
1.725000 84.235 9.0919
1.750000 84.505 7.7149
1.775000 84.771 6.3870
1.800000 85.034 5.1197
1.825000 85.293 3.9243
1.850000 85.548 2.8041
1.875000 85.799 1.7414
1.900000 86.044 0.7292
1.925000 86.285 -0.2390
1.950000 86.522 -1.1695
1.975000 86.755 -2.0689
2.000000 86.983 -2.9434
2.030000 87.253 -3.9692
2.060000 87.517 -4.9796
2.090000 87.776 -5.9858
2.120000 88.030 -6.9989
2.140000 88.198 -7.6835
2.180000 88.527 -9.0899
2.200000 88.689 -9.8181
2.240000 89.007 -11.2984
2.270000 89.239 -12.4173
2.300000 89.466 -13.5411
2.330000 89.688 -14.6677
2.360000 89.905 -15.7949
2.400000 90.188 -17.2950
2.430000 90.396 -18.4151
2.470000 90.666 -19.8979
2.500000 90.865 -20.9991
2.540000 91.125 -22.4488
2.580000 91.380 -23.8745
2.620000 91.627 -25.2903
2.650000 91.808 -26.3466
2.690000 92.042 -27.7454
2.720000 92.214 -28.7857
2.760000 92.437 -30.1588
2.800000 92.654 -31.5133
2.850000 92.919 -33.1760
2.900000 93.176 -34.7996
2.950000 93.425 -36.3778
3.000000 93.666 -37.9016
3.040000 93.852 -39.0870
3.070000 93.989 -39.9602
3.110000 94.166 -41.1079
3.150000 94.338 -42.2422
3.200000 94.547 -43.6499
3.250000 94.751 -45.0569
3.300000 94.949 -46.4746
3.350000 95.140 -47.9099
3.400000 95.325 -49.3544
3.450000 95.503 -50.7964
3.500000 95.675 -52.2244
3.550000 95.841 -53.6267
3.600000 96.003 -54.9916
3.650000 96.161 -56.3074
3.700000 96.315 -57.5651
3.750000 96.464 -58.7701
3.820000 96.663 -60.3887
3.870000 96.800 -61.5100
3.950000 97.012 -63.2726
4.000000 97.140 -64.3708
4.060000 97.291 -65.6992
4.120000 97.436 -67.0287
4.180000 97.576 -68.3487
4.250000 97.734 -69.8649
4.310000 97.866 -71.1339
4.370000 97.995 -72.3652
4.440000 98.142 -73.7429
4.500000 98.264 -74.8748
4.550000 98.363 -75.7910
4.620000 98.498 -77.0440
4.680000 98.611 -78.1014
4.750000 98.740 -79.3298
4.820000 98.867 -80.5567
4.870000 98.955 -81.4243
4.940000 99.076 -82.6255
5.000000 99.178 -83.6416
5.080000 99.309 -84.9756
5.150000 99.422 -86.1217
5.220000 99.532 -87.2449
5.300000 99.654 -88.5043
5.380000 99.773 -89.7440
5.450000 99.873 -90.8178
5.520000 99.971 -91.8852
5.600000 100.079 -93.0937
5.700000 100.208 -94.5847
5.800000 100.331 -96.0536
5.900000 100.448 -97.5008
6.000000 100.558 -98.9300
6.080000 100.641 -100.0566
6.150000 100.711 -101.0268
6.220000 100.777 -101.9794
6.300000 100.849 -103.0473
6.400000 100.933 -104.3544
6.500000 101.011 -105.6279
6.600000 101.085 -106.8646
6.700000 101.153 -108.0667
6.800000 101.216 -109.2337
6.900000 101.275 -110.3605
7.000000 101.332 -111.4420
7.100000 101.386 -112.4766
7.200000 101.437 -113.4706
7.300000 101.488 -114.4313
7.400000 101.539 -115.3601
7.500000 101.589 -116.2517
7.620000 101.649 -117.2860
7.750000 101.716 -118.3772
7.880000 101.785 -119.4269
8.000000 101.849 -120.3774
8.120000 101.914 -121.3280
8.250000 101.987 -122.3483
8.380000 102.058 -123.3676
8.500000 102.122 -124.3174
8.620000 102.184 -125.2728
8.750000 102.248 -126.3089
8.850000 102.294 -127.1059
9.000000 102.356 -128.3059
9.120000 102.401 -129.2551
9.250000 102.445 -130.2638
9.380000 102.484 -131.2577
9.500000 102.514 -132.1475
9.620000 102.538 -133.0031
9.750000 102.558 -133.8972
9.880000 102.571 -134.7536
10.000000 102.574 -135.5061
10.150000 102.569 -136.4010
10.300000 102.560 -137.2599
10.440000 102.547 -138.0236
10.600000 102.533 -138.8733
10.750000 102.526 -139.6629
10.900000 102.522 -140.4431
11.060000 102.519 -141.2860
11.200000 102.519 -142.0316
11.380000 102.517 -142.9984
11.500000 102.513 -143.6516
11.720000 102.503 -144.8479
11.800000 102.498 -145.2779
12.060000 102.478 -146.6542
12.200000 102.466 -147.3641
12.410000 102.446 -148.3895
12.500000 102.437 -148.8117
12.650000 102.422 -149.4908
12.800000 102.408 -150.1483
13.150000 102.381 -151.6145
13.200000 102.377 -151.8206
13.400000 102.367 -152.6371
13.600000 102.359 -153.4492
13.800000 102.351 -154.2624
14.000000 102.342 -155.0655
14.300000 102.322 -156.2429
14.500000 102.305 -156.9924
14.750000 102.286 -157.8843
15.000000 102.269 -158.7268
15.250000 102.261 -159.5372
15.500000 102.259 -160.3419
15.750000 102.261 -161.1558
16.000000 102.263 -161.9972
16.250000 102.260 -162.8567
16.500000 102.252 -163.7226
16.750000 102.238 -164.5733
17.000000 102.219 -165.3849
17.250000 102.197 -166.1517
17.500000 102.176 -166.8689
17.750000 102.157 -167.5511
18.000000 102.140 -168.2102
18.250000 102.125 -168.8591
18.500000 102.112 -169.5072
18.750000 102.098 -170.1518
19.000000 102.083 -170.7905
19.250000 102.068 -171.4140
19.500000 102.053 -172.0205
19.750000 102.038 -172.6090
20.000000 102.024 -173.1845
20.299999 102.009 -173.8671
20.600000 101.993 -174.5472
20.900000 101.977 -175.2272
21.200001 101.958 -175.9025
21.400000 101.944 -176.3450
21.799999 101.914 -177.2063
22.000000 101.898 -177.6239
22.400000 101.868 -178.4374
22.700001 101.846 -179.0360
23.000000 101.825 -179.6319
23.299999 101.803 179.7715
23.600000 101.781 179.1741
24.000000 101.749 178.3817
24.299999 101.723 177.7998
24.700001 101.684 177.0562
25.000000 101.654 176.5319
25.400000 101.616 175.8779
25.799999 101.584 175.2536
26.200001 101.559 174.6212
26.500000 101.541 174.1248
26.900000 101.515 173.4336
27.200001 101.491 172.9090
27.600000 101.454 172.2294
28.000000 101.413 171.5919
28.500000 101.362 170.8463
29.000000 101.312 170.1330
29.500000 101.260 169.4606
30.000000 101.209 168.8547
30.400000 101.175 168.4014
30.700001 101.154 168.0532
31.100000 101.129 167.5441
31.500000 101.099 166.9805
32.000000 101.048 166.2577
32.500000 100.981 165.6124
33.000000 100.913 165.0886
33.500000 100.857 164.6377
34.000000 100.814 164.1779
34.500000 100.777 163.6635
35.000000 100.739 163.0961
35.500000 100.694 162.5003
36.000000 100.642 161.9059
36.500000 100.585 161.3378
37.000000 100.526 160.8071
37.500000 100.469 160.3084
38.200001 100.393 159.6424
38.700001 100.344 159.1718
39.500000 100.270 158.3785
40.000000 100.220 157.8556
40.599998 100.151 157.2516
41.200001 100.079 156.7254
41.799999 100.013 156.2587
42.500000 99.944 155.7217
43.099998 99.886 155.2565
43.700001 99.827 154.8020
44.400002 99.760 154.2754
45.000000 99.700 153.8207
45.500000 99.648 153.4515
46.200001 99.576 152.9529
46.799999 99.516 152.5237
47.500000 99.444 152.0185
48.200001 99.371 151.5385
48.700001 99.320 151.2135
49.400002 99.252 150.7617
50.000000 99.193 150.3732
50.799999 99.111 149.8846
51.500000 99.042 149.4937
52.200001 98.976 149.0992
53.000000 98.897 148.6179
53.799999 98.806 148.1733
54.500000 98.727 147.8615
55.200001 98.657 147.5652
56.000000 98.583 147.1690
57.000000 98.481 146.6555
58.000000 98.381 146.1932
59.000000 98.285 145.7263
60.000000 98.187 145.2638
60.799999 98.106 144.9073
61.500000 98.034 144.6207
62.200001 97.963 144.3602
63.000000 97.886 144.0652
64.000000 97.788 143.6895
65.000000 97.688 143.3332
66.000000 97.589 143.0097
67.000000 97.493 142.7310
68.000000 97.402 142.4466
69.000000 97.307 142.1727
70.000000 97.213 141.9251
71.000000 97.118 141.6609
72.000000 97.020 141.4170
73.000000 96.927 141.1572
74.000000 96.830 140.8747
75.000000 96.734 140.6430
76.199997 96.631 140.3620
77.500000 96.519 140.0638
78.800003 96.410 139.8206
80.000000 96.308 139.6105
81.199997 96.199 139.4272
82.500000 96.077 139.2657
83.800003 95.959 139.0938
85.000000 95.850 138.9153
86.199997 95.745 138.7524
87.500000 95.638 138.5812
88.500000 95.556 138.4754
90.000000 95.439 138.3774
91.199997 95.348 138.3016
92.500000 95.245 138.1894
93.800003 95.131 138.0392
95.000000 95.016 137.9388
96.199997 94.908 137.9299
97.500000 94.816 137.9308
98.800003 94.737 137.8539
100.000000 94.662 137.7878
101.500000 94.570 137.7379
103.000000 94.466 137.6952
104.400002 94.358 137.6989
106.000000 94.227 137.7027
107.500000 94.102 137.7347
109.000000 93.985 137.7680
110.599998 93.863 137.7886
112.000000 93.753 137.8568
113.800003 93.621 138.0266
115.000000 93.541 138.1455
117.199997 93.412 138.2972
118.000000 93.368 138.3057
120.599998 93.203 138.3143
122.000000 93.107 138.4109
124.099998 92.968 138.6470
125.000000 92.911 138.7547
126.500000 92.821 138.9148
128.000000 92.733 139.0515
131.500000 92.535 139.3436
132.000000 92.506 139.3937
134.000000 92.395 139.6630
136.000000 92.296 139.9271
138.000000 92.189 140.1702
140.000000 92.082 140.4694
143.000000 91.944 140.8597
145.000000 91.853 141.0998
147.500000 91.742 141.4748
150.000000 91.627 141.8878
152.500000 91.514 142.2998
155.000000 91.399 142.6617
157.500000 91.290 143.1476
160.000000 91.200 143.6045
162.500000 91.102 143.9864
165.000000 91.003 144.3927
167.500000 90.905 144.8100
170.000000 90.797 145.2387
172.500000 90.694 145.7095
175.000000 90.617 146.1877
177.500000 90.552 146.7683
180.000000 90.486 147.3763
182.500000 90.400 147.8123
185.000000 90.312 148.1616
187.500000 90.244 148.5032
190.000000 90.170 148.9004
192.500000 90.074 149.3685
195.000000 89.967 149.8808
197.500000 89.878 150.4085
200.000000 89.815 150.8803
203.000000 89.761 151.3739
206.000000 89.722 151.8503
209.000000 89.691 152.4406
212.000000 89.662 153.1647
214.000000 89.635 153.6490
218.000000 89.563 154.4939
220.000000 89.528 154.8640
224.000000 89.465 155.6344
227.000000 89.419 156.2181
230.000000 89.374 156.7689
233.000000 89.334 157.3254
236.000000 89.304 157.8844
240.000000 89.265 158.6335
243.000000 89.225 159.1528
247.000000 89.168 159.6844
250.000000 89.148 160.0706
254.000000 89.133 160.7293
258.000000 89.110 161.4391
262.000000 89.084 162.0775
265.000000 89.065 162.5155
269.000000 89.038 163.0842
272.000000 89.019 163.5164
276.000000 89.000 164.0845
280.000000 88.990 164.6783
285.000000 88.978 165.4216
290.000000 88.976 166.0961
295.000000 88.976 166.7243
300.000000 88.973 167.3633
304.000000 88.971 167.8769
