* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -17.5 dBFS, measurement signal peak level -15.2 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 5, 2023 3:55:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Apple + Abigail Delay -0.0620 ms (-21 mm, -0.84 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: Moondrop Aria CP145 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 58.485 -93.0462
1.015000 58.701 -90.8940
1.030000 58.924 -88.7675
1.044000 59.140 -86.8130
1.060000 59.394 -84.6236
1.075000 59.640 -82.6222
1.090000 59.894 -80.6783
1.106000 60.175 -78.6624
1.120000 60.439 -76.8696
1.138000 60.802 -74.5101
1.150000 61.059 -72.9088
1.172000 61.555 -69.9282
1.180000 61.742 -68.8335
1.206000 62.376 -65.2534
1.220000 62.729 -63.3212
1.241000 63.272 -60.4330
1.250000 63.508 -59.2032
1.265000 63.905 -57.1698
1.280000 64.305 -55.1632
1.315000 65.239 -50.6255
1.320000 65.372 -49.9977
1.340000 65.898 -47.5483
1.360000 66.414 -45.2107
1.380000 66.916 -43.0019
1.400000 67.399 -40.9390
1.430000 68.080 -38.1559
1.450000 68.499 -36.5329
1.475000 68.979 -34.7926
1.500000 69.429 -33.3569
1.525000 69.856 -32.1952
1.550000 70.261 -31.2800
1.575000 70.646 -30.5838
1.600000 71.014 -30.0790
1.625000 71.365 -29.7380
1.650000 71.703 -29.5334
1.675000 72.028 -29.4375
1.700000 72.342 -29.4228
1.725000 72.648 -29.4619
1.750000 72.947 -29.5271
1.775000 73.241 -29.5909
1.800000 73.532 -29.6257
1.825000 73.822 -29.6041
1.850000 74.108 -29.5488
1.875000 74.383 -29.5626
1.900000 74.647 -29.6432
1.925000 74.901 -29.7831
1.950000 75.146 -29.9751
1.975000 75.383 -30.2118
2.000000 75.612 -30.4859
2.030000 75.880 -30.8537
2.060000 76.140 -31.2522
2.090000 76.394 -31.6685
2.120000 76.644 -32.0899
2.140000 76.808 -32.3675
2.180000 77.136 -32.8977
2.200000 77.301 -33.1430
2.240000 77.623 -33.6328
2.270000 77.857 -34.0137
2.300000 78.086 -34.4061
2.330000 78.309 -34.8101
2.360000 78.527 -35.2254
2.400000 78.811 -35.7969
2.430000 79.020 -36.2387
2.470000 79.292 -36.8451
2.500000 79.492 -37.3129
2.540000 79.755 -37.9539
2.580000 80.014 -38.6165
2.620000 80.265 -39.3175
2.650000 80.450 -39.8663
2.690000 80.690 -40.6217
2.720000 80.866 -41.2012
2.760000 81.095 -41.9838
2.800000 81.319 -42.7698
2.850000 81.592 -43.7433
2.900000 81.858 -44.6907
2.950000 82.117 -45.5975
3.000000 82.367 -46.4787
3.040000 82.561 -47.1718
3.070000 82.703 -47.6862
3.110000 82.889 -48.3669
3.150000 83.069 -49.0438
3.200000 83.290 -49.8881
3.250000 83.505 -50.7348
3.300000 83.716 -51.5885
3.350000 83.920 -52.4542
3.400000 84.118 -53.3288
3.450000 84.311 -54.2058
3.500000 84.497 -55.0785
3.550000 84.679 -55.9402
3.600000 84.856 -56.7844
3.650000 85.030 -57.6046
3.700000 85.200 -58.3972
3.750000 85.365 -59.1686
3.820000 85.588 -60.2185
3.870000 85.743 -60.9510
3.950000 85.983 -62.1011
4.000000 86.128 -62.8107
4.060000 86.299 -63.6574
4.120000 86.464 -64.4973
4.180000 86.624 -65.3264
4.250000 86.805 -66.2742
4.310000 86.956 -67.0653
4.370000 87.104 -67.8324
4.440000 87.274 -68.6921
4.500000 87.415 -69.4003
4.550000 87.530 -69.9731
4.620000 87.688 -70.7529
4.680000 87.820 -71.4050
4.750000 87.974 -72.1519
4.820000 88.125 -72.8837
4.870000 88.232 -73.3932
4.940000 88.378 -74.0902
5.000000 88.502 -74.6747
5.080000 88.666 -75.4391
5.150000 88.806 -76.0969
5.220000 88.945 -76.7406
5.300000 89.101 -77.4594
5.380000 89.255 -78.1629
5.450000 89.387 -78.7682
5.520000 89.518 -79.3656
5.600000 89.665 -80.0342
5.700000 89.845 -80.8516
5.800000 90.023 -81.6555
5.900000 90.198 -82.4518
6.000000 90.371 -83.2345
6.080000 90.507 -83.8535
6.150000 90.625 -84.3932
6.220000 90.741 -84.9336
6.300000 90.871 -85.5518
6.400000 91.033 -86.3222
6.500000 91.190 -87.0918
6.600000 91.343 -87.8629
6.700000 91.491 -88.6388
6.800000 91.634 -89.4165
6.900000 91.774 -90.1891
7.000000 91.908 -90.9510
7.100000 92.038 -91.7058
7.200000 92.164 -92.4527
7.300000 92.285 -93.1890
7.400000 92.403 -93.9136
7.500000 92.517 -94.6281
7.620000 92.649 -95.4705
7.750000 92.787 -96.3627
7.880000 92.920 -97.2339
8.000000 93.038 -98.0203
8.120000 93.152 -98.7899
8.250000 93.272 -99.6044
8.380000 93.388 -100.3996
8.500000 93.493 -101.1164
8.620000 93.595 -101.8160
8.750000 93.702 -102.5583
8.850000 93.784 -103.1199
9.000000 93.904 -103.9437
9.120000 93.998 -104.5935
9.250000 94.101 -105.2928
9.380000 94.202 -105.9844
9.500000 94.292 -106.6204
9.620000 94.378 -107.2571
9.750000 94.467 -107.9456
9.880000 94.548 -108.6295
10.000000 94.612 -109.2584
10.150000 94.683 -110.0385
10.300000 94.744 -110.7949
10.440000 94.791 -111.4781
10.600000 94.840 -112.2355
10.750000 94.887 -112.9195
10.900000 94.933 -113.5828
11.060000 94.984 -114.2850
11.200000 95.032 -114.8932
11.380000 95.094 -115.6717
11.500000 95.135 -116.1888
11.720000 95.213 -117.1385
11.800000 95.241 -117.4865
12.060000 95.335 -118.6266
12.200000 95.385 -119.2527
12.410000 95.457 -120.2014
12.500000 95.486 -120.6047
12.650000 95.531 -121.2766
12.800000 95.574 -121.9376
13.150000 95.660 -123.4145
13.200000 95.672 -123.6167
13.400000 95.718 -124.4019
13.600000 95.765 -125.1526
13.800000 95.812 -125.8675
14.000000 95.860 -126.5635
14.300000 95.934 -127.5816
14.500000 95.982 -128.2551
14.750000 96.042 -129.0941
15.000000 96.099 -129.9304
15.250000 96.154 -130.7591
15.500000 96.206 -131.5613
15.750000 96.254 -132.3277
16.000000 96.299 -133.0472
16.250000 96.344 -133.7308
16.500000 96.390 -134.3880
16.750000 96.440 -135.0342
17.000000 96.492 -135.6867
17.250000 96.545 -136.3503
17.500000 96.596 -137.0299
17.750000 96.642 -137.7176
18.000000 96.682 -138.4040
18.250000 96.718 -139.0790
18.500000 96.750 -139.7238
18.750000 96.781 -140.3362
19.000000 96.815 -140.9142
19.250000 96.853 -141.4746
19.500000 96.895 -142.0344
19.750000 96.942 -142.6073
20.000000 96.990 -143.2116
20.299999 97.045 -143.9813
20.600000 97.095 -144.7925
20.900000 97.134 -145.6238
21.200001 97.162 -146.4430
21.400000 97.175 -146.9639
21.799999 97.192 -147.9266
22.000000 97.199 -148.3647
22.400000 97.215 -149.1657
22.700001 97.232 -149.7234
23.000000 97.252 -150.2665
23.299999 97.276 -150.8078
23.600000 97.300 -151.3510
24.000000 97.334 -152.0777
24.299999 97.359 -152.6222
24.700001 97.391 -153.3487
25.000000 97.415 -153.8973
25.400000 97.444 -154.6352
25.799999 97.468 -155.3718
26.200001 97.486 -156.0907
26.500000 97.498 -156.6101
26.900000 97.511 -157.2741
27.200001 97.520 -157.7553
27.600000 97.533 -158.3844
28.000000 97.545 -159.0077
28.500000 97.559 -159.7793
29.000000 97.572 -160.5352
29.500000 97.583 -161.2768
30.000000 97.592 -162.0121
30.400000 97.595 -162.5926
30.700001 97.595 -163.0175
31.100000 97.595 -163.5636
31.500000 97.595 -164.0886
32.000000 97.599 -164.7311
32.500000 97.604 -165.3766
33.000000 97.606 -166.0261
33.500000 97.605 -166.6660
34.000000 97.604 -167.2899
34.500000 97.603 -167.9057
35.000000 97.603 -168.5203
35.500000 97.601 -169.1280
36.000000 97.596 -169.7125
36.500000 97.590 -170.2657
37.000000 97.583 -170.7986
37.500000 97.577 -171.3267
38.200001 97.568 -172.0633
38.700001 97.559 -172.5827
39.500000 97.541 -173.3899
40.000000 97.528 -173.8741
40.599998 97.514 -174.4432
41.200001 97.497 -175.0133
41.799999 97.477 -175.5724
42.500000 97.454 -176.1852
43.099998 97.439 -176.6971
43.700001 97.425 -177.2270
44.400002 97.406 -177.8489
45.000000 97.387 -178.3537
45.500000 97.373 -178.7594
46.200001 97.355 -179.3233
46.799999 97.338 -179.7950
47.500000 97.322 179.6686
48.200001 97.306 179.1066
48.700001 97.290 178.6916
49.400002 97.256 178.1545
50.000000 97.227 177.7660
50.799999 97.198 177.2844
51.500000 97.175 176.8362
52.200001 97.149 176.3838
53.000000 97.117 175.8901
53.799999 97.085 175.4107
54.500000 97.054 175.0057
55.200001 97.024 174.6110
56.000000 96.990 174.1542
57.000000 96.945 173.5810
58.000000 96.894 173.0180
59.000000 96.836 172.5067
60.000000 96.787 172.0717
60.799999 96.761 171.6800
61.500000 96.738 171.2948
62.200001 96.709 170.9168
63.000000 96.673 170.5126
64.000000 96.628 170.0324
65.000000 96.584 169.5893
66.000000 96.542 169.1646
67.000000 96.496 168.7499
68.000000 96.445 168.3597
69.000000 96.389 168.0056
70.000000 96.338 167.7064
71.000000 96.298 167.3661
72.000000 96.255 166.9383
73.000000 96.204 166.5308
74.000000 96.154 166.1675
75.000000 96.104 165.8268
76.199997 96.048 165.4465
77.500000 95.988 165.0498
78.800003 95.928 164.6742
80.000000 95.871 164.3462
81.199997 95.813 164.0294
82.500000 95.748 163.6989
83.800003 95.684 163.3795
85.000000 95.628 163.0925
86.199997 95.575 162.8045
87.500000 95.519 162.4959
88.500000 95.475 162.2660
90.000000 95.405 161.9420
91.199997 95.348 161.7141
92.500000 95.288 161.4822
93.800003 95.230 161.2437
95.000000 95.176 161.0153
96.199997 95.121 160.7872
97.500000 95.060 160.5729
98.800003 95.005 160.4091
100.000000 94.959 160.2442
101.500000 94.900 159.9936
103.000000 94.837 159.7480
104.400002 94.775 159.5412
106.000000 94.700 159.3367
107.500000 94.630 159.1909
109.000000 94.565 159.0796
110.599998 94.502 158.9338
112.000000 94.445 158.7834
113.800003 94.371 158.6053
115.000000 94.322 158.4982
117.199997 94.236 158.3194
118.000000 94.205 158.2579
120.599998 94.106 158.0523
122.000000 94.050 157.9417
124.099998 93.963 157.8116
125.000000 93.926 157.7725
126.500000 93.867 157.7251
128.000000 93.812 157.6723
131.500000 93.688 157.5255
132.000000 93.671 157.5056
134.000000 93.607 157.4364
136.000000 93.546 157.3975
138.000000 93.487 157.3666
140.000000 93.423 157.3142
143.000000 93.330 157.2611
145.000000 93.272 157.2434
147.500000 93.199 157.2405
150.000000 93.125 157.2656
152.500000 93.052 157.2963
155.000000 92.980 157.3117
157.500000 92.911 157.3321
160.000000 92.844 157.3436
162.500000 92.776 157.3672
165.000000 92.708 157.4360
167.500000 92.638 157.5209
170.000000 92.565 157.6024
172.500000 92.491 157.6779
175.000000 92.422 157.7548
177.500000 92.356 157.8443
180.000000 92.293 157.9347
182.500000 92.230 158.0234
185.000000 92.167 158.1172
187.500000 92.106 158.2180
190.000000 92.045 158.3328
192.500000 91.984 158.4603
195.000000 91.923 158.5910
197.500000 91.866 158.7286
200.000000 91.813 158.8704
203.000000 91.753 159.0312
206.000000 91.690 159.1821
209.000000 91.626 159.3296
212.000000 91.566 159.5139
214.000000 91.528 159.6545
218.000000 91.451 159.9169
220.000000 91.411 160.0431
224.000000 91.335 160.2979
227.000000 91.281 160.4780
230.000000 91.229 160.6635
233.000000 91.179 160.8749
236.000000 91.128 161.1011
240.000000 91.059 161.4041
243.000000 91.010 161.6309
247.000000 90.947 161.9225
250.000000 90.902 162.1394
254.000000 90.845 162.4261
258.000000 90.790 162.7147
262.000000 90.737 163.0080
265.000000 90.699 163.2289
269.000000 90.649 163.5246
272.000000 90.612 163.7507
276.000000 90.565 164.0608
