* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.710. Timing signal peak level -39.9 dBFS, measurement signal peak level -36.6 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 8, 2023 2:03:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0518 ms (-18 mm, -0.7 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 119.9 ppm
* Measurement: Aria Spring L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 95.657 29.7268
20.299999 95.691 29.0768
20.600000 95.722 28.4323
20.900000 95.751 27.7910
21.200001 95.775 27.1534
21.400000 95.789 26.7349
21.799999 95.811 25.9240
22.000000 95.820 25.5360
22.400000 95.837 24.7975
22.700001 95.853 24.2670
23.000000 95.870 23.7390
23.299999 95.888 23.1981
23.600000 95.905 22.6406
24.000000 95.921 21.8833
24.299999 95.929 21.3272
24.700001 95.933 20.6310
25.000000 95.936 20.1508
25.400000 95.945 19.5529
25.799999 95.962 18.9644
26.200001 95.983 18.3461
26.500000 95.999 17.8549
26.900000 96.015 17.1765
27.200001 96.022 16.6702
27.600000 96.025 16.0256
28.000000 96.026 15.4324
28.500000 96.030 14.7506
29.000000 96.041 14.0837
29.500000 96.054 13.3894
30.000000 96.058 12.6746
30.400000 96.053 12.1222
30.700001 96.046 11.7361
31.100000 96.036 11.2620
31.500000 96.030 10.8153
32.000000 96.028 10.2491
32.500000 96.027 9.6449
33.000000 96.018 9.0269
33.500000 96.003 8.4421
34.000000 95.991 7.9043
34.500000 95.987 7.3770
35.000000 95.986 6.8185
35.500000 95.985 6.2199
36.000000 95.975 5.6105
36.500000 95.959 5.0292
37.000000 95.938 4.5046
37.500000 95.919 4.0405
38.200001 95.902 3.4426
38.700001 95.896 3.0007
39.500000 95.880 2.2349
40.000000 95.862 1.7594
40.599998 95.834 1.2313
41.200001 95.808 0.7408
41.799999 95.783 0.2596
42.500000 95.755 -0.3010
43.099998 95.734 -0.7750
43.700001 95.716 -1.2516
44.400002 95.697 -1.8285
45.000000 95.679 -2.3331
45.500000 95.661 -2.7386
46.200001 95.634 -3.2568
46.799999 95.613 -3.6515
47.500000 95.592 -4.0842
48.200001 95.574 -4.5353
48.700001 95.556 -4.8790
49.400002 95.518 -5.3533
50.000000 95.479 -5.7118
50.799999 95.433 -6.1436
51.500000 95.402 -6.5654
52.200001 95.373 -7.0680
53.000000 95.334 -7.6747
53.799999 95.298 -8.2335
54.500000 95.274 -8.7016
55.200001 95.246 -9.1194
56.000000 95.215 -9.3899
57.000000 95.205 -9.5914
58.000000 95.160 -9.6802
59.000000 95.149 -9.1953
60.000000 95.224 -9.3678
60.799999 95.194 -10.0922
61.500000 95.113 -10.5403
62.200001 95.048 -10.9398
63.000000 94.970 -11.6621
64.000000 94.830 -12.5148
65.000000 94.726 -13.1169
66.000000 94.662 -13.7435
67.000000 94.616 -14.2640
68.000000 94.586 -14.6815
69.000000 94.557 -15.0110
70.000000 94.521 -15.2819
71.000000 94.473 -15.5316
72.000000 94.414 -15.7711
73.000000 94.353 -16.0447
74.000000 94.290 -16.3600
75.000000 94.231 -16.6703
76.199997 94.173 -17.0348
77.500000 94.116 -17.4138
78.800003 94.057 -17.7393
80.000000 93.996 -18.0039
81.199997 93.933 -18.2468
82.500000 93.866 -18.5322
83.800003 93.800 -18.8492
85.000000 93.741 -19.1254
86.199997 93.687 -19.3804
87.500000 93.630 -19.6449
88.500000 93.583 -19.8313
90.000000 93.512 -20.0726
91.199997 93.458 -20.2913
92.500000 93.396 -20.5430
93.800003 93.336 -20.7611
95.000000 93.283 -20.9594
96.199997 93.228 -21.1449
97.500000 93.168 -21.3129
98.800003 93.107 -21.4667
100.000000 93.050 -21.5908
101.500000 92.980 -21.7327
103.000000 92.909 -21.8730
104.400002 92.846 -22.0242
106.000000 92.779 -22.2411
107.500000 92.717 -22.4857
109.000000 92.654 -22.6758
110.599998 92.589 -22.7952
112.000000 92.525 -22.8184
113.800003 92.439 -22.8247
115.000000 92.378 -22.9213
117.199997 92.262 -23.3799
118.000000 92.217 -23.6237
120.599998 92.053 -23.9463
122.000000 92.025 -23.6879
124.099998 92.019 -23.5210
125.000000 91.999 -23.5116
126.500000 91.943 -23.4987
128.000000 91.878 -23.5009
131.500000 91.741 -23.7281
132.000000 91.722 -23.7633
134.000000 91.648 -23.8300
136.000000 91.579 -23.8077
138.000000 91.520 -23.7980
140.000000 91.464 -23.8312
143.000000 91.370 -23.8229
145.000000 91.300 -23.7411
147.500000 91.218 -23.6462
150.000000 91.141 -23.5535
152.500000 91.076 -23.4720
155.000000 91.000 -23.4541
157.500000 90.917 -23.4446
160.000000 90.838 -23.4335
162.500000 90.772 -23.3701
165.000000 90.712 -23.2705
167.500000 90.643 -23.1539
170.000000 90.571 -23.0660
172.500000 90.503 -23.0004
175.000000 90.429 -22.7124
177.500000 90.348 -22.1150
180.000000 90.288 -21.6382
182.500000 90.232 -21.8392
185.000000 90.156 -22.1702
187.500000 90.095 -22.2095
190.000000 90.028 -22.0562
192.500000 89.955 -21.8950
195.000000 89.887 -21.8093
197.500000 89.824 -21.6501
200.000000 89.766 -21.3961
203.000000 89.704 -21.1481
206.000000 89.648 -20.9719
209.000000 89.592 -20.7231
212.000000 89.534 -20.4762
214.000000 89.494 -20.3650
218.000000 89.417 -20.1618
220.000000 89.379 -20.0232
224.000000 89.300 -19.7536
227.000000 89.238 -19.5297
230.000000 89.181 -19.2382
233.000000 89.125 -18.9674
236.000000 89.058 -18.7034
240.000000 88.968 -18.1893
243.000000 88.923 -17.8342
247.000000 88.864 -17.4962
250.000000 88.820 -17.2708
254.000000 88.769 -17.0597
258.000000 88.726 -16.7994
262.000000 88.675 -16.4816
265.000000 88.637 -16.2005
269.000000 88.595 -15.7744
272.000000 88.562 -15.4941
276.000000 88.512 -15.1748
280.000000 88.463 -14.8397
285.000000 88.408 -14.4843
290.000000 88.358 -14.0532
295.000000 88.307 -13.5137
300.000000 88.251 -12.9598
304.000000 88.221 -12.8340
307.000000 88.209 -12.7390
311.000000 88.187 -12.4513
315.000000 88.145 -12.1161
320.000000 88.082 -11.7000
325.000000 88.037 -11.3072
330.000000 88.000 -10.9147
335.000000 87.959 -10.4628
340.000000 87.912 -10.0798
345.000000 87.863 -9.7268
350.000000 87.825 -9.2932
355.000000 87.788 -8.8955
360.000000 87.735 -8.5685
365.000000 87.689 -8.1881
370.000000 87.656 -7.7594
375.000000 87.622 -7.3073
382.000000 87.565 -6.6704
387.000000 87.522 -6.2184
395.000000 87.470 -5.5303
400.000000 87.445 -5.1223
406.000000 87.411 -4.6748
412.000000 87.382 -4.1885
418.000000 87.371 -3.5562
425.000000 87.337 -2.9765
431.000000 87.289 -2.5580
437.000000 87.248 -2.1084
444.000000 87.200 -1.6133
450.000000 87.162 -1.1251
455.000000 87.135 -0.6702
462.000000 87.105 -0.0878
468.000000 87.079 0.3926
475.000000 87.047 0.9550
482.000000 87.023 1.4719
487.000000 87.008 1.8517
494.000000 86.988 2.4296
500.000000 86.970 2.9056
508.000000 86.942 3.5176
515.000000 86.921 4.0397
522.000000 86.904 4.5888
530.000000 86.884 5.3442
538.000000 86.845 6.1044
545.000000 86.821 6.6039
552.000000 86.819 7.0795
560.000000 86.818 7.6875
570.000000 86.801 8.4694
580.000000 86.780 9.2858
590.000000 86.767 10.1104
600.000000 86.757 10.8767
608.000000 86.760 11.5078
615.000000 86.756 12.0673
622.000000 86.742 12.5844
630.000000 86.725 13.1661
640.000000 86.715 13.9746
650.000000 86.718 14.7791
660.000000 86.722 15.6108
670.000000 86.703 16.5035
680.000000 86.685 17.3536
690.000000 86.683 18.1881
700.000000 86.690 19.0095
710.000000 86.705 19.7883
720.000000 86.725 20.5884
730.000000 86.729 21.4633
740.000000 86.727 22.3456
750.000000 86.728 23.2068
762.000000 86.750 24.2161
775.000000 86.804 25.2594
788.000000 86.842 26.3636
800.000000 86.868 27.4064
812.000000 86.913 28.4486
825.000000 86.967 29.6323
838.000000 87.023 30.8381
850.000000 87.084 31.8092
862.000000 87.153 32.7159
875.000000 87.239 33.7171
885.000000 87.313 34.4857
900.000000 87.432 35.5511
912.000000 87.526 36.2222
925.000000 87.637 36.9280
938.000000 87.742 37.6557
950.000000 87.834 38.2856
962.000000 87.926 38.8808
975.000000 88.023 39.4490
988.000000 88.119 39.9386
1000.000000 88.203 40.3314
1015.000000 88.304 40.6875
1030.000000 88.392 40.9836
1044.000000 88.459 41.3397
1060.000000 88.520 41.8113
1075.000000 88.579 42.2822
1090.000000 88.650 42.7553
1106.000000 88.729 43.2471
1120.000000 88.794 43.7339
1138.000000 88.884 44.4349
1150.000000 88.952 44.8882
1172.000000 89.091 45.7173
1180.000000 89.142 45.9963
1206.000000 89.318 46.7647
1220.000000 89.420 47.0918
1241.000000 89.563 47.4974
1250.000000 89.620 47.6525
1265.000000 89.712 47.9304
1280.000000 89.802 48.2389
1315.000000 90.018 48.9006
1320.000000 90.046 48.9966
1340.000000 90.143 49.4038
1360.000000 90.226 49.7915
1380.000000 90.303 50.1628
1400.000000 90.382 50.5103
1430.000000 90.510 51.0787
1450.000000 90.599 51.4425
1475.000000 90.709 51.8851
1500.000000 90.820 52.2807
1525.000000 90.927 52.7457
1550.000000 91.025 53.2163
1575.000000 91.119 53.6636
1600.000000 91.208 54.1133
1625.000000 91.297 54.5496
1650.000000 91.393 54.9259
1675.000000 91.485 55.3492
1700.000000 91.572 55.7686
1725.000000 91.653 56.1603
1750.000000 91.732 56.5830
1775.000000 91.805 57.0245
1800.000000 91.878 57.4883
1825.000000 91.950 57.9911
1850.000000 92.018 58.5514
1875.000000 92.083 59.1654
1900.000000 92.153 59.8701
1925.000000 92.245 60.7298
1950.000000 92.377 61.6302
1975.000000 92.552 62.3882
2000.000000 92.752 62.8618
2030.000000 92.986 62.9948
2060.000000 93.180 62.8173
2090.000000 93.329 62.5284
2120.000000 93.441 62.2627
2140.000000 93.499 62.1284
2180.000000 93.594 61.9428
2200.000000 93.631 61.8927
2240.000000 93.686 61.9177
2270.000000 93.712 62.0562
2300.000000 93.725 62.3234
2330.000000 93.734 62.7991
2360.000000 93.747 63.5696
2400.000000 93.817 65.1010
2430.000000 93.951 66.4800
2470.000000 94.273 68.0668
2500.000000 94.585 68.6492
2540.000000 94.990 68.4457
2580.000000 95.309 67.5330
2620.000000 95.535 66.4052
2650.000000 95.661 65.5624
2690.000000 95.792 64.4922
2720.000000 95.870 63.7296
2760.000000 95.948 62.7745
2800.000000 96.000 61.9020
2850.000000 96.033 60.9612
2900.000000 96.041 60.2026
2950.000000 96.039 59.6185
3000.000000 96.041 59.1947
3040.000000 96.054 58.9128
3070.000000 96.068 58.6809
3110.000000 96.089 58.2963
3150.000000 96.103 57.8414
3200.000000 96.102 57.2452
3250.000000 96.082 56.6833
3300.000000 96.046 56.1822
3350.000000 95.998 55.7613
3400.000000 95.946 55.4180
3450.000000 95.890 55.1237
3500.000000 95.834 54.8912
3550.000000 95.780 54.7121
3600.000000 95.727 54.5847
3650.000000 95.670 54.4872
3700.000000 95.610 54.4164
3750.000000 95.548 54.3998
3820.000000 95.463 54.4914
3870.000000 95.402 54.5898
3950.000000 95.304 54.7757
4000.000000 95.245 54.9026
4060.000000 95.175 55.0533
4120.000000 95.103 55.2018
4180.000000 95.027 55.3512
4250.000000 94.928 55.5151
4310.000000 94.840 55.6868
4370.000000 94.745 55.8882
4440.000000 94.630 56.1490
4500.000000 94.530 56.3847
4550.000000 94.448 56.5750
4620.000000 94.332 56.8270
4680.000000 94.229 57.0331
4750.000000 94.104 57.2844
4820.000000 93.971 57.5467
4870.000000 93.872 57.7294
4940.000000 93.725 58.0056
5000.000000 93.593 58.2644
5080.000000 93.413 58.6475
5150.000000 93.249 59.0612
5220.000000 93.083 59.5343
5300.000000 92.890 60.1415
5380.000000 92.694 60.8201
