* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.930. Timing signal peak level -9.2 dBFS, measurement signal peak level -9.2 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Oct 5, 2023 3:15:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0703 ms (-24 mm, -0.95 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: Moondrop Blessing 2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 77.643 168.0646
1.015000 77.970 164.3745
1.030000 78.291 160.8453
1.044000 78.585 157.7130
1.060000 78.912 154.3445
1.075000 79.209 151.4103
1.090000 79.494 148.7119
1.106000 79.786 146.1063
1.120000 80.042 144.0182
1.138000 80.372 141.5702
1.150000 80.593 140.0776
1.172000 80.999 137.6100
1.180000 81.147 136.7936
1.206000 81.628 134.4114
1.220000 81.885 133.2861
1.241000 82.269 131.7808
1.250000 82.433 131.1964
1.265000 82.704 130.2945
1.280000 82.972 129.4736
1.315000 83.585 127.8116
1.320000 83.671 127.5973
1.340000 84.010 126.7816
1.360000 84.340 126.0132
1.380000 84.661 125.2662
1.400000 84.971 124.5152
1.430000 85.414 123.3243
1.450000 85.693 122.4501
1.475000 86.022 121.2481
1.500000 86.329 120.1227
1.525000 86.618 119.1140
1.550000 86.889 118.2082
1.575000 87.144 117.3913
1.600000 87.385 116.6493
1.625000 87.613 115.9683
1.650000 87.830 115.3344
1.675000 88.037 114.7336
1.700000 88.236 114.1520
1.725000 88.429 113.5757
1.750000 88.618 112.9908
1.775000 88.803 112.3832
1.800000 88.986 111.7392
1.825000 89.170 111.0446
1.850000 89.352 110.3030
1.875000 89.525 109.5504
1.900000 89.690 108.7906
1.925000 89.848 108.0261
1.950000 89.999 107.2591
1.975000 90.145 106.4922
2.000000 90.285 105.7275
2.030000 90.447 104.8163
2.060000 90.605 103.9160
2.090000 90.759 103.0307
2.120000 90.912 102.1643
2.140000 91.012 101.5994
2.180000 91.215 100.5051
2.200000 91.317 99.9782
2.240000 91.520 98.9675
2.270000 91.668 98.2427
2.300000 91.814 97.5419
2.330000 91.957 96.8607
2.360000 92.097 96.1951
2.400000 92.280 95.3245
2.430000 92.414 94.6788
2.470000 92.588 93.8197
2.500000 92.715 93.1712
2.540000 92.881 92.2931
2.580000 93.041 91.3923
2.620000 93.196 90.4785
2.650000 93.309 89.7888
2.690000 93.454 88.8665
2.720000 93.560 88.1749
2.760000 93.697 87.2558
2.800000 93.831 86.3440
2.850000 93.992 85.2201
2.900000 94.148 84.1209
2.950000 94.300 83.0532
3.000000 94.446 82.0131
3.040000 94.559 81.1973
3.070000 94.640 80.5936
3.110000 94.747 79.7980
3.150000 94.849 79.0114
3.200000 94.974 78.0374
3.250000 95.094 77.0703
3.300000 95.210 76.1060
3.350000 95.322 75.1440
3.400000 95.428 74.1874
3.450000 95.530 73.2387
3.500000 95.628 72.3005
3.550000 95.722 71.3752
3.600000 95.812 70.4655
3.650000 95.900 69.5737
3.700000 95.984 68.7014
3.750000 96.063 67.8463
3.820000 96.168 66.6757
3.870000 96.240 65.8566
3.950000 96.347 64.5718
4.000000 96.412 63.7828
4.060000 96.486 62.8486
4.120000 96.557 61.9298
4.180000 96.623 61.0275
4.250000 96.696 59.9966
4.310000 96.756 59.1326
4.370000 96.813 58.2874
4.440000 96.877 57.3268
4.500000 96.928 56.5256
4.550000 96.968 55.8725
4.620000 97.022 54.9783
4.680000 97.067 54.2285
4.750000 97.117 53.3708
4.820000 97.165 52.5320
4.870000 97.198 51.9465
4.940000 97.243 51.1442
5.000000 97.279 50.4711
5.080000 97.326 49.5920
5.150000 97.366 48.8380
5.220000 97.404 48.1020
5.300000 97.446 47.2818
5.380000 97.487 46.4799
5.450000 97.521 45.7899
5.520000 97.554 45.1085
5.600000 97.591 44.3446
5.700000 97.635 43.4106
5.800000 97.677 42.4944
5.900000 97.716 41.5905
6.000000 97.753 40.7011
6.080000 97.781 40.0007
6.150000 97.804 39.3960
6.220000 97.826 38.7989
6.300000 97.849 38.1255
6.400000 97.876 37.2973
6.500000 97.899 36.4853
6.600000 97.921 35.6906
6.700000 97.939 34.9114
6.800000 97.955 34.1486
6.900000 97.968 33.4064
7.000000 97.980 32.6882
7.100000 97.988 31.9920
7.200000 97.995 31.3181
7.300000 98.001 30.6676
7.400000 98.006 30.0417
7.500000 98.009 29.4402
7.620000 98.012 28.7474
7.750000 98.017 28.0299
7.880000 98.021 27.3506
8.000000 98.025 26.7489
8.120000 98.031 26.1641
8.250000 98.038 25.5551
8.380000 98.047 24.9619
8.500000 98.056 24.4204
8.620000 98.065 23.8889
8.750000 98.075 23.3195
8.850000 98.083 22.8826
9.000000 98.093 22.2307
9.120000 98.101 21.7157
9.250000 98.107 21.1652
9.380000 98.113 20.6212
9.500000 98.115 20.1311
9.620000 98.113 19.6545
9.750000 98.108 19.1515
9.880000 98.095 18.6691
10.000000 98.075 18.2437
10.150000 98.041 17.7377
10.300000 98.002 17.2676
10.440000 97.960 16.8652
10.600000 97.909 16.4335
10.750000 97.867 16.0502
10.900000 97.827 15.6857
11.060000 97.789 15.2914
11.200000 97.759 14.9437
11.380000 97.721 14.4923
11.500000 97.696 14.1862
11.720000 97.650 13.6241
11.800000 97.633 13.4214
12.060000 97.576 12.7713
12.200000 97.545 12.4373
12.410000 97.497 11.9607
12.500000 97.477 11.7733
12.650000 97.442 11.4825
12.800000 97.408 11.2147
13.150000 97.337 10.6764
13.200000 97.329 10.6028
13.400000 97.301 10.3201
13.600000 97.278 10.0260
13.800000 97.261 9.7097
14.000000 97.244 9.3610
14.300000 97.216 8.7811
14.500000 97.190 8.3740
14.750000 97.150 7.8834
15.000000 97.104 7.4335
15.250000 97.058 7.0544
15.500000 97.016 6.7413
15.750000 96.983 6.4828
16.000000 96.960 6.2429
16.250000 96.945 5.9745
16.500000 96.936 5.6595
16.750000 96.927 5.2800
17.000000 96.913 4.8627
17.250000 96.890 4.4344
17.500000 96.858 4.0322
17.750000 96.820 3.6969
18.000000 96.782 3.4323
18.250000 96.747 3.2409
18.500000 96.723 3.0897
18.750000 96.707 2.9496
19.000000 96.702 2.7932
19.250000 96.700 2.5940
19.500000 96.700 2.3596
19.750000 96.696 2.0967
20.000000 96.687 1.8329
20.299999 96.673 1.5388
20.600000 96.656 1.2816
20.900000 96.641 1.0565
21.200001 96.631 0.8392
21.400000 96.625 0.6830
21.799999 96.613 0.3334
22.000000 96.605 0.1418
22.400000 96.579 -0.2505
22.700001 96.553 -0.5243
23.000000 96.524 -0.7631
23.299999 96.495 -0.9716
23.600000 96.468 -1.1622
24.000000 96.434 -1.4069
24.299999 96.409 -1.5869
24.700001 96.375 -1.8082
25.000000 96.350 -1.9485
25.400000 96.324 -2.1035
25.799999 96.308 -2.2616
26.200001 96.302 -2.4805
26.500000 96.297 -2.7023
26.900000 96.285 -3.0574
27.200001 96.268 -3.3317
27.600000 96.237 -3.6556
28.000000 96.205 -3.9015
28.500000 96.175 -4.1343
29.000000 96.159 -4.3828
29.500000 96.144 -4.6945
30.000000 96.119 -5.0203
30.400000 96.093 -5.2396
30.700001 96.073 -5.3692
31.100000 96.049 -5.5072
31.500000 96.029 -5.6262
32.000000 96.009 -5.7678
32.500000 95.991 -5.8995
33.000000 95.978 -6.0283
33.500000 95.970 -6.1937
34.000000 95.962 -6.4316
34.500000 95.943 -6.7158
35.000000 95.912 -6.9734
35.500000 95.876 -7.1562
36.000000 95.844 -7.2928
36.500000 95.817 -7.4380
37.000000 95.786 -7.5896
37.500000 95.753 -7.6873
38.200001 95.725 -7.7102
38.700001 95.730 -7.7709
39.500000 95.744 -8.1667
40.000000 95.734 -8.4895
40.599998 95.713 -8.7845
41.200001 95.706 -9.0450
41.799999 95.703 -9.4443
42.500000 95.661 -9.9969
43.099998 95.593 -10.2293
43.700001 95.542 -10.1700
44.400002 95.531 -10.0497
45.000000 95.537 -10.1266
45.500000 95.529 -10.2720
46.200001 95.501 -10.4274
46.799999 95.478 -10.4803
47.500000 95.462 -10.5643
48.200001 95.446 -10.7434
48.700001 95.428 -10.8999
49.400002 95.396 -11.0974
50.000000 95.368 -11.2413
50.799999 95.335 -11.4208
51.500000 95.310 -11.5563
52.200001 95.295 -11.6904
53.000000 95.284 -11.9272
53.799999 95.259 -12.2250
54.500000 95.222 -12.4068
55.200001 95.188 -12.4778
56.000000 95.162 -12.5038
57.000000 95.147 -12.5826
58.000000 95.132 -12.8076
59.000000 95.095 -13.0940
60.000000 95.047 -13.2700
60.799999 95.017 -13.3705
61.500000 94.996 -13.4672
62.200001 94.977 -13.5758
63.000000 94.956 -13.7119
64.000000 94.934 -13.8835
65.000000 94.917 -14.1058
66.000000 94.888 -14.3687
67.000000 94.852 -14.5418
68.000000 94.824 -14.6688
69.000000 94.797 -14.8197
70.000000 94.765 -14.9652
71.000000 94.731 -15.0929
72.000000 94.696 -15.2147
73.000000 94.662 -15.3387
74.000000 94.629 -15.4743
75.000000 94.599 -15.6306
76.199997 94.563 -15.8428
77.500000 94.519 -16.0385
78.800003 94.472 -16.1742
80.000000 94.428 -16.1999
81.199997 94.394 -16.2027
82.500000 94.361 -16.3033
83.800003 94.317 -16.4960
85.000000 94.276 -16.6508
86.199997 94.247 -16.8182
87.500000 94.218 -16.9998
88.500000 94.197 -17.0845
90.000000 94.173 -17.1888
91.199997 94.145 -17.3085
92.500000 94.099 -17.4349
93.800003 94.050 -17.5031
95.000000 94.018 -17.5751
96.199997 93.993 -17.7286
97.500000 93.961 -17.8701
98.800003 93.930 -17.9268
100.000000 93.898 -17.9131
101.500000 93.850 -17.8011
103.000000 93.808 -17.7117
104.400002 93.765 -17.8121
106.000000 93.703 -18.0508
107.500000 93.650 -18.2382
109.000000 93.622 -18.3962
110.599998 93.598 -18.5929
112.000000 93.561 -18.7157
113.800003 93.491 -18.6614
115.000000 93.452 -18.5187
117.199997 93.417 -18.4042
118.000000 93.405 -18.4552
120.599998 93.343 -18.6489
122.000000 93.299 -18.7375
124.099998 93.225 -18.7458
125.000000 93.201 -18.7233
126.500000 93.174 -18.7498
128.000000 93.150 -18.8557
131.500000 93.067 -19.1200
132.000000 93.054 -19.1375
134.000000 93.008 -19.2137
136.000000 92.970 -19.3004
138.000000 92.940 -19.3531
140.000000 92.902 -19.3606
143.000000 92.830 -19.2650
145.000000 92.777 -19.1801
147.500000 92.728 -19.0948
150.000000 92.677 -19.1163
152.500000 92.626 -19.1061
155.000000 92.581 -19.0594
157.500000 92.521 -18.9143
160.000000 92.453 -18.7421
162.500000 92.395 -18.7758
165.000000 92.359 -18.9325
167.500000 92.347 -19.0251
170.000000 92.321 -18.9828
172.500000 92.269 -18.7717
175.000000 92.222 -18.6429
177.500000 92.169 -18.6641
180.000000 92.116 -18.6234
182.500000 92.070 -18.4977
185.000000 92.023 -18.3889
187.500000 91.969 -18.3090
190.000000 91.916 -18.2210
192.500000 91.872 -18.1000
195.000000 91.836 -17.9860
197.500000 91.803 -17.8802
200.000000 91.766 -17.7561
203.000000 91.717 -17.5473
206.000000 91.668 -17.4186
209.000000 91.622 -17.3596
212.000000 91.577 -17.2928
214.000000 91.546 -17.2034
218.000000 91.492 -16.8579
220.000000 91.469 -16.6838
224.000000 91.411 -16.4357
227.000000 91.360 -16.2529
230.000000 91.312 -16.0931
233.000000 91.269 -16.0237
236.000000 91.234 -15.9751
240.000000 91.182 -15.7825
243.000000 91.143 -15.6321
247.000000 91.103 -15.3958
250.000000 91.071 -15.1752
254.000000 91.023 -14.9707
258.000000 90.980 -14.8166
262.000000 90.932 -14.5979
265.000000 90.901 -14.4158
269.000000 90.868 -14.1708
272.000000 90.840 -13.9921
276.000000 90.801 -13.7477
280.000000 90.766 -13.5153
285.000000 90.722 -13.2770
290.000000 90.679 -12.9312
295.000000 90.643 -12.5499
300.000000 90.613 -12.2201
304.000000 90.590 -11.9435
