* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -18.0 dBFS, measurement signal peak level -15.7 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 6, 2023 1:09:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Apple + Abigail Delay -0.0652 ms (-22 mm, -0.88 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: -0.2 ppm
* Measurement: Moondrop KATO S1 Foam R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 65.686 -4.0017
1.015000 66.392 -5.1462
1.030000 67.068 -6.2567
1.044000 67.667 -7.2586
1.060000 68.307 -8.3579
1.075000 68.857 -9.3396
1.090000 69.354 -10.2696
1.106000 69.822 -11.2019
1.120000 70.205 -11.9786
1.138000 70.668 -12.9304
1.150000 70.960 -13.5371
1.172000 71.462 -14.5960
1.180000 71.634 -14.9650
1.206000 72.161 -16.1099
1.220000 72.425 -16.6949
1.241000 72.797 -17.5358
1.250000 72.948 -17.8840
1.265000 73.191 -18.4497
1.280000 73.423 -18.9991
1.315000 73.927 -20.2293
1.320000 73.995 -20.4003
1.340000 74.262 -21.0755
1.360000 74.519 -21.7405
1.380000 74.770 -22.4004
1.400000 75.017 -23.0601
1.430000 75.387 -24.0605
1.450000 75.637 -24.7419
1.475000 75.956 -25.6151
1.500000 76.257 -26.4833
1.525000 76.538 -27.3384
1.550000 76.799 -28.1799
1.575000 77.043 -29.0073
1.600000 77.273 -29.8200
1.625000 77.490 -30.6177
1.650000 77.695 -31.3997
1.675000 77.893 -32.1657
1.700000 78.083 -32.9150
1.725000 78.269 -33.6473
1.750000 78.452 -34.3620
1.775000 78.635 -35.0586
1.800000 78.820 -35.7367
1.825000 79.008 -36.3957
1.850000 79.198 -37.0316
1.875000 79.382 -37.6372
1.900000 79.561 -38.2154
1.925000 79.734 -38.7695
1.950000 79.903 -39.3027
1.975000 80.069 -39.8181
2.000000 80.230 -40.3192
2.030000 80.421 -40.9060
2.060000 80.608 -41.4824
2.090000 80.793 -42.0538
2.120000 80.977 -42.6259
2.140000 81.100 -43.0105
2.180000 81.345 -43.7947
2.200000 81.469 -44.1976
2.240000 81.716 -45.0073
2.270000 81.900 -45.6117
2.300000 82.082 -46.2138
2.330000 82.263 -46.8138
2.360000 82.441 -47.4118
2.400000 82.677 -48.2062
2.430000 82.851 -48.8001
2.470000 83.080 -49.5895
2.500000 83.250 -50.1799
2.540000 83.472 -50.9653
2.580000 83.690 -51.7491
2.620000 83.903 -52.5328
2.650000 84.061 -53.1202
2.690000 84.268 -53.9019
2.720000 84.421 -54.4863
2.760000 84.621 -55.2624
2.800000 84.817 -56.0336
2.850000 85.058 -56.9890
2.900000 85.293 -57.9328
2.950000 85.523 -58.8626
3.000000 85.746 -59.7777
3.040000 85.920 -60.5006
3.070000 86.048 -61.0384
3.110000 86.216 -61.7507
3.150000 86.381 -62.4587
3.200000 86.582 -63.3398
3.250000 86.779 -64.2189
3.300000 86.971 -65.0988
3.350000 87.159 -65.9816
3.400000 87.342 -66.8655
3.450000 87.520 -67.7474
3.500000 87.693 -68.6238
3.550000 87.862 -69.4915
3.600000 88.028 -70.3473
3.650000 88.190 -71.1878
3.700000 88.348 -72.0108
3.750000 88.502 -72.8182
3.820000 88.711 -73.9273
3.870000 88.856 -74.7076
3.950000 89.080 -75.9426
4.000000 89.216 -76.7098
4.060000 89.375 -77.6297
4.120000 89.529 -78.5483
4.180000 89.677 -79.4615
4.250000 89.845 -80.5144
4.310000 89.984 -81.4013
4.370000 90.120 -82.2694
4.440000 90.274 -83.2540
4.500000 90.402 -84.0759
4.550000 90.505 -84.7477
4.620000 90.646 -85.6716
4.680000 90.763 -86.4515
4.750000 90.898 -87.3517
4.820000 91.029 -88.2421
4.870000 91.121 -88.8697
4.940000 91.246 -89.7365
5.000000 91.350 -90.4690
5.080000 91.486 -91.4308
5.150000 91.601 -92.2591
5.220000 91.713 -93.0742
5.300000 91.837 -93.9898
5.380000 91.957 -94.8890
5.450000 92.059 -95.6628
5.520000 92.158 -96.4247
5.600000 92.267 -97.2800
5.700000 92.399 -98.3266
5.800000 92.526 -99.3497
5.900000 92.649 -100.3501
6.000000 92.768 -101.3245
6.080000 92.861 -102.0880
6.150000 92.940 -102.7471
6.220000 93.017 -103.3999
6.300000 93.104 -104.1378
6.400000 93.208 -105.0454
6.500000 93.310 -105.9387
6.600000 93.407 -106.8199
6.700000 93.500 -107.6913
6.800000 93.589 -108.5505
6.900000 93.675 -109.3936
7.000000 93.757 -110.2172
7.100000 93.836 -111.0223
7.200000 93.911 -111.8100
7.300000 93.984 -112.5814
7.400000 94.055 -113.3362
7.500000 94.123 -114.0739
7.620000 94.201 -114.9388
7.750000 94.283 -115.8532
7.880000 94.362 -116.7427
8.000000 94.432 -117.5440
8.120000 94.499 -118.3289
8.250000 94.569 -119.1598
8.380000 94.637 -119.9704
8.500000 94.697 -120.7007
8.620000 94.755 -121.4133
8.750000 94.816 -122.1674
8.850000 94.862 -122.7354
9.000000 94.929 -123.5659
9.120000 94.981 -124.2170
9.250000 95.039 -124.9126
9.380000 95.096 -125.5957
9.500000 95.146 -126.2203
9.620000 95.193 -126.8423
9.750000 95.240 -127.5108
9.880000 95.280 -128.1732
10.000000 95.308 -128.7812
10.150000 95.333 -129.5338
10.300000 95.350 -130.2637
10.440000 95.356 -130.9236
10.600000 95.358 -131.6546
10.750000 95.361 -132.3146
10.900000 95.362 -132.9533
11.060000 95.366 -133.6236
11.200000 95.370 -134.2001
11.380000 95.377 -134.9263
11.500000 95.381 -135.4000
11.720000 95.391 -136.2523
11.800000 95.395 -136.5580
12.060000 95.411 -137.5386
12.200000 95.421 -138.0676
12.410000 95.436 -138.8586
12.500000 95.442 -139.1937
12.650000 95.450 -139.7492
12.800000 95.456 -140.2950
13.150000 95.464 -141.5191
13.200000 95.465 -141.6870
13.400000 95.468 -142.3405
13.600000 95.471 -142.9619
13.800000 95.475 -143.5484
14.000000 95.480 -144.1093
14.300000 95.490 -144.9087
14.500000 95.498 -145.4229
14.750000 95.511 -146.0565
15.000000 95.527 -146.6869
15.250000 95.545 -147.3255
15.500000 95.563 -147.9633
15.750000 95.579 -148.5942
16.000000 95.590 -149.2060
16.250000 95.599 -149.7938
16.500000 95.605 -150.3551
16.750000 95.612 -150.8878
17.000000 95.620 -151.3965
17.250000 95.630 -151.8862
17.500000 95.643 -152.3632
17.750000 95.655 -152.8376
18.000000 95.668 -153.3136
18.250000 95.681 -153.7958
18.500000 95.692 -154.2794
18.750000 95.703 -154.7600
19.000000 95.712 -155.2333
19.250000 95.722 -155.6973
19.500000 95.731 -156.1510
19.750000 95.739 -156.5936
20.000000 95.747 -157.0247
20.299999 95.757 -157.5287
20.600000 95.766 -158.0204
20.900000 95.775 -158.5022
21.200001 95.784 -158.9757
21.400000 95.788 -159.2863
21.799999 95.795 -159.8936
22.000000 95.798 -160.1895
22.400000 95.802 -160.7644
22.700001 95.805 -161.1805
23.000000 95.807 -161.5839
23.299999 95.809 -161.9765
23.600000 95.811 -162.3595
24.000000 95.815 -162.8573
24.299999 95.818 -163.2226
24.700001 95.822 -163.7018
25.000000 95.826 -164.0583
25.400000 95.830 -164.5325
25.799999 95.834 -165.0037
26.200001 95.834 -165.4642
26.500000 95.834 -165.7967
26.900000 95.832 -166.2192
27.200001 95.832 -166.5239
27.600000 95.833 -166.9250
28.000000 95.834 -167.3337
28.500000 95.833 -167.8555
29.000000 95.828 -168.3565
29.500000 95.823 -168.8075
30.000000 95.821 -169.2255
30.400000 95.823 -169.5697
30.700001 95.824 -169.8455
31.100000 95.823 -170.2333
31.500000 95.818 -170.6243
32.000000 95.806 -171.0805
32.500000 95.793 -171.4841
33.000000 95.784 -171.8560
33.500000 95.778 -172.2267
34.000000 95.773 -172.6114
34.500000 95.769 -173.0052
35.000000 95.764 -173.3968
35.500000 95.757 -173.7775
36.000000 95.750 -174.1397
36.500000 95.743 -174.4803
37.000000 95.736 -174.8097
37.500000 95.730 -175.1423
38.200001 95.722 -175.6176
38.700001 95.714 -175.9566
39.500000 95.697 -176.4817
40.000000 95.686 -176.7910
40.599998 95.672 -177.1424
41.200001 95.660 -177.4835
41.799999 95.649 -177.8247
42.500000 95.637 -178.2252
43.099998 95.626 -178.5671
43.700001 95.615 -178.9014
44.400002 95.601 -179.2771
45.000000 95.591 -179.5917
45.500000 95.582 -179.8536
46.200001 95.569 179.7831
46.799999 95.557 179.4814
47.500000 95.543 179.1406
48.200001 95.529 178.8091
48.700001 95.520 178.5781
49.400002 95.507 178.2573
50.000000 95.497 177.9751
50.799999 95.482 177.5894
51.500000 95.464 177.2656
52.200001 95.446 176.9686
53.000000 95.428 176.6479
53.799999 95.411 176.3334
54.500000 95.395 176.0626
55.200001 95.379 175.7890
56.000000 95.359 175.4703
57.000000 95.332 175.0758
58.000000 95.299 174.6946
59.000000 95.265 174.3649
60.000000 95.240 174.0434
60.799999 95.224 173.7309
61.500000 95.206 173.4572
62.200001 95.187 173.2092
63.000000 95.165 172.9341
64.000000 95.135 172.6010
65.000000 95.106 172.3031
66.000000 95.081 172.0056
67.000000 95.054 171.7041
68.000000 95.025 171.4037
69.000000 94.993 171.1092
70.000000 94.960 170.8372
71.000000 94.928 170.5715
72.000000 94.897 170.3035
73.000000 94.867 170.0518
74.000000 94.837 169.8109
75.000000 94.807 169.5668
76.199997 94.771 169.2735
77.500000 94.734 168.9717
78.800003 94.701 168.6668
80.000000 94.670 168.3779
81.199997 94.634 168.0874
82.500000 94.587 167.8394
83.800003 94.545 167.6335
85.000000 94.509 167.4271
86.199997 94.474 167.2003
87.500000 94.435 166.9521
88.500000 94.407 166.7634
90.000000 94.363 166.4826
91.199997 94.328 166.2734
92.500000 94.291 166.0576
93.800003 94.255 165.8448
95.000000 94.218 165.6587
96.199997 94.181 165.4870
97.500000 94.142 165.3068
98.800003 94.101 165.1330
100.000000 94.063 164.9753
101.500000 94.016 164.7519
103.000000 93.966 164.5151
104.400002 93.918 164.3289
106.000000 93.870 164.1551
107.500000 93.831 163.9744
109.000000 93.789 163.7936
110.599998 93.741 163.6287
112.000000 93.696 163.4985
113.800003 93.637 163.3542
115.000000 93.598 163.2397
117.199997 93.524 163.0007
118.000000 93.497 162.9225
120.599998 93.420 162.7311
122.000000 93.386 162.6349
124.099998 93.335 162.4837
125.000000 93.311 162.4207
126.500000 93.268 162.3257
128.000000 93.225 162.2451
131.500000 93.130 162.0676
132.000000 93.117 162.0424
134.000000 93.066 161.9385
136.000000 93.017 161.8370
138.000000 92.966 161.7498
140.000000 92.915 161.6667
143.000000 92.843 161.5774
145.000000 92.797 161.5240
147.500000 92.737 161.4611
150.000000 92.677 161.4211
152.500000 92.617 161.3907
155.000000 92.557 161.3536
157.500000 92.497 161.3128
160.000000 92.438 161.2820
162.500000 92.381 161.2786
165.000000 92.326 161.2901
167.500000 92.268 161.2987
170.000000 92.209 161.3156
172.500000 92.148 161.3409
175.000000 92.088 161.3754
177.500000 92.028 161.4233
180.000000 91.972 161.4631
182.500000 91.916 161.4900
185.000000 91.859 161.5237
187.500000 91.801 161.5700
190.000000 91.745 161.6366
192.500000 91.692 161.7155
195.000000 91.641 161.7870
197.500000 91.592 161.8589
200.000000 91.546 161.9396
203.000000 91.492 162.0389
206.000000 91.433 162.1454
209.000000 91.371 162.2489
212.000000 91.315 162.3705
214.000000 91.279 162.4683
218.000000 91.206 162.6551
220.000000 91.170 162.7395
224.000000 91.101 162.9090
227.000000 91.050 163.0395
230.000000 90.998 163.1791
233.000000 90.948 163.3367
236.000000 90.901 163.5041
240.000000 90.839 163.7151
243.000000 90.790 163.8724
247.000000 90.728 164.0976
250.000000 90.684 164.2775
254.000000 90.628 164.5414
258.000000 90.570 164.8019
262.000000 90.514 165.0368
265.000000 90.473 165.2156
269.000000 90.421 165.4676
