* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.670. Timing signal peak level -37.7 dBFS, measurement signal peak level -34.0 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jul 26, 2023 2:09:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -6.8704 ms (-2.356 m, -(7 ft 8.8 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 182.8 ppm
* Measurement: Quarks DSP S3 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 61.363 -69.5072
1.015000 61.740 -72.1082
1.030000 62.111 -74.5976
1.044000 62.452 -76.8108
1.060000 62.833 -79.1983
1.075000 63.183 -81.2879
1.090000 63.524 -83.2225
1.106000 63.878 -85.1021
1.120000 64.182 -86.5834
1.138000 64.567 -88.2777
1.150000 64.819 -89.2853
1.172000 65.274 -90.9027
1.180000 65.437 -91.4231
1.206000 65.957 -92.8948
1.220000 66.232 -93.5643
1.241000 66.638 -94.4341
1.250000 66.809 -94.7646
1.265000 67.092 -95.2688
1.280000 67.370 -95.7254
1.315000 68.008 -96.6738
1.320000 68.097 -96.8026
1.340000 68.452 -97.3186
1.360000 68.802 -97.8582
1.380000 69.147 -98.4500
1.400000 69.487 -99.1231
1.430000 69.991 -100.3481
1.450000 70.322 -101.3505
1.475000 70.730 -102.8475
1.500000 71.130 -104.5051
1.525000 71.520 -106.2744
1.550000 71.901 -108.1358
1.575000 72.273 -110.0695
1.600000 72.636 -112.0555
1.625000 72.992 -114.0740
1.650000 73.341 -116.1053
1.675000 73.683 -118.1296
1.700000 74.019 -120.1269
1.725000 74.349 -122.0775
1.750000 74.674 -123.9615
1.775000 74.994 -125.7592
1.800000 75.310 -127.4506
1.825000 75.623 -129.0161
1.850000 75.931 -130.4500
1.875000 76.233 -131.7830
1.900000 76.528 -133.0272
1.925000 76.817 -134.1938
1.950000 77.100 -135.2940
1.975000 77.377 -136.3390
2.000000 77.650 -137.3398
2.030000 77.970 -138.4984
2.060000 78.284 -139.6288
2.090000 78.592 -140.7504
2.120000 78.895 -141.8824
2.140000 79.094 -142.6525
2.180000 79.486 -144.2549
2.200000 79.679 -145.0986
2.240000 80.058 -146.8235
2.270000 80.335 -148.1287
2.300000 80.605 -149.4402
2.330000 80.870 -150.7546
2.360000 81.129 -152.0688
2.400000 81.466 -153.8152
2.430000 81.713 -155.1162
2.470000 82.037 -156.8333
2.500000 82.275 -158.1035
2.540000 82.586 -159.7678
2.580000 82.892 -161.3942
2.620000 83.190 -163.0022
2.650000 83.408 -164.1977
2.690000 83.691 -165.7751
2.720000 83.899 -166.9437
2.760000 84.170 -168.4800
2.800000 84.435 -169.9881
2.850000 84.757 -171.8284
2.900000 85.072 -173.6126
2.950000 85.380 -175.3315
3.000000 85.677 -176.9643
3.040000 85.909 -178.2175
3.070000 86.078 -179.1335
3.110000 86.300 179.6682
3.150000 86.516 178.4865
3.200000 86.780 177.0161
3.250000 87.038 175.5335
3.300000 87.290 174.0177
3.350000 87.535 172.4594
3.400000 87.773 170.8746
3.450000 88.003 169.2820
3.500000 88.227 167.7002
3.550000 88.446 166.1480
3.600000 88.659 164.6440
3.650000 88.868 163.2068
3.700000 89.072 161.8517
3.750000 89.270 160.5703
3.820000 89.538 158.8671
3.870000 89.723 157.6918
3.950000 90.010 155.8345
4.000000 90.185 154.6611
4.060000 90.390 153.2159
4.120000 90.588 151.7451
4.180000 90.780 150.2682
4.250000 90.997 148.5612
4.310000 91.178 147.1320
4.370000 91.354 145.7528
4.440000 91.554 144.2257
4.500000 91.720 142.9785
4.550000 91.855 141.9722
4.620000 92.038 140.5985
4.680000 92.190 139.4392
4.750000 92.364 138.0891
4.820000 92.533 136.7328
4.870000 92.650 135.7692
4.940000 92.809 134.4334
5.000000 92.942 133.3058
5.080000 93.114 131.8358
5.150000 93.260 130.5887
5.220000 93.402 129.3784
5.300000 93.559 128.0331
5.380000 93.711 126.7209
5.450000 93.839 125.5939
5.520000 93.965 124.4818
5.600000 94.104 123.2354
5.700000 94.272 121.7145
5.800000 94.432 120.2311
5.900000 94.588 118.7814
6.000000 94.737 117.3665
6.080000 94.851 116.2605
6.150000 94.949 115.3119
6.220000 95.045 114.3814
6.300000 95.151 113.3424
6.400000 95.278 112.0797
6.500000 95.401 110.8494
6.600000 95.520 109.6434
6.700000 95.634 108.4597
6.800000 95.743 107.3022
6.900000 95.849 106.1741
7.000000 95.951 105.0779
7.100000 96.050 104.0154
7.200000 96.144 102.9820
7.300000 96.236 101.9724
7.400000 96.324 100.9836
7.500000 96.410 100.0183
7.620000 96.508 98.8916
7.750000 96.611 97.7108
7.880000 96.710 96.5731
8.000000 96.798 95.5557
8.120000 96.883 94.5649
8.250000 96.972 93.5244
8.380000 97.058 92.5150
8.500000 97.135 91.6086
8.620000 97.209 90.7279
8.750000 97.287 89.8001
8.850000 97.345 89.1037
9.000000 97.429 88.0887
9.120000 97.494 87.3008
9.250000 97.563 86.4701
9.380000 97.631 85.6638
9.500000 97.690 84.9419
9.620000 97.745 84.2420
9.750000 97.801 83.5082
9.880000 97.849 82.7982
10.000000 97.885 82.1638
10.150000 97.920 81.3989
10.300000 97.949 80.6612
10.440000 97.969 79.9990
10.600000 97.988 79.2667
10.750000 98.008 78.5994
10.900000 98.028 77.9515
11.060000 98.049 77.2758
11.200000 98.067 76.6981
11.380000 98.088 75.9732
11.500000 98.101 75.4995
11.720000 98.121 74.6582
11.800000 98.128 74.3624
12.060000 98.149 73.4406
12.200000 98.160 72.9773
12.410000 98.173 72.3264
12.500000 98.179 72.0665
12.650000 98.187 71.6588
12.800000 98.195 71.2802
13.150000 98.217 70.5064
13.200000 98.221 70.4048
13.400000 98.241 70.0236
13.600000 98.265 69.6606
13.800000 98.294 69.3097
14.000000 98.327 68.9539
14.300000 98.379 68.4023
14.500000 98.414 68.0128
14.750000 98.457 67.5006
15.000000 98.500 66.9600
15.250000 98.541 66.3946
15.500000 98.581 65.8072
15.750000 98.617 65.1994
16.000000 98.649 64.5721
16.250000 98.677 63.9237
16.500000 98.702 63.2531
16.750000 98.724 62.5585
17.000000 98.744 61.8384
17.250000 98.762 61.0924
17.500000 98.777 60.3201
17.750000 98.789 59.5230
18.000000 98.797 58.7037
18.250000 98.802 57.8650
18.500000 98.803 57.0130
18.750000 98.803 56.1518
19.000000 98.802 55.2854
19.250000 98.802 54.4167
19.500000 98.803 53.5450
19.750000 98.805 52.6691
20.000000 98.808 51.7852
20.299999 98.815 50.7101
20.600000 98.823 49.6178
20.900000 98.832 48.5104
21.200001 98.841 47.3939
21.400000 98.846 46.6493
21.799999 98.857 45.1656
22.000000 98.862 44.4288
22.400000 98.875 42.9656
22.700001 98.885 41.8759
23.000000 98.895 40.7928
23.299999 98.904 39.7201
23.600000 98.912 38.6629
24.000000 98.923 37.2842
24.299999 98.932 36.2726
24.700001 98.948 34.9422
25.000000 98.961 33.9440
25.400000 98.979 32.5955
25.799999 98.994 31.2199
26.200001 99.002 29.8285
26.500000 99.004 28.7885
26.900000 99.002 27.4228
27.200001 98.999 26.4194
27.600000 98.996 25.1054
28.000000 98.997 23.8013
28.500000 99.005 22.1489
29.000000 99.016 20.4365
29.500000 99.026 18.6534
30.000000 99.028 16.8175
30.400000 99.021 15.3337
30.700001 99.012 14.2236
31.100000 98.996 12.7583
31.500000 98.976 11.3174
32.000000 98.947 9.5590
32.500000 98.915 7.8596
33.000000 98.884 6.2308
33.500000 98.858 4.6736
34.000000 98.840 3.1710
34.500000 98.831 1.6995
35.000000 98.827 0.2501
35.500000 98.824 -1.1617
36.000000 98.821 -2.5087
36.500000 98.821 -3.7747
37.000000 98.828 -4.9660
37.500000 98.840 -6.1031
38.200001 98.863 -7.6417
38.700001 98.880 -8.7164
39.500000 98.896 -10.3987
40.000000 98.897 -11.4161
40.599998 98.888 -12.5847
41.200001 98.873 -13.6958
41.799999 98.857 -14.7816
42.500000 98.841 -16.0831
43.099998 98.826 -17.2705
43.700001 98.804 -18.5218
44.400002 98.769 -20.0049
45.000000 98.737 -21.2378
45.500000 98.716 -22.2286
46.200001 98.703 -23.6008
46.799999 98.704 -24.8038
47.500000 98.711 -26.2424
48.200001 98.717 -27.6987
48.700001 98.717 -28.7515
49.400002 98.704 -30.2456
50.000000 98.673 -31.5079
50.799999 98.611 -33.0878
51.500000 98.549 -34.4034
52.200001 98.482 -35.7274
53.000000 98.398 -37.2032
53.799999 98.324 -38.5892
54.500000 98.277 -39.7638
55.200001 98.245 -40.8417
56.000000 98.242 -41.9102
57.000000 98.271 -43.0355
58.000000 98.357 -43.6295
59.000000 98.536 -44.5847
60.000000 98.532 -46.2417
60.799999 98.376 -46.6401
61.500000 98.275 -46.2805
62.200001 98.231 -45.9642
63.000000 98.181 -45.8812
64.000000 98.107 -45.9340
65.000000 98.037 -46.2302
66.000000 97.966 -46.6595
67.000000 97.907 -47.1215
68.000000 97.856 -47.5386
69.000000 97.816 -47.8257
70.000000 97.783 -48.0435
71.000000 97.742 -48.2103
72.000000 97.691 -48.3306
73.000000 97.632 -48.4583
74.000000 97.567 -48.6136
75.000000 97.501 -48.7761
76.199997 97.431 -48.9855
77.500000 97.360 -49.1918
78.800003 97.291 -49.3165
80.000000 97.223 -49.3350
81.199997 97.155 -49.3047
82.500000 97.074 -49.2869
83.800003 96.990 -49.2742
85.000000 96.913 -49.2794
86.199997 96.839 -49.2725
87.500000 96.760 -49.2385
88.500000 96.696 -49.1559
90.000000 96.606 -48.9606
91.199997 96.533 -48.8087
92.500000 96.445 -48.6307
93.800003 96.353 -48.4169
95.000000 96.269 -48.1922
96.199997 96.186 -47.9564
97.500000 96.096 -47.6976
98.800003 96.001 -47.4170
100.000000 95.911 -47.1029
101.500000 95.800 -46.6516
103.000000 95.690 -46.1730
104.400002 95.590 -45.7083
106.000000 95.475 -45.1691
107.500000 95.366 -44.6294
109.000000 95.254 -44.0339
110.599998 95.130 -43.3438
112.000000 95.016 -42.7231
113.800003 94.869 -41.9419
115.000000 94.778 -41.4557
117.199997 94.639 -40.6472
118.000000 94.591 -40.3992
120.599998 94.359 -39.1107
122.000000 94.242 -37.9351
124.099998 94.088 -36.2632
125.000000 94.017 -35.6055
126.500000 93.894 -34.5491
128.000000 93.777 -33.5205
131.500000 93.523 -31.0028
132.000000 93.488 -30.6166
134.000000 93.347 -29.0548
136.000000 93.197 -27.4962
138.000000 93.045 -25.8369
140.000000 92.906 -24.0789
143.000000 92.709 -21.3480
145.000000 92.577 -19.4545
147.500000 92.419 -16.9983
150.000000 92.273 -14.4897
152.500000 92.122 -11.9461
155.000000 91.968 -9.3195
157.500000 91.825 -6.6282
160.000000 91.693 -3.8906
162.500000 91.570 -1.0542
165.000000 91.455 1.7977
167.500000 91.345 4.6808
170.000000 91.247 7.6429
172.500000 91.146 10.6904
175.000000 91.037 13.7422
177.500000 90.923 16.7150
180.000000 90.834 19.7333
182.500000 90.781 22.8196
185.000000 90.731 25.9496
187.500000 90.670 29.0943
190.000000 90.611 32.2617
192.500000 90.565 35.4954
195.000000 90.532 38.7523
197.500000 90.501 41.9622
200.000000 90.470 45.1585
203.000000 90.442 49.0382
206.000000 90.418 52.9243
209.000000 90.399 56.8596
212.000000 90.390 60.8248
214.000000 90.382 63.4400
218.000000 90.351 68.6262
220.000000 90.340 71.2462
224.000000 90.338 76.5593
227.000000 90.350 80.5706
230.000000 90.355 84.5353
233.000000 90.335 88.4496
236.000000 90.306 92.3206
240.000000 90.300 97.6102
243.000000 90.330 101.7113
247.000000 90.355 107.1488
250.000000 90.364 111.1898
254.000000 90.378 116.5775
258.000000 90.383 121.9854
262.000000 90.388 127.4502
265.000000 90.393 131.5927
269.000000 90.405 137.1277
272.000000 90.419 141.2498
276.000000 90.441 146.7499
280.000000 90.457 152.2678
285.000000 90.471 159.2063
290.000000 90.486 166.1716
295.000000 90.523 173.1155
