* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -18.8 dBFS, measurement signal peak level -11.8 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -30.0 dBFS using an acoustic timing reference
* Dated: Sep 19, 2024 9:04:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 Delay -0.0650 ms (-22 mm, -0.88 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -27.3 ppm
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 86.525, -97.9683
1.015000, 86.845, -98.3809
1.030000, 87.159, -98.7950
1.044000, 87.445, -99.1846
1.060000, 87.764, -99.6350
1.075000, 88.055, -100.0637
1.090000, 88.337, -100.4982
1.106000, 88.629, -100.9590
1.120000, 88.879, -101.3438
1.138000, 89.195, -101.8036
1.150000, 89.401, -102.0893
1.172000, 89.771, -102.5792
1.180000, 89.904, -102.7508
1.206000, 90.323, -103.2738
1.220000, 90.543, -103.5367
1.241000, 90.864, -103.9108
1.250000, 90.999, -104.0650
1.265000, 91.219, -104.3150
1.280000, 91.433, -104.5579
1.315000, 91.913, -105.1056
1.320000, 91.979, -105.1824
1.340000, 92.238, -105.4879
1.360000, 92.486, -105.7915
1.380000, 92.724, -106.1339
1.400000, 92.952, -106.4944
1.430000, 93.273, -107.0464
1.450000, 93.474, -107.4238
1.475000, 93.708, -107.8993
1.500000, 93.917, -108.3571
1.525000, 94.100, -108.7878
1.550000, 94.262, -109.1930
1.575000, 94.403, -109.5928
1.600000, 94.528, -110.0042
1.625000, 94.638, -110.3998
1.650000, 94.737, -110.7831
1.675000, 94.828, -111.1572
1.700000, 94.913, -111.5252
1.725000, 94.995, -111.8902
1.750000, 95.078, -112.2548
1.775000, 95.163, -112.6357
1.800000, 95.254, -113.0486
1.825000, 95.353, -113.4669
1.850000, 95.457, -113.8874
1.875000, 95.561, -114.3029
1.900000, 95.663, -114.7102
1.925000, 95.763, -115.1082
1.950000, 95.862, -115.4967
1.975000, 95.959, -115.8866
2.000000, 96.054, -116.2891
2.030000, 96.165, -116.7603
2.060000, 96.275, -117.2212
2.090000, 96.382, -117.6735
2.120000, 96.487, -118.1191
2.140000, 96.556, -118.4135
2.180000, 96.691, -119.0182
2.200000, 96.757, -119.3383
2.240000, 96.886, -119.9771
2.270000, 96.980, -120.4528
2.300000, 97.072, -120.9230
2.330000, 97.162, -121.3858
2.360000, 97.249, -121.8403
2.400000, 97.362, -122.4697
2.430000, 97.445, -122.9355
2.470000, 97.552, -123.5410
2.500000, 97.631, -123.9840
2.540000, 97.734, -124.5610
2.580000, 97.833, -125.1422
2.620000, 97.930, -125.7505
2.650000, 98.000, -126.2040
2.690000, 98.091, -126.8023
2.720000, 98.157, -127.2441
2.760000, 98.242, -127.8194
2.800000, 98.325, -128.4149
2.850000, 98.425, -129.1391
2.900000, 98.521, -129.8331
2.950000, 98.613, -130.5028
3.000000, 98.700, -131.1911
3.040000, 98.767, -131.7469
3.070000, 98.816, -132.1585
3.110000, 98.878, -132.6976
3.150000, 98.938, -133.2228
3.200000, 99.010, -133.8852
3.250000, 99.079, -134.5318
3.300000, 99.146, -135.1492
3.350000, 99.209, -135.7479
3.400000, 99.269, -136.3622
3.450000, 99.325, -136.9742
3.500000, 99.379, -137.5687
3.550000, 99.430, -138.1404
3.600000, 99.479, -138.7122
3.650000, 99.527, -139.2678
3.700000, 99.572, -139.8017
3.750000, 99.616, -140.3227
3.820000, 99.673, -141.0594
3.870000, 99.711, -141.5731
3.950000, 99.769, -142.3537
4.000000, 99.804, -142.8362
4.060000, 99.844, -143.4004
4.120000, 99.882, -143.9441
4.180000, 99.918, -144.4765
4.250000, 99.958, -145.1012
4.310000, 99.990, -145.6111
4.370000, 100.021, -146.0993
4.440000, 100.056, -146.6693
4.500000, 100.084, -147.1405
4.550000, 100.107, -147.5210
4.620000, 100.137, -148.0576
4.680000, 100.162, -148.5033
4.750000, 100.190, -148.9982
4.820000, 100.217, -149.4918
4.870000, 100.235, -149.8373
4.940000, 100.260, -150.3047
5.000000, 100.280, -150.7043
5.080000, 100.306, -151.2258
5.150000, 100.328, -151.6598
5.220000, 100.348, -152.0967
5.300000, 100.371, -152.5846
5.380000, 100.392, -153.0546
5.450000, 100.409, -153.4678
5.520000, 100.425, -153.8615
5.600000, 100.441, -154.3036
5.700000, 100.459, -154.8486
5.800000, 100.476, -155.3696
5.900000, 100.491, -155.8760
6.000000, 100.504, -156.3602
6.080000, 100.514, -156.7406
6.150000, 100.523, -157.0557
6.220000, 100.530, -157.3729
6.300000, 100.537, -157.7215
6.400000, 100.545, -158.1413
6.500000, 100.553, -158.5517
6.600000, 100.560, -158.9431
6.700000, 100.567, -159.3292
6.800000, 100.573, -159.6983
6.900000, 100.579, -160.0605
7.000000, 100.584, -160.4054
7.100000, 100.587, -160.7432
7.200000, 100.590, -161.0663
7.300000, 100.593, -161.3836
7.400000, 100.596, -161.6866
7.500000, 100.600, -161.9830
7.620000, 100.604, -162.3254
7.750000, 100.607, -162.6824
7.880000, 100.610, -163.0349
8.000000, 100.612, -163.3451
8.120000, 100.613, -163.6501
8.250000, 100.615, -163.9714
8.380000, 100.616, -164.2789
8.500000, 100.617, -164.5561
8.620000, 100.616, -164.8222
8.750000, 100.615, -165.0993
8.850000, 100.615, -165.3068
9.000000, 100.614, -165.6016
9.120000, 100.614, -165.8316
9.250000, 100.615, -166.0738
9.380000, 100.615, -166.3050
9.500000, 100.615, -166.5204
9.620000, 100.615, -166.7283
9.750000, 100.613, -166.9500
9.880000, 100.608, -167.1662
10.000000, 100.595, -167.3545
10.150000, 100.566, -167.6116
10.300000, 100.531, -167.8501
10.440000, 100.493, -168.0563
10.600000, 100.447, -168.2731
10.750000, 100.406, -168.4586
10.900000, 100.367, -168.6273
11.060000, 100.328, -168.8208
11.200000, 100.296, -169.0212
11.380000, 100.256, -169.2591
11.500000, 100.228, -169.4055
11.720000, 100.178, -169.6500
11.800000, 100.162, -169.7315
12.060000, 100.112, -169.9911
12.200000, 100.090, -170.1523
12.410000, 100.061, -170.3748
12.500000, 100.048, -170.4634
12.650000, 100.027, -170.6022
12.800000, 100.005, -170.7303
13.150000, 99.958, -171.0381
13.200000, 99.951, -171.0869
13.400000, 99.929, -171.2714
13.600000, 99.908, -171.4388
13.800000, 99.888, -171.5893
14.000000, 99.869, -171.7284
14.300000, 99.843, -171.9782
14.500000, 99.825, -172.1299
14.750000, 99.804, -172.3008
15.000000, 99.784, -172.4549
15.250000, 99.771, -172.6424
15.500000, 99.760, -172.8149
15.750000, 99.749, -172.9701
16.000000, 99.737, -173.1094
16.250000, 99.726, -173.2779
16.500000, 99.716, -173.4311
16.750000, 99.706, -173.5687
17.000000, 99.698, -173.6959
17.250000, 99.692, -173.8448
17.500000, 99.688, -173.9865
17.750000, 99.682, -174.1180
18.000000, 99.677, -174.2430
18.250000, 99.672, -174.3896
18.500000, 99.667, -174.5287
18.750000, 99.662, -174.6558
19.000000, 99.657, -174.7714
19.250000, 99.655, -174.9045
19.500000, 99.653, -175.0273
19.750000, 99.651, -175.1403
20.000000, 99.650, -175.2448
20.299999, 99.649, -175.3939
20.600000, 99.648, -175.5325
20.900000, 99.646, -175.6607
21.200001, 99.644, -175.7976
21.400000, 99.642, -175.8893
21.799999, 99.638, -176.0577
22.000000, 99.635, -176.1363
22.400000, 99.631, -176.3100
22.700001, 99.628, -176.4307
23.000000, 99.624, -176.5448
23.299999, 99.621, -176.6665
23.600000, 99.617, -176.7818
24.000000, 99.613, -176.9247
24.299999, 99.612, -177.0414
24.700001, 99.610, -177.1872
25.000000, 99.608, -177.2886
25.400000, 99.607, -177.4340
25.799999, 99.606, -177.5705
26.200001, 99.605, -177.7144
26.500000, 99.604, -177.8285
26.900000, 99.603, -177.9712
27.200001, 99.602, -178.0767
27.600000, 99.600, -178.2092
28.000000, 99.599, -178.3292
28.500000, 99.600, -178.4959
29.000000, 99.601, -178.6596
29.500000, 99.600, -178.8215
30.000000, 99.597, -178.9718
30.400000, 99.592, -179.0995
30.700001, 99.589, -179.1887
31.100000, 99.585, -179.3031
31.500000, 99.581, -179.4200
32.000000, 99.575, -179.5583
32.500000, 99.569, -179.6970
33.000000, 99.564, -179.8328
33.500000, 99.558, -179.9930
34.000000, 99.552, 179.8509
34.500000, 99.547, 179.7112
35.000000, 99.544, 179.5809
35.500000, 99.543, 179.4334
36.000000, 99.541, 179.2790
36.500000, 99.538, 179.1327
37.000000, 99.535, 179.0112
37.500000, 99.539, 178.8762
38.200001, 99.545, 178.6105
38.700001, 99.537, 178.3839
39.500000, 99.505, 178.1503
40.000000, 99.490, 178.1279
40.599998, 99.489, 178.1059
41.200001, 99.496, 178.0159
41.799999, 99.498, 177.8733
42.500000, 99.491, 177.7356
43.099998, 99.491, 177.6490
43.700001, 99.497, 177.5467
44.400002, 99.501, 177.3617
45.000000, 99.498, 177.1948
45.500000, 99.493, 177.0872
46.200001, 99.491, 176.9419
46.799999, 99.490, 176.7811
47.500000, 99.484, 176.5864
48.200001, 99.473, 176.4191
48.700001, 99.465, 176.3224
49.400002, 99.458, 176.1973
50.000000, 99.455, 176.0827
50.799999, 99.448, 175.9154
51.500000, 99.441, 175.7555
52.200001, 99.433, 175.6047
53.000000, 99.424, 175.4688
53.799999, 99.416, 175.3164
54.500000, 99.411, 175.1819
55.200001, 99.404, 175.0473
56.000000, 99.395, 174.9102
57.000000, 99.387, 174.7778
58.000000, 99.377, 174.6234
59.000000, 99.374, 174.5089
60.000000, 99.372, 174.2989
60.799999, 99.355, 174.0493
61.500000, 99.333, 173.9126
62.200001, 99.315, 173.8168
63.000000, 99.299, 173.6837
64.000000, 99.279, 173.5696
65.000000, 99.265, 173.4094
66.000000, 99.258, 173.2307
67.000000, 99.251, 173.0749
68.000000, 99.240, 172.8912
69.000000, 99.229, 172.7422
70.000000, 99.217, 172.6163
71.000000, 99.205, 172.4762
72.000000, 99.192, 172.3235
73.000000, 99.175, 172.1769
74.000000, 99.156, 172.0424
75.000000, 99.141, 171.9037
76.199997, 99.123, 171.7270
77.500000, 99.105, 171.5613
78.800003, 99.087, 171.4198
80.000000, 99.071, 171.2682
81.199997, 99.054, 171.1069
82.500000, 99.030, 170.9280
83.800003, 99.006, 170.7971
85.000000, 98.987, 170.6740
86.199997, 98.969, 170.5224
87.500000, 98.950, 170.4081
88.500000, 98.938, 170.3115
90.000000, 98.921, 170.1259
91.199997, 98.905, 169.9308
92.500000, 98.881, 169.8007
93.800003, 98.859, 169.6957
95.000000, 98.839, 169.5629
96.199997, 98.817, 169.4548
97.500000, 98.794, 169.3738
98.800003, 98.773, 169.2732
100.000000, 98.754, 169.1479
101.500000, 98.729, 168.9684
103.000000, 98.702, 168.8191
104.400002, 98.676, 168.7022
106.000000, 98.648, 168.5714
107.500000, 98.620, 168.4482
109.000000, 98.592, 168.3485
110.599998, 98.562, 168.1956
112.000000, 98.535, 168.0867
113.800003, 98.503, 167.9855
115.000000, 98.482, 167.9087
117.199997, 98.438, 167.7628
118.000000, 98.421, 167.7247
120.599998, 98.372, 167.6182
122.000000, 98.352, 167.5018
124.099998, 98.321, 167.3004
125.000000, 98.307, 167.2243
126.500000, 98.287, 167.1854
128.000000, 98.266, 167.0934
131.500000, 98.201, 166.9568
132.000000, 98.193, 166.9343
134.000000, 98.160, 166.7914
136.000000, 98.121, 166.6661
138.000000, 98.083, 166.6183
140.000000, 98.050, 166.5679
143.000000, 98.003, 166.4034
145.000000, 97.977, 166.2693
147.500000, 97.944, 166.1558
150.000000, 97.907, 166.1418
152.500000, 97.868, 166.1185
155.000000, 97.830, 166.0491
157.500000, 97.791, 165.9746
160.000000, 97.751, 165.8972
162.500000, 97.714, 165.8035
165.000000, 97.675, 165.7177
167.500000, 97.633, 165.6974
170.000000, 97.588, 165.7227
172.500000, 97.544, 165.7104
175.000000, 97.500, 165.6555
177.500000, 97.454, 165.6262
180.000000, 97.406, 165.5876
182.500000, 97.360, 165.5924
185.000000, 97.316, 165.5784
187.500000, 97.270, 165.6043
190.000000, 97.223, 165.5702
192.500000, 97.177, 165.5132
195.000000, 97.137, 165.5484
197.500000, 97.099, 165.6144
200.000000, 97.062, 165.6722
203.000000, 97.015, 165.6935
206.000000, 96.967, 165.7065
209.000000, 96.917, 165.7354
212.000000, 96.868, 165.7579
214.000000, 96.837, 165.7921
218.000000, 96.774, 165.8898
220.000000, 96.741, 165.9203
224.000000, 96.676, 166.0038
227.000000, 96.631, 166.0729
230.000000, 96.585, 166.1250
233.000000, 96.534, 166.2138
236.000000, 96.480, 166.3589
240.000000, 96.412, 166.5630
243.000000, 96.371, 166.6357
247.000000, 96.320, 166.7231
250.000000, 96.275, 166.8184
254.000000, 96.203, 166.9643
258.000000, 96.141, 167.1803
262.000000, 96.098, 167.4059
265.000000, 96.066, 167.5433
269.000000, 96.023, 167.7212
272.000000, 95.993, 167.8725
276.000000, 95.952, 168.0479
280.000000, 95.908, 168.1989
285.000000, 95.850, 168.3715
290.000000, 95.789, 168.5361
295.000000, 95.727, 168.7597
300.000000, 95.664, 168.9980
304.000000, 95.617, 169.1791
307.000000, 95.583, 169.3424
311.000000, 95.538, 169.5653
315.000000, 95.493, 169.7718
320.000000, 95.437, 170.0423
325.000000, 95.383, 170.3620
330.000000, 95.330, 170.6842
335.000000, 95.278, 171.0114
340.000000, 95.228, 171.3377
345.000000, 95.181, 171.6792
350.000000, 95.136, 171.9899
355.000000, 95.091, 172.2680
360.000000, 95.043, 172.5572
365.000000, 94.992, 172.8604
370.000000, 94.941, 173.1618
375.000000, 94.891, 173.4687
382.000000, 94.822, 173.9347
387.000000, 94.774, 174.2810
395.000000, 94.697, 174.8331
400.000000, 94.650, 175.1799
406.000000, 94.595, 175.6047
412.000000, 94.541, 176.0352
418.000000, 94.488, 176.4746
425.000000, 94.428, 176.9884
431.000000, 94.376, 177.4483
437.000000, 94.326, 177.8948
444.000000, 94.269, 178.4315
450.000000, 94.221, 178.8912
455.000000, 94.183, 179.2873
462.000000, 94.130, 179.8359
468.000000, 94.086, -179.7012
475.000000, 94.037, -179.1394
482.000000, 93.990, -178.5696
487.000000, 93.959, -178.1682
494.000000, 93.916, -177.5964
500.000000, 93.882, -177.1075
508.000000, 93.836, -176.4401
515.000000, 93.796, -175.8553
522.000000, 93.755, -175.2766
530.000000, 93.711, -174.5858
538.000000, 93.669, -173.8920
545.000000, 93.639, -173.3133
552.000000, 93.612, -172.7285
560.000000, 93.578, -172.0235
570.000000, 93.536, -171.1369
580.000000, 93.497, -170.2690
590.000000, 93.462, -169.3724
600.000000, 93.428, -168.5136
608.000000, 93.401, -167.7970
615.000000, 93.377, -167.1653
622.000000, 93.354, -166.5273
630.000000, 93.329, -165.8155
640.000000, 93.301, -164.9071
650.000000, 93.276, -163.9917
660.000000, 93.255, -163.0919
670.000000, 93.234, -162.1725
680.000000, 93.214, -161.2443
690.000000, 93.199, -160.3190
700.000000, 93.188, -159.3919
710.000000, 93.180, -158.4519
720.000000, 93.175, -157.5243
730.000000, 93.171, -156.5920
740.000000, 93.170, -155.6596
750.000000, 93.172, -154.7109
762.000000, 93.178, -153.5644
775.000000, 93.189, -152.3383
788.000000, 93.204, -151.1180
800.000000, 93.224, -149.9907
812.000000, 93.248, -148.8793
825.000000, 93.280, -147.6834
838.000000, 93.316, -146.5102
850.000000, 93.352, -145.4442
862.000000, 93.391, -144.3807
875.000000, 93.436, -143.2473
885.000000, 93.474, -142.3932
900.000000, 93.534, -141.1200
912.000000, 93.587, -140.1142
925.000000, 93.648, -139.0587
938.000000, 93.714, -138.0117
950.000000, 93.779, -137.0549
962.000000, 93.850, -136.1497
975.000000, 93.928, -135.2054
988.000000, 94.005, -134.2657
1000.000000, 94.075, -133.4340
1015.000000, 94.163, -132.4436
1030.000000, 94.253, -131.4905
1044.000000, 94.337, -130.6395
1060.000000, 94.433, -129.7114
1075.000000, 94.524, -128.8766
1090.000000, 94.619, -128.0827
1106.000000, 94.729, -127.2690
1120.000000, 94.826, -126.5839
1138.000000, 94.948, -125.7431
1150.000000, 95.028, -125.2037
1172.000000, 95.169, -124.2295
1180.000000, 95.219, -123.8914
1206.000000, 95.380, -122.8201
1220.000000, 95.466, -122.2518
1241.000000, 95.595, -121.4247
1250.000000, 95.650, -121.0735
1265.000000, 95.739, -120.4787
1280.000000, 95.827, -119.9015
1315.000000, 96.025, -118.5548
1320.000000, 96.052, -118.3633
1340.000000, 96.153, -117.5978
1360.000000, 96.234, -116.8215
1380.000000, 96.312, -116.0463
1400.000000, 96.404, -115.2634
1430.000000, 96.547, -114.0919
1450.000000, 96.643, -113.3010
1475.000000, 96.763, -112.3182
1500.000000, 96.884, -111.3274
1525.000000, 97.003, -110.3296
1550.000000, 97.118, -109.3295
1575.000000, 97.232, -108.3224
