* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 18, 2023 5:22:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SSR R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 62.209 -0.8079
1.015000 62.234 -2.3669
1.030000 62.268 -3.9413
1.044000 62.307 -5.4217
1.060000 62.362 -7.1227
1.075000 62.424 -8.7227
1.090000 62.497 -10.3243
1.106000 62.586 -12.0434
1.120000 62.678 -13.6247
1.138000 62.813 -15.7719
1.150000 62.912 -17.2671
1.172000 63.113 -20.1216
1.180000 63.192 -21.1911
1.206000 63.465 -24.7594
1.220000 63.621 -26.7262
1.241000 63.867 -29.7145
1.250000 63.976 -31.0034
1.265000 64.161 -33.1548
1.280000 64.349 -35.3016
1.315000 64.797 -40.2382
1.320000 64.862 -40.9298
1.340000 65.119 -43.6478
1.360000 65.374 -46.2707
1.380000 65.625 -48.7755
1.400000 65.868 -51.1389
1.430000 66.215 -54.3683
1.450000 66.430 -56.2769
1.475000 66.679 -58.3591
1.500000 66.920 -60.1889
1.525000 67.157 -61.8056
1.550000 67.390 -63.2262
1.575000 67.619 -64.4681
1.600000 67.843 -65.5483
1.625000 68.064 -66.4841
1.650000 68.280 -67.2925
1.675000 68.491 -67.9908
1.700000 68.699 -68.5962
1.725000 68.902 -69.1257
1.750000 69.100 -69.5967
1.775000 69.294 -70.0262
1.800000 69.483 -70.4315
1.825000 69.667 -70.8296
1.850000 69.845 -71.1963
1.875000 70.016 -71.4472
1.900000 70.179 -71.5903
1.925000 70.336 -71.6380
1.950000 70.488 -71.6022
1.975000 70.634 -71.4953
2.000000 70.777 -71.3295
2.030000 70.945 -71.0699
2.060000 71.111 -70.7641
2.090000 71.275 -70.4333
2.120000 71.440 -70.0984
2.140000 71.551 -69.8833
2.180000 71.777 -69.5010
2.200000 71.893 -69.3459
2.240000 72.126 -69.0321
2.270000 72.300 -68.7699
2.300000 72.473 -68.4880
2.330000 72.645 -68.1898
2.360000 72.817 -67.8782
2.400000 73.047 -67.4476
2.430000 73.220 -67.1172
2.470000 73.451 -66.6729
2.500000 73.626 -66.3409
2.540000 73.860 -65.9058
2.580000 74.098 -65.4804
2.620000 74.338 -65.0243
2.650000 74.520 -64.6633
2.690000 74.765 -64.1686
2.720000 74.949 -63.7961
2.760000 75.195 -63.3093
2.800000 75.440 -62.8479
2.850000 75.746 -62.3298
2.900000 76.048 -61.9045
2.950000 76.346 -61.5970
3.000000 76.644 -61.3842
3.040000 76.883 -61.2704
3.070000 77.061 -61.2147
3.110000 77.298 -61.1760
3.150000 77.532 -61.1734
3.200000 77.819 -61.2135
3.250000 78.100 -61.2926
3.300000 78.371 -61.4012
3.350000 78.636 -61.5518
3.400000 78.895 -61.7542
3.450000 79.148 -62.0026
3.500000 79.395 -62.2916
3.550000 79.634 -62.6155
3.600000 79.866 -62.9689
3.650000 80.088 -63.3460
3.700000 80.302 -63.7522
3.750000 80.507 -64.2052
3.820000 80.781 -64.9002
3.870000 80.967 -65.4259
3.950000 81.249 -66.2893
4.000000 81.417 -66.8266
4.060000 81.608 -67.4604
4.120000 81.786 -68.1136
4.180000 81.954 -68.7806
4.250000 82.137 -69.5596
4.310000 82.285 -70.2140
4.370000 82.426 -70.8429
4.440000 82.583 -71.5383
4.500000 82.706 -72.1188
4.550000 82.802 -72.5901
4.620000 82.930 -73.2261
4.680000 83.036 -73.7447
4.750000 83.157 -74.3132
4.820000 83.275 -74.8375
4.870000 83.355 -75.1865
4.940000 83.463 -75.6443
5.000000 83.554 -76.0125
5.080000 83.678 -76.4760
5.150000 83.791 -76.8601
5.220000 83.905 -77.2021
5.300000 84.036 -77.5540
5.380000 84.171 -77.8939
5.450000 84.293 -78.2058
5.520000 84.419 -78.5482
5.600000 84.570 -78.9427
5.700000 84.766 -79.4542
5.800000 84.965 -80.0276
5.900000 85.164 -80.7018
6.000000 85.369 -81.4585
6.080000 85.533 -82.1211
6.150000 85.674 -82.7455
6.220000 85.809 -83.4142
6.300000 85.958 -84.2419
6.400000 86.139 -85.3671
6.500000 86.309 -86.5619
6.600000 86.463 -87.7929
6.700000 86.600 -89.0834
6.800000 86.722 -90.4274
6.900000 86.828 -91.7718
7.000000 86.917 -93.0751
7.100000 86.986 -94.3802
7.200000 87.038 -95.6562
7.300000 87.078 -96.8503
7.400000 87.106 -97.9406
7.500000 87.117 -98.9591
7.620000 87.120 -100.0473
7.750000 87.122 -101.0083
7.880000 87.114 -101.7493
8.000000 87.111 -102.2650
8.120000 87.127 -102.6275
8.250000 87.157 -102.8168
8.380000 87.209 -102.8951
8.500000 87.285 -102.9310
8.620000 87.386 -102.8857
8.750000 87.518 -102.8532
8.850000 87.635 -102.9003
9.000000 87.839 -103.0275
9.120000 88.015 -103.2274
9.250000 88.211 -103.5889
9.380000 88.418 -104.0786
9.500000 88.604 -104.6344
9.620000 88.779 -105.2949
9.750000 88.962 -106.1276
9.880000 89.126 -107.0354
10.000000 89.256 -107.9341
10.150000 89.395 -109.1401
10.300000 89.504 -110.3619
10.440000 89.579 -111.5257
10.600000 89.638 -112.8428
10.750000 89.670 -114.0350
10.900000 89.680 -115.1867
11.060000 89.668 -116.3119
11.200000 89.637 -117.2234
11.380000 89.578 -118.2064
11.500000 89.524 -118.7326
11.720000 89.411 -119.3978
11.800000 89.370 -119.5210
12.060000 89.241 -119.5308
12.200000 89.195 -119.3021
12.410000 89.161 -118.7018
12.500000 89.166 -118.4166
12.650000 89.201 -117.8572
12.800000 89.265 -117.3283
13.150000 89.517 -116.5183
13.200000 89.558 -116.4739
13.400000 89.739 -116.5013
13.600000 89.912 -116.8007
13.800000 90.065 -117.3809
14.000000 90.187 -118.0719
14.300000 90.308 -119.2060
14.500000 90.354 -119.8549
14.750000 90.400 -120.4899
15.000000 90.450 -120.9211
15.250000 90.530 -121.2593
15.500000 90.636 -121.6650
15.750000 90.761 -122.2237
16.000000 90.880 -123.0320
16.250000 90.972 -124.0090
16.500000 91.028 -125.0666
16.750000 91.041 -126.0472
17.000000 91.030 -126.7887
17.250000 91.012 -127.2597
17.500000 91.010 -127.4348
17.750000 91.046 -127.4621
18.000000 91.120 -127.4609
18.250000 91.231 -127.5654
18.500000 91.355 -127.8823
18.750000 91.477 -128.3863
19.000000 91.582 -129.0520
19.250000 91.662 -129.7570
19.500000 91.722 -130.4272
19.750000 91.765 -131.0067
20.000000 91.804 -131.4662
20.299999 91.855 -131.9101
20.600000 91.915 -132.2957
20.900000 91.982 -132.6868
21.200001 92.049 -133.1139
21.400000 92.089 -133.4080
21.799999 92.162 -133.9866
22.000000 92.195 -134.2610
22.400000 92.261 -134.7831
22.700001 92.311 -135.1766
23.000000 92.358 -135.5904
23.299999 92.399 -136.0120
23.600000 92.434 -136.4133
24.000000 92.479 -136.8813
24.299999 92.520 -137.1916
24.700001 92.589 -137.6264
25.000000 92.646 -138.0324
25.400000 92.713 -138.7043
25.799999 92.751 -139.4158
26.200001 92.766 -139.9743
26.500000 92.778 -140.2278
26.900000 92.825 -140.4121
27.200001 92.889 -140.5792
27.600000 92.998 -141.0413
28.000000 93.086 -141.8362
28.500000 93.113 -142.9545
29.000000 93.066 -143.5656
29.500000 93.045 -143.4603
30.000000 93.128 -143.1705
30.400000 93.244 -143.2612
30.700001 93.327 -143.5828
31.100000 93.403 -144.1843
31.500000 93.443 -144.7539
32.000000 93.482 -145.2697
32.500000 93.539 -145.7719
33.000000 93.587 -146.4741
33.500000 93.588 -147.1794
34.000000 93.568 -147.5168
34.500000 93.601 -147.5314
35.000000 93.708 -147.6988
35.500000 93.825 -148.3671
36.000000 93.884 -149.3131
36.500000 93.887 -150.0670
37.000000 93.894 -150.4624
37.500000 93.940 -150.7603
38.200001 94.020 -151.4716
38.700001 94.040 -152.0507
39.500000 94.042 -152.5364
40.000000 94.067 -152.6538
40.599998 94.120 -152.8633
41.200001 94.172 -153.2027
41.799999 94.214 -153.6134
42.500000 94.249 -154.1616
43.099998 94.262 -154.6529
43.700001 94.266 -155.1061
44.400002 94.269 -155.6025
45.000000 94.275 -156.0307
45.500000 94.284 -156.3902
46.200001 94.308 -156.9488
46.799999 94.329 -157.5209
47.500000 94.341 -158.1772
48.200001 94.359 -158.7236
48.700001 94.382 -159.1187
49.400002 94.403 -159.6904
50.000000 94.411 -159.9995
50.799999 94.464 -160.1445
51.500000 94.550 -160.4604
52.200001 94.604 -160.9895
53.000000 94.625 -161.3912
53.799999 94.661 -161.6402
54.500000 94.690 -161.9838
55.200001 94.692 -162.3426
56.000000 94.682 -162.6514
57.000000 94.676 -162.9243
58.000000 94.712 -163.3034
59.000000 94.733 -164.1559
60.000000 94.690 -164.8295
60.799999 94.688 -165.0653
61.500000 94.721 -165.3562
62.200001 94.753 -165.7961
63.000000 94.768 -166.3092
64.000000 94.771 -166.6919
65.000000 94.808 -166.8699
66.000000 94.865 -167.2759
67.000000 94.880 -167.8471
68.000000 94.866 -168.2881
69.000000 94.866 -168.6955
70.000000 94.872 -169.2657
71.000000 94.888 -169.9100
72.000000 94.925 -170.9493
73.000000 94.859 -172.2788
74.000000 94.716 -172.5550
75.000000 94.723 -172.1064
76.199997 94.824 -172.2800
77.500000 94.863 -172.6079
78.800003 94.891 -172.7710
80.000000 94.901 -172.9654
81.199997 94.901 -173.1653
82.500000 94.919 -173.4770
83.800003 94.934 -174.1502
85.000000 94.893 -174.8073
86.199997 94.841 -175.0831
87.500000 94.838 -175.2120
88.500000 94.863 -175.5041
90.000000 94.866 -176.3072
91.199997 94.835 -176.8674
92.500000 94.806 -177.3224
93.800003 94.798 -177.6129
95.000000 94.814 -177.9047
96.199997 94.814 -178.2750
97.500000 94.791 -178.5370
98.800003 94.778 -178.6936
100.000000 94.776 -178.9150
101.500000 94.767 -179.3170
103.000000 94.747 -179.6809
104.400002 94.740 -179.9690
106.000000 94.732 179.6312
107.500000 94.725 179.2758
109.000000 94.722 178.8284
110.599998 94.698 178.4296
112.000000 94.681 178.2420
113.800003 94.644 178.0586
115.000000 94.611 178.0045
117.199997 94.559 177.6691
118.000000 94.541 177.4576
120.599998 94.490 176.6438
122.000000 94.480 176.4078
124.099998 94.492 176.0449
125.000000 94.484 175.8669
126.500000 94.453 175.6161
128.000000 94.419 175.3691
131.500000 94.352 174.6830
132.000000 94.345 174.5893
134.000000 94.326 174.2617
136.000000 94.312 173.9719
138.000000 94.283 173.7264
140.000000 94.234 173.4536
143.000000 94.128 172.8239
145.000000 94.069 172.4146
147.500000 94.083 172.1876
150.000000 94.136 171.9138
152.500000 94.124 171.6829
155.000000 94.077 171.4082
157.500000 94.023 171.1063
160.000000 93.983 170.8247
162.500000 93.931 170.6081
165.000000 93.894 170.3898
167.500000 93.866 170.0938
170.000000 93.839 169.7760
172.500000 93.795 169.5036
175.000000 93.745 169.3331
177.500000 93.705 169.1696
180.000000 93.662 168.9673
182.500000 93.610 168.8295
185.000000 93.565 168.7114
187.500000 93.525 168.5078
190.000000 93.478 168.2534
192.500000 93.426 168.1030
195.000000 93.392 167.9954
197.500000 93.369 167.8121
200.000000 93.342 167.6371
203.000000 93.294 167.4969
206.000000 93.229 167.3708
209.000000 93.165 167.2017
212.000000 93.102 167.0392
214.000000 93.052 166.9663
218.000000 92.953 166.9607
220.000000 92.926 166.8991
224.000000 92.891 166.6766
227.000000 92.873 166.6441
230.000000 92.836 166.5583
233.000000 92.778 166.3474
236.000000 92.723 166.1935
240.000000 92.635 166.3788
243.000000 92.543 166.6210
247.000000 92.501 166.4279
250.000000 92.497 166.0685
254.000000 92.457 166.0057
258.000000 92.402 165.9448
262.000000 92.350 165.8186
265.000000 92.311 165.7875
269.000000 92.255 165.7844
272.000000 92.208 165.8038
276.000000 92.140 165.8626
280.000000 92.072 165.9174
285.000000 92.006 165.9457
290.000000 91.948 165.9454
