* Measurement data measured by REW V5.20.13
* Source: Microphone (High Definition Audio Device), MICROPHONE (Master Volume), L, volume: 0.690. Timing signal peak level -19.4 dBFS, measurement signal peak level -14.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 14, 2022 4:12:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0516 ms (-18 mm, -0.7 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 119.7 ppm
* Measurement: QKZ HBB R Dec 14
* Smoothing: 1/24 octave
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
0.366211, 75.772, -1.1335
0.732422, 76.992, -11.2589
1.098633, 78.237, -32.9954
1.464844, 78.755, -59.1500
1.831055, 79.208, -88.4924
2.197266, 79.559, -115.3341
2.563477, 79.772, -136.0637
2.929688, 79.889, -147.4254
3.295898, 80.533, -149.4766
3.662109, 82.303, -148.5397
4.028320, 84.643, -151.0527
4.394531, 86.784, -157.8403
4.760742, 88.452, -166.5160
5.126953, 89.681, -175.3500
5.493164, 90.605, 176.6481
5.859375, 91.380, 169.7020
6.225586, 92.121, 163.4808
6.591797, 92.866, 157.4717
6.958008, 93.589, 151.3477
7.324219, 94.248, 145.1470
7.690430, 94.829, 139.1198
8.056641, 95.345, 133.5213
8.422852, 95.826, 128.4555
8.789062, 96.295, 123.8651
9.155273, 96.757, 119.6191
9.521484, 97.206, 115.6194
9.887695, 97.603, 111.8453
10.253906, 97.910, 108.3226
10.620117, 98.148, 105.0723
10.986328, 98.357, 102.0810
11.352539, 98.543, 99.3096
11.718750, 98.706, 96.7151
12.084961, 98.853, 94.2631
12.451172, 98.988, 91.9233
12.817383, 99.103, 89.6635
13.183594, 99.202, 87.4512
13.549805, 99.287, 85.2644
13.916016, 99.360, 83.0983
14.282227, 99.419, 80.9591
14.648438, 99.470, 78.8506
15.014648, 99.520, 76.7668
