* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.710. Timing signal peak level -40.0 dBFS, measurement signal peak level -35.2 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 20, 2023 9:27:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0525 ms (-18 mm, -0.71 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 120.6 ppm
* Measurement: QKZ HBB CP145 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 97.145 33.1730
20.299999 97.180 32.4981
20.600000 97.214 31.8383
20.900000 97.247 31.1895
21.200001 97.280 30.5440
21.400000 97.301 30.1122
21.799999 97.339 29.2455
22.000000 97.356 28.8134
22.400000 97.386 27.9639
22.700001 97.405 27.3524
23.000000 97.423 26.7700
23.299999 97.441 26.2114
23.600000 97.461 25.6662
24.000000 97.491 24.9408
24.299999 97.512 24.3879
24.700001 97.537 23.6422
25.000000 97.551 23.0909
25.400000 97.563 22.3901
25.799999 97.572 21.7440
26.200001 97.583 21.1431
26.500000 97.594 20.7058
26.900000 97.609 20.1235
27.200001 97.621 19.6828
27.600000 97.634 19.0953
28.000000 97.646 18.5164
28.500000 97.662 17.7988
29.000000 97.678 17.0581
29.500000 97.689 16.2846
30.000000 97.688 15.5196
30.400000 97.681 14.9521
30.700001 97.674 14.5607
31.100000 97.669 14.0720
31.500000 97.670 13.5958
32.000000 97.678 12.9832
32.500000 97.685 12.3423
33.000000 97.690 11.6914
33.500000 97.690 11.0513
34.000000 97.689 10.4332
34.500000 97.688 9.8395
35.000000 97.686 9.2674
35.500000 97.684 8.7115
36.000000 97.680 8.1689
36.500000 97.674 7.6428
37.000000 97.668 7.1345
37.500000 97.662 6.6347
38.200001 97.653 5.9219
38.700001 97.644 5.4010
39.500000 97.622 4.5827
40.000000 97.607 4.0904
40.599998 97.588 3.5143
41.200001 97.570 2.9559
41.799999 97.552 2.4174
42.500000 97.535 1.7975
43.099998 97.520 1.2677
43.700001 97.503 0.7662
44.400002 97.485 0.2326
45.000000 97.474 -0.2157
45.500000 97.465 -0.6089
46.200001 97.447 -1.1757
46.799999 97.426 -1.6461
47.500000 97.400 -2.1735
48.200001 97.371 -2.6807
48.700001 97.348 -3.0124
49.400002 97.324 -3.4320
50.000000 97.313 -3.8066
50.799999 97.301 -4.4008
51.500000 97.280 -4.9514
52.200001 97.252 -5.4457
53.000000 97.224 -5.9507
53.799999 97.196 -6.4354
54.500000 97.170 -6.8463
55.200001 97.141 -7.2510
56.000000 97.100 -7.6814
57.000000 97.044 -8.1302
58.000000 96.990 -8.5663
59.000000 96.937 -8.9288
60.000000 96.915 -9.3482
60.799999 96.895 -9.8997
61.500000 96.856 -10.4085
62.200001 96.810 -10.8322
63.000000 96.763 -11.2574
64.000000 96.709 -11.7539
65.000000 96.661 -12.1870
66.000000 96.621 -12.6307
67.000000 96.575 -13.0964
68.000000 96.523 -13.5283
69.000000 96.469 -13.9317
70.000000 96.415 -14.3159
71.000000 96.364 -14.6553
72.000000 96.321 -14.9782
73.000000 96.283 -15.3223
74.000000 96.243 -15.6635
75.000000 96.203 -15.9940
76.199997 96.151 -16.3791
77.500000 96.092 -16.7915
78.800003 96.023 -17.2126
80.000000 95.957 -17.5347
81.199997 95.899 -17.8569
82.500000 95.840 -18.2179
83.800003 95.783 -18.5853
85.000000 95.727 -18.9028
86.199997 95.672 -19.1601
87.500000 95.619 -19.4208
88.500000 95.579 -19.6350
90.000000 95.517 -20.0037
91.199997 95.463 -20.3005
92.500000 95.406 -20.6121
93.800003 95.349 -20.9217
95.000000 95.296 -21.1843
96.199997 95.244 -21.4211
97.500000 95.187 -21.6525
98.800003 95.128 -21.8646
100.000000 95.074 -22.0500
101.500000 95.005 -22.3176
103.000000 94.929 -22.6111
104.400002 94.859 -22.8540
106.000000 94.787 -23.0985
107.500000 94.726 -23.3052
109.000000 94.663 -23.4805
110.599998 94.589 -23.6137
112.000000 94.525 -23.7220
113.800003 94.446 -23.9767
115.000000 94.389 -24.1840
117.199997 94.307 -24.5153
118.000000 94.284 -24.6453
120.599998 94.186 -25.0282
122.000000 94.113 -25.0442
124.099998 94.015 -24.9775
125.000000 93.976 -24.9917
126.500000 93.914 -25.0891
128.000000 93.854 -25.2260
131.500000 93.738 -25.5669
132.000000 93.721 -25.6074
134.000000 93.646 -25.7147
136.000000 93.573 -25.7610
138.000000 93.509 -25.8198
140.000000 93.448 -25.9333
143.000000 93.345 -26.0942
145.000000 93.271 -26.1157
147.500000 93.186 -26.0888
150.000000 93.106 -26.1086
152.500000 93.025 -26.1461
155.000000 92.948 -26.1955
157.500000 92.871 -26.2619
160.000000 92.793 -26.3015
162.500000 92.711 -26.2669
165.000000 92.634 -26.1750
167.500000 92.559 -26.1599
170.000000 92.483 -26.1888
172.500000 92.407 -26.1738
175.000000 92.329 -26.0987
177.500000 92.248 -26.0485
180.000000 92.168 -25.9874
182.500000 92.102 -25.8692
185.000000 92.039 -25.7667
187.500000 91.970 -25.7018
190.000000 91.903 -25.6751
192.500000 91.836 -25.6370
195.000000 91.766 -25.5185
197.500000 91.701 -25.3691
200.000000 91.641 -25.2292
203.000000 91.570 -25.0914
206.000000 91.497 -25.0125
209.000000 91.424 -24.9250
212.000000 91.356 -24.7485
214.000000 91.308 -24.6120
218.000000 91.199 -24.3706
220.000000 91.150 -24.2767
224.000000 91.074 -24.1211
227.000000 91.016 -23.9876
230.000000 90.950 -23.8146
233.000000 90.880 -23.5788
236.000000 90.807 -23.3238
240.000000 90.716 -23.0229
243.000000 90.672 -22.8511
247.000000 90.608 -22.6338
250.000000 90.544 -22.4186
254.000000 90.464 -22.1379
258.000000 90.395 -21.8847
262.000000 90.327 -21.6113
265.000000 90.280 -21.4083
269.000000 90.215 -21.1231
272.000000 90.167 -20.8816
276.000000 90.105 -20.5699
280.000000 90.040 -20.2571
285.000000 89.960 -19.8464
290.000000 89.891 -19.4126
295.000000 89.823 -19.0248
300.000000 89.763 -18.6538
304.000000 89.705 -18.3924
307.000000 89.663 -18.2021
311.000000 89.620 -17.9148
315.000000 89.577 -17.5593
320.000000 89.517 -17.1091
325.000000 89.462 -16.7785
330.000000 89.410 -16.4030
335.000000 89.361 -15.9783
340.000000 89.315 -15.5479
345.000000 89.260 -15.1189
350.000000 89.203 -14.7433
355.000000 89.144 -14.3708
360.000000 89.090 -13.9777
365.000000 89.046 -13.5449
370.000000 89.005 -13.1014
375.000000 88.965 -12.6867
382.000000 88.905 -12.1070
387.000000 88.852 -11.6575
395.000000 88.782 -10.9652
400.000000 88.746 -10.5585
406.000000 88.705 -10.1295
412.000000 88.660 -9.6959
418.000000 88.625 -9.1692
425.000000 88.572 -8.6011
431.000000 88.519 -8.1712
437.000000 88.475 -7.7040
444.000000 88.430 -7.1373
450.000000 88.394 -6.6046
455.000000 88.363 -6.1292
462.000000 88.329 -5.5342
468.000000 88.302 -5.1211
475.000000 88.262 -4.6196
482.000000 88.226 -4.0081
487.000000 88.202 -3.5257
494.000000 88.169 -2.9516
500.000000 88.139 -2.4987
508.000000 88.100 -1.8475
515.000000 88.075 -1.2382
522.000000 88.055 -0.6506
530.000000 88.023 -0.0768
538.000000 87.988 0.5158
545.000000 87.968 1.0946
552.000000 87.951 1.6654
560.000000 87.937 2.3214
570.000000 87.921 3.1246
580.000000 87.904 3.8574
590.000000 87.885 4.6728
600.000000 87.869 5.5099
608.000000 87.852 6.1182
615.000000 87.836 6.6380
622.000000 87.824 7.1838
630.000000 87.816 7.8370
640.000000 87.810 8.5810
650.000000 87.805 9.3484
660.000000 87.803 10.1822
670.000000 87.794 10.9556
680.000000 87.785 11.6903
690.000000 87.776 12.4230
700.000000 87.770 13.1947
710.000000 87.763 13.9207
720.000000 87.760 14.6756
730.000000 87.767 15.5442
740.000000 87.776 16.4005
750.000000 87.776 17.2174
762.000000 87.773 18.2351
775.000000 87.770 19.4360
788.000000 87.808 20.6617
800.000000 87.885 21.6467
812.000000 87.959 22.4969
825.000000 88.021 23.3589
838.000000 88.079 24.2265
850.000000 88.124 24.9803
862.000000 88.162 25.7099
875.000000 88.214 26.5277
885.000000 88.256 27.1659
900.000000 88.322 28.0909
912.000000 88.378 28.8512
925.000000 88.440 29.7120
938.000000 88.513 30.5323
950.000000 88.584 31.2357
962.000000 88.657 31.8767
975.000000 88.729 32.5539
988.000000 88.797 33.2714
1000.000000 88.862 33.9303
1015.000000 88.946 34.6779
1030.000000 89.035 35.3345
1044.000000 89.124 35.9154
1060.000000 89.225 36.5122
1075.000000 89.318 37.0560
1090.000000 89.412 37.6153
1106.000000 89.523 38.1906
1120.000000 89.628 38.6338
1138.000000 89.761 39.1644
1150.000000 89.845 39.4755
1172.000000 89.993 40.0177
1180.000000 90.047 40.2090
1206.000000 90.228 40.7742
1220.000000 90.322 41.0436
1241.000000 90.459 41.4449
1250.000000 90.518 41.6130
1265.000000 90.613 41.8584
1280.000000 90.707 42.0936
1315.000000 90.911 42.6649
1320.000000 90.939 42.7385
1340.000000 91.044 43.0070
1360.000000 91.129 43.2843
1380.000000 91.210 43.5839
1400.000000 91.311 43.8459
1430.000000 91.458 44.1981
1450.000000 91.552 44.4120
1475.000000 91.665 44.6806
1500.000000 91.778 44.9548
1525.000000 91.887 45.2120
1550.000000 91.992 45.4561
1575.000000 92.090 45.6913
1600.000000 92.181 45.9249
1625.000000 92.271 46.1426
1650.000000 92.363 46.3452
1675.000000 92.452 46.5497
1700.000000 92.535 46.7219
1725.000000 92.615 46.8842
1750.000000 92.696 47.0340
1775.000000 92.774 47.1600
1800.000000 92.846 47.3045
1825.000000 92.917 47.4525
1850.000000 92.983 47.5706
1875.000000 93.049 47.6863
1900.000000 93.113 47.8222
1925.000000 93.169 47.9616
1950.000000 93.219 48.1176
1975.000000 93.268 48.2931
2000.000000 93.315 48.4730
2030.000000 93.372 48.7375
2060.000000 93.438 49.0929
2090.000000 93.512 49.4916
2120.000000 93.602 49.8583
2140.000000 93.674 50.0560
2180.000000 93.835 50.2921
2200.000000 93.916 50.3140
2240.000000 94.063 50.1831
2270.000000 94.152 49.9534
2300.000000 94.223 49.6742
2330.000000 94.279 49.3988
2360.000000 94.322 49.1403
2400.000000 94.363 48.8443
2430.000000 94.380 48.6679
2470.000000 94.395 48.4979
2500.000000 94.400 48.4262
2540.000000 94.404 48.4067
2580.000000 94.408 48.4688
2620.000000 94.419 48.5886
2650.000000 94.435 48.7036
2690.000000 94.461 48.8555
2720.000000 94.481 48.9444
2760.000000 94.506 49.0199
2800.000000 94.529 49.0680
2850.000000 94.554 49.0988
2900.000000 94.571 49.1393
2950.000000 94.586 49.1919
3000.000000 94.600 49.2559
3040.000000 94.612 49.3088
3070.000000 94.622 49.3419
3110.000000 94.637 49.3778
3150.000000 94.650 49.4062
3200.000000 94.667 49.4229
3250.000000 94.687 49.4170
3300.000000 94.707 49.3708
3350.000000 94.726 49.2762
3400.000000 94.742 49.1209
3450.000000 94.765 48.8980
3500.000000 94.793 48.5894
3550.000000 94.815 48.1747
3600.000000 94.823 47.6523
3650.000000 94.813 47.0168
3700.000000 94.777 46.3151
3750.000000 94.712 45.6184
3820.000000 94.569 44.7931
3870.000000 94.441 44.3811
3950.000000 94.228 44.0480
4000.000000 94.102 43.9498
4060.000000 93.965 43.8454
4120.000000 93.834 43.6886
4180.000000 93.696 43.4624
4250.000000 93.516 43.1212
4310.000000 93.335 42.8034
4370.000000 93.123 42.5118
4440.000000 92.841 42.2873
4500.000000 92.580 42.2254
4550.000000 92.349 42.2760
4620.000000 92.008 42.5129
4680.000000 91.706 42.8988
4750.000000 91.350 43.5943
4820.000000 91.000 44.5179
4870.000000 90.756 45.3025
4940.000000 90.430 46.5634
5000.000000 90.172 47.7612
5080.000000 89.845 49.4461
5150.000000 89.566 50.9479
5220.000000 89.288 52.5259
5300.000000 88.983 54.5580
