* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.710. Timing signal peak level -39.4 dBFS, measurement signal peak level -35.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 20, 2023 9:06:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0490 ms (-17 mm, -0.66 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 120.4 ppm
* Measurement: QKZ HBB R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 97.207 33.2992
20.299999 97.245 32.7032
20.600000 97.284 32.0864
20.900000 97.320 31.4455
21.200001 97.351 30.7911
21.400000 97.367 30.3592
21.799999 97.393 29.5254
22.000000 97.404 29.1314
22.400000 97.425 28.3946
22.700001 97.444 27.8798
23.000000 97.467 27.3824
23.299999 97.495 26.8836
23.600000 97.526 26.3669
24.000000 97.571 25.6294
24.299999 97.603 25.0343
24.700001 97.637 24.1991
25.000000 97.654 23.5677
25.400000 97.665 22.7641
25.799999 97.668 22.0453
26.200001 97.673 21.4145
26.500000 97.681 20.9757
26.900000 97.699 20.3966
27.200001 97.715 19.9466
27.600000 97.733 19.3231
28.000000 97.747 18.6961
28.500000 97.759 17.9406
29.000000 97.771 17.2042
29.500000 97.780 16.4502
30.000000 97.777 15.6952
30.400000 97.765 15.1424
30.700001 97.753 14.7793
31.100000 97.744 14.3555
31.500000 97.745 13.9556
32.000000 97.761 13.4029
32.500000 97.777 12.7536
33.000000 97.782 12.0620
33.500000 97.778 11.4034
34.000000 97.775 10.7975
34.500000 97.776 10.2062
35.000000 97.778 9.6005
35.500000 97.776 8.9952
36.000000 97.768 8.4243
36.500000 97.760 7.9003
37.000000 97.754 7.4063
37.500000 97.750 6.9179
38.200001 97.746 6.2183
38.700001 97.740 5.7068
39.500000 97.722 4.8994
40.000000 97.707 4.4230
40.599998 97.690 3.8817
41.200001 97.677 3.3476
41.799999 97.664 2.8022
42.500000 97.646 2.1707
43.099998 97.630 1.6587
43.700001 97.618 1.1618
44.400002 97.603 0.5715
45.000000 97.584 0.0705
45.500000 97.566 -0.3133
46.200001 97.544 -0.7962
46.799999 97.532 -1.2108
47.500000 97.520 -1.7537
48.200001 97.498 -2.3284
48.700001 97.476 -2.7187
49.400002 97.445 -3.2200
50.000000 97.421 -3.6278
50.799999 97.391 -4.1621
51.500000 97.366 -4.6139
52.200001 97.343 -5.0478
53.000000 97.320 -5.5439
53.799999 97.295 -6.0596
54.500000 97.266 -6.4967
55.200001 97.236 -6.8915
56.000000 97.207 -7.3306
57.000000 97.172 -7.9436
58.000000 97.125 -8.6466
59.000000 97.048 -9.3250
60.000000 96.967 -9.7005
60.799999 96.939 -9.9122
61.500000 96.930 -10.2169
62.200001 96.914 -10.6036
63.000000 96.886 -11.0299
64.000000 96.848 -11.5149
65.000000 96.805 -11.9489
66.000000 96.766 -12.3534
67.000000 96.724 -12.7892
68.000000 96.676 -13.2148
69.000000 96.630 -13.6299
70.000000 96.583 -14.0584
71.000000 96.535 -14.4711
72.000000 96.488 -14.8569
73.000000 96.441 -15.2249
74.000000 96.393 -15.5692
75.000000 96.345 -15.8927
76.199997 96.287 -16.2822
77.500000 96.223 -16.7063
78.800003 96.160 -17.1259
80.000000 96.104 -17.5293
81.199997 96.048 -17.9253
82.500000 95.987 -18.3301
83.800003 95.924 -18.6830
85.000000 95.870 -18.9828
86.199997 95.818 -19.2762
87.500000 95.761 -19.5922
88.500000 95.715 -19.8351
90.000000 95.647 -20.1686
91.199997 95.593 -20.4249
92.500000 95.533 -20.6784
93.800003 95.477 -20.9262
95.000000 95.423 -21.1840
96.199997 95.363 -21.4500
97.500000 95.296 -21.7194
98.800003 95.232 -21.9664
100.000000 95.178 -22.1756
101.500000 95.115 -22.4327
103.000000 95.050 -22.6739
104.400002 94.987 -22.8864
106.000000 94.907 -23.1343
107.500000 94.830 -23.3197
109.000000 94.764 -23.4926
110.599998 94.698 -23.6943
112.000000 94.639 -23.8358
113.800003 94.558 -23.9557
115.000000 94.503 -24.0461
117.199997 94.386 -24.3856
118.000000 94.337 -24.5292
120.599998 94.205 -24.7079
122.000000 94.178 -24.7795
124.099998 94.129 -24.9265
125.000000 94.102 -24.9430
126.500000 94.053 -24.9558
128.000000 94.003 -25.0253
131.500000 93.878 -25.3734
132.000000 93.860 -25.4140
134.000000 93.792 -25.5336
136.000000 93.723 -25.5967
138.000000 93.655 -25.6677
140.000000 93.587 -25.7633
143.000000 93.492 -25.9490
145.000000 93.425 -26.0610
147.500000 93.346 -26.1612
150.000000 93.272 -26.2631
152.500000 93.194 -26.2876
155.000000 93.119 -26.2399
157.500000 93.045 -26.2744
160.000000 92.965 -26.3525
162.500000 92.882 -26.4095
165.000000 92.799 -26.3812
167.500000 92.725 -26.3370
170.000000 92.651 -26.3545
172.500000 92.571 -26.3766
175.000000 92.487 -26.3630
177.500000 92.409 -26.3435
180.000000 92.333 -26.3026
182.500000 92.262 -26.2028
185.000000 92.192 -26.1074
187.500000 92.117 -26.0205
190.000000 92.047 -25.9404
192.500000 91.982 -25.8755
195.000000 91.917 -25.8069
197.500000 91.850 -25.7233
200.000000 91.786 -25.6107
203.000000 91.716 -25.4842
206.000000 91.643 -25.3579
209.000000 91.572 -25.2234
212.000000 91.499 -25.1231
214.000000 91.448 -25.0489
218.000000 91.352 -24.8466
220.000000 91.307 -24.7425
224.000000 91.219 -24.5528
227.000000 91.160 -24.3846
230.000000 91.104 -24.2088
233.000000 91.045 -24.0592
236.000000 90.991 -23.9569
240.000000 90.912 -23.8245
243.000000 90.837 -23.5745
247.000000 90.742 -23.1863
250.000000 90.686 -22.9711
254.000000 90.627 -22.7231
258.000000 90.563 -22.4769
262.000000 90.488 -22.2322
265.000000 90.437 -22.0311
269.000000 90.365 -21.7421
272.000000 90.311 -21.5574
276.000000 90.250 -21.3495
280.000000 90.200 -21.0492
285.000000 90.129 -20.5379
290.000000 90.043 -20.1448
295.000000 89.970 -19.8165
300.000000 89.901 -19.4631
304.000000 89.840 -19.1080
307.000000 89.801 -18.8304
311.000000 89.754 -18.4921
315.000000 89.709 -18.1644
320.000000 89.658 -17.7397
325.000000 89.601 -17.3750
330.000000 89.547 -16.9740
335.000000 89.501 -16.5309
340.000000 89.454 -16.1363
345.000000 89.393 -15.7614
350.000000 89.345 -15.3426
355.000000 89.296 -14.9974
360.000000 89.242 -14.7148
365.000000 89.200 -14.3343
370.000000 89.159 -13.9184
375.000000 89.116 -13.5151
382.000000 89.059 -12.9609
387.000000 89.017 -12.5372
395.000000 88.938 -11.8748
400.000000 88.893 -11.4973
406.000000 88.850 -11.0395
412.000000 88.809 -10.5189
418.000000 88.752 -9.9955
425.000000 88.696 -9.5273
431.000000 88.664 -9.0932
437.000000 88.633 -8.6062
444.000000 88.589 -8.0348
450.000000 88.548 -7.6054
455.000000 88.513 -7.2592
462.000000 88.469 -6.6932
468.000000 88.430 -6.1979
475.000000 88.386 -5.6181
482.000000 88.353 -5.0575
487.000000 88.333 -4.6818
494.000000 88.302 -4.1596
500.000000 88.275 -3.6945
508.000000 88.242 -3.1058
515.000000 88.210 -2.5310
522.000000 88.188 -1.9528
530.000000 88.162 -1.3523
538.000000 88.129 -0.7803
545.000000 88.108 -0.2213
552.000000 88.095 0.3644
560.000000 88.076 0.9859
570.000000 88.040 1.6864
580.000000 88.013 2.3894
590.000000 87.995 3.1730
600.000000 87.976 3.9579
608.000000 87.965 4.5672
615.000000 87.956 5.1242
622.000000 87.947 5.6863
630.000000 87.936 6.2851
640.000000 87.922 7.0243
650.000000 87.906 7.7897
660.000000 87.887 8.4802
670.000000 87.868 9.2210
680.000000 87.857 9.9851
690.000000 87.853 10.7893
700.000000 87.850 11.5994
710.000000 87.848 12.3155
720.000000 87.847 12.9572
730.000000 87.849 13.6895
740.000000 87.847 14.5188
750.000000 87.844 15.3880
762.000000 87.844 16.3918
775.000000 87.852 17.4414
788.000000 87.879 18.6341
800.000000 87.929 19.7913
812.000000 87.997 20.7827
825.000000 88.070 21.6387
838.000000 88.126 22.4081
850.000000 88.166 23.1158
862.000000 88.205 23.8602
875.000000 88.251 24.7203
885.000000 88.292 25.4092
900.000000 88.353 26.3984
912.000000 88.407 27.0996
925.000000 88.466 27.8618
938.000000 88.530 28.6480
950.000000 88.597 29.3555
962.000000 88.662 30.0410
975.000000 88.733 30.7407
988.000000 88.809 31.4178
1000.000000 88.882 32.0293
1015.000000 88.971 32.7081
1030.000000 89.058 33.3202
1044.000000 89.138 33.8878
1060.000000 89.229 34.5565
1075.000000 89.320 35.1469
1090.000000 89.417 35.6936
1106.000000 89.528 36.2276
1120.000000 89.628 36.6423
1138.000000 89.754 37.1236
1150.000000 89.834 37.4214
1172.000000 89.978 37.9511
1180.000000 90.030 38.1455
1206.000000 90.204 38.7395
1220.000000 90.296 38.9899
1241.000000 90.431 39.3324
1250.000000 90.486 39.4887
1265.000000 90.576 39.7601
1280.000000 90.666 40.0288
1315.000000 90.869 40.5488
1320.000000 90.897 40.6217
1340.000000 91.004 40.9001
1360.000000 91.088 41.1403
1380.000000 91.163 41.4170
1400.000000 91.253 41.6993
1430.000000 91.395 42.0669
1450.000000 91.485 42.3074
1475.000000 91.597 42.5891
1500.000000 91.707 42.8491
1525.000000 91.810 43.1220
1550.000000 91.908 43.3939
1575.000000 92.008 43.6506
1600.000000 92.105 43.8694
1625.000000 92.197 44.0615
1650.000000 92.292 44.3150
1675.000000 92.384 44.5417
1700.000000 92.470 44.7410
1725.000000 92.551 44.9369
1750.000000 92.636 45.1033
1775.000000 92.722 45.2412
1800.000000 92.806 45.3759
1825.000000 92.885 45.5255
1850.000000 92.962 45.6511
1875.000000 93.041 45.7619
1900.000000 93.116 45.8580
1925.000000 93.186 45.9283
1950.000000 93.252 45.9748
1975.000000 93.320 46.0210
2000.000000 93.390 46.0653
2030.000000 93.470 46.0876
2060.000000 93.544 46.1050
2090.000000 93.614 46.1383
2120.000000 93.684 46.1369
2140.000000 93.731 46.1152
2180.000000 93.819 46.0629
2200.000000 93.859 46.0312
2240.000000 93.935 45.9521
2270.000000 93.988 45.8805
2300.000000 94.037 45.8115
2330.000000 94.086 45.7568
2360.000000 94.138 45.6822
2400.000000 94.205 45.5057
2430.000000 94.252 45.2975
2470.000000 94.301 44.9826
2500.000000 94.323 44.7447
2540.000000 94.333 44.4212
2580.000000 94.332 44.1497
2620.000000 94.324 43.9617
2650.000000 94.313 43.8813
2690.000000 94.294 43.8320
2720.000000 94.282 43.8081
2760.000000 94.272 43.8049
2800.000000 94.266 43.8195
2850.000000 94.255 43.7851
2900.000000 94.235 43.7111
2950.000000 94.210 43.6697
3000.000000 94.178 43.6459
3040.000000 94.151 43.6466
3070.000000 94.129 43.6553
3110.000000 94.097 43.6697
3150.000000 94.061 43.6859
3200.000000 94.013 43.7232
3250.000000 93.963 43.7841
3300.000000 93.914 43.8561
3350.000000 93.863 43.9448
3400.000000 93.811 44.0785
3450.000000 93.757 44.2337
3500.000000 93.707 44.4018
3550.000000 93.657 44.5951
3600.000000 93.608 44.8543
3650.000000 93.565 45.1772
3700.000000 93.534 45.4970
3750.000000 93.514 45.7718
3820.000000 93.494 45.9974
3870.000000 93.469 46.0439
3950.000000 93.408 46.0548
4000.000000 93.364 46.0551
4060.000000 93.308 46.0091
4120.000000 93.244 45.8794
4180.000000 93.167 45.6646
4250.000000 93.045 45.3725
4310.000000 92.913 45.1432
4370.000000 92.756 44.9640
4440.000000 92.546 44.8269
4500.000000 92.348 44.7904
4550.000000 92.176 44.8206
4620.000000 91.925 44.9544
4680.000000 91.701 45.1454
4750.000000 91.428 45.4775
4820.000000 91.146 45.9527
4870.000000 90.941 46.3680
4940.000000 90.650 47.0901
5000.000000 90.397 47.8563
5080.000000 90.060 49.0449
5150.000000 89.770 50.2272
5220.000000 89.476 51.5638
5300.000000 89.149 53.4260
