* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.710. Timing signal peak level -38.9 dBFS, measurement signal peak level -36.2 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 20, 2023 9:23:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0486 ms (-17 mm, -0.66 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 120.7 ppm
* Measurement: QKZ HBB W1 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 96.113 32.7151
20.299999 96.134 32.0371
20.600000 96.152 31.4056
20.900000 96.171 30.8213
21.200001 96.192 30.2691
21.400000 96.209 29.9045
21.799999 96.247 29.1628
22.000000 96.266 28.7785
22.400000 96.301 27.9830
22.700001 96.323 27.3802
23.000000 96.340 26.7921
23.299999 96.354 26.2293
23.600000 96.368 25.6936
24.000000 96.388 25.0129
24.299999 96.405 24.5131
24.700001 96.429 23.8429
25.000000 96.445 23.3329
25.400000 96.462 22.6526
25.799999 96.473 21.9990
26.200001 96.480 21.3987
26.500000 96.486 20.9866
26.900000 96.500 20.4709
27.200001 96.514 20.0863
27.600000 96.537 19.5472
28.000000 96.558 18.9681
28.500000 96.575 18.2242
29.000000 96.583 17.5266
29.500000 96.590 16.8988
30.000000 96.602 16.2968
30.400000 96.613 15.7981
30.700001 96.618 15.4114
31.100000 96.621 14.8951
31.500000 96.621 14.3977
32.000000 96.618 13.8159
32.500000 96.617 13.2621
33.000000 96.617 12.7153
33.500000 96.615 12.1783
34.000000 96.613 11.6636
34.500000 96.614 11.1648
35.000000 96.617 10.6608
35.500000 96.618 10.1443
36.000000 96.613 9.6347
36.500000 96.605 9.1595
37.000000 96.596 8.7260
37.500000 96.591 8.3130
38.200001 96.588 7.7145
38.700001 96.583 7.2657
39.500000 96.567 6.5803
40.000000 96.559 6.1879
40.599998 96.556 5.7019
41.200001 96.554 5.1403
41.799999 96.540 4.5333
42.500000 96.508 3.8972
43.099998 96.484 3.4679
43.700001 96.473 3.0836
44.400002 96.475 2.5851
45.000000 96.477 2.0874
45.500000 96.471 1.6532
46.200001 96.451 1.0834
46.799999 96.430 0.6718
47.500000 96.408 0.2720
48.200001 96.395 -0.0961
48.700001 96.388 -0.3669
49.400002 96.379 -0.7792
50.000000 96.367 -1.1688
50.799999 96.342 -1.7048
51.500000 96.315 -2.1431
52.200001 96.289 -2.5609
53.000000 96.263 -3.0433
53.799999 96.240 -3.5129
54.500000 96.223 -3.9130
55.200001 96.208 -4.2968
56.000000 96.197 -4.6849
57.000000 96.197 -5.2054
58.000000 96.178 -5.7685
59.000000 96.152 -6.1697
60.000000 96.133 -6.6539
60.799999 96.095 -7.0903
61.500000 96.052 -7.3896
62.200001 96.013 -7.6515
63.000000 95.973 -7.9700
64.000000 95.927 -8.3829
65.000000 95.887 -8.8223
66.000000 95.851 -9.2865
67.000000 95.816 -9.7753
68.000000 95.774 -10.2355
69.000000 95.733 -10.6095
70.000000 95.698 -10.9778
71.000000 95.658 -11.3507
72.000000 95.615 -11.6686
73.000000 95.576 -11.9713
74.000000 95.535 -12.2805
75.000000 95.492 -12.5792
76.199997 95.440 -12.9169
77.500000 95.388 -13.2726
78.800003 95.340 -13.6404
80.000000 95.299 -14.0219
81.199997 95.253 -14.4122
82.500000 95.203 -14.7927
83.800003 95.157 -15.1426
85.000000 95.120 -15.4471
86.199997 95.084 -15.7688
87.500000 95.039 -16.1166
88.500000 95.001 -16.3628
90.000000 94.947 -16.7144
91.199997 94.905 -17.0102
92.500000 94.858 -17.3293
93.800003 94.810 -17.6366
95.000000 94.763 -17.8988
96.199997 94.717 -18.1183
97.500000 94.672 -18.3435
98.800003 94.629 -18.5955
100.000000 94.587 -18.8333
101.500000 94.530 -19.1074
103.000000 94.473 -19.3289
104.400002 94.422 -19.5427
106.000000 94.355 -19.8185
107.500000 94.289 -20.0460
109.000000 94.231 -20.2991
110.599998 94.168 -20.5809
112.000000 94.114 -20.7772
113.800003 94.043 -20.9717
115.000000 93.991 -21.0746
117.199997 93.890 -21.3424
118.000000 93.847 -21.4703
120.599998 93.731 -21.7291
122.000000 93.703 -21.9305
124.099998 93.647 -22.2343
125.000000 93.619 -22.2973
126.500000 93.576 -22.3749
128.000000 93.531 -22.5263
131.500000 93.409 -22.9263
132.000000 93.395 -22.9739
134.000000 93.339 -23.1610
136.000000 93.276 -23.2828
138.000000 93.208 -23.3733
140.000000 93.137 -23.4594
143.000000 93.048 -23.5829
145.000000 92.990 -23.6676
147.500000 92.916 -23.7616
150.000000 92.841 -23.8784
152.500000 92.767 -24.0374
155.000000 92.690 -24.1564
157.500000 92.617 -24.1641
160.000000 92.548 -24.1262
162.500000 92.475 -24.1623
165.000000 92.399 -24.2450
167.500000 92.330 -24.2954
170.000000 92.262 -24.2871
172.500000 92.192 -24.2480
175.000000 92.124 -24.2603
177.500000 92.055 -24.3135
180.000000 91.977 -24.3170
182.500000 91.893 -24.2590
185.000000 91.814 -24.2393
187.500000 91.742 -24.2504
190.000000 91.673 -24.2159
192.500000 91.607 -24.1185
195.000000 91.545 -24.0158
197.500000 91.493 -23.9357
200.000000 91.443 -23.9076
203.000000 91.368 -23.9009
206.000000 91.294 -23.8658
209.000000 91.229 -23.7777
212.000000 91.154 -23.6091
214.000000 91.102 -23.4730
218.000000 91.012 -23.3218
220.000000 90.968 -23.2807
224.000000 90.877 -23.1528
227.000000 90.812 -22.9969
230.000000 90.745 -22.8053
233.000000 90.680 -22.6128
236.000000 90.631 -22.4612
240.000000 90.576 -22.3210
243.000000 90.512 -22.2162
247.000000 90.420 -22.0504
250.000000 90.356 -21.9029
254.000000 90.278 -21.6815
258.000000 90.209 -21.4004
262.000000 90.136 -21.0811
265.000000 90.082 -20.8788
269.000000 90.019 -20.6254
272.000000 89.971 -20.4467
276.000000 89.906 -20.2416
280.000000 89.849 -20.0918
285.000000 89.780 -19.8300
290.000000 89.696 -19.4222
295.000000 89.608 -19.0527
300.000000 89.544 -18.7121
304.000000 89.495 -18.3726
307.000000 89.462 -18.0891
311.000000 89.415 -17.7972
315.000000 89.366 -17.5768
320.000000 89.307 -17.2065
325.000000 89.239 -16.8476
330.000000 89.181 -16.5668
335.000000 89.121 -16.2749
340.000000 89.055 -15.8650
345.000000 89.001 -15.4260
350.000000 88.944 -15.0383
355.000000 88.885 -14.7351
360.000000 88.844 -14.4246
365.000000 88.800 -13.9653
370.000000 88.750 -13.4976
375.000000 88.698 -13.0801
382.000000 88.630 -12.5637
387.000000 88.578 -12.2327
395.000000 88.500 -11.6041
400.000000 88.462 -11.1731
406.000000 88.415 -10.6655
412.000000 88.363 -10.1556
418.000000 88.304 -9.6305
425.000000 88.238 -9.1256
431.000000 88.191 -8.6906
437.000000 88.151 -8.2618
444.000000 88.104 -7.7572
450.000000 88.065 -7.2572
455.000000 88.030 -6.8294
462.000000 87.980 -6.2128
468.000000 87.947 -5.6698
475.000000 87.916 -5.0983
482.000000 87.875 -4.5945
487.000000 87.839 -4.2112
494.000000 87.793 -3.6393
500.000000 87.759 -3.1486
508.000000 87.722 -2.5161
515.000000 87.695 -1.9831
522.000000 87.676 -1.4352
530.000000 87.651 -0.8094
538.000000 87.619 -0.1495
545.000000 87.600 0.4194
552.000000 87.577 0.9535
560.000000 87.544 1.5558
570.000000 87.512 2.3312
580.000000 87.490 3.2130
590.000000 87.472 4.0198
600.000000 87.454 4.7611
608.000000 87.438 5.3724
615.000000 87.421 5.9027
622.000000 87.402 6.4234
630.000000 87.384 7.0251
640.000000 87.367 7.8114
650.000000 87.359 8.6595
660.000000 87.351 9.5154
670.000000 87.336 10.3064
680.000000 87.327 11.0940
690.000000 87.321 11.8940
700.000000 87.318 12.6127
710.000000 87.319 13.3212
720.000000 87.324 13.9996
730.000000 87.335 14.6398
740.000000 87.333 15.3445
750.000000 87.314 16.1155
762.000000 87.300 17.1008
775.000000 87.316 18.3304
788.000000 87.331 19.4119
800.000000 87.349 20.3121
812.000000 87.370 21.2560
825.000000 87.383 22.3219
838.000000 87.415 23.3455
850.000000 87.459 24.2486
862.000000 87.511 25.1582
875.000000 87.572 26.1186
885.000000 87.620 26.8591
900.000000 87.695 27.9614
912.000000 87.754 28.7758
925.000000 87.816 29.6222
938.000000 87.878 30.4669
950.000000 87.938 31.1957
962.000000 88.003 31.9214
975.000000 88.078 32.7127
988.000000 88.149 33.4597
1000.000000 88.220 34.0641
1015.000000 88.318 34.7403
1030.000000 88.414 35.4816
1044.000000 88.498 36.1887
1060.000000 88.593 36.8745
1075.000000 88.685 37.4881
1090.000000 88.783 38.0568
1106.000000 88.896 38.6327
1120.000000 88.998 39.1350
1138.000000 89.124 39.7084
1150.000000 89.207 40.0450
1172.000000 89.353 40.6282
1180.000000 89.404 40.8421
1206.000000 89.571 41.4732
1220.000000 89.662 41.7942
1241.000000 89.797 42.2623
1250.000000 89.853 42.4458
1265.000000 89.947 42.7498
1280.000000 90.040 43.0479
1315.000000 90.236 43.7321
1320.000000 90.263 43.8368
1340.000000 90.367 44.2349
1360.000000 90.445 44.6024
1380.000000 90.523 45.0024
1400.000000 90.616 45.4478
1430.000000 90.763 46.1010
1450.000000 90.871 46.5243
1475.000000 91.020 47.0480
1500.000000 91.176 47.4806
1525.000000 91.317 47.7765
1550.000000 91.436 48.0070
1575.000000 91.545 48.2268
1600.000000 91.648 48.4643
1625.000000 91.748 48.7190
1650.000000 91.843 49.0047
1675.000000 91.943 49.3289
1700.000000 92.046 49.6407
1725.000000 92.148 49.9090
1750.000000 92.256 50.1336
1775.000000 92.364 50.3282
1800.000000 92.462 50.4849
1825.000000 92.552 50.6049
1850.000000 92.640 50.7232
1875.000000 92.724 50.8298
1900.000000 92.800 50.9393
1925.000000 92.872 51.0861
1950.000000 92.943 51.2693
1975.000000 93.011 51.4769
2000.000000 93.083 51.7113
2030.000000 93.178 52.0266
2060.000000 93.284 52.3540
2090.000000 93.414 52.6382
2120.000000 93.559 52.7857
2140.000000 93.655 52.7908
2180.000000 93.831 52.5895
2200.000000 93.907 52.4120
2240.000000 94.034 52.0026
2270.000000 94.110 51.6954
2300.000000 94.172 51.4178
2330.000000 94.224 51.1766
2360.000000 94.272 50.9706
2400.000000 94.332 50.7422
2430.000000 94.377 50.5626
2470.000000 94.433 50.2666
2500.000000 94.472 50.0312
2540.000000 94.512 49.6912
2580.000000 94.535 49.3701
2620.000000 94.545 49.1168
2650.000000 94.549 48.9520
2690.000000 94.551 48.7687
2720.000000 94.549 48.6671
2760.000000 94.543 48.5628
2800.000000 94.534 48.4895
2850.000000 94.523 48.4206
2900.000000 94.507 48.3767
2950.000000 94.487 48.3829
3000.000000 94.470 48.4284
3040.000000 94.459 48.4679
3070.000000 94.452 48.5006
3110.000000 94.444 48.5377
3150.000000 94.435 48.5604
3200.000000 94.419 48.5547
3250.000000 94.395 48.5331
3300.000000 94.363 48.5453
3350.000000 94.326 48.6063
3400.000000 94.288 48.6953
3450.000000 94.254 48.8176
3500.000000 94.228 48.9896
3550.000000 94.208 49.2032
3600.000000 94.194 49.4292
3650.000000 94.185 49.6322
3700.000000 94.177 49.8270
3750.000000 94.173 49.9933
3820.000000 94.173 50.1446
3870.000000 94.172 50.1738
3950.000000 94.159 50.0625
4000.000000 94.141 49.9167
4060.000000 94.106 49.6743
4120.000000 94.054 49.3859
4180.000000 93.982 49.0759
4250.000000 93.877 48.7167
4310.000000 93.765 48.4420
4370.000000 93.628 48.2065
4440.000000 93.448 47.9937
4500.000000 93.281 47.8791
4550.000000 93.132 47.8219
4620.000000 92.907 47.7999
4680.000000 92.703 47.8503
4750.000000 92.454 48.0005
4820.000000 92.192 48.2457
4870.000000 91.997 48.4711
4940.000000 91.709 48.8459
5000.000000 91.439 49.2136
5080.000000 91.001 49.9882
5150.000000 90.560 51.7397
5220.000000 90.276 54.6015
5300.000000 90.206 57.0017
