* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -17.2 dBFS, measurement signal peak level -13.3 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 5, 2023 3:04:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Apple + Abigail Delay -0.0565 ms (-19 mm, -0.76 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: QKZ HBB S1 W1 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 65.237 4.8758
1.015000 65.491 3.4373
1.030000 65.740 2.0396
1.044000 65.966 0.7769
1.060000 66.217 -0.6107
1.075000 66.442 -1.8519
1.090000 66.657 -3.0294
1.106000 66.874 -4.2135
1.120000 67.063 -5.2116
1.138000 67.305 -6.4513
1.150000 67.465 -7.2514
1.172000 67.759 -8.6662
1.180000 67.865 -9.1644
1.206000 68.209 -10.7269
1.220000 68.392 -11.5339
1.241000 68.663 -12.7019
1.250000 68.778 -13.1875
1.265000 68.969 -13.9780
1.280000 69.157 -14.7458
1.315000 69.585 -16.4558
1.320000 69.645 -16.6914
1.340000 69.882 -17.6140
1.360000 70.112 -18.5067
1.380000 70.335 -19.3725
1.400000 70.552 -20.2142
1.430000 70.862 -21.4375
1.450000 71.058 -22.2310
1.475000 71.291 -23.1998
1.500000 71.507 -24.1193
1.525000 71.708 -24.9852
1.550000 71.894 -25.7997
1.575000 72.069 -26.5649
1.600000 72.232 -27.2832
1.625000 72.388 -27.9568
1.650000 72.536 -28.5878
1.675000 72.679 -29.1785
1.700000 72.819 -29.7312
1.725000 72.957 -30.2479
1.750000 73.096 -30.7311
1.775000 73.236 -31.1828
1.800000 73.380 -31.6054
1.825000 73.529 -32.0010
1.850000 73.683 -32.3595
1.875000 73.834 -32.6560
1.900000 73.982 -32.8960
1.925000 74.128 -33.0863
1.950000 74.273 -33.2339
1.975000 74.416 -33.3456
2.000000 74.559 -33.4283
2.030000 74.731 -33.4987
2.060000 74.904 -33.5490
2.090000 75.078 -33.5911
2.120000 75.255 -33.6367
2.140000 75.375 -33.6750
2.180000 75.620 -33.7860
2.200000 75.746 -33.8656
2.240000 76.005 -34.0272
2.270000 76.203 -34.1369
2.300000 76.404 -34.2399
2.330000 76.608 -34.3389
2.360000 76.814 -34.4365
2.400000 77.091 -34.5693
2.430000 77.299 -34.6745
2.470000 77.576 -34.8273
2.500000 77.783 -34.9549
2.540000 78.057 -35.1475
2.580000 78.326 -35.3699
2.620000 78.597 -35.6112
2.650000 78.800 -35.8024
2.690000 79.070 -36.0711
2.720000 79.273 -36.2828
2.760000 79.542 -36.5790
2.800000 79.809 -36.8908
2.850000 80.139 -37.3027
2.900000 80.464 -37.7391
2.950000 80.781 -38.2003
3.000000 81.095 -38.6874
3.040000 81.343 -39.0953
3.070000 81.527 -39.4117
3.110000 81.770 -39.8471
3.150000 82.009 -40.2976
3.200000 82.304 -40.8814
3.250000 82.593 -41.4875
3.300000 82.874 -42.1150
3.350000 83.150 -42.7734
3.400000 83.420 -43.4644
3.450000 83.684 -44.1807
3.500000 83.943 -44.9149
3.550000 84.195 -45.6597
3.600000 84.441 -46.4077
3.650000 84.682 -47.1516
3.700000 84.916 -47.8904
3.750000 85.145 -48.6351
3.820000 85.454 -49.6866
3.870000 85.668 -50.4425
3.950000 85.999 -51.6573
4.000000 86.198 -52.4181
4.060000 86.431 -53.3338
4.120000 86.654 -54.2631
4.180000 86.870 -55.1997
4.250000 87.111 -56.2899
4.310000 87.311 -57.2119
4.370000 87.505 -58.1132
4.440000 87.725 -59.1322
4.500000 87.905 -59.9871
4.550000 88.050 -60.6878
4.620000 88.247 -61.6514
4.680000 88.410 -62.4620
4.750000 88.597 -63.3906
4.820000 88.778 -64.3012
4.870000 88.903 -64.9402
4.940000 89.074 -65.8186
5.000000 89.216 -66.5560
5.080000 89.401 -67.5167
5.150000 89.559 -68.3354
5.220000 89.712 -69.1323
5.300000 89.881 -70.0180
5.380000 90.046 -70.8796
5.450000 90.187 -71.6159
5.520000 90.325 -72.3373
5.600000 90.479 -73.1393
5.700000 90.665 -74.1108
5.800000 90.847 -75.0547
5.900000 91.025 -75.9764
6.000000 91.200 -76.8691
6.080000 91.336 -77.5661
6.150000 91.454 -78.1674
6.220000 91.570 -78.7640
6.300000 91.700 -79.4398
6.400000 91.859 -80.2712
6.500000 92.014 -81.0898
6.600000 92.164 -81.8979
6.700000 92.310 -82.6979
6.800000 92.452 -83.4873
6.900000 92.589 -84.2612
7.000000 92.723 -85.0149
7.100000 92.853 -85.7496
7.200000 92.979 -86.4673
7.300000 93.103 -87.1695
7.400000 93.225 -87.8557
7.500000 93.345 -88.5245
7.620000 93.485 -89.3106
7.750000 93.636 -90.1492
7.880000 93.783 -90.9693
8.000000 93.917 -91.7173
8.120000 94.048 -92.4643
8.250000 94.188 -93.2690
8.380000 94.324 -94.0698
8.500000 94.446 -94.8076
8.620000 94.564 -95.5439
8.750000 94.688 -96.3360
8.850000 94.781 -96.9397
9.000000 94.915 -97.8384
9.120000 95.019 -98.5477
9.250000 95.129 -99.3033
9.380000 95.235 -100.0474
9.500000 95.329 -100.7220
9.620000 95.418 -101.3839
9.750000 95.510 -102.0874
9.880000 95.595 -102.7759
10.000000 95.663 -103.3982
10.150000 95.740 -104.1579
10.300000 95.809 -104.8933
10.440000 95.867 -105.5544
10.600000 95.929 -106.2924
10.750000 95.989 -106.9724
10.900000 96.050 -107.6424
11.060000 96.116 -108.3672
11.200000 96.176 -109.0092
11.380000 96.251 -109.8393
11.500000 96.300 -110.3960
11.720000 96.387 -111.4176
11.800000 96.418 -111.7874
12.060000 96.516 -112.9844
12.200000 96.568 -113.6247
12.410000 96.642 -114.5759
12.500000 96.673 -114.9748
12.650000 96.722 -115.6300
12.800000 96.769 -116.2700
13.150000 96.872 -117.6952
13.200000 96.886 -117.8916
13.400000 96.945 -118.6582
13.600000 97.004 -119.3985
13.800000 97.065 -120.1120
14.000000 97.127 -120.8101
14.300000 97.220 -121.8345
14.500000 97.283 -122.5102
14.750000 97.362 -123.3563
15.000000 97.441 -124.2088
15.250000 97.521 -125.0767
15.500000 97.597 -125.9487
15.750000 97.668 -126.8167
16.000000 97.733 -127.6657
16.250000 97.792 -128.4883
16.500000 97.847 -129.2814
16.750000 97.900 -130.0421
17.000000 97.954 -130.7773
17.250000 98.008 -131.4929
17.500000 98.063 -132.1968
17.750000 98.116 -132.8982
18.000000 98.167 -133.5990
18.250000 98.215 -134.3009
18.500000 98.261 -134.9948
18.750000 98.305 -135.6762
19.000000 98.347 -136.3408
19.250000 98.390 -136.9911
19.500000 98.432 -137.6307
19.750000 98.475 -138.2626
20.000000 98.516 -138.8899
20.299999 98.564 -139.6364
20.600000 98.610 -140.3735
20.900000 98.653 -141.0970
21.200001 98.694 -141.8031
21.400000 98.720 -142.2644
21.799999 98.772 -143.1694
22.000000 98.797 -143.6170
22.400000 98.847 -144.5109
22.700001 98.881 -145.1811
23.000000 98.913 -145.8473
23.299999 98.942 -146.5027
23.600000 98.968 -147.1423
24.000000 99.001 -147.9652
24.299999 99.025 -148.5609
24.700001 99.057 -149.3331
25.000000 99.081 -149.9018
25.400000 99.113 -150.6528
25.799999 99.144 -151.3979
26.200001 99.172 -152.1352
26.500000 99.192 -152.6797
26.900000 99.215 -153.3902
27.200001 99.232 -153.9103
27.600000 99.253 -154.5897
28.000000 99.274 -155.2605
28.500000 99.300 -156.0961
29.000000 99.324 -156.9243
29.500000 99.345 -157.7341
30.000000 99.363 -158.5267
30.400000 99.375 -159.1565
30.700001 99.382 -159.6287
31.100000 99.389 -160.2527
31.500000 99.392 -160.8583
32.000000 99.394 -161.5684
32.500000 99.396 -162.2222
33.000000 99.402 -162.8461
33.500000 99.413 -163.4760
34.000000 99.424 -164.1331
34.500000 99.432 -164.8094
35.000000 99.436 -165.4813
35.500000 99.436 -166.1285
36.000000 99.434 -166.7435
36.500000 99.432 -167.3319
37.000000 99.430 -167.9109
37.500000 99.428 -168.4927
38.200001 99.422 -169.3028
38.700001 99.417 -169.8670
39.500000 99.406 -170.7440
40.000000 99.399 -171.2778
40.599998 99.391 -171.9012
41.200001 99.383 -172.5087
41.799999 99.376 -173.1131
42.500000 99.366 -173.8214
43.099998 99.353 -174.4109
43.700001 99.338 -174.9608
44.400002 99.324 -175.5649
45.000000 99.314 -176.0828
45.500000 99.305 -176.5236
46.200001 99.291 -177.1553
46.799999 99.274 -177.7182
47.500000 99.244 -178.3720
48.200001 99.206 -178.9352
48.700001 99.184 -179.2696
49.400002 99.168 -179.7300
50.000000 99.160 179.8163
50.799999 99.143 179.1728
51.500000 99.126 178.6425
52.200001 99.112 178.1221
53.000000 99.093 177.5049
53.799999 99.066 176.9008
54.500000 99.034 176.4156
55.200001 99.001 175.9753
56.000000 98.967 175.5035
57.000000 98.928 174.9065
58.000000 98.888 174.2947
59.000000 98.847 173.6614
60.000000 98.801 173.0460
60.799999 98.770 172.5964
61.500000 98.748 172.2123
62.200001 98.726 171.8211
63.000000 98.697 171.3795
64.000000 98.657 170.8622
65.000000 98.616 170.3727
66.000000 98.575 169.8757
67.000000 98.528 169.3812
68.000000 98.480 168.9374
69.000000 98.442 168.4833
70.000000 98.401 167.9550
71.000000 98.346 167.4585
72.000000 98.291 167.0654
73.000000 98.242 166.7249
74.000000 98.196 166.4064
75.000000 98.152 166.0841
76.199997 98.102 165.6470
77.500000 98.046 165.1350
78.800003 97.990 164.6223
80.000000 97.941 164.1694
81.199997 97.892 163.7390
82.500000 97.834 163.3054
83.800003 97.769 162.9310
85.000000 97.710 162.6132
86.199997 97.651 162.2868
87.500000 97.586 161.9286
88.500000 97.537 161.6577
90.000000 97.468 161.2637
91.199997 97.418 160.9476
92.500000 97.364 160.6045
93.800003 97.311 160.2754
95.000000 97.261 159.9794
96.199997 97.209 159.6927
97.500000 97.152 159.4024
98.800003 97.092 159.1397
100.000000 97.037 158.9209
101.500000 96.970 158.6397
103.000000 96.904 158.3613
104.400002 96.843 158.0982
106.000000 96.771 157.7983
107.500000 96.705 157.5426
109.000000 96.641 157.3099
110.599998 96.572 157.0748
112.000000 96.512 156.8884
113.800003 96.437 156.6497
115.000000 96.387 156.4747
117.199997 96.290 156.1425
118.000000 96.254 156.0312
120.599998 96.139 155.7393
122.000000 96.082 155.6117
124.099998 96.002 155.4084
125.000000 95.967 155.3107
126.500000 95.907 155.1505
128.000000 95.848 155.0048
131.500000 95.724 154.7070
132.000000 95.707 154.6705
134.000000 95.640 154.5334
136.000000 95.573 154.3997
138.000000 95.505 154.2609
140.000000 95.435 154.1093
143.000000 95.336 153.9228
145.000000 95.272 153.8331
147.500000 95.190 153.7331
150.000000 95.108 153.6474
152.500000 95.027 153.5725
155.000000 94.946 153.4957
157.500000 94.866 153.4334
160.000000 94.787 153.3802
162.500000 94.713 153.3330
165.000000 94.639 153.2923
167.500000 94.565 153.2599
170.000000 94.488 153.2517
172.500000 94.410 153.2484
175.000000 94.334 153.2400
177.500000 94.257 153.2430
180.000000 94.182 153.2592
182.500000 94.105 153.2915
185.000000 94.029 153.3324
187.500000 93.955 153.3689
190.000000 93.885 153.4048
192.500000 93.819 153.4443
195.000000 93.757 153.4949
197.500000 93.698 153.5607
200.000000 93.640 153.6305
203.000000 93.567 153.7208
206.000000 93.492 153.8116
209.000000 93.418 153.8931
212.000000 93.348 153.9935
214.000000 93.302 154.0753
218.000000 93.210 154.2303
220.000000 93.165 154.3094
224.000000 93.076 154.4803
227.000000 93.009 154.5992
230.000000 92.944 154.7215
233.000000 92.882 154.8707
236.000000 92.821 155.0410
240.000000 92.739 155.2649
243.000000 92.680 155.4096
247.000000 92.608 155.5853
250.000000 92.555 155.7272
254.000000 92.483 155.9621
258.000000 92.407 156.2187
262.000000 92.333 156.4634
265.000000 92.282 156.6300
269.000000 92.223 156.8340
272.000000 92.180 156.9872
