* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), no input selected, L, volume: 1.000. Timing signal peak level -29.3 dBFS, measurement signal peak level -17.4 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: May 18, 2023 5:49:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.2696 ms (-92 mm, -3.64 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 47.4 ppm
* Measurement: Quarks DSP B R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 53.964 135.9616
0.732422 60.217 80.1396
1.098633 68.070 48.8380
1.464844 74.171 28.6514
1.831055 78.778 12.1257
2.197266 82.295 -2.5470
2.563477 85.002 -15.8004
2.929688 87.100 -27.7137
3.295898 88.742 -38.3040
3.662109 90.052 -47.6386
4.028320 91.127 -55.8712
4.394531 92.032 -63.2174
4.760742 92.806 -69.8861
5.126953 93.468 -76.0154
5.493164 94.029 -81.6559
5.859375 94.504 -86.8063
6.225586 94.910 -91.4705
6.591797 95.268 -95.6946
6.958008 95.587 -99.5609
7.324219 95.872 -103.1459
7.690430 96.118 -106.4777
8.056641 96.325 -109.5271
8.422852 96.501 -112.2440
8.789062 96.663 -114.6207
9.155273 96.830 -116.7395
9.521484 97.010 -118.7632
9.887695 97.191 -120.8543
10.253906 97.347 -123.0730
10.620117 97.453 -125.3270
10.986328 97.505 -127.4162
11.352539 97.525 -129.1596
11.718750 97.552 -130.5459
12.084961 97.617 -131.7947
12.451172 97.712 -133.2256
12.817383 97.787 -134.9921
13.183594 97.785 -136.8978
13.549805 97.687 -138.4355
13.916016 97.550 -139.0546
14.282227 97.496 -138.6087
14.648438 97.646 -137.7285
15.014648 98.005 -137.5548
15.380859 98.442 -138.8744
15.747070 98.789 -141.6277
16.113281 98.937 -145.1235
16.479492 98.860 -148.4425
16.845703 98.617 -150.7572
17.211914 98.334 -151.6387
17.578125 98.151 -151.3280
17.944336 98.140 -150.6463
18.310547 98.258 -150.3968
18.676758 98.408 -150.8439
19.042969 98.518 -151.7582
19.409180 98.572 -152.7751
19.775391 98.593 -153.6751
20.141602 98.607 -154.4509
20.507812 98.625 -155.1990
20.874023 98.641 -155.9765
21.240234 98.648 -156.7557
21.606445 98.649 -157.4861
21.972656 98.654 -158.1648
22.338867 98.668 -158.8356
22.705078 98.687 -159.5314
23.071289 98.708 -160.2410
23.437500 98.733 -160.9466
23.803711 98.766 -161.6799
24.169922 98.802 -162.5099
24.536133 98.819 -163.4459
24.902344 98.798 -164.3497
25.268555 98.742 -164.9725
25.634766 98.689 -165.1369
26.000977 98.693 -164.9505
26.367188 98.777 -164.8236
26.733398 98.900 -165.1708
27.099609 98.983 -166.0434
27.465820 98.962 -167.0391
27.832031 98.846 -167.5317
28.198242 98.721 -167.0927
28.564453 98.709 -165.9237
28.930664 98.870 -164.8784
29.296875 99.135 -164.8172
29.663086 99.364 -165.9380
30.029297 99.451 -167.7519
30.395508 99.373 -169.4737
30.761719 99.190 -170.4457
31.127930 99.019 -170.4932
31.494141 98.953 -170.0588
31.860352 99.000 -169.8701
32.226562 99.083 -170.3551
32.592773 99.119 -171.3950
32.958984 99.070 -172.5361
33.325195 98.962 -173.3472
33.691406 98.857 -173.6863
34.057617 98.804 -173.7528
34.423828 98.809 -173.8884
34.790039 98.839 -174.2942
35.156250 98.853 -174.9172
35.522461 98.839 -175.5553
35.888672 98.808 -176.0380
36.254883 98.784 -176.3404
36.621094 98.783 -176.5678
36.987305 98.799 -176.8461
37.353516 98.815 -177.2204
37.719727 98.819 -177.6387
38.085938 98.808 -178.0115
38.452148 98.790 -178.2834
38.818359 98.778 -178.4677
39.184570 98.776 -178.6271
39.550781 98.782 -178.8266
39.916992 98.788 -179.0948
40.283203 98.787 -179.4165
40.649414 98.776 -179.7527
41.015625 98.758 179.9315
41.381836 98.739 179.6461
41.748047 98.722 179.3750
42.114258 98.709 179.0908
42.480469 98.697 178.7772
42.846680 98.683 178.4414
43.212891 98.665 178.1096
43.579102 98.646 177.8069
43.945312 98.630 177.5394
44.311523 98.621 177.2901
44.677734 98.619 177.0327
45.043945 98.619 176.7506
45.410156 98.620 176.4462
45.776367 98.618 176.1329
46.142578 98.612 175.8228
46.508789 98.603 175.5224
46.875000 98.588 175.2408
47.241211 98.568 174.9976
47.607422 98.545 174.8178
47.973633 98.526 174.7092
48.339844 98.517 174.6403
48.706055 98.521 174.5425
49.072266 98.533 174.3459
49.438477 98.539 174.0266
49.804688 98.527 173.6307
50.170898 98.492 173.2547
50.537109 98.445 172.9913
50.903320 98.399 172.8731
51.269531 98.371 172.8498
51.635742 98.367 172.8171
52.001953 98.379 172.6810
52.368164 98.395 172.4101
52.734375 98.402 172.0433
53.100586 98.396 171.6539
53.466797 98.383 171.3005
53.833008 98.370 170.9970
54.199219 98.361 170.7165
54.565430 98.355 170.4252
54.931641 98.346 170.1179
55.297852 98.331 169.8316
55.664062 98.309 169.6242
56.030273 98.292 169.5309
56.396484 98.293 169.5218
56.762695 98.320 169.4943
57.128906 98.367 169.3148
57.495117 98.414 168.8957
57.861328 98.435 168.2581
58.227539 98.408 167.5432
58.593750 98.332 166.9634
58.959961 98.227 166.7096
59.326172 98.130 166.8471
59.692383 98.079 167.2557
60.058594 98.088 167.6741
60.424805 98.143 167.8448
60.791016 98.207 167.6558
61.157227 98.247 167.1774
61.523438 98.245 166.5932
61.889648 98.207 166.0880
62.255859 98.153 165.7596
62.622070 98.104 165.5916
62.988281 98.069 165.4957
63.354492 98.045 165.3896
63.720703 98.024 165.2500
64.086914 98.001 165.1074
64.453125 97.976 165.0012
64.819336 97.956 164.9357
65.185547 97.946 164.8738
65.551758 97.944 164.7662
65.917969 97.942 164.5902
66.284180 97.933 164.3638
66.650391 97.915 164.1282
67.016602 97.890 163.9170
67.382812 97.863 163.7363
67.749023 97.837 163.5710
68.115234 97.810 163.4063
68.481445 97.781 163.2450
68.847656 97.749 163.1051
69.213867 97.717 163.0020
69.580078 97.691 162.9309
69.946289 97.673 162.8649
70.312500 97.662 162.7697
70.678711 97.656 162.6229
71.044922 97.649 162.4230
71.411133 97.638 162.1847
71.777344 97.621 161.9286
72.143555 97.599 161.6746
72.509766 97.572 161.4410
72.875977 97.543 161.2425
73.242188 97.515 161.0854
73.608398 97.491 160.9598
73.974609 97.473 160.8394
74.340820 97.460 160.6950
74.707031 97.447 160.5129
75.073242 97.429 160.3068
75.439453 97.403 160.1113
75.805664 97.373 159.9601
76.171875 97.344 159.8646
76.538086 97.321 159.8059
76.904297 97.306 159.7471
77.270508 97.296 159.6557
77.636719 97.285 159.5206
78.002930 97.271 159.3549
78.369141 97.251 159.1851
78.735352 97.226 159.0367
79.101562 97.199 158.9221
79.467773 97.175 158.8364
79.833984 97.155 158.7611
80.200195 97.139 158.6738
80.566406 97.125 158.5599
80.932617 97.109 158.4196
81.298828 97.089 158.2669
81.665039 97.066 158.1198
82.031250 97.042 157.9890
82.397461 97.018 157.8723
82.763672 96.996 157.7574
83.129883 96.975 157.6313
83.496094 96.954 157.4875
83.862305 96.932 157.3295
84.228516 96.906 157.1683
84.594727 96.877 157.0187
84.960938 96.847 156.8932
85.327148 96.820 156.7931
85.693359 96.798 156.7030
86.059570 96.781 156.5948
86.425781 96.766 156.4463
86.791992 96.747 156.2634
87.158203 96.721 156.0868
87.524414 96.690 155.9680
87.890625 96.666 155.9253
88.256836 96.657 155.9113
88.623047 96.664 155.8300
88.989258 96.676 155.6007
89.355469 96.674 155.2264
89.721680 96.642 154.8093
90.087891 96.581 154.4991
90.454102 96.509 154.4044
90.820312 96.448 154.5203
91.186523 96.417 154.7293
91.552734 96.412 154.8797
91.918945 96.417 154.8848
92.285156 96.415 154.7640
92.651367 96.396 154.6055
93.017578 96.364 154.4924
93.383789 96.331 154.4503
93.750000 96.304 154.4450
94.116211 96.284 154.4233
94.482422 96.266 154.3555
94.848633 96.244 154.2487
95.214844 96.217 154.1291
95.581055 96.187 154.0186
95.947266 96.154 153.9239
96.313477 96.123 153.8414
96.679688 96.092 153.7661
97.045898 96.063 153.6940
97.412109 96.037 153.6196
97.778320 96.011 153.5361
98.144531 95.986 153.4421
98.510742 95.960 153.3455
98.876953 95.932 153.2604
99.243164 95.905 153.1950
99.609375 95.881 153.1426
99.975586 95.861 153.0851
100.341797 95.842 153.0074
100.708008 95.821 152.9110
101.074219 95.795 152.8138
101.440430 95.767 152.7365
101.806641 95.739 152.6860
102.172852 95.714 152.6499
102.539062 95.691 152.6068
102.905273 95.669 152.5422
103.271484 95.644 152.4599
103.637695 95.615 152.3781
104.003906 95.582 152.3164
104.370117 95.550 152.2824
104.736328 95.522 152.2661
105.102539 95.497 152.2451
105.468750 95.476 152.1977
105.834961 95.455 152.1147
106.201172 95.429 152.0062
106.567383 95.398 151.8979
106.933594 95.361 151.8197
107.299805 95.325 151.7885
107.666016 95.293 151.7973
108.032227 95.270 151.8147
108.398438 95.254 151.8008
108.764648 95.240 151.7306
109.130859 95.221 151.6099
109.497070 95.192 151.4746
109.863281 95.156 151.3710
110.229492 95.116 151.3291
110.595703 95.080 151.3448
110.961914 95.052 151.3827
111.328125 95.032 151.3983
111.694336 95.014 151.3658
112.060547 94.992 151.2925
112.426758 94.964 151.2104
112.792969 94.930 151.1529
113.159180 94.897 151.1326
113.525391 94.867 151.1339
113.891602 94.842 151.1264
114.257812 94.819 151.0882
114.624023 94.793 151.0221
114.990234 94.763 150.9526
115.356445 94.728 150.9076
115.722656 94.694 150.8976
116.088867 94.664 150.9089
116.455078 94.639 150.9155
116.821289 94.615 150.9001
117.187500 94.589 150.8682
117.553711 94.560 150.8428
117.919922 94.530 150.8456
118.286133 94.503 150.8779
118.652344 94.481 150.9182
119.018555 94.464 150.9381
119.384766 94.448 150.9232
119.750977 94.428 150.8828
120.117188 94.405 150.8394
120.483398 94.379 150.8094
120.849609 94.353 150.7909
121.215820 94.328 150.7694
121.582031 94.301 150.7357
121.948242 94.271 150.6981
122.314453 94.237 150.6779
122.680664 94.201 150.6910
123.046875 94.168 150.7326
123.413086 94.139 150.7800
123.779297 94.112 150.8117
124.145508 94.085 150.8259
124.511719 94.054 150.8411
124.877930 94.022 150.8781
125.244141 93.992 150.9389
125.610352 93.967 151.0024
125.976562 93.946 151.0409
126.342773 93.925 151.0422
126.708984 93.899 151.0201
127.075195 93.866 151.0039
127.441406 93.830 151.0197
127.807617 93.794 151.0773
128.173828 93.761 151.1708
128.540039 93.734 151.2849
128.906250 93.714 151.3987
129.272461 93.702 151.4845
129.638672 93.694 151.5106
130.004883 93.686 151.4583
130.371094 93.667 151.3415
130.737305 93.634 151.2139
131.103516 93.586 151.1472
131.469727 93.535 151.1913
131.835938 93.493 151.3376
132.202148 93.467 151.5189
132.568359 93.456 151.6492
132.934570 93.451 151.6786
133.300781 93.438 151.6213
133.666992 93.413 151.5391
134.033203 93.377 151.4969
134.399414 93.339 151.5230
134.765625 93.305 151.5994
135.131836 93.279 151.6843
135.498047 93.257 151.7462
135.864258 93.234 151.7823
136.230469 93.209 151.8115
136.596680 93.183 151.8521
136.962891 93.157 151.9059
137.329102 93.134 151.9588
137.695312 93.112 151.9951
138.061523 93.088 152.0133
138.427734 93.060 152.0283
138.793945 93.029 152.0607
139.160156 92.998 152.1208
139.526367 92.969 152.2006
139.892578 92.943 152.2801
140.258789 92.919 152.3440
140.625000 92.892 152.3951
140.991211 92.863 152.4532
141.357422 92.832 152.5387
141.723633 92.804 152.6532
142.089844 92.782 152.7739
142.456055 92.764 152.8679
142.822266 92.747 152.9178
143.188477 92.724 152.9381
143.554688 92.694 152.9677
143.920898 92.660 153.0427
144.287109 92.629 153.1697
144.653320 92.606 153.3196
145.019531 92.591 153.4471
145.385742 92.580 153.5219
145.751953 92.565 153.5464
146.118164 92.544 153.5497
146.484375 92.518 153.5643
146.850586 92.488 153.6074
147.216797 92.458 153.6771
147.583008 92.430 153.7631
