* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.000
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 11, 2023 5:30:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: S12 Pro L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 34.341 -116.5163
0.732422 45.556 159.4373
1.098633 55.054 121.7520
1.464844 62.115 97.4310
1.831055 67.566 78.2591
2.197266 71.869 61.7733
2.563477 75.302 47.1482
2.929688 78.060 34.1495
3.295898 80.300 22.7438
3.662109 82.161 12.8882
4.028320 83.770 4.3914
4.394531 85.218 -3.1265
4.760742 86.549 -10.1288
5.126953 87.761 -16.9692
5.493164 88.828 -23.7567
5.859375 89.731 -30.3646
6.225586 90.474 -36.5442
6.591797 91.093 -42.0721
6.958008 91.641 -46.8801
7.324219 92.169 -51.1165
7.690430 92.702 -55.0843
8.056641 93.230 -59.0767
8.422852 93.720 -63.2242
8.789062 94.139 -67.4571
9.155273 94.474 -71.5743
9.521484 94.734 -75.3572
9.887695 94.950 -78.6732
10.253906 95.081 -81.5390
10.620117 95.201 -84.1115
10.986328 95.360 -86.6035
11.352539 95.528 -89.1713
11.718750 95.681 -91.8467
12.084961 95.811 -94.5464
12.451172 95.915 -97.1379
12.817383 95.991 -99.5178
13.183594 96.055 -101.6611
13.549805 96.128 -103.6188
13.916016 96.212 -105.4658
14.282227 96.294 -107.2421
14.648438 96.373 -108.9367
15.014648 96.454 -110.5274
15.380859 96.556 -112.0394
15.747070 96.673 -113.5657
16.113281 96.795 -115.2151
16.479492 96.900 -117.0250
16.845703 96.969 -118.9091
17.211914 96.999 -120.6891
17.578125 97.000 -122.1934
17.944336 97.005 -123.3706
18.310547 97.042 -124.3376
18.676758 97.117 -125.3106
19.042969 97.215 -126.4590
19.409180 97.306 -127.8007
19.775391 97.369 -129.2169
20.141602 97.405 -130.5559
20.507812 97.431 -131.7408
20.874023 97.463 -132.8088
21.240234 97.505 -133.8593
21.606445 97.545 -134.9590
21.972656 97.572 -136.0853
22.338867 97.581 -137.1505
22.705078 97.581 -138.0763
23.071289 97.587 -138.8582
23.437500 97.610 -139.5696
23.803711 97.649 -140.3088
24.169922 97.696 -141.1356
24.536133 97.738 -142.0480
24.902344 97.768 -143.0052
25.268555 97.786 -143.9651
25.634766 97.793 -144.9007
26.000977 97.789 -145.7930
26.367188 97.778 -146.6175
26.733398 97.764 -147.3481
27.099609 97.755 -147.9791
27.465820 97.760 -148.5453
27.832031 97.781 -149.1152
28.198242 97.813 -149.7548
28.564453 97.845 -150.4879
28.930664 97.868 -151.2841
29.296875 97.878 -152.0801
29.663086 97.878 -152.8199
30.029297 97.875 -153.4838
30.395508 97.875 -154.0905
30.761719 97.879 -154.6747
31.127930 97.887 -155.2599
31.494141 97.893 -155.8462
31.860352 97.898 -156.4210
32.226562 97.902 -156.9768
32.592773 97.907 -157.5221
32.958984 97.912 -158.0735
33.325195 97.914 -158.6385
33.691406 97.907 -159.2036
34.057617 97.897 -159.7387
34.423828 97.885 -160.2191
34.790039 97.875 -160.6458
35.156250 97.871 -161.0497
35.522461 97.874 -161.4734
35.888672 97.877 -161.9416
36.254883 97.876 -162.4440
36.621094 97.867 -162.9435
36.987305 97.855 -163.4052
37.353516 97.845 -163.8234
37.719727 97.842 -164.2283
38.085938 97.844 -164.6650
38.452148 97.847 -165.1605
38.818359 97.844 -165.7035
39.184570 97.829 -166.2494
39.550781 97.804 -166.7462
39.916992 97.777 -167.1631
40.283203 97.754 -167.5052
40.649414 97.741 -167.8078
41.015625 97.737 -168.1155
41.381836 97.738 -168.4602
41.748047 97.739 -168.8470
42.114258 97.736 -169.2556
42.480469 97.726 -169.6528
42.846680 97.716 -170.0128
43.212891 97.709 -170.3343
43.579102 97.708 -170.6453
43.945312 97.713 -170.9882
44.311523 97.719 -171.3925
44.677734 97.718 -171.8502
45.043945 97.704 -172.3154
45.410156 97.680 -172.7297
45.776367 97.653 -173.0591
46.142578 97.634 -173.3194
46.508789 97.625 -173.5669
46.875000 97.625 -173.8599
47.241211 97.624 -174.2173
47.607422 97.614 -174.6064
47.973633 97.595 -174.9685
48.339844 97.572 -175.2620
48.706055 97.554 -175.4916
49.072266 97.546 -175.7031
49.438477 97.544 -175.9469
49.804688 97.544 -176.2415
50.170898 97.537 -176.5645
50.537109 97.525 -176.8772
50.903320 97.510 -177.1581
51.269531 97.498 -177.4191
51.635742 97.489 -177.6905
52.001953 97.480 -177.9908
52.368164 97.465 -178.3076
52.734375 97.444 -178.6068
53.100586 97.422 -178.8634
53.466797 97.403 -179.0844
53.833008 97.391 -179.3058
54.199219 97.382 -179.5640
54.565430 97.372 -179.8655
54.931641 97.354 179.8180
55.297852 97.331 179.5272
55.664062 97.306 179.2847
56.030273 97.286 179.0812
56.396484 97.271 178.8881
56.762695 97.261 178.6827
57.128906 97.251 178.4629
57.495117 97.241 178.2399
57.861328 97.232 178.0199
58.227539 97.224 177.7949
58.593750 97.216 177.5524
58.959961 97.205 177.2938
59.326172 97.189 177.0410
59.692383 97.168 176.8221
60.058594 97.147 176.6477
60.424805 97.133 176.4980
60.791016 97.124 176.3351
61.157227 97.116 176.1323
61.523438 97.105 175.8951
61.889648 97.086 175.6573
62.255859 97.062 175.4551
62.622070 97.040 175.2984
62.988281 97.025 175.1633
63.354492 97.016 175.0084
63.720703 97.011 174.8043
64.086914 97.002 174.5532
64.453125 96.986 174.2865
64.819336 96.963 174.0454
65.185547 96.938 173.8555
65.551758 96.918 173.7121
65.917969 96.906 173.5833
66.284180 96.901 173.4299
66.650391 96.898 173.2307
67.016602 96.891 172.9966
67.382812 96.878 172.7635
67.749023 96.859 172.5685
68.115234 96.843 172.4214
68.481445 96.833 172.2946
68.847656 96.831 172.1403
69.213867 96.829 171.9250
69.580078 96.820 171.6565
69.946289 96.798 171.3807
70.312500 96.765 171.1536
70.678711 96.728 171.0059
71.044922 96.694 170.9295
71.411133 96.667 170.8910
71.777344 96.645 170.8615
72.143555 96.628 170.8331
72.509766 96.614 170.8118
72.875977 96.607 170.7946
73.242188 96.608 170.7565
73.608398 96.616 170.6614
73.974609 96.625 170.4860
74.340820 96.629 170.2377
74.707031 96.623 169.9488
75.073242 96.607 169.6567
75.439453 96.584 169.3868
75.805664 96.555 169.1500
76.171875 96.524 168.9518
76.538086 96.492 168.7975
76.904297 96.463 168.6868
77.270508 96.441 168.6024
77.636719 96.425 168.5110
78.002930 96.414 168.3805
78.369141 96.400 168.2048
78.735352 96.379 168.0126
79.101562 96.350 167.8502
79.467773 96.320 167.7490
79.833984 96.295 167.7023
80.200195 96.280 167.6688
80.566406 96.272 167.6017
80.932617 96.266 167.4797
81.298828 96.256 167.3162
81.665039 96.239 167.1448
82.031250 96.217 166.9954
82.397461 96.194 166.8788
82.763672 96.172 166.7889
83.129883 96.154 166.7122
83.496094 96.138 166.6363
83.862305 96.125 166.5511
84.228516 96.113 166.4495
84.594727 96.100 166.3296
84.960938 96.085 166.1999
85.327148 96.067 166.0768
85.693359 96.047 165.9739
86.059570 96.030 165.8900
86.425781 96.016 165.8076
86.791992 96.005 165.7067
87.158203 95.993 165.5825
87.524414 95.977 165.4512
87.890625 95.959 165.3359
88.256836 95.942 165.2449
88.623047 95.929 165.1611
88.989258 95.920 165.0559
89.355469 95.911 164.9144
89.721680 95.897 164.7511
90.087891 95.878 164.5989
90.454102 95.856 164.4828
90.820312 95.835 164.4001
91.186523 95.819 164.3270
91.552734 95.804 164.2448
91.918945 95.787 164.1602
92.285156 95.768 164.0986
92.651367 95.750 164.0756
93.017578 95.739 164.0742
93.383789 95.735 164.0532
93.750000 95.733 163.9812
94.116211 95.726 163.8657
94.482422 95.712 163.7483
94.848633 95.695 163.6667
95.214844 95.681 163.6169
95.581055 95.674 163.5513
95.947266 95.670 163.4185
96.313477 95.658 163.2130
96.679688 95.632 162.9879
97.045898 95.593 162.8202
97.412109 95.552 162.7538
97.778320 95.520 162.7659
98.144531 95.503 162.7855
98.510742 95.495 162.7483
98.876953 95.487 162.6420
99.243164 95.473 162.5054
99.609375 95.453 162.3887
99.975586 95.433 162.3119
100.341797 95.419 162.2557
100.708008 95.409 162.1879
101.074219 95.400 162.0958
101.440430 95.387 161.9954
101.806641 95.373 161.9128
102.172852 95.358 161.8586
102.539062 95.347 161.8191
102.905273 95.339 161.7720
103.271484 95.330 161.7067
103.637695 95.319 161.6312
104.003906 95.304 161.5615
104.370117 95.287 161.5068
104.736328 95.270 161.4653
105.102539 95.252 161.4315
105.468750 95.235 161.4027
105.834961 95.218 161.3775
106.201172 95.203 161.3483
106.567383 95.190 161.3008
106.933594 95.176 161.2246
107.299805 95.158 161.1262
107.666016 95.135 161.0287
108.032227 95.108 160.9558
108.398438 95.083 160.9132
108.764648 95.061 160.8863
109.130859 95.043 160.8568
109.497070 95.026 160.8215
109.863281 95.010 160.7936
110.229492 94.997 160.7819
110.595703 94.991 160.7699
110.961914 94.991 160.7204
111.328125 94.991 160.6066
111.694336 94.983 160.4436
112.060547 94.963 160.2875
112.426758 94.934 160.1984
112.792969 94.907 160.1941
113.159180 94.890 160.2328
113.525391 94.883 160.2446
113.891602 94.878 160.1869
114.257812 94.865 160.0762
114.624023 94.840 159.9722
114.990234 94.809 159.9297
115.356445 94.779 159.9584
115.722656 94.758 160.0217
116.088867 94.746 160.0693
116.455078 94.739 160.0717
116.821289 94.733 160.0275
117.187500 94.725 159.9458
117.553711 94.715 159.8295
117.919922 94.700 159.6802
118.286133 94.675 159.5190
118.652344 94.640 159.3947
119.018555 94.600 159.3625
119.384766 94.566 159.4410
119.750977 94.551 159.5826
120.117188 94.558 159.6898
120.483398 94.578 159.6730
120.849609 94.595 159.5096
121.215820 94.594 159.2583
121.582031 94.572 159.0225
121.948242 94.536 158.8895
122.314453 94.501 158.8832
122.680664 94.477 158.9591
123.046875 94.468 159.0405
123.413086 94.467 159.0706
123.779297 94.465 159.0417
124.145508 94.457 158.9879
124.511719 94.444 158.9508
124.877930 94.432 158.9460
125.244141 94.425 158.9521
125.610352 94.423 158.9281
125.976562 94.422 158.8461
126.342773 94.414 158.7147
126.708984 94.395 158.5769
127.075195 94.368 158.4837
127.441406 94.340 158.4603
127.807617 94.319 158.4881
128.173828 94.309 158.5160
128.540039 94.305 158.4948
128.906250 94.300 158.4108
129.272461 94.287 158.2944
129.638672 94.265 158.1995
130.004883 94.239 158.1663
130.371094 94.219 158.1947
130.737305 94.209 158.2436
131.103516 94.208 158.2578
131.469727 94.209 158.2053
131.835938 94.204 158.0978
132.202148 94.189 157.9836
132.568359 94.166 157.9161
132.934570 94.143 157.9185
133.300781 94.129 157.9673
133.666992 94.124 158.0059
134.033203 94.125 157.9828
134.399414 94.123 157.8880
134.765625 94.110 157.7603
135.131836 94.085 157.6625
135.498047 94.056 157.6398
135.864258 94.031 157.6909
136.230469 94.015 157.7729
136.596680 94.008 157.8359
136.962891 94.004 157.8585
137.329102 93.999 157.8544
137.695312 93.992 157.8480
138.061523 93.988 157.8426
138.427734 93.987 157.8134
138.793945 93.985 157.7322
139.160156 93.976 157.6035
139.526367 93.955 157.4750
139.892578 93.924 157.4100
140.258789 93.893 157.4414
140.625000 93.872 157.5419
140.991211 93.866 157.6394
141.357422 93.869 157.6687
141.723633 93.871 157.6161
142.089844 93.864 157.5233
142.456055 93.848 157.4498
142.822266 93.829 157.4268
143.188477 93.816 157.4378
143.554688 93.810 157.4382
143.920898 93.806 157.3945
144.287109 93.798 157.3102
144.653320 93.782 157.2192
145.019531 93.761 157.1584
145.385742 93.738 157.1434
145.751953 93.718 157.1641
146.118164 93.703 157.1992
146.484375 93.691 157.2324
146.850586 93.682 157.2590
147.216797 93.674 157.2790
147.583008 93.667 157.2902
147.949219 93.662 157.2884
148.315430 93.655 157.2729
148.681641 93.647 157.2502
149.047852 93.637 157.2299
149.414062 93.627 157.2173
149.780273 93.617 157.2097
