* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.000
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 11, 2023 5:32:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: S12 Pro R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 46.657 170.1676
0.732422 47.722 148.4242
1.098633 52.513 117.0444
1.464844 59.255 93.5367
1.831055 65.380 76.2230
2.197266 70.418 61.0501
2.563477 74.467 46.7733
2.929688 77.682 33.2509
3.295898 80.199 20.7227
3.662109 82.144 9.5931
4.028320 83.656 0.3077
4.394531 84.908 -6.8568
4.760742 86.098 -12.1409
5.126953 87.370 -16.5097
5.493164 88.733 -21.2401
5.859375 90.070 -27.1239
6.225586 91.239 -34.1473
6.591797 92.144 -41.7440
6.958008 92.763 -49.1346
7.324219 93.139 -55.5601
7.690430 93.376 -60.5016
8.056641 93.618 -63.9532
8.422852 93.974 -66.5484
8.789062 94.452 -69.2064
9.155273 94.964 -72.4953
9.521484 95.409 -76.3644
9.887695 95.734 -80.3675
10.253906 95.875 -84.0251
10.620117 95.933 -87.0971
10.986328 96.010 -89.6775
11.352539 96.114 -92.0632
11.718750 96.225 -94.4861
12.084961 96.323 -96.9456
12.451172 96.392 -99.2662
12.817383 96.441 -101.2886
13.183594 96.501 -103.0288
13.549805 96.598 -104.6771
13.916016 96.720 -106.4409
14.282227 96.829 -108.3790
14.648438 96.903 -110.3735
15.014648 96.943 -112.2395
15.380859 96.983 -113.8673
15.747070 97.036 -115.2966
16.113281 97.114 -116.6752
16.479492 97.209 -118.1461
16.845703 97.302 -119.7580
17.211914 97.380 -121.4585
17.578125 97.432 -123.1442
17.944336 97.461 -124.7150
18.310547 97.477 -126.1042
18.676758 97.496 -127.2917
19.042969 97.534 -128.3146
19.409180 97.600 -129.2688
19.775391 97.690 -130.2799
20.141602 97.789 -131.4416
20.507812 97.874 -132.7566
20.874023 97.929 -134.1268
21.240234 97.951 -135.4055
21.606445 97.954 -136.4823
21.972656 97.962 -137.3517
22.338867 97.989 -138.1162
22.705078 98.034 -138.9147
23.071289 98.080 -139.8267
23.437500 98.111 -140.8248
23.803711 98.116 -141.8024
24.169922 98.106 -142.6498
24.536133 98.095 -143.3277
24.902344 98.101 -143.8944
25.268555 98.127 -144.4680
25.634766 98.163 -145.1442
26.000977 98.192 -145.9311
26.367188 98.203 -146.7455
26.733398 98.199 -147.4730
27.099609 98.198 -148.0568
27.465820 98.218 -148.5538
27.832031 98.263 -149.1092
28.198242 98.319 -149.8529
28.564453 98.359 -150.7942
28.930664 98.361 -151.7980
29.296875 98.327 -152.6606
29.663086 98.280 -153.2376
30.029297 98.254 -153.5489
30.395508 98.269 -153.7793
30.761719 98.318 -154.1558
31.127930 98.374 -154.7923
31.494141 98.404 -155.6281
31.860352 98.395 -156.4876
32.226562 98.357 -157.1978
32.592773 98.312 -157.6852
32.958984 98.282 -158.0013
33.325195 98.277 -158.2717
33.691406 98.288 -158.6122
34.057617 98.311 -159.0740
34.423828 98.327 -159.6422
34.790039 98.329 -160.2641
35.156250 98.316 -160.8788
35.522461 98.293 -161.4376
35.888672 98.267 -161.9178
36.254883 98.246 -162.3315
36.621094 98.234 -162.7190
36.987305 98.228 -163.1236
37.353516 98.224 -163.5592
37.719727 98.216 -163.9999
38.085938 98.204 -164.4036
38.452148 98.197 -164.7541
38.818359 98.199 -165.0841
39.184570 98.212 -165.4549
39.550781 98.225 -165.9046
39.916992 98.228 -166.4101
40.283203 98.218 -166.8992
40.649414 98.199 -167.3039
41.015625 98.183 -167.6142
41.381836 98.180 -167.8879
41.748047 98.187 -168.2055
42.114258 98.193 -168.6066
42.480469 98.188 -169.0600
42.846680 98.169 -169.4894
43.212891 98.141 -169.8294
43.579102 98.117 -170.0699
43.945312 98.105 -170.2596
44.311523 98.105 -170.4699
44.677734 98.111 -170.7486
45.043945 98.114 -171.0967
45.410156 98.108 -171.4781
45.776367 98.093 -171.8463
46.142578 98.075 -172.1700
46.508789 98.057 -172.4459
46.875000 98.046 -172.6963
47.241211 98.041 -172.9552
47.607422 98.039 -173.2501
47.973633 98.036 -173.5858
48.339844 98.026 -173.9411
48.706055 98.010 -174.2795
49.072266 97.989 -174.5705
49.438477 97.970 -174.8072
49.804688 97.957 -175.0106
50.170898 97.951 -175.2157
50.537109 97.951 -175.4517
50.903320 97.951 -175.7279
51.269531 97.948 -176.0342
51.635742 97.939 -176.3502
52.001953 97.926 -176.6566
52.368164 97.911 -176.9414
52.734375 97.896 -177.2036
53.100586 97.884 -177.4539
53.466797 97.873 -177.7097
53.833008 97.863 -177.9856
54.199219 97.849 -178.2799
54.565430 97.831 -178.5709
54.931641 97.807 -178.8280
55.297852 97.785 -179.0340
55.664062 97.768 -179.2016
56.030273 97.759 -179.3687
56.396484 97.756 -179.5708
56.762695 97.751 -179.8134
57.128906 97.740 179.9328
57.495117 97.726 179.7067
57.861328 97.712 179.5229
58.227539 97.705 179.3571
58.593750 97.704 179.1644
58.959961 97.703 178.9182
59.326172 97.694 178.6349
59.692383 97.675 178.3652
60.058594 97.649 178.1583
60.424805 97.626 178.0266
60.791016 97.611 177.9371
61.157227 97.607 177.8349
61.523438 97.608 177.6791
61.889648 97.608 177.4640
62.255859 97.600 177.2145
62.622070 97.586 176.9650
62.988281 97.566 176.7397
63.354492 97.545 176.5455
63.720703 97.524 176.3756
64.086914 97.507 176.2184
64.453125 97.491 176.0628
64.819336 97.478 175.9012
65.185547 97.466 175.7301
65.551758 97.455 175.5487
65.917969 97.445 175.3569
66.284180 97.434 175.1525
66.650391 97.423 174.9328
67.016602 97.409 174.7005
67.382812 97.390 174.4702
67.749023 97.366 174.2666
68.115234 97.342 174.1117
68.481445 97.321 174.0076
68.847656 97.308 173.9291
69.213867 97.305 173.8344
69.580078 97.305 173.6905
69.946289 97.304 173.4932
70.312500 97.295 173.2682
70.678711 97.278 173.0535
71.044922 97.255 172.8765
71.411133 97.230 172.7462
71.777344 97.204 172.6599
72.143555 97.180 172.6163
72.509766 97.159 172.6186
72.875977 97.145 172.6620
73.242188 97.143 172.7190
73.608398 97.154 172.7384
73.974609 97.174 172.6660
74.340820 97.193 172.4734
74.707031 97.202 172.1747
75.073242 97.195 171.8188
75.439453 97.170 171.4667
75.805664 97.132 171.1687
76.171875 97.086 170.9503
76.538086 97.040 170.8126
76.904297 97.000 170.7370
77.270508 96.968 170.6932
77.636719 96.945 170.6482
78.002930 96.928 170.5786
78.369141 96.913 170.4802
78.735352 96.897 170.3676
79.101562 96.882 170.2597
79.467773 96.871 170.1597
79.833984 96.864 170.0490
80.200195 96.860 169.9023
80.566406 96.854 169.7163
80.932617 96.840 169.5226
81.298828 96.820 169.3708
81.665039 96.800 169.2893
82.031250 96.789 169.2551
82.397461 96.791 169.2029
82.763672 96.799 169.0725
83.129883 96.800 168.8581
83.496094 96.787 168.6156
83.862305 96.760 168.4240
84.228516 96.729 168.3279
84.594727 96.706 168.3073
84.960938 96.694 168.2969
85.327148 96.691 168.2393
85.693359 96.686 168.1232
86.059570 96.675 167.9803
86.425781 96.660 167.8466
86.791992 96.644 167.7304
87.158203 96.629 167.6127
87.524414 96.614 167.4760
87.890625 96.594 167.3302
88.256836 96.569 167.2077
88.623047 96.543 167.1339
88.989258 96.523 167.1005
89.355469 96.511 167.0692
89.721680 96.504 167.0037
90.087891 96.495 166.9001
90.454102 96.482 166.7868
90.820312 96.467 166.6962
91.186523 96.453 166.6336
91.552734 96.444 166.5721
91.918945 96.439 166.4778
92.285156 96.431 166.3408
92.651367 96.416 166.1856
93.017578 96.394 166.0511
93.383789 96.369 165.9612
93.750000 96.347 165.9090
94.116211 96.329 165.8673
94.482422 96.315 165.8132
94.848633 96.302 165.7435
95.214844 96.288 165.6705
95.581055 96.274 165.6033
95.947266 96.263 165.5357
96.313477 96.255 165.4500
96.679688 96.248 165.3323
97.045898 96.237 165.1860
97.412109 96.222 165.0311
97.778320 96.202 164.8922
98.144531 96.178 164.7858
98.510742 96.155 164.7160
98.876953 96.133 164.6788
99.243164 96.115 164.6683
99.609375 96.100 164.6782
99.975586 96.091 164.6977
100.341797 96.087 164.7084
100.708008 96.088 164.6891
101.074219 96.089 164.6264
101.440430 96.086 164.5241
101.806641 96.077 164.4032
102.172852 96.062 164.2897
102.539062 96.044 164.1987
102.905273 96.026 164.1252
103.271484 96.010 164.0496
103.637695 95.993 163.9545
104.003906 95.972 163.8416
104.370117 95.945 163.7342
104.736328 95.914 163.6625
105.102539 95.884 163.6419
105.468750 95.860 163.6581
105.834961 95.846 163.6739
106.201172 95.838 163.6526
106.567383 95.832 163.5823
106.933594 95.822 163.4820
107.299805 95.807 163.3856
107.666016 95.792 163.3162
108.032227 95.781 163.2687
108.398438 95.776 163.2139
108.764648 95.775 163.1200
109.130859 95.772 162.9746
109.497070 95.763 162.7929
109.863281 95.743 162.6088
110.229492 95.715 162.4591
110.595703 95.680 162.3714
110.961914 95.646 162.3583
111.328125 95.616 162.4141
111.694336 95.598 162.5104
112.060547 95.592 162.5982
112.426758 95.596 162.6227
112.792969 95.601 162.5524
113.159180 95.598 162.4044
113.525391 95.579 162.2427
113.891602 95.550 162.1444
114.257812 95.520 162.1487
114.624023 95.503 162.2240
114.990234 95.504 162.2822
115.356445 95.516 162.2381
115.722656 95.525 162.0693
116.088867 95.517 161.8314
116.455078 95.490 161.6203
116.821289 95.452 161.5129
117.187500 95.415 161.5266
117.553711 95.390 161.6227
117.919922 95.379 161.7433
118.286133 95.379 161.8467
118.652344 95.386 161.9132
119.018555 95.400 161.9288
119.384766 95.415 161.8747
119.750977 95.427 161.7406
120.117188 95.427 161.5471
120.483398 95.412 161.3499
120.849609 95.385 161.2126
121.215820 95.354 161.1647
121.582031 95.330 161.1801
121.948242 95.314 161.1982
122.314453 95.303 161.1725
122.680664 95.287 161.1062
123.046875 95.264 161.0427
123.413086 95.238 161.0236
123.779297 95.215 161.0513
124.145508 95.200 161.0878
124.511719 95.192 161.0892
124.877930 95.184 161.0415
125.244141 95.172 160.9667
125.610352 95.156 160.8975
125.976562 95.139 160.8485
126.342773 95.123 160.8113
126.708984 95.108 160.7734
127.075195 95.092 160.7389
127.441406 95.075 160.7266
127.807617 95.061 160.7466
128.173828 95.054 160.7806
128.540039 95.054 160.7879
128.906250 95.055 160.7372
129.272461 95.052 160.6353
129.638672 95.038 160.5257
130.004883 95.017 160.4574
130.371094 94.996 160.4479
130.737305 94.980 160.4707
131.103516 94.970 160.4797
131.469727 94.960 160.4493
131.835938 94.945 160.3975
132.202148 94.922 160.3733
132.568359 94.898 160.4165
132.934570 94.883 160.5202
133.300781 94.882 160.6248
133.666992 94.894 160.6522
134.033203 94.907 160.5573
134.399414 94.908 160.3617
134.765625 94.890 160.1454
135.131836 94.856 160.0027
135.498047 94.818 159.9868
135.864258 94.790 160.0769
136.230469 94.780 160.1916
136.596680 94.783 160.2444
136.962891 94.788 160.2026
137.329102 94.782 160.1057
137.695312 94.764 160.0315
138.061523 94.743 160.0370
138.427734 94.729 160.1143
138.793945 94.729 160.1968
139.160156 94.739 160.2108
139.526367 94.747 160.1314
139.892578 94.743 159.9993
140.258789 94.727 159.8869
140.625000 94.704 159.8439
140.991211 94.686 159.8638
141.357422 94.676 159.8949
141.723633 94.671 159.8871
142.089844 94.664 159.8321
142.456055 94.648 159.7665
142.822266 94.627 159.7377
143.188477 94.607 159.7634
143.554688 94.594 159.8161
143.920898 94.589 159.8461
144.287109 94.586 159.8210
144.653320 94.579 159.7504
145.019531 94.563 159.6771
145.385742 94.541 159.6442
145.751953 94.521 159.6651
146.118164 94.507 159.7167
146.484375 94.501 159.7592
146.850586 94.499 159.7654
147.216797 94.497 159.7357
147.583008 94.490 159.6916
147.949219 94.481 159.6555
148.315430 94.473 159.6335
148.681641 94.466 159.6140
149.047852 94.461 159.5795
149.414062 94.455 159.5231
