* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 18, 2023 5:19:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SSR L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 69.317 2.8854
0.732422 69.900 -6.2134
1.098633 71.189 -32.9611
1.464844 73.875 -67.7386
1.831055 74.617 -87.4221
2.197266 74.967 -98.0616
2.563477 74.774 -99.8538
2.929688 74.707 -92.4578
3.295898 75.863 -80.4082
3.662109 78.124 -72.8545
4.028320 80.438 -72.3408
4.394531 82.299 -75.7807
4.760742 83.645 -80.9349
5.126953 84.551 -86.1104
5.493164 85.137 -90.4555
5.859375 85.542 -93.5066
6.225586 85.901 -95.2936
6.591797 86.313 -96.2821
6.958008 86.808 -97.0896
7.324219 87.357 -98.2235
7.690430 87.906 -99.8849
8.056641 88.402 -102.0778
8.422852 88.806 -104.6507
8.789062 89.091 -107.3512
9.155273 89.251 -109.8540
9.521484 89.311 -111.8209
9.887695 89.326 -113.0525
10.253906 89.297 -113.6997
10.620117 89.298 -114.1283
10.986328 89.341 -114.7893
11.352539 89.354 -115.9742
11.718750 89.251 -117.1659
12.084961 89.046 -117.6922
12.451172 88.845 -117.0321
12.817383 88.791 -115.1865
13.183594 89.004 -113.3061
13.549805 89.425 -112.7227
13.916016 89.861 -113.8806
14.282227 90.148 -116.3760
14.648438 90.213 -119.1763
15.014648 90.092 -121.2687
15.380859 89.933 -122.1251
15.747070 89.876 -121.8280
16.113281 90.013 -121.3298
16.479492 90.288 -121.6350
16.845703 90.560 -122.9688
17.211914 90.729 -124.9078
17.578125 90.767 -126.6891
17.944336 90.737 -127.6969
18.310547 90.749 -127.8954
18.676758 90.877 -127.7601
19.042969 91.108 -127.9910
19.409180 91.355 -128.9547
19.775391 91.522 -130.3941
20.141602 91.577 -131.7816
20.507812 91.557 -132.6179
20.874023 91.539 -132.7171
21.240234 91.597 -132.4065
21.606445 91.736 -132.2133
21.972656 91.902 -132.4686
22.338867 92.031 -133.1348
22.705078 92.094 -133.8450
23.071289 92.116 -134.2966
23.437500 92.148 -134.4765
23.803711 92.217 -134.6156
24.169922 92.311 -135.0253
24.536133 92.379 -135.7717
24.902344 92.386 -136.6121
25.268555 92.341 -137.2233
25.634766 92.288 -137.4072
26.000977 92.283 -137.2844
26.367188 92.342 -137.2211
26.733398 92.436 -137.4761
27.099609 92.521 -138.0575
27.465820 92.573 -138.7620
27.832031 92.602 -139.3708
28.198242 92.637 -139.8615
28.564453 92.689 -140.3646
28.930664 92.741 -140.9883
29.296875 92.769 -141.6826
29.663086 92.764 -142.2189
30.029297 92.755 -142.4080
30.395508 92.783 -142.3030
30.761719 92.875 -142.1799
31.127930 93.008 -142.3540
31.494141 93.130 -142.9060
31.860352 93.203 -143.6238
32.226562 93.227 -144.2028
32.592773 93.237 -144.4579
32.958984 93.275 -144.4694
33.325195 93.355 -144.5230
33.691406 93.450 -144.8416
34.057617 93.526 -145.4314
34.423828 93.551 -146.0995
34.790039 93.532 -146.5930
35.156250 93.501 -146.7909
35.522461 93.489 -146.7568
35.888672 93.510 -146.6693
36.254883 93.556 -146.6994
36.621094 93.605 -146.9005
36.987305 93.641 -147.2242
37.353516 93.660 -147.5904
37.719727 93.663 -147.9180
38.085938 93.659 -148.1663
38.452148 93.657 -148.3293
38.818359 93.665 -148.4240
39.184570 93.690 -148.5067
39.550781 93.731 -148.6450
39.916992 93.779 -148.8840
40.283203 93.826 -149.2291
40.649414 93.862 -149.6323
41.015625 93.888 -150.0352
41.381836 93.907 -150.4092
41.748047 93.926 -150.7486
42.114258 93.945 -151.0736
42.480469 93.962 -151.3971
42.846680 93.978 -151.7087
43.212891 93.988 -151.9931
43.579102 93.995 -152.2336
43.945312 93.999 -152.4162
44.311523 94.004 -152.5336
44.677734 94.014 -152.5790
45.043945 94.038 -152.5767
45.410156 94.078 -152.5950
45.776367 94.130 -152.7145
46.142578 94.182 -152.9879
46.508789 94.216 -153.3879
46.875000 94.222 -153.8053
47.241211 94.204 -154.1098
47.607422 94.181 -154.2212
47.973633 94.175 -154.1661
48.339844 94.199 -154.0711
48.706055 94.249 -154.0777
49.072266 94.309 -154.2709
49.438477 94.359 -154.6431
49.804688 94.388 -155.1098
50.170898 94.393 -155.5666
50.537109 94.382 -155.9273
50.903320 94.366 -156.1526
51.269531 94.361 -156.2675
51.635742 94.373 -156.3452
52.001953 94.400 -156.4765
52.368164 94.429 -156.7180
52.734375 94.446 -157.0421
53.100586 94.442 -157.3487
53.466797 94.423 -157.5216
53.833008 94.407 -157.5083
54.199219 94.416 -157.3777
54.565430 94.453 -157.2814
54.931641 94.505 -157.3458
55.297852 94.549 -157.5806
55.664062 94.568 -157.8697
56.030273 94.567 -158.0683
56.396484 94.567 -158.1208
56.762695 94.586 -158.1071
57.128906 94.624 -158.1821
57.495117 94.662 -158.4378
57.861328 94.675 -158.8144
58.227539 94.657 -159.1434
58.593750 94.623 -159.2749
58.959961 94.605 -159.2072
59.326172 94.622 -159.1083
59.692383 94.664 -159.1821
60.058594 94.701 -159.5039
60.424805 94.706 -159.9579
60.791016 94.673 -160.3239
61.157227 94.628 -160.4473
61.523438 94.605 -160.3583
61.889648 94.619 -160.2481
62.255859 94.658 -160.3097
62.622070 94.690 -160.5782
62.988281 94.696 -160.9198
63.354492 94.680 -161.1611
63.720703 94.667 -161.2339
64.086914 94.677 -161.2351
64.453125 94.709 -161.3327
64.819336 94.740 -161.6089
65.185547 94.748 -161.9902
65.551758 94.727 -162.3102
65.917969 94.694 -162.4440
66.284180 94.673 -162.4021
66.650391 94.676 -162.3041
67.016602 94.697 -162.2694
67.382812 94.722 -162.3309
67.749023 94.742 -162.4427
68.115234 94.758 -162.5606
68.481445 94.774 -162.6901
68.847656 94.789 -162.8585
69.213867 94.796 -163.0555
69.580078 94.792 -163.2149
69.946289 94.786 -163.2781
70.312500 94.794 -163.2754
70.678711 94.821 -163.3264
71.044922 94.852 -163.5372
71.411133 94.862 -163.8820
71.777344 94.839 -164.1902
72.143555 94.798 -164.2749
72.509766 94.774 -164.1008
72.875977 94.796 -163.8497
73.242188 94.855 -163.7939
73.608398 94.916 -164.0662
73.974609 94.938 -164.5509
74.340820 94.910 -164.9764
74.707031 94.856 -165.1127
75.073242 94.817 -164.9366
75.439453 94.820 -164.6341
75.805664 94.860 -164.4336
76.171875 94.912 -164.4321
76.538086 94.953 -164.5671
76.904297 94.983 -164.7280
77.270508 95.010 -164.8766
77.636719 95.042 -165.0638
78.002930 95.071 -165.3510
78.369141 95.087 -165.7302
78.735352 95.080 -166.1237
79.101562 95.057 -166.4578
79.467773 95.026 -166.7208
79.833984 94.990 -166.9433
80.200195 94.943 -167.1265
80.566406 94.883 -167.1970
80.932617 94.820 -167.0573
81.298828 94.782 -166.6980
81.665039 94.789 -166.2637
82.031250 94.843 -165.9888
82.397461 94.916 -166.0377
82.763672 94.971 -166.3931
83.129883 94.987 -166.8856
83.496094 94.966 -167.3127
83.862305 94.929 -167.5557
84.228516 94.900 -167.6268
84.594727 94.890 -167.6247
84.960938 94.899 -167.6522
85.327148 94.917 -167.7590
85.693359 94.933 -167.9367
86.059570 94.942 -168.1460
86.425781 94.945 -168.3418
86.791992 94.943 -168.4878
87.158203 94.945 -168.5752
87.524414 94.956 -168.6325
87.890625 94.976 -168.7145
88.256836 94.997 -168.8617
88.623047 95.008 -169.0585
88.989258 95.003 -169.2305
89.355469 94.988 -169.2953
89.721680 94.976 -169.2247
90.087891 94.979 -169.0711
90.454102 94.999 -168.9210
90.820312 95.027 -168.8232
91.186523 95.056 -168.7623
91.552734 95.089 -168.7062
91.918945 95.132 -168.6784
92.285156 95.188 -168.7723
92.651367 95.241 -169.0739
93.017578 95.265 -169.5628
93.383789 95.244 -170.0835
93.750000 95.184 -170.4233
94.116211 95.114 -170.4525
94.482422 95.069 -170.2279
94.848633 95.069 -169.9649
95.214844 95.098 -169.8794
95.581055 95.124 -170.0306
95.947266 95.125 -170.3014
96.313477 95.100 -170.5113
96.679688 95.067 -170.5575
97.045898 95.050 -170.4819
97.412109 95.056 -170.4173
97.778320 95.073 -170.4642
98.144531 95.084 -170.6156
98.510742 95.081 -170.7833
98.876953 95.072 -170.8889
99.243164 95.066 -170.9314
99.609375 95.072 -170.9759
99.975586 95.081 -171.0813
100.341797 95.084 -171.2397
100.708008 95.075 -171.3828
101.074219 95.063 -171.4497
101.440430 95.059 -171.4486
101.806641 95.068 -171.4557
102.172852 95.084 -171.5475
102.539062 95.092 -171.7293
102.905273 95.084 -171.9237
103.271484 95.064 -172.0332
103.637695 95.046 -172.0211
104.003906 95.046 -171.9486
104.370117 95.063 -171.9306
104.736328 95.084 -172.0408
105.102539 95.091 -172.2535
105.468750 95.077 -172.4619
105.834961 95.048 -172.5549
106.201172 95.022 -172.4963
106.567383 95.014 -172.3464
106.933594 95.028 -172.2146
107.299805 95.053 -172.1827
107.666016 95.078 -172.2600
108.032227 95.095 -172.3993
108.398438 95.103 -172.5459
108.764648 95.108 -172.6762
109.130859 95.114 -172.8023
109.497070 95.122 -172.9485
109.863281 95.129 -173.1266
110.229492 95.134 -173.3304
110.595703 95.135 -173.5458
110.961914 95.133 -173.7641
111.328125 95.130 -173.9857
111.694336 95.124 -174.2121
112.060547 95.115 -174.4397
112.426758 95.103 -174.6573
112.792969 95.087 -174.8497
113.159180 95.069 -175.0049
113.525391 95.049 -175.1163
113.891602 95.030 -175.1824
114.257812 95.012 -175.2037
114.624023 94.994 -175.1765
114.990234 94.978 -175.0888
115.356445 94.965 -174.9239
115.722656 94.961 -174.6728
116.088867 94.975 -174.3594
116.455078 95.011 -174.0517
116.821289 95.069 -173.8473
117.187500 95.136 -173.8296
117.553711 95.193 -174.0193
117.919922 95.224 -174.3549
118.286133 95.220 -174.7148
118.652344 95.185 -174.9686
119.018555 95.136 -175.0360
119.384766 95.094 -174.9243
119.750977 95.073 -174.7213
120.117188 95.075 -174.5477
120.483398 95.090 -174.4913
120.849609 95.105 -174.5675
121.215820 95.107 -174.7251
121.582031 95.096 -174.8877
121.948242 95.079 -175.0011
122.314453 95.064 -175.0621
122.680664 95.058 -175.1091
123.046875 95.059 -175.1888
123.413086 95.063 -175.3196
123.779297 95.061 -175.4798
124.145508 95.055 -175.6284
124.511719 95.046 -175.7352
124.877930 95.040 -175.7975
125.244141 95.039 -175.8331
125.610352 95.043 -175.8586
125.976562 95.050 -175.8784
126.342773 95.061 -175.8921
126.708984 95.077 -175.9092
127.075195 95.095 -175.9515
127.441406 95.113 -176.0343
127.807617 95.124 -176.1450
128.173828 95.127 -176.2441
128.540039 95.125 -176.2942
128.906250 95.126 -176.2942
129.272461 95.135 -176.2884
129.638672 95.151 -176.3338
130.004883 95.165 -176.4553
130.371094 95.169 -176.6254
130.737305 95.162 -176.7881
131.103516 95.150 -176.9061
131.469727 95.140 -176.9888
131.835938 95.133 -177.0771
132.202148 95.127 -177.1993
132.568359 95.113 -177.3388
132.934570 95.091 -177.4452
133.300781 95.068 -177.4787
133.666992 95.053 -177.4473
134.033203 95.050 -177.4036
134.399414 95.056 -177.4038
134.765625 95.062 -177.4650
135.131836 95.064 -177.5599
135.498047 95.060 -177.6455
135.864258 95.053 -177.6971
136.230469 95.047 -177.7186
136.596680 95.043 -177.7257
136.962891 95.043 -177.7268
137.329102 95.045 -177.7223
137.695312 95.053 -177.7228
138.061523 95.066 -177.7606
138.427734 95.082 -177.8748
138.793945 95.090 -178.0775
139.160156 95.083 -178.3326
139.526367 95.057 -178.5658
139.892578 95.018 -178.7043
140.258789 94.976 -178.7173
140.625000 94.943 -178.6297
140.991211 94.925 -178.5007
141.357422 94.920 -178.3875
141.723633 94.923 -178.3200
142.089844 94.929 -178.3027
142.456055 94.936 -178.3278
142.822266 94.940 -178.3838
143.188477 94.941 -178.4557
