* Measurement data measured by REW V5.20.13
* Source: Microphone (High Definition Audio Device), MICROPHONE (Master Volume), L, volume: 0.950. Timing signal peak level -16.5 dBFS, measurement signal peak level -15.9 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 13, 2022 11:31:10 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0455 ms (-16 mm, -0.61 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 120.2 ppm
* Measurement: Samsung FreeBuds R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 79.238 49.0252
1.015000 79.102 48.9384
1.030000 78.968 48.7776
1.044000 78.844 48.5553
1.060000 78.704 48.2095
1.075000 78.576 47.7901
1.090000 78.451 47.2724
1.106000 78.320 46.6077
1.120000 78.202 45.9428
1.138000 78.044 44.9823
1.150000 77.936 44.2789
1.172000 77.732 42.8650
1.180000 77.657 42.3127
1.206000 77.409 40.3866
1.220000 77.275 39.2709
1.241000 77.074 37.5026
1.250000 76.989 36.7120
1.265000 76.848 35.3535
1.280000 76.709 33.9472
1.315000 76.399 30.5001
1.320000 76.356 29.9907
1.340000 76.192 27.9160
1.360000 76.039 25.7884
1.380000 75.898 23.6166
1.400000 75.771 21.4090
1.430000 75.611 18.0494
1.450000 75.527 15.7900
1.475000 75.449 12.9374
1.500000 75.398 9.8853
1.525000 75.371 6.6238
1.550000 75.366 3.1899
1.575000 75.381 -0.3793
1.600000 75.414 -4.0470
1.625000 75.462 -7.7760
1.650000 75.525 -11.5294
1.675000 75.599 -15.2702
1.700000 75.684 -18.9614
1.725000 75.776 -22.5660
1.750000 75.875 -26.0469
1.775000 75.977 -29.3673
1.800000 76.081 -32.4900
1.825000 76.185 -35.3780
1.850000 76.293 -38.0460
1.875000 76.417 -40.5997
1.900000 76.554 -43.0464
1.925000 76.704 -45.3882
1.950000 76.863 -47.6276
1.975000 77.029 -49.7668
2.000000 77.201 -51.8081
2.030000 77.411 -54.1316
2.060000 77.622 -56.3213
2.090000 77.831 -58.3813
2.120000 78.032 -60.3154
2.140000 78.161 -61.5369
2.180000 78.401 -63.8220
2.200000 78.509 -64.8875
2.240000 78.713 -66.7599
2.270000 78.858 -67.9318
2.300000 78.998 -68.9332
2.330000 79.132 -69.7901
2.360000 79.262 -70.5284
2.400000 79.429 -71.3733
2.430000 79.551 -71.9358
2.470000 79.709 -72.6404
2.500000 79.826 -73.1684
2.540000 79.980 -73.9211
2.580000 80.134 -74.7684
2.620000 80.283 -75.6013
2.650000 80.391 -76.1973
2.690000 80.532 -76.9556
2.720000 80.634 -77.4984
2.760000 80.769 -78.1896
2.800000 80.900 -78.8458
2.850000 81.060 -79.6205
2.900000 81.218 -80.3491
2.950000 81.375 -81.0330
3.000000 81.526 -81.6486
3.040000 81.644 -82.0947
3.070000 81.731 -82.4067
3.110000 81.845 -82.7977
3.150000 81.957 -83.1661
3.200000 82.096 -83.6049
3.250000 82.234 -84.0316
3.300000 82.373 -84.4587
3.350000 82.510 -84.8702
3.400000 82.645 -85.2535
3.450000 82.778 -85.6154
3.500000 82.911 -85.9628
3.550000 83.042 -86.3028
3.600000 83.174 -86.6420
3.650000 83.306 -86.9876
3.700000 83.438 -87.3415
3.750000 83.570 -87.6953
3.820000 83.755 -88.1882
3.870000 83.886 -88.5371
3.950000 84.095 -89.0876
4.000000 84.224 -89.4253
4.060000 84.376 -89.8212
4.120000 84.528 -90.2012
4.180000 84.679 -90.5714
4.250000 84.852 -91.0006
4.310000 85.000 -91.3748
4.370000 85.145 -91.7625
4.440000 85.312 -92.2394
4.500000 85.455 -92.6651
4.550000 85.572 -93.0280
4.620000 85.734 -93.5426
4.680000 85.870 -93.9845
4.750000 86.025 -94.4943
4.820000 86.177 -94.9954
4.870000 86.284 -95.3516
4.940000 86.430 -95.8491
5.000000 86.553 -96.2752
5.080000 86.712 -96.8444
5.150000 86.847 -97.3452
5.220000 86.978 -97.8527
5.300000 87.123 -98.4363
5.380000 87.264 -99.0159
5.450000 87.383 -99.5131
5.520000 87.498 -99.9961
5.600000 87.625 -100.5365
5.700000 87.778 -101.1962
5.800000 87.924 -101.8358
5.900000 88.064 -102.4534
6.000000 88.199 -103.0502
6.080000 88.302 -103.5126
6.150000 88.390 -103.9057
6.220000 88.476 -104.2875
6.300000 88.572 -104.7095
6.400000 88.688 -105.2163
6.500000 88.800 -105.7017
6.600000 88.910 -106.1680
6.700000 89.017 -106.6120
6.800000 89.121 -107.0353
6.900000 89.223 -107.4443
7.000000 89.324 -107.8441
7.100000 89.423 -108.2307
7.200000 89.520 -108.6060
7.300000 89.615 -108.9740
7.400000 89.710 -109.3359
7.500000 89.802 -109.6890
7.620000 89.911 -110.1066
7.750000 90.027 -110.5581
7.880000 90.140 -111.0063
8.000000 90.242 -111.4185
8.120000 90.342 -111.8314
8.250000 90.448 -112.2783
8.380000 90.551 -112.7260
8.500000 90.643 -113.1414
8.620000 90.732 -113.5586
8.750000 90.826 -114.0109
8.850000 90.896 -114.3586
9.000000 90.998 -114.8812
9.120000 91.076 -115.2963
9.250000 91.160 -115.7396
9.380000 91.241 -116.1779
9.500000 91.314 -116.5785
9.620000 91.382 -116.9756
9.750000 91.453 -117.4016
9.880000 91.518 -117.8234
10.000000 91.569 -118.2105
10.150000 91.625 -118.6894
10.300000 91.675 -119.1544
10.440000 91.715 -119.5731
10.600000 91.757 -120.0433
10.750000 91.799 -120.4790
10.900000 91.842 -120.9117
11.060000 91.888 -121.3887
11.200000 91.931 -121.8196
11.380000 91.985 -122.3792
11.500000 92.020 -122.7554
11.720000 92.082 -123.4435
11.800000 92.104 -123.6898
12.060000 92.176 -124.4783
12.200000 92.214 -124.8916
12.410000 92.271 -125.4931
12.500000 92.296 -125.7379
12.650000 92.335 -126.1299
12.800000 92.374 -126.5026
13.150000 92.469 -127.2954
13.200000 92.483 -127.4035
13.400000 92.544 -127.8207
13.600000 92.608 -128.2306
13.800000 92.676 -128.6379
14.000000 92.744 -129.0555
14.300000 92.846 -129.7039
14.500000 92.909 -130.1474
14.750000 92.983 -130.6987
15.000000 93.052 -131.2386
15.250000 93.118 -131.7550
15.500000 93.181 -132.2388
15.750000 93.243 -132.6883
16.000000 93.304 -133.1087
16.250000 93.364 -133.5198
16.500000 93.425 -133.9313
16.750000 93.486 -134.3541
17.000000 93.546 -134.7903
17.250000 93.604 -135.2369
17.500000 93.658 -135.6889
17.750000 93.708 -136.1359
18.000000 93.754 -136.5751
18.250000 93.799 -137.0036
18.500000 93.843 -137.4218
18.750000 93.887 -137.8324
19.000000 93.933 -138.2385
19.250000 93.980 -138.6460
19.500000 94.028 -139.0544
19.750000 94.076 -139.4639
20.000000 94.124 -139.8725
20.299999 94.182 -140.3621
20.600000 94.241 -140.8522
20.900000 94.299 -141.3443
21.200001 94.356 -141.8398
21.400000 94.393 -142.1706
21.799999 94.464 -142.8264
22.000000 94.497 -143.1473
22.400000 94.561 -143.7673
22.700001 94.608 -144.2091
23.000000 94.654 -144.6324
23.299999 94.699 -145.0434
23.600000 94.744 -145.4461
24.000000 94.801 -145.9735
24.299999 94.842 -146.3613
24.700001 94.894 -146.8659
25.000000 94.931 -147.2353
25.400000 94.977 -147.7184
25.799999 95.021 -148.1946
26.200001 95.062 -148.6649
26.500000 95.092 -149.0127
26.900000 95.130 -149.4691
27.200001 95.159 -149.8089
27.600000 95.198 -150.2660
28.000000 95.238 -150.7365
28.500000 95.285 -151.3453
29.000000 95.330 -151.9589
29.500000 95.372 -152.5537
30.000000 95.414 -153.1247
30.400000 95.448 -153.5768
30.700001 95.473 -153.9206
31.100000 95.506 -154.3879
31.500000 95.535 -154.8569
32.000000 95.565 -155.4192
32.500000 95.591 -155.9296
33.000000 95.618 -156.3897
33.500000 95.648 -156.8263
34.000000 95.681 -157.2687
34.500000 95.715 -157.7292
35.000000 95.747 -158.2042
35.500000 95.776 -158.6851
36.000000 95.802 -159.1668
36.500000 95.825 -159.6472
37.000000 95.845 -160.1247
37.500000 95.863 -160.5954
38.200001 95.884 -161.2249
38.700001 95.901 -161.6456
39.500000 95.934 -162.3116
40.000000 95.955 -162.7644
40.599998 95.973 -163.3376
41.200001 95.977 -163.8633
41.799999 95.980 -164.2857
42.500000 95.998 -164.7096
43.099998 96.023 -165.1148
43.700001 96.046 -165.5721
44.400002 96.065 -166.1084
45.000000 96.079 -166.5469
45.500000 96.090 -166.9123
46.200001 96.101 -167.4231
46.799999 96.107 -167.8275
47.500000 96.119 -168.2565
48.200001 96.138 -168.7044
48.700001 96.150 -169.0510
49.400002 96.161 -169.5292
50.000000 96.171 -169.9145
50.799999 96.189 -170.4609
51.500000 96.198 -170.9870
52.200001 96.198 -171.4844
53.000000 96.197 -171.9938
53.799999 96.195 -172.4702
54.500000 96.193 -172.8271
55.200001 96.200 -173.1466
56.000000 96.214 -173.5623
57.000000 96.216 -174.1573
58.000000 96.189 -174.6596
59.000000 96.167 -174.8671
60.000000 96.209 -175.1295
60.799999 96.243 -175.7324
61.500000 96.235 -176.3557
62.200001 96.206 -176.8533
63.000000 96.180 -177.3027
64.000000 96.158 -177.8279
65.000000 96.142 -178.3199
66.000000 96.131 -178.8013
67.000000 96.119 -179.2549
68.000000 96.108 -179.7091
69.000000 96.091 179.8440
70.000000 96.072 179.4232
71.000000 96.053 179.0021
72.000000 96.034 178.5834
73.000000 96.015 178.1645
74.000000 95.995 177.7493
75.000000 95.972 177.3461
76.199997 95.942 176.9105
77.500000 95.914 176.4900
78.800003 95.887 176.0589
80.000000 95.861 175.6730
81.199997 95.837 175.2919
82.500000 95.812 174.8736
83.800003 95.785 174.4598
85.000000 95.762 174.1176
86.199997 95.745 173.7771
87.500000 95.726 173.3864
88.500000 95.709 173.0916
90.000000 95.684 172.6499
91.199997 95.661 172.2827
92.500000 95.631 171.9022
93.800003 95.600 171.5320
95.000000 95.568 171.2056
96.199997 95.538 170.9066
97.500000 95.511 170.5626
98.800003 95.483 170.1928
100.000000 95.453 169.8560
101.500000 95.411 169.4849
103.000000 95.372 169.1319
104.400002 95.332 168.7907
106.000000 95.284 168.4328
107.500000 95.244 168.1122
109.000000 95.207 167.7845
110.599998 95.164 167.4528
112.000000 95.123 167.1809
113.800003 95.067 166.8444
115.000000 95.028 166.6146
117.199997 94.965 166.1707
118.000000 94.945 165.9916
120.599998 94.868 165.4507
122.000000 94.828 165.3031
124.099998 94.781 165.0797
125.000000 94.758 164.9506
126.500000 94.711 164.7269
128.000000 94.661 164.5267
131.500000 94.560 164.0792
132.000000 94.547 164.0160
134.000000 94.498 163.7672
136.000000 94.450 163.5386
138.000000 94.402 163.3151
140.000000 94.345 163.0671
143.000000 94.250 162.7498
145.000000 94.197 162.5476
147.500000 94.138 162.3076
150.000000 94.083 162.1083
152.500000 94.026 161.9158
155.000000 93.961 161.6927
157.500000 93.890 161.4933
160.000000 93.822 161.3232
162.500000 93.756 161.1808
165.000000 93.690 161.0599
167.500000 93.621 160.9146
170.000000 93.552 160.7755
172.500000 93.490 160.6537
175.000000 93.429 160.5474
177.500000 93.364 160.4527
180.000000 93.299 160.3588
182.500000 93.235 160.2812
185.000000 93.168 160.2223
187.500000 93.097 160.1542
190.000000 93.031 160.0542
192.500000 92.973 159.9775
195.000000 92.917 159.9515
197.500000 92.856 159.9619
200.000000 92.792 159.9822
203.000000 92.723 159.9604
206.000000 92.655 159.9121
209.000000 92.588 159.8932
212.000000 92.521 159.8839
214.000000 92.472 159.8828
218.000000 92.369 159.9262
220.000000 92.321 159.9575
224.000000 92.233 160.0152
227.000000 92.173 160.0666
230.000000 92.112 160.1047
233.000000 92.048 160.1563
236.000000 91.986 160.2180
240.000000 91.905 160.2891
243.000000 91.846 160.3430
247.000000 91.763 160.4370
250.000000 91.697 160.5354
254.000000 91.614 160.6897
258.000000 91.539 160.8709
262.000000 91.460 161.0324
265.000000 91.401 161.1418
269.000000 91.333 161.2916
272.000000 91.284 161.4295
