* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -17.2 dBFS, measurement signal peak level -15.5 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 24, 2024 1:26:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0657 ms (-23 mm, -0.89 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Yume Midnight L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 88.272 -96.3102
1.015000 88.781 -97.4937
1.030000 89.270 -98.6313
1.044000 89.703 -99.6470
1.060000 90.168 -100.7478
1.075000 90.569 -101.7162
1.090000 90.932 -102.6177
1.106000 91.278 -103.5013
1.120000 91.562 -104.2170
1.138000 91.909 -105.0656
1.150000 92.129 -105.5894
1.172000 92.510 -106.4694
1.180000 92.642 -106.7654
1.206000 93.047 -107.6476
1.220000 93.252 -108.0769
1.241000 93.542 -108.6687
1.250000 93.661 -108.9052
1.265000 93.851 -109.2794
1.280000 94.033 -109.6317
1.315000 94.428 -110.3887
1.320000 94.481 -110.4914
1.340000 94.688 -110.8935
1.360000 94.885 -111.2883
1.380000 95.075 -111.6842
1.400000 95.258 -112.0897
1.430000 95.524 -112.7342
1.450000 95.698 -113.2005
1.475000 95.912 -113.8325
1.500000 96.105 -114.4695
1.525000 96.276 -115.0980
1.550000 96.427 -115.7176
1.575000 96.560 -116.3281
1.600000 96.677 -116.9291
1.625000 96.782 -117.5205
1.650000 96.875 -118.1018
1.675000 96.960 -118.6729
1.700000 97.038 -119.2334
1.725000 97.113 -119.7831
1.750000 97.186 -120.3216
1.775000 97.259 -120.8487
1.800000 97.336 -121.3640
1.825000 97.417 -121.8674
1.850000 97.502 -122.3561
1.875000 97.582 -122.8254
1.900000 97.656 -123.2771
1.925000 97.727 -123.7135
1.950000 97.793 -124.1364
1.975000 97.856 -124.5482
2.000000 97.917 -124.9508
2.030000 97.987 -125.4249
2.060000 98.055 -125.8926
2.090000 98.122 -126.3575
2.120000 98.189 -126.8232
2.140000 98.235 -127.1360
2.180000 98.328 -127.7718
2.200000 98.376 -128.0970
2.240000 98.476 -128.7513
2.270000 98.551 -129.2414
2.300000 98.626 -129.7307
2.330000 98.701 -130.2193
2.360000 98.775 -130.7068
2.400000 98.873 -131.3550
2.430000 98.944 -131.8396
2.470000 99.037 -132.4834
2.500000 99.105 -132.9644
2.540000 99.190 -133.6028
2.580000 99.271 -134.2382
2.620000 99.347 -134.8743
2.650000 99.402 -135.3517
2.690000 99.471 -135.9871
2.720000 99.521 -136.4617
2.760000 99.586 -137.0908
2.800000 99.648 -137.7138
2.850000 99.722 -138.4814
2.900000 99.794 -139.2333
2.950000 99.865 -139.9660
3.000000 99.932 -140.6783
3.040000 99.984 -141.2356
3.070000 100.021 -141.6478
3.110000 100.069 -142.1912
3.150000 100.116 -142.7295
3.200000 100.171 -143.3983
3.250000 100.225 -144.0664
3.300000 100.276 -144.7378
3.350000 100.325 -145.4141
3.400000 100.371 -146.0924
3.450000 100.415 -146.7691
3.500000 100.456 -147.4407
3.550000 100.495 -148.1037
3.600000 100.532 -148.7547
3.650000 100.568 -149.3900
3.700000 100.601 -150.0067
3.750000 100.633 -150.6061
3.820000 100.673 -151.4229
3.870000 100.700 -151.9951
3.950000 100.739 -152.9009
4.000000 100.763 -153.4666
4.060000 100.790 -154.1495
4.120000 100.816 -154.8330
4.180000 100.839 -155.5139
4.250000 100.865 -156.3013
4.310000 100.885 -156.9673
4.370000 100.903 -157.6221
4.440000 100.922 -158.3692
4.500000 100.936 -158.9966
4.550000 100.947 -159.5118
4.620000 100.959 -160.2234
4.680000 100.968 -160.8265
4.750000 100.977 -161.5248
4.820000 100.985 -162.2195
4.870000 100.989 -162.7128
4.940000 100.993 -163.3970
5.000000 100.996 -163.9757
5.080000 100.997 -164.7327
5.150000 100.996 -165.3787
5.220000 100.993 -166.0115
5.300000 100.987 -166.7194
5.380000 100.980 -167.4104
5.450000 100.972 -168.0007
5.520000 100.964 -168.5772
5.600000 100.953 -169.2192
5.700000 100.937 -169.9971
5.800000 100.920 -170.7486
5.900000 100.903 -171.4742
6.000000 100.885 -172.1716
6.080000 100.870 -172.7111
6.150000 100.858 -173.1715
6.220000 100.846 -173.6224
6.300000 100.832 -174.1243
6.400000 100.816 -174.7298
6.500000 100.801 -175.3180
6.600000 100.786 -175.8966
6.700000 100.774 -176.4635
6.800000 100.762 -177.0178
6.900000 100.752 -177.5644
7.000000 100.742 -178.1076
7.100000 100.733 -178.6441
7.200000 100.725 -179.1754
7.300000 100.717 -179.7046
7.400000 100.708 179.7659
7.500000 100.700 179.2373
7.620000 100.689 178.6076
7.750000 100.676 177.9341
7.880000 100.661 177.2667
8.000000 100.645 176.6613
8.120000 100.627 176.0710
8.250000 100.606 175.4447
8.380000 100.584 174.8386
8.500000 100.561 174.3020
8.620000 100.537 173.7847
8.750000 100.510 173.2490
8.850000 100.489 172.8564
9.000000 100.456 172.2983
9.120000 100.431 171.8762
9.250000 100.406 171.4433
9.380000 100.382 171.0364
9.500000 100.361 170.6761
9.620000 100.339 170.3280
9.750000 100.316 169.9670
9.880000 100.289 169.6131
10.000000 100.259 169.2892
10.150000 100.216 168.8915
10.300000 100.169 168.4974
10.440000 100.119 168.1348
10.600000 100.061 167.7198
10.750000 100.009 167.3259
10.900000 99.957 166.9282
11.060000 99.902 166.4941
11.200000 99.855 166.1043
11.380000 99.792 165.6077
11.500000 99.749 165.2814
11.720000 99.669 164.6999
11.800000 99.640 164.4977
12.060000 99.547 163.8690
12.200000 99.500 163.5470
12.410000 99.432 163.0844
12.500000 99.404 162.8918
12.650000 99.359 162.5807
12.800000 99.315 162.2734
13.150000 99.220 161.5530
13.200000 99.207 161.4479
13.400000 99.157 161.0202
13.600000 99.107 160.5862
13.800000 99.058 160.1461
14.000000 99.009 159.7093
14.300000 98.933 159.0669
14.500000 98.882 158.6588
14.750000 98.821 158.1654
15.000000 98.765 157.6848
15.250000 98.716 157.1917
15.500000 98.670 156.6797
15.750000 98.623 156.1498
16.000000 98.571 155.6133
16.250000 98.514 155.1000
16.500000 98.452 154.6290
16.750000 98.389 154.2293
17.000000 98.334 153.8999
17.250000 98.290 153.6204
17.500000 98.261 153.3604
17.750000 98.247 153.0554
18.000000 98.241 152.6754
18.250000 98.239 152.1880
18.500000 98.231 151.5956
18.750000 98.212 150.9305
19.000000 98.176 150.2243
19.250000 98.123 149.5459
19.500000 98.056 148.9358
19.750000 97.980 148.4254
20.000000 97.902 148.0362
20.299999 97.816 147.7027
20.600000 97.747 147.4701
20.900000 97.699 147.2717
21.200001 97.671 147.0361
21.400000 97.658 146.8301
21.799999 97.640 146.2872
22.000000 97.629 145.9554
22.400000 97.594 145.2161
22.700001 97.556 144.6534
23.000000 97.510 144.1350
23.299999 97.464 143.6759
23.600000 97.422 143.2612
24.000000 97.378 142.7221
24.299999 97.351 142.2802
24.700001 97.312 141.6220
25.000000 97.271 141.1163
25.400000 97.202 140.5240
25.799999 97.128 140.1179
26.200001 97.076 139.8735
26.500000 97.059 139.7005
26.900000 97.061 139.3387
27.200001 97.065 138.9082
27.600000 97.051 138.1503
28.000000 96.997 137.3467
28.500000 96.885 136.5687
29.000000 96.775 136.1481
29.500000 96.703 135.8770
30.000000 96.661 135.4710
30.400000 96.625 135.0054
30.700001 96.589 134.6222
31.100000 96.532 134.1478
31.500000 96.474 133.7485
32.000000 96.419 133.2991
32.500000 96.383 132.7767
33.000000 96.348 132.1216
33.500000 96.302 131.4027
34.000000 96.247 130.7233
34.500000 96.196 130.1044
35.000000 96.152 129.4870
35.500000 96.106 128.8280
36.000000 96.049 128.1752
36.500000 95.981 127.6174
37.000000 95.918 127.1781
37.500000 95.870 126.7749
38.200001 95.815 126.0948
38.700001 95.762 125.5422
39.500000 95.656 124.7806
40.000000 95.595 124.3979
40.599998 95.533 123.9343
41.200001 95.475 123.4221
41.799999 95.420 122.8891
42.500000 95.364 122.2074
43.099998 95.315 121.5034
43.700001 95.248 120.7534
44.400002 95.146 120.0248
45.000000 95.067 119.6033
45.500000 95.024 119.3116
46.200001 94.996 118.7871
46.799999 94.976 118.1295
47.500000 94.925 117.2407
48.200001 94.843 116.4720
48.700001 94.783 116.0560
49.400002 94.718 115.5594
50.000000 94.675 115.0937
50.799999 94.612 114.3912
51.500000 94.545 113.8111
52.200001 94.479 113.3260
53.000000 94.423 112.7819
53.799999 94.370 112.1092
54.500000 94.307 111.4852
55.200001 94.235 110.9616
56.000000 94.164 110.4839
57.000000 94.107 109.8399
58.000000 94.048 108.9789
59.000000 93.953 108.1160
60.000000 93.848 107.4992
60.799999 93.780 107.0880
61.500000 93.727 106.7245
62.200001 93.678 106.3524
63.000000 93.625 105.9031
64.000000 93.562 105.2612
65.000000 93.486 104.5105
66.000000 93.394 103.7625
67.000000 93.300 103.0554
68.000000 93.212 102.3293
69.000000 93.128 101.5646
70.000000 93.036 100.8205
71.000000 92.951 100.2199
72.000000 92.888 99.6323
73.000000 92.818 99.0183
74.000000 92.743 98.5136
75.000000 92.678 98.0493
76.199997 92.609 97.4050
77.500000 92.532 96.5609
78.800003 92.451 95.7081
80.000000 92.389 94.9615
81.199997 92.328 94.2901
82.500000 92.270 93.7541
83.800003 92.221 93.1850
85.000000 92.152 92.5319
86.199997 92.057 91.8595
87.500000 91.958 91.1721
88.500000 91.901 90.6295
90.000000 91.846 89.7524
91.199997 91.799 89.0831
92.500000 91.734 88.6171
93.800003 91.672 88.3541
95.000000 91.610 88.0313
96.199997 91.529 87.5806
97.500000 91.432 86.9883
98.800003 91.346 86.3441
100.000000 91.288 85.7423
101.500000 91.234 84.9794
103.000000 91.171 84.3096
104.400002 91.112 83.8064
106.000000 91.045 83.1282
107.500000 90.968 82.4586
109.000000 90.897 81.8583
110.599998 90.834 81.3011
112.000000 90.777 80.8141
113.800003 90.685 80.1625
115.000000 90.616 79.7248
117.199997 90.513 79.0525
118.000000 90.493 78.8452
120.599998 90.449 77.9079
122.000000 90.382 77.3168
124.099998 90.265 76.4825
125.000000 90.225 76.0713
126.500000 90.168 75.3524
128.000000 90.123 74.7982
131.500000 90.078 74.0896
132.000000 90.066 73.9631
134.000000 89.994 73.3876
136.000000 89.919 72.7552
138.000000 89.858 72.1125
140.000000 89.802 71.5840
143.000000 89.712 70.5824
145.000000 89.635 69.8010
147.500000 89.546 69.1164
150.000000 89.489 68.6627
152.500000 89.463 67.9915
155.000000 89.411 67.1761
157.500000 89.370 66.6737
160.000000 89.303 66.1758
162.500000 89.254 65.6613
165.000000 89.219 64.8186
167.500000 89.146 64.3390
170.000000 89.097 63.8968
172.500000 89.008 63.2053
175.000000 88.927 62.8401
177.500000 88.914 62.5515
180.000000 88.899 61.8586
182.500000 88.840 61.0286
185.000000 88.769 60.4163
187.500000 88.711 60.0174
190.000000 88.661 59.6723
192.500000 88.626 59.1714
195.000000 88.581 58.6250
197.500000 88.537 58.2883
200.000000 88.497 57.9314
203.000000 88.425 57.4016
206.000000 88.389 56.9822
209.000000 88.383 56.7546
212.000000 88.359 56.5037
214.000000 88.322 56.2637
218.000000 88.243 55.7599
220.000000 88.216 55.5117
224.000000 88.167 54.8404
227.000000 88.159 54.5505
230.000000 88.210 54.0027
233.000000 88.190 52.8986
236.000000 88.105 52.2032
240.000000 88.045 52.1196
243.000000 88.019 52.1376
247.000000 87.994 51.7979
250.000000 87.968 51.4469
254.000000 87.950 50.9380
258.000000 87.920 50.3124
262.000000 87.849 50.2898
265.000000 87.819 50.5291
269.000000 87.777 50.4541
272.000000 87.707 50.1467
276.000000 87.627 49.5005
280.000000 87.619 48.5668
285.000000 87.668 47.6717
290.000000 87.675 47.0524
295.000000 87.603 46.5452
300.000000 87.561 46.3925
304.000000 87.571 46.1581
307.000000 87.574 45.8911
311.000000 87.560 45.5255
315.000000 87.537 45.2074
