* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.710. Timing signal peak level -11.3 dBFS, measurement signal peak level -11.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 12, 2023 5:40:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0677 ms (-23 mm, -0.91 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Blue L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 68.668 10.7120
1.015000 68.859 10.3506
1.030000 69.049 9.9495
1.044000 69.224 9.5384
1.060000 69.420 9.0243
1.075000 69.600 8.4983
1.090000 69.774 7.9288
1.106000 69.955 7.2662
1.120000 70.115 6.6068
1.138000 70.323 5.6493
1.150000 70.464 4.9480
1.172000 70.725 3.5457
1.180000 70.821 3.0019
1.206000 71.136 1.1282
1.220000 71.306 0.0614
1.241000 71.562 -1.5984
1.250000 71.671 -2.3274
1.265000 71.854 -3.5600
1.280000 72.036 -4.8084
1.315000 72.457 -7.7414
1.320000 72.516 -8.1588
1.340000 72.752 -9.8131
1.360000 72.984 -11.4304
1.380000 73.211 -12.9934
1.400000 73.433 -14.4846
1.430000 73.753 -16.5492
1.450000 73.958 -17.7854
1.475000 74.202 -19.1525
1.500000 74.435 -20.3942
1.525000 74.657 -21.5393
1.550000 74.871 -22.5980
1.575000 75.077 -23.5802
1.600000 75.276 -24.4961
1.625000 75.470 -25.3556
1.650000 75.658 -26.1688
1.675000 75.843 -26.9458
1.700000 76.026 -27.6965
1.725000 76.206 -28.4311
1.750000 76.387 -29.1595
1.775000 76.567 -29.8918
1.800000 76.749 -30.6380
1.825000 76.934 -31.4082
1.850000 77.121 -32.1983
1.875000 77.307 -32.9794
1.900000 77.492 -33.7495
1.925000 77.675 -34.5081
1.950000 77.857 -35.2548
1.975000 78.038 -35.9889
2.000000 78.218 -36.7100
2.030000 78.432 -37.5574
2.060000 78.645 -38.3844
2.090000 78.855 -39.1900
2.120000 79.064 -39.9734
2.140000 79.202 -40.4828
2.180000 79.476 -41.4698
2.200000 79.612 -41.9467
2.240000 79.882 -42.8582
2.270000 80.083 -43.5054
2.300000 80.283 -44.1253
2.330000 80.481 -44.7212
2.360000 80.677 -45.2965
2.400000 80.936 -46.0375
2.430000 81.127 -46.5779
2.470000 81.377 -47.2847
2.500000 81.562 -47.8088
2.540000 81.803 -48.5060
2.580000 82.039 -49.2057
2.620000 82.269 -49.8874
2.650000 82.437 -50.3850
2.690000 82.658 -51.0334
2.720000 82.820 -51.5105
2.760000 83.033 -52.1373
2.800000 83.242 -52.7569
2.850000 83.497 -53.5270
2.900000 83.747 -54.2992
2.950000 83.992 -55.0804
3.000000 84.230 -55.8708
3.040000 84.417 -56.5052
3.070000 84.554 -56.9801
3.110000 84.733 -57.6094
3.150000 84.910 -58.2311
3.200000 85.126 -58.9923
3.250000 85.337 -59.7298
3.300000 85.545 -60.4369
3.350000 85.747 -61.1068
3.400000 85.945 -61.7440
3.450000 86.137 -62.3576
3.500000 86.326 -62.9568
3.550000 86.510 -63.5506
3.600000 86.690 -64.1481
3.650000 86.868 -64.7586
3.700000 87.042 -65.3874
3.750000 87.213 -66.0276
3.820000 87.444 -66.9322
3.870000 87.606 -67.5769
3.950000 87.858 -68.5907
4.000000 88.013 -69.2048
4.060000 88.194 -69.9133
4.120000 88.372 -70.5921
4.180000 88.546 -71.2499
4.250000 88.743 -72.0030
4.310000 88.908 -72.6467
4.370000 89.070 -73.2983
4.440000 89.255 -74.0769
4.500000 89.409 -74.7533
4.550000 89.535 -75.3197
4.620000 89.708 -76.1120
4.680000 89.852 -76.7859
4.750000 90.017 -77.5603
4.820000 90.178 -78.3186
4.870000 90.290 -78.8532
4.940000 90.443 -79.5939
5.000000 90.571 -80.2238
5.080000 90.737 -81.0600
5.150000 90.879 -81.7913
5.220000 91.016 -82.5223
5.300000 91.168 -83.3547
5.380000 91.315 -84.1807
5.450000 91.440 -84.8956
5.520000 91.563 -85.6014
5.600000 91.698 -86.3990
5.700000 91.861 -87.3831
5.800000 92.017 -88.3520
5.900000 92.169 -89.3044
6.000000 92.315 -90.2391
6.080000 92.428 -90.9760
6.150000 92.524 -91.6142
6.220000 92.618 -92.2474
6.300000 92.724 -92.9652
6.400000 92.851 -93.8518
6.500000 92.975 -94.7270
6.600000 93.095 -95.5912
6.700000 93.212 -96.4425
6.800000 93.325 -97.2820
6.900000 93.434 -98.1142
7.000000 93.541 -98.9429
7.100000 93.644 -99.7675
7.200000 93.743 -100.5860
7.300000 93.839 -101.3963
7.400000 93.932 -102.1984
7.500000 94.021 -102.9938
7.620000 94.122 -103.9348
7.750000 94.226 -104.9329
7.880000 94.324 -105.9133
8.000000 94.409 -106.7938
8.120000 94.491 -107.6424
8.250000 94.574 -108.5305
8.380000 94.653 -109.3811
8.500000 94.725 -110.1274
8.620000 94.795 -110.8378
8.750000 94.870 -111.5717
8.850000 94.930 -112.1119
9.000000 95.020 -112.8770
9.120000 95.095 -113.4669
9.250000 95.182 -114.0916
9.380000 95.273 -114.6951
9.500000 95.360 -115.2583
9.620000 95.448 -115.8371
9.750000 95.546 -116.4733
9.880000 95.639 -117.1400
10.000000 95.720 -117.7916
10.150000 95.814 -118.6461
10.300000 95.897 -119.5462
10.440000 95.965 -120.4319
10.600000 96.032 -121.4817
10.750000 96.086 -122.4971
10.900000 96.130 -123.5381
11.060000 96.165 -124.6423
11.200000 96.186 -125.6133
11.380000 96.198 -126.8034
11.500000 96.196 -127.5527
11.720000 96.181 -128.8107
11.800000 96.174 -129.2164
12.060000 96.144 -130.3645
12.200000 96.134 -130.8696
12.410000 96.128 -131.4950
12.500000 96.132 -131.7332
12.650000 96.146 -132.0735
12.800000 96.171 -132.3968
13.150000 96.275 -133.2009
13.200000 96.293 -133.3376
13.400000 96.377 -133.9431
13.600000 96.463 -134.6662
13.800000 96.546 -135.5248
14.000000 96.615 -136.4773
14.300000 96.686 -138.0395
14.500000 96.704 -139.0902
14.750000 96.701 -140.3192
15.000000 96.674 -141.4072
15.250000 96.639 -142.2991
15.500000 96.608 -143.0130
15.750000 96.587 -143.5730
16.000000 96.584 -144.0432
16.250000 96.598 -144.5031
16.500000 96.626 -144.9897
16.750000 96.663 -145.5434
17.000000 96.701 -146.1585
17.250000 96.738 -146.8210
17.500000 96.768 -147.5092
17.750000 96.792 -148.1927
18.000000 96.812 -148.8604
18.250000 96.828 -149.5017
18.500000 96.842 -150.1111
18.750000 96.857 -150.6881
19.000000 96.873 -151.2318
19.250000 96.893 -151.7446
19.500000 96.916 -152.2343
19.750000 96.945 -152.7092
20.000000 96.979 -153.1915
20.299999 97.024 -153.8080
20.600000 97.069 -154.4849
20.900000 97.106 -155.2231
21.200001 97.129 -155.9929
21.400000 97.134 -156.4895
21.799999 97.125 -157.3813
22.000000 97.116 -157.7542
22.400000 97.103 -158.3487
22.700001 97.107 -158.7149
23.000000 97.127 -159.0921
23.299999 97.157 -159.5454
23.600000 97.189 -160.1019
24.000000 97.220 -160.9937
24.299999 97.228 -161.7253
24.700001 97.216 -162.7018
25.000000 97.194 -163.3871
25.400000 97.156 -164.2054
25.799999 97.119 -164.9150
26.200001 97.093 -165.5513
26.500000 97.086 -166.0236
26.900000 97.090 -166.7177
27.200001 97.097 -167.3327
27.600000 97.094 -168.2919
28.000000 97.056 -169.3129
28.500000 96.951 -170.3466
29.000000 96.825 -170.7375
29.500000 96.763 -170.5066
30.000000 96.820 -170.1989
30.400000 96.922 -170.3114
30.700001 97.001 -170.6874
31.100000 97.072 -171.4683
31.500000 97.090 -172.3362
32.000000 97.053 -173.1915
32.500000 97.003 -173.6596
33.000000 96.983 -173.9265
33.500000 96.994 -174.2553
34.000000 97.011 -174.7703
34.500000 97.012 -175.4124
35.000000 96.993 -176.0598
35.500000 96.966 -176.6328
36.000000 96.945 -177.1512
36.500000 96.935 -177.6971
37.000000 96.926 -178.3258
37.500000 96.905 -178.9908
38.200001 96.857 -179.7801
38.700001 96.829 179.8005
39.500000 96.813 179.1523
40.000000 96.801 178.7031
40.599998 96.776 178.2208
41.200001 96.753 177.8519
41.799999 96.741 177.4830
42.500000 96.719 176.9571
43.099998 96.682 176.5353
43.700001 96.644 176.2136
44.400002 96.613 175.8468
45.000000 96.589 175.4445
45.500000 96.563 175.0784
46.200001 96.522 174.5892
46.799999 96.494 174.1779
47.500000 96.464 173.6516
48.200001 96.430 173.0994
48.700001 96.402 172.7319
49.400002 96.364 172.2867
50.000000 96.339 171.9444
50.799999 96.313 171.4723
51.500000 96.286 171.0447
52.200001 96.257 170.6535
53.000000 96.227 170.2247
53.799999 96.192 169.7551
54.500000 96.151 169.3693
55.200001 96.110 169.0507
56.000000 96.071 168.6883
57.000000 96.014 168.1922
58.000000 95.951 167.7910
59.000000 95.903 167.4018
60.000000 95.854 166.9197
60.799999 95.806 166.5378
61.500000 95.764 166.2224
62.200001 95.722 165.9107
63.000000 95.674 165.5671
64.000000 95.616 165.1663
65.000000 95.562 164.7860
66.000000 95.513 164.4283
67.000000 95.467 164.0756
68.000000 95.424 163.7524
69.000000 95.385 163.4052
70.000000 95.331 163.0335
71.000000 95.267 162.8186
72.000000 95.224 162.6880
73.000000 95.192 162.4333
74.000000 95.143 162.0727
75.000000 95.074 161.7198
76.199997 94.981 161.3908
77.500000 94.891 161.0956
78.800003 94.814 160.7698
80.000000 94.753 160.4872
81.199997 94.704 160.1679
82.500000 94.644 159.8133
83.800003 94.581 159.5497
85.000000 94.528 159.3352
86.199997 94.477 159.1143
87.500000 94.425 158.9016
88.500000 94.395 158.7032
90.000000 94.341 158.3173
91.199997 94.285 158.0041
92.500000 94.200 157.7444
93.800003 94.117 157.6689
95.000000 94.056 157.5904
96.199997 93.996 157.4492
97.500000 93.927 157.2835
98.800003 93.861 157.1454
100.000000 93.803 157.0480
101.500000 93.738 156.9259
103.000000 93.670 156.7820
104.400002 93.604 156.6210
106.000000 93.520 156.4275
107.500000 93.440 156.3243
109.000000 93.371 156.2554
110.599998 93.302 156.1710
112.000000 93.240 156.0934
113.800003 93.158 155.9885
115.000000 93.103 155.9154
117.199997 93.006 155.7625
118.000000 92.970 155.7041
120.599998 92.854 155.5925
122.000000 92.797 155.5723
124.099998 92.717 155.5198
125.000000 92.682 155.4931
126.500000 92.626 155.4537
128.000000 92.572 155.4356
131.500000 92.453 155.4454
132.000000 92.435 155.4457
134.000000 92.358 155.4572
136.000000 92.279 155.4825
138.000000 92.202 155.5021
140.000000 92.129 155.5219
143.000000 92.031 155.5585
145.000000 91.970 155.5558
147.500000 91.891 155.6118
150.000000 91.816 155.7499
152.500000 91.744 155.8840
155.000000 91.671 155.9326
157.500000 91.596 155.9935
160.000000 91.525 156.1107
162.500000 91.450 156.2642
165.000000 91.367 156.3916
167.500000 91.288 156.4790
170.000000 91.217 156.5470
172.500000 91.151 156.6613
175.000000 91.082 156.8552
177.500000 91.011 157.0737
180.000000 90.934 157.2503
182.500000 90.860 157.4118
185.000000 90.799 157.5046
187.500000 90.734 157.5482
190.000000 90.666 157.6442
192.500000 90.605 157.8076
195.000000 90.548 158.0493
197.500000 90.489 158.3088
200.000000 90.421 158.4975
203.000000 90.332 158.7014
206.000000 90.253 159.0566
209.000000 90.184 159.4030
212.000000 90.115 159.5949
214.000000 90.077 159.7077
218.000000 90.013 160.0794
220.000000 89.976 160.2847
224.000000 89.896 160.6203
227.000000 89.835 160.8946
230.000000 89.771 161.2054
233.000000 89.710 161.4617
236.000000 89.654 161.6978
240.000000 89.576 162.0658
243.000000 89.519 162.3665
247.000000 89.452 162.7654
250.000000 89.403 163.0600
254.000000 89.336 163.4651
258.000000 89.273 163.8277
262.000000 89.203 164.1528
265.000000 89.152 164.3952
269.000000 89.099 164.7347
272.000000 89.063 165.0455
276.000000 89.010 165.4819
280.000000 88.958 165.8779
285.000000 88.905 166.4094
