* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -14.3 dBFS, measurement signal peak level -12.9 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -11.9 dBFS using an acoustic timing reference
* Dated: Apr 27, 2024 9:07:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0707 ms (-24 mm, -0.95 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: Simgot EA500 Black Velvet R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 73.363, 5.9188
1.015000, 73.524, 4.9054
1.030000, 73.688, 3.8718
1.044000, 73.843, 2.8872
1.060000, 74.023, 1.7365
1.075000, 74.195, 0.6315
1.090000, 74.370, -0.4992
1.106000, 74.561, -1.7258
1.120000, 74.735, -2.8004
1.138000, 74.967, -4.1686
1.150000, 75.127, -5.0693
1.172000, 75.429, -6.6989
1.180000, 75.541, -7.2884
1.206000, 75.914, -9.1653
1.220000, 76.118, -10.1510
1.241000, 76.426, -11.5964
1.250000, 76.559, -12.2038
1.265000, 76.780, -13.2006
1.280000, 77.001, -14.1784
1.315000, 77.509, -16.3911
1.320000, 77.580, -16.6999
1.340000, 77.860, -17.9183
1.360000, 78.132, -19.1109
1.380000, 78.394, -20.3197
1.400000, 78.643, -21.5241
1.430000, 78.990, -23.3008
1.450000, 79.200, -24.4686
1.475000, 79.437, -25.9015
1.500000, 79.647, -27.2759
1.525000, 79.834, -28.5784
1.550000, 80.001, -29.8109
1.575000, 80.150, -30.9997
1.600000, 80.284, -32.1677
1.625000, 80.406, -33.2821
1.650000, 80.520, -34.3493
1.675000, 80.627, -35.3754
1.700000, 80.730, -36.3667
1.725000, 80.833, -37.3288
1.750000, 80.938, -38.2672
1.775000, 81.049, -39.2039
1.800000, 81.167, -40.1594
1.825000, 81.295, -41.1015
1.850000, 81.431, -42.0225
1.875000, 81.571, -42.9083
1.900000, 81.712, -43.7551
1.925000, 81.854, -44.5642
1.950000, 81.997, -45.3378
1.975000, 82.140, -46.0959
2.000000, 82.283, -46.8575
2.030000, 82.455, -47.7363
2.060000, 82.626, -48.5837
2.090000, 82.795, -49.4053
2.120000, 82.963, -50.2064
2.140000, 83.073, -50.7316
2.180000, 83.291, -51.7865
2.200000, 83.398, -52.3255
2.240000, 83.609, -53.3744
2.270000, 83.765, -54.1285
2.300000, 83.920, -54.8544
2.330000, 84.073, -55.5538
2.360000, 84.224, -56.2291
2.400000, 84.424, -57.1439
2.430000, 84.572, -57.8148
2.470000, 84.766, -58.6851
2.500000, 84.909, -59.3231
2.540000, 85.098, -60.1588
2.580000, 85.283, -60.9975
2.620000, 85.465, -61.8519
2.650000, 85.599, -62.4745
2.690000, 85.776, -63.2807
2.720000, 85.906, -63.8679
2.760000, 86.077, -64.6271
2.800000, 86.245, -65.4030
2.850000, 86.450, -66.3506
2.900000, 86.651, -67.2721
2.950000, 86.846, -68.1728
3.000000, 87.036, -69.0847
3.040000, 87.184, -69.8084
3.070000, 87.293, -70.3400
3.110000, 87.436, -71.0331
3.150000, 87.576, -71.7083
3.200000, 87.747, -72.5585
3.250000, 87.915, -73.3978
3.300000, 88.078, -74.2152
3.350000, 88.238, -75.0150
3.400000, 88.394, -75.8327
3.450000, 88.545, -76.6455
3.500000, 88.693, -77.4367
3.550000, 88.837, -78.2037
3.600000, 88.977, -78.9728
3.650000, 89.114, -79.7301
3.700000, 89.248, -80.4699
3.750000, 89.377, -81.1973
3.820000, 89.553, -82.2280
3.870000, 89.674, -82.9513
3.950000, 89.862, -84.0659
4.000000, 89.977, -84.7562
4.060000, 90.111, -85.5717
4.120000, 90.242, -86.3693
4.180000, 90.369, -87.1568
4.250000, 90.512, -88.0822
4.310000, 90.631, -88.8472
4.370000, 90.747, -89.5891
4.440000, 90.879, -90.4595
4.500000, 90.988, -91.1892
4.550000, 91.076, -91.7846
4.620000, 91.196, -92.6240
4.680000, 91.297, -93.3268
4.750000, 91.412, -94.1174
4.820000, 91.523, -94.9047
4.870000, 91.601, -95.4594
4.940000, 91.708, -96.2178
5.000000, 91.797, -96.8648
5.080000, 91.913, -97.7119
5.150000, 92.011, -98.4263
5.220000, 92.106, -99.1432
5.300000, 92.212, -99.9491
5.380000, 92.315, -100.7330
5.450000, 92.402, -101.4161
5.520000, 92.488, -102.0769
5.600000, 92.583, -102.8224
5.700000, 92.699, -103.7438
5.800000, 92.811, -104.6382
5.900000, 92.918, -105.5171
6.000000, 93.023, -106.3753
6.080000, 93.103, -107.0585
6.150000, 93.172, -107.6371
6.220000, 93.240, -108.2147
6.300000, 93.315, -108.8602
6.400000, 93.406, -109.6518
6.500000, 93.494, -110.4331
6.600000, 93.580, -111.1900
6.700000, 93.662, -111.9359
6.800000, 93.742, -112.6633
6.900000, 93.820, -113.3786
7.000000, 93.896, -114.0713
7.100000, 93.970, -114.7523
7.200000, 94.042, -115.4160
7.300000, 94.112, -116.0688
7.400000, 94.181, -116.7044
7.500000, 94.248, -117.3344
7.620000, 94.325, -118.0701
7.750000, 94.407, -118.8436
7.880000, 94.487, -119.6024
8.000000, 94.559, -120.2812
8.120000, 94.628, -120.9470
8.250000, 94.702, -121.6536
8.380000, 94.773, -122.3414
8.500000, 94.837, -122.9655
8.620000, 94.899, -123.5753
8.750000, 94.964, -124.2207
8.850000, 95.013, -124.7067
9.000000, 95.084, -125.4151
9.120000, 95.139, -125.9694
9.250000, 95.197, -126.5583
9.380000, 95.254, -127.1318
9.500000, 95.305, -127.6525
9.620000, 95.356, -128.1584
9.750000, 95.408, -128.6937
9.880000, 95.452, -129.2212
10.000000, 95.482, -129.6929
10.150000, 95.509, -130.3023
10.300000, 95.527, -130.8874
10.440000, 95.538, -131.4126
10.600000, 95.548, -131.9893
10.750000, 95.556, -132.5083
10.900000, 95.565, -133.0073
11.060000, 95.576, -133.5447
11.200000, 95.586, -134.0365
11.380000, 95.597, -134.6442
11.500000, 95.602, -135.0341
11.720000, 95.611, -135.7170
11.800000, 95.614, -135.9548
12.060000, 95.628, -136.7135
12.200000, 95.638, -137.1403
12.410000, 95.654, -137.7494
12.500000, 95.661, -137.9993
12.650000, 95.671, -138.4013
12.800000, 95.680, -138.7867
13.150000, 95.704, -139.6821
13.200000, 95.708, -139.8146
13.400000, 95.725, -140.3320
13.600000, 95.743, -140.8319
13.800000, 95.761, -141.3164
14.000000, 95.779, -141.7916
14.300000, 95.806, -142.5577
14.500000, 95.821, -143.0505
14.750000, 95.837, -143.6382
15.000000, 95.852, -144.1940
15.250000, 95.873, -144.7702
15.500000, 95.895, -145.3144
15.750000, 95.917, -145.8283
16.000000, 95.939, -146.3200
16.250000, 95.963, -146.8415
16.500000, 95.986, -147.3517
16.750000, 96.008, -147.8508
17.000000, 96.029, -148.3393
17.250000, 96.050, -148.8396
17.500000, 96.069, -149.3184
17.750000, 96.085, -149.7674
18.000000, 96.100, -150.1878
18.250000, 96.116, -150.6024
18.500000, 96.133, -150.9956
18.750000, 96.151, -151.3712
19.000000, 96.172, -151.7358
19.250000, 96.193, -152.1184
19.500000, 96.215, -152.4944
19.750000, 96.235, -152.8617
20.000000, 96.254, -153.2175
20.299999, 96.276, -153.6573
20.600000, 96.296, -154.0779
20.900000, 96.317, -154.4839
21.200001, 96.336, -154.9011
21.400000, 96.348, -155.1832
21.799999, 96.367, -155.7375
22.000000, 96.374, -156.0064
22.400000, 96.383, -156.5411
22.700001, 96.388, -156.9001
23.000000, 96.394, -157.2238
23.299999, 96.402, -157.5416
23.600000, 96.415, -157.8512
24.000000, 96.437, -158.2757
24.299999, 96.454, -158.6292
24.700001, 96.472, -159.1117
25.000000, 96.481, -159.4621
25.400000, 96.489, -159.9125
25.799999, 96.497, -160.3130
26.200001, 96.509, -160.6920
26.500000, 96.520, -160.9788
26.900000, 96.535, -161.3639
27.200001, 96.546, -161.6578
27.600000, 96.557, -162.0399
28.000000, 96.569, -162.3991
28.500000, 96.585, -162.8464
29.000000, 96.602, -163.3017
29.500000, 96.613, -163.7756
30.000000, 96.618, -164.2211
30.400000, 96.619, -164.5552
30.700001, 96.620, -164.7895
31.100000, 96.623, -165.0951
31.500000, 96.625, -165.4066
32.000000, 96.628, -165.7710
32.500000, 96.633, -166.1149
33.000000, 96.646, -166.4633
33.500000, 96.663, -166.8885
34.000000, 96.671, -167.3789
34.500000, 96.663, -167.8618
35.000000, 96.645, -168.2393
35.500000, 96.631, -168.5052
36.000000, 96.631, -168.7196
36.500000, 96.643, -168.9620
