* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -14.0 dBFS, measurement signal peak level -13.0 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -11.9 dBFS using an acoustic timing reference
* Dated: Apr 27, 2024 8:49:27 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0715 ms (-25 mm, -0.97 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: Simgot EA500 Black W1 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 70.602, -11.8046
1.015000, 70.875, -12.6510
1.030000, 71.147, -13.5082
1.044000, 71.399, -14.3193
1.060000, 71.685, -15.2608
1.075000, 71.952, -16.1584
1.090000, 72.217, -17.0686
1.106000, 72.499, -18.0380
1.120000, 72.749, -18.8583
1.138000, 73.075, -19.8576
1.150000, 73.296, -20.4898
1.172000, 73.706, -21.5906
1.180000, 73.856, -21.9786
1.206000, 74.346, -23.1774
1.220000, 74.611, -23.7884
1.241000, 75.007, -24.6666
1.250000, 75.176, -25.0307
1.265000, 75.457, -25.6233
1.280000, 75.734, -26.2005
1.315000, 76.367, -27.5010
1.320000, 76.455, -27.6826
1.340000, 76.802, -28.4021
1.360000, 77.137, -29.1117
1.380000, 77.459, -29.8545
1.400000, 77.766, -30.6102
1.430000, 78.195, -31.7464
1.450000, 78.456, -32.5076
1.475000, 78.754, -33.4484
1.500000, 79.018, -34.3348
1.525000, 79.252, -35.1520
1.550000, 79.460, -35.9073
1.575000, 79.644, -36.6319
1.600000, 79.809, -37.3525
1.625000, 79.957, -38.0386
1.650000, 80.093, -38.6983
1.675000, 80.219, -39.3388
1.700000, 80.341, -39.9665
1.725000, 80.460, -40.5873
1.750000, 80.580, -41.2061
1.775000, 80.706, -41.8444
1.800000, 80.840, -42.5220
1.825000, 80.985, -43.2045
1.850000, 81.137, -43.8793
1.875000, 81.292, -44.5268
1.900000, 81.447, -45.1421
1.925000, 81.601, -45.7280
1.950000, 81.755, -46.2876
1.975000, 81.907, -46.8417
2.000000, 82.059, -47.4101
2.030000, 82.239, -48.0715
2.060000, 82.418, -48.7180
2.090000, 82.595, -49.3551
2.120000, 82.770, -49.9882
2.140000, 82.885, -50.4103
2.180000, 83.112, -51.2802
2.200000, 83.224, -51.7359
2.240000, 83.445, -52.6303
2.270000, 83.608, -53.2761
2.300000, 83.769, -53.9001
2.330000, 83.928, -54.5040
2.360000, 84.085, -55.0906
2.400000, 84.292, -55.8982
2.430000, 84.444, -56.4970
2.470000, 84.644, -57.2825
2.500000, 84.792, -57.8657
2.540000, 84.986, -58.6397
2.580000, 85.177, -59.4287
2.620000, 85.365, -60.2419
2.650000, 85.503, -60.8379
2.690000, 85.684, -61.6138
2.720000, 85.818, -62.1818
2.760000, 85.993, -62.9201
2.800000, 86.164, -63.6802
2.850000, 86.374, -64.6151
2.900000, 86.579, -65.5318
2.950000, 86.779, -66.4355
3.000000, 86.972, -67.3573
3.040000, 87.123, -68.0930
3.070000, 87.234, -68.6353
3.110000, 87.379, -69.3446
3.150000, 87.521, -70.0378
3.200000, 87.695, -70.9125
3.250000, 87.865, -71.7782
3.300000, 88.030, -72.6239
3.350000, 88.192, -73.4546
3.400000, 88.349, -74.3056
3.450000, 88.502, -75.1537
3.500000, 88.650, -75.9809
3.550000, 88.795, -76.7842
3.600000, 88.936, -77.5891
3.650000, 89.074, -78.3817
3.700000, 89.208, -79.1566
3.750000, 89.338, -79.9197
3.820000, 89.514, -81.0009
3.870000, 89.636, -81.7602
3.950000, 89.824, -82.9308
4.000000, 89.939, -83.6547
4.060000, 90.074, -84.5093
4.120000, 90.205, -85.3451
4.180000, 90.332, -86.1703
4.250000, 90.475, -87.1387
4.310000, 90.595, -87.9395
4.370000, 90.712, -88.7160
4.440000, 90.844, -89.6255
4.500000, 90.953, -90.3879
4.550000, 91.042, -91.0100
4.620000, 91.163, -91.8859
4.680000, 91.264, -92.6192
4.750000, 91.380, -93.4444
4.820000, 91.493, -94.2657
4.870000, 91.571, -94.8442
4.940000, 91.679, -95.6354
5.000000, 91.769, -96.3100
5.080000, 91.885, -97.1926
5.150000, 91.985, -97.9372
5.220000, 92.081, -98.6839
5.300000, 92.188, -99.5233
5.380000, 92.291, -100.3395
5.450000, 92.379, -101.0495
5.520000, 92.465, -101.7360
5.600000, 92.561, -102.5098
5.700000, 92.677, -103.4652
5.800000, 92.789, -104.3908
5.900000, 92.897, -105.2976
6.000000, 93.001, -106.1812
6.080000, 93.082, -106.8829
6.150000, 93.151, -107.4763
6.220000, 93.218, -108.0672
6.300000, 93.293, -108.7262
6.400000, 93.385, -109.5324
6.500000, 93.473, -110.3262
6.600000, 93.559, -111.0943
6.700000, 93.642, -111.8496
6.800000, 93.722, -112.5849
6.900000, 93.801, -113.3078
7.000000, 93.877, -114.0081
7.100000, 93.952, -114.6967
7.200000, 94.026, -115.3680
7.300000, 94.097, -116.0291
7.400000, 94.166, -116.6739
7.500000, 94.234, -117.3138
7.620000, 94.313, -118.0620
7.750000, 94.395, -118.8497
7.880000, 94.475, -119.6235
8.000000, 94.547, -120.3157
8.120000, 94.616, -120.9938
8.250000, 94.688, -121.7126
8.380000, 94.758, -122.4106
8.500000, 94.820, -123.0418
8.620000, 94.881, -123.6567
8.750000, 94.944, -124.3054
8.850000, 94.992, -124.7925
9.000000, 95.062, -125.5004
9.120000, 95.116, -126.0536
9.250000, 95.174, -126.6413
9.380000, 95.230, -127.2135
9.500000, 95.281, -127.7343
9.620000, 95.332, -128.2418
9.750000, 95.384, -128.7805
9.880000, 95.428, -129.3133
10.000000, 95.458, -129.7916
10.150000, 95.485, -130.4111
10.300000, 95.503, -131.0072
10.440000, 95.513, -131.5429
10.600000, 95.521, -132.1306
10.750000, 95.528, -132.6576
10.900000, 95.536, -133.1624
11.060000, 95.545, -133.7031
11.200000, 95.555, -134.1955
11.380000, 95.565, -134.8027
11.500000, 95.571, -135.1922
11.720000, 95.581, -135.8770
11.800000, 95.586, -136.1172
12.060000, 95.603, -136.8917
12.200000, 95.615, -137.3332
12.410000, 95.633, -137.9718
12.500000, 95.640, -138.2362
12.650000, 95.650, -138.6646
12.800000, 95.659, -139.0762
13.150000, 95.677, -140.0195
13.200000, 95.680, -140.1559
13.400000, 95.691, -140.6801
13.600000, 95.704, -141.1706
13.800000, 95.719, -141.6297
14.000000, 95.735, -142.0679
14.300000, 95.764, -142.7700
14.500000, 95.785, -143.2263
14.750000, 95.812, -143.7885
15.000000, 95.839, -144.3499
15.250000, 95.871, -144.9651
15.500000, 95.900, -145.5739
15.750000, 95.923, -146.1638
16.000000, 95.941, -146.7246
16.250000, 95.955, -147.2908
16.500000, 95.967, -147.8109
16.750000, 95.979, -148.2820
17.000000, 95.993, -148.7128
17.250000, 96.012, -149.1405
17.500000, 96.035, -149.5500
17.750000, 96.059, -149.9505
18.000000, 96.085, -150.3536
18.250000, 96.112, -150.7849
18.500000, 96.136, -151.2228
18.750000, 96.158, -151.6585
19.000000, 96.176, -152.0844
19.250000, 96.192, -152.5155
19.500000, 96.205, -152.9189
19.750000, 96.217, -153.2892
20.000000, 96.227, -153.6261
20.299999, 96.241, -154.0217
20.600000, 96.257, -154.3851
20.900000, 96.276, -154.7287
21.200001, 96.296, -155.0819
21.400000, 96.309, -155.3209
21.799999, 96.335, -155.7898
22.000000, 96.348, -156.0198
22.400000, 96.373, -156.4984
22.700001, 96.393, -156.8483
23.000000, 96.414, -157.2007
23.299999, 96.435, -157.5848
23.600000, 96.455, -157.9884
24.000000, 96.475, -158.5484
24.299999, 96.484, -158.9844
24.700001, 96.484, -159.5225
25.000000, 96.480, -159.8700
25.400000, 96.476, -160.2752
25.799999, 96.480, -160.6211
26.200001, 96.493, -160.9732
26.500000, 96.505, -161.2656
26.900000, 96.517, -161.6799
27.200001, 96.521, -161.9941
27.600000, 96.522, -162.3777
28.000000, 96.523, -162.7011
28.500000, 96.534, -163.0780
29.000000, 96.554, -163.4865
29.500000, 96.571, -163.9615
30.000000, 96.577, -164.4303
30.400000, 96.578, -164.7778
30.700001, 96.581, -165.0199
31.100000, 96.588, -165.3488
31.500000, 96.596, -165.7163
32.000000, 96.595, -166.1878
32.500000, 96.582, -166.6056
33.000000, 96.570, -166.8983
33.500000, 96.574, -167.1290
34.000000, 96.597, -167.4019
34.500000, 96.624, -167.7946
35.000000, 96.636, -168.2581
35.500000, 96.628, -168.6844
36.000000, 96.611, -168.9721
36.500000, 96.606, -169.1324
37.000000, 96.625, -169.2766
37.500000, 96.659, -169.5522
38.200001, 96.690, -170.2003
38.700001, 96.679, -170.6984
39.500000, 96.633, -171.2258
40.000000, 96.616, -171.4026
40.599998, 96.617, -171.6268
41.200001, 96.624, -171.9281
41.799999, 96.627, -172.2814
42.500000, 96.625, -172.7203
43.099998, 96.616, -173.0880
43.700001, 96.602, -173.3962
44.400002, 96.591, -173.6624
45.000000, 96.594, -173.8816
45.500000, 96.600, -174.1023
46.200001, 96.606, -174.4550
46.799999, 96.607, -174.7648
47.500000, 96.608, -175.1151
48.200001, 96.611, -175.4618
48.700001, 96.614, -175.7249
49.400002, 96.614, -176.1205
50.000000, 96.605, -176.4475
50.799999, 96.585, -176.7909
51.500000, 96.574, -177.0134
52.200001, 96.569, -177.2246
53.000000, 96.563, -177.4726
53.799999, 96.556, -177.7120
54.500000, 96.553, -177.9209
55.200001, 96.553, -178.1799
56.000000, 96.543, -178.5325
57.000000, 96.517, -178.8826
58.000000, 96.513, -179.1494
59.000000, 96.520, -179.5250
60.000000, 96.521, -179.9195
60.799999, 96.519, 179.7604
61.500000, 96.505, 179.4815
62.200001, 96.482, 179.2825
63.000000, 96.457, 179.1935
64.000000, 96.453, 179.1077
65.000000, 96.455, 178.8292
66.000000, 96.442, 178.4695
67.000000, 96.426, 178.0403
68.000000, 96.389, 177.5757
69.000000, 96.347, 177.2693
70.000000, 96.321, 177.0357
71.000000, 96.303, 176.7962
72.000000, 96.288, 176.5456
73.000000, 96.268, 176.3187
74.000000, 96.250, 176.1402
75.000000, 96.241, 175.9366
76.199997, 96.227, 175.6078
77.500000, 96.200, 175.2423
78.800003, 96.168, 174.9769
80.000000, 96.144, 174.7946
81.199997, 96.128, 174.6177
82.500000, 96.110, 174.3257
83.800003, 96.072, 174.0162
85.000000, 96.038, 173.8090
86.199997, 96.015, 173.6038
87.500000, 95.998, 173.3326
88.500000, 95.982, 173.0982
90.000000, 95.951, 172.8164
91.199997, 95.928, 172.6180
92.500000, 95.898, 172.4056
93.800003, 95.867, 172.2110
95.000000, 95.839, 172.0234
96.199997, 95.812, 171.8217
97.500000, 95.783, 171.6133
98.800003, 95.757, 171.4136
100.000000, 95.731, 171.2286
101.500000, 95.695, 171.0205
103.000000, 95.657, 170.8472
104.400002, 95.623, 170.6663
106.000000, 95.583, 170.4680
107.500000, 95.550, 170.3001
109.000000, 95.520, 170.1078
110.599998, 95.483, 169.9148
112.000000, 95.452, 169.7854
113.800003, 95.408, 169.5865
115.000000, 95.375, 169.4859
117.199997, 95.333, 169.3443
118.000000, 95.322, 169.2733
120.599998, 95.276, 169.0169
122.000000, 95.246, 168.9044
124.099998, 95.199, 168.6999
125.000000, 95.178, 168.5706
126.500000, 95.140, 168.4049
128.000000, 95.117, 168.3462
131.500000, 95.062, 168.1625
132.000000, 95.048, 168.1652
134.000000, 95.001, 168.1536
136.000000, 94.960, 167.8324
138.000000, 94.905, 167.5137
140.000000, 94.874, 167.3624
143.000000, 94.806, 167.1688
145.000000, 94.760, 167.1638
147.500000, 94.707, 167.1852
150.000000, 94.668, 167.3531
152.500000, 94.630, 167.4606
155.000000, 94.590, 167.3902
157.500000, 94.552, 167.2327
160.000000, 94.513, 167.1704
162.500000, 94.464, 167.1105
165.000000, 94.406, 167.0404
167.500000, 94.358, 166.9533
170.000000, 94.313, 166.8753
172.500000, 94.263, 166.8221
175.000000, 94.211, 166.7723
177.500000, 94.161, 166.7526
180.000000, 94.109, 166.7689
182.500000, 94.054, 166.7830
185.000000, 94.002, 166.7925
187.500000, 93.954, 166.8056
190.000000, 93.908, 166.8318
192.500000, 93.863, 166.8507
195.000000, 93.819, 166.8408
197.500000, 93.778, 166.8532
200.000000, 93.737, 166.8962
203.000000, 93.684, 166.9733
206.000000, 93.628, 167.0389
209.000000, 93.576, 167.0938
212.000000, 93.528, 167.1632
214.000000, 93.497, 167.2208
218.000000, 93.431, 167.3156
220.000000, 93.397, 167.3692
224.000000, 93.333, 167.4773
