* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.710. Timing signal peak level -14.5 dBFS, measurement signal peak level -13.6 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 12, 2023 3:44:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0668 ms (-23 mm, -0.9 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: Simgot EA500 CP145 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 69.649 -54.0018
1.015000 69.904 -51.9474
1.030000 70.155 -50.0446
1.044000 70.383 -48.4154
1.060000 70.635 -46.7395
1.075000 70.863 -45.3604
1.090000 71.082 -44.1790
1.106000 71.304 -43.1565
1.120000 71.496 -42.5031
1.138000 71.741 -41.9810
1.150000 71.902 -41.8169
1.172000 72.195 -41.8614
1.180000 72.300 -41.9788
1.206000 72.637 -42.6870
1.220000 72.815 -43.2497
1.241000 73.078 -44.2896
1.250000 73.188 -44.7959
1.265000 73.370 -45.7054
1.280000 73.549 -46.6805
1.315000 73.952 -49.1030
1.320000 74.008 -49.4555
1.340000 74.226 -50.8535
1.360000 74.438 -52.1980
1.380000 74.641 -53.4437
1.400000 74.837 -54.5454
1.430000 75.113 -55.8289
1.450000 75.286 -56.3723
1.475000 75.488 -56.6461
1.500000 75.672 -56.6507
1.525000 75.838 -56.4622
1.550000 75.988 -56.1091
1.575000 76.124 -55.6204
1.600000 76.248 -55.0246
1.625000 76.361 -54.3506
1.650000 76.464 -53.6270
1.675000 76.560 -52.8826
1.700000 76.650 -52.1460
1.725000 76.736 -51.4461
1.750000 76.819 -50.8115
1.775000 76.901 -50.2710
1.800000 76.983 -49.8533
1.825000 77.068 -49.5870
1.850000 77.153 -49.4764
1.875000 77.229 -49.4697
1.900000 77.298 -49.5516
1.925000 77.361 -49.7086
1.950000 77.419 -49.9277
1.975000 77.472 -50.1953
2.000000 77.523 -50.4982
2.030000 77.583 -50.8895
2.060000 77.642 -51.2894
2.090000 77.704 -51.6750
2.120000 77.770 -52.0232
2.140000 77.817 -52.2232
2.180000 77.922 -52.5155
2.200000 77.981 -52.5944
2.240000 78.108 -52.6613
2.270000 78.209 -52.6572
2.300000 78.314 -52.6148
2.330000 78.423 -52.5417
2.360000 78.534 -52.4453
2.400000 78.686 -52.2930
2.430000 78.802 -52.1709
2.470000 78.959 -52.0115
2.500000 79.077 -51.9041
2.540000 79.234 -51.7914
2.580000 79.389 -51.7221
2.620000 79.546 -51.6472
2.650000 79.665 -51.5841
2.690000 79.825 -51.4991
2.720000 79.946 -51.4404
2.760000 80.108 -51.3774
2.800000 80.273 -51.3415
2.850000 80.479 -51.3506
2.900000 80.688 -51.4388
2.950000 80.899 -51.6274
3.000000 81.113 -51.9281
3.040000 81.288 -52.2345
3.070000 81.420 -52.4937
3.110000 81.596 -52.8672
3.150000 81.773 -53.2603
3.200000 81.993 -53.7580
3.250000 82.210 -54.2377
3.300000 82.424 -54.6726
3.350000 82.636 -55.0505
3.400000 82.847 -55.3920
3.450000 83.058 -55.7209
3.500000 83.266 -56.0613
3.550000 83.471 -56.4370
3.600000 83.671 -56.8722
3.650000 83.867 -57.3907
3.700000 84.057 -58.0157
3.750000 84.244 -58.7426
3.820000 84.499 -59.8781
3.870000 84.676 -60.7349
3.950000 84.951 -62.1066
4.000000 85.116 -62.9202
4.060000 85.308 -63.8153
4.120000 85.493 -64.6560
4.180000 85.671 -65.4666
4.250000 85.871 -66.3987
4.310000 86.036 -67.2071
4.370000 86.194 -68.0436
4.440000 86.371 -69.0793
4.500000 86.514 -70.0171
4.550000 86.628 -70.8171
4.620000 86.782 -71.9386
4.680000 86.908 -72.8765
4.750000 87.050 -73.9113
4.820000 87.186 -74.8690
4.870000 87.279 -75.5224
4.940000 87.403 -76.4014
5.000000 87.506 -77.1278
5.080000 87.638 -78.0675
5.150000 87.752 -78.8715
5.220000 87.862 -79.6549
5.300000 87.982 -80.5198
5.380000 88.100 -81.3499
5.450000 88.202 -82.0453
5.520000 88.306 -82.7094
5.600000 88.422 -83.4231
5.700000 88.567 -84.2608
5.800000 88.713 -85.0602
5.900000 88.862 -85.8393
6.000000 89.014 -86.5766
6.080000 89.136 -87.1476
6.150000 89.244 -87.6461
6.220000 89.352 -88.1540
6.300000 89.476 -88.7465
6.400000 89.633 -89.4918
6.500000 89.789 -90.2437
6.600000 89.943 -91.0035
6.700000 90.095 -91.7710
6.800000 90.245 -92.5459
6.900000 90.391 -93.3293
7.000000 90.531 -94.1240
7.100000 90.667 -94.9377
7.200000 90.798 -95.7569
7.300000 90.925 -96.5639
7.400000 91.045 -97.3506
7.500000 91.160 -98.1271
7.620000 91.291 -99.0372
7.750000 91.428 -99.9858
7.880000 91.558 -100.8990
8.000000 91.674 -101.7102
8.120000 91.789 -102.4874
8.250000 91.910 -103.2875
8.380000 92.030 -104.0625
8.500000 92.141 -104.7671
8.620000 92.252 -105.4533
8.750000 92.370 -106.1931
8.850000 92.459 -106.7700
9.000000 92.592 -107.6393
9.120000 92.695 -108.3403
9.250000 92.802 -109.1105
9.380000 92.905 -109.8903
9.500000 92.992 -110.6069
9.620000 93.070 -111.3193
9.750000 93.146 -112.0887
9.880000 93.209 -112.8293
10.000000 93.254 -113.4810
10.150000 93.294 -114.2570
10.300000 93.325 -114.9616
10.440000 93.343 -115.5494
10.600000 93.360 -116.1573
10.750000 93.383 -116.6650
10.900000 93.409 -117.1226
11.060000 93.445 -117.6111
11.200000 93.485 -118.0300
11.380000 93.540 -118.5995
11.500000 93.581 -119.0076
11.720000 93.656 -119.8128
11.800000 93.682 -120.1308
12.060000 93.759 -121.2339
12.200000 93.792 -121.8513
12.410000 93.828 -122.7896
12.500000 93.838 -123.1662
12.650000 93.847 -123.7732
12.800000 93.850 -124.3263
13.150000 93.848 -125.3341
13.200000 93.850 -125.4518
13.400000 93.863 -125.8414
13.600000 93.891 -126.1851
13.800000 93.940 -126.5015
14.000000 94.002 -126.8827
14.300000 94.114 -127.6162
14.500000 94.186 -128.2553
14.750000 94.261 -129.1638
15.000000 94.312 -130.1525
15.250000 94.335 -131.0976
15.500000 94.339 -131.8983
15.750000 94.332 -132.5070
16.000000 94.333 -132.8905
16.250000 94.356 -133.1395
16.500000 94.409 -133.3273
16.750000 94.494 -133.5717
17.000000 94.598 -133.9747
17.250000 94.710 -134.5582
17.500000 94.813 -135.3383
17.750000 94.895 -136.2425
18.000000 94.952 -137.2104
18.250000 94.982 -138.1746
18.500000 94.993 -139.0563
18.750000 94.991 -139.8371
19.000000 94.984 -140.5001
19.250000 94.981 -141.0667
19.500000 94.986 -141.5721
19.750000 94.999 -142.0456
20.000000 95.020 -142.5354
20.299999 95.051 -143.1733
20.600000 95.078 -143.8767
20.900000 95.095 -144.6261
21.200001 95.097 -145.3669
21.400000 95.089 -145.8126
21.799999 95.065 -146.5294
22.000000 95.057 -146.7874
22.400000 95.065 -147.1379
22.700001 95.103 -147.3561
23.000000 95.167 -147.6558
23.299999 95.241 -148.1068
23.600000 95.313 -148.7092
24.000000 95.384 -149.6640
24.299999 95.414 -150.3821
24.700001 95.429 -151.2186
25.000000 95.432 -151.7177
25.400000 95.435 -152.2170
25.799999 95.446 -152.5434
26.200001 95.477 -152.7065
26.500000 95.526 -152.7721
26.900000 95.637 -152.9536
27.200001 95.745 -153.3436
27.600000 95.882 -154.3978
28.000000 95.940 -156.0130
28.500000 95.818 -158.0996
29.000000 95.522 -158.9932
29.500000 95.252 -158.1220
30.000000 95.228 -156.4583
30.400000 95.380 -155.6748
30.700001 95.526 -155.7222
31.100000 95.671 -156.4836
31.500000 95.724 -157.5720
32.000000 95.689 -158.6835
32.500000 95.631 -159.2863
33.000000 95.606 -159.6636
33.500000 95.605 -160.0732
34.000000 95.608 -160.5171
34.500000 95.617 -160.9424
35.000000 95.632 -161.3940
35.500000 95.641 -161.8912
36.000000 95.637 -162.3329
36.500000 95.635 -162.6359
37.000000 95.652 -162.8753
37.500000 95.686 -163.1941
38.200001 95.723 -163.8072
38.700001 95.733 -164.2315
39.500000 95.751 -164.7864
40.000000 95.770 -165.1527
40.599998 95.785 -165.6632
41.200001 95.783 -166.1739
41.799999 95.767 -166.5818
42.500000 95.754 -166.8981
43.099998 95.763 -167.1420
43.700001 95.780 -167.4871
44.400002 95.784 -167.9972
45.000000 95.771 -168.3945
45.500000 95.761 -168.6595
46.200001 95.759 -169.0059
46.799999 95.764 -169.3374
47.500000 95.773 -169.7411
48.200001 95.789 -170.1664
48.700001 95.802 -170.5177
49.400002 95.809 -171.0609
50.000000 95.797 -171.4707
50.799999 95.777 -171.8116
51.500000 95.776 -172.0024
52.200001 95.786 -172.2687
53.000000 95.775 -172.6591
53.799999 95.737 -172.8470
54.500000 95.732 -172.7953
55.200001 95.778 -172.8978
56.000000 95.828 -173.5231
57.000000 95.791 -174.4402
58.000000 95.743 -174.8387
59.000000 95.737 -175.2690
60.000000 95.704 -175.6815
60.799999 95.687 -175.7825
61.500000 95.697 -175.8901
62.200001 95.709 -176.1252
63.000000 95.705 -176.4634
64.000000 95.686 -176.8623
65.000000 95.660 -177.2664
66.000000 95.627 -177.6171
67.000000 95.612 -177.9222
68.000000 95.606 -178.3776
69.000000 95.577 -178.8519
70.000000 95.541 -179.1783
71.000000 95.507 -179.4035
72.000000 95.478 -179.4403
73.000000 95.487 -179.3896
74.000000 95.515 -179.5433
75.000000 95.521 -179.8342
76.199997 95.507 179.8059
77.500000 95.464 179.3680
78.800003 95.406 179.0381
80.000000 95.364 178.7087
81.199997 95.328 178.3796
82.500000 95.330 178.0218
83.800003 95.344 177.3932
85.000000 95.325 176.8057
86.199997 95.288 176.4028
87.500000 95.258 176.1704
88.500000 95.246 175.9094
90.000000 95.204 175.3772
91.199997 95.135 175.0007
92.500000 95.062 175.0747
93.800003 95.072 175.2116
95.000000 95.096 175.0239
96.199997 95.091 174.6979
97.500000 95.060 174.3981
98.800003 95.019 174.1316
100.000000 94.981 174.0060
101.500000 94.963 173.8545
103.000000 94.955 173.6265
104.400002 94.947 173.3838
106.000000 94.930 173.1252
107.500000 94.905 172.8671
109.000000 94.866 172.6284
110.599998 94.812 172.4131
112.000000 94.761 172.3065
113.800003 94.715 172.1016
115.000000 94.684 171.8566
117.199997 94.628 171.3874
118.000000 94.613 171.2322
120.599998 94.556 170.8886
122.000000 94.525 170.8717
124.099998 94.488 170.8681
125.000000 94.473 170.8189
126.500000 94.445 170.6999
128.000000 94.422 170.5887
131.500000 94.380 170.2370
132.000000 94.369 170.1568
134.000000 94.296 169.8345
136.000000 94.206 169.7705
138.000000 94.152 169.9138
140.000000 94.113 170.0353
143.000000 94.047 170.0887
145.000000 94.005 169.7918
147.500000 93.993 169.2795
150.000000 93.974 168.8004
152.500000 93.917 169.0976
155.000000 93.920 169.4474
157.500000 93.929 168.9720
160.000000 93.889 168.5977
162.500000 93.863 168.3777
165.000000 93.762 168.4000
167.500000 93.666 168.7643
170.000000 93.564 169.0132
172.500000 93.507 168.9068
175.000000 93.480 168.2229
177.500000 93.479 167.8023
180.000000 93.472 167.8485
182.500000 93.416 168.0637
185.000000 93.354 168.1056
187.500000 93.328 167.8031
190.000000 93.249 167.3633
192.500000 93.089 167.4385
195.000000 93.000 167.9082
197.500000 93.020 168.1227
200.000000 93.046 168.2458
203.000000 93.024 168.4051
206.000000 92.959 168.3083
209.000000 92.882 168.3385
212.000000 92.851 168.6073
214.000000 92.835 168.6557
218.000000 92.762 168.5260
220.000000 92.709 168.5278
224.000000 92.613 168.7177
227.000000 92.562 168.8332
230.000000 92.529 168.9243
233.000000 92.495 169.0139
236.000000 92.437 169.1291
240.000000 92.357 169.2846
243.000000 92.319 169.4159
247.000000 92.277 169.6140
250.000000 92.244 169.6836
254.000000 92.208 169.8356
258.000000 92.170 170.1503
262.000000 92.123 170.3965
265.000000 92.088 170.5647
