* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -14.2 dBFS, measurement signal peak level -14.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 16, 2024 12:38:48 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0681 ms (-23 mm, -0.92 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Simgot EA500 Red L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 67.481 -10.9561
1.015000 67.766 -12.0257
1.030000 68.047 -13.0563
1.044000 68.305 -13.9794
1.060000 68.592 -14.9837
1.075000 68.855 -15.8717
1.090000 69.110 -16.7035
1.106000 69.373 -17.5247
1.120000 69.602 -18.1910
1.138000 69.895 -18.9818
1.150000 70.090 -19.4705
1.172000 70.446 -20.2937
1.180000 70.575 -20.5714
1.206000 70.990 -21.4031
1.220000 71.212 -21.8109
1.241000 71.541 -22.3778
1.250000 71.681 -22.6064
1.265000 71.912 -22.9712
1.280000 72.140 -23.3188
1.315000 72.661 -24.0832
1.320000 72.734 -24.1890
1.340000 73.022 -24.6090
1.360000 73.304 -25.0303
1.380000 73.578 -25.4613
1.400000 73.845 -25.9106
1.430000 74.229 -26.6374
1.450000 74.474 -27.1696
1.475000 74.766 -27.8978
1.500000 75.043 -28.6572
1.525000 75.304 -29.4337
1.550000 75.551 -30.2235
1.575000 75.786 -31.0227
1.600000 76.010 -31.8276
1.625000 76.224 -32.6344
1.650000 76.429 -33.4391
1.675000 76.628 -34.2381
1.700000 76.820 -35.0275
1.725000 77.007 -35.8036
1.750000 77.192 -36.5624
1.775000 77.374 -37.3002
1.800000 77.556 -38.0132
1.825000 77.739 -38.6976
1.850000 77.920 -39.3510
1.875000 78.096 -39.9765
1.900000 78.265 -40.5775
1.925000 78.429 -41.1571
1.950000 78.589 -41.7183
1.975000 78.744 -42.2645
2.000000 78.895 -42.7985
2.030000 79.073 -43.4280
2.060000 79.248 -44.0502
2.090000 79.420 -44.6705
2.120000 79.591 -45.2943
2.140000 79.705 -45.7148
2.180000 79.933 -46.5743
2.200000 80.049 -47.0164
2.240000 80.279 -47.9122
2.270000 80.450 -48.5881
2.300000 80.620 -49.2665
2.330000 80.788 -49.9464
2.360000 80.954 -50.6268
2.400000 81.172 -51.5332
2.430000 81.333 -52.2110
2.470000 81.543 -53.1104
2.500000 81.698 -53.7804
2.540000 81.899 -54.6658
2.580000 82.094 -55.5412
2.620000 82.283 -56.4146
2.650000 82.422 -57.0686
2.690000 82.602 -57.9374
2.720000 82.734 -58.5853
2.760000 82.907 -59.4426
2.800000 83.075 -60.2902
2.850000 83.279 -61.3327
2.900000 83.479 -62.3523
2.950000 83.673 -63.3447
3.000000 83.861 -64.3100
3.040000 84.006 -65.0652
3.070000 84.113 -65.6230
3.110000 84.251 -66.3569
3.150000 84.387 -67.0815
3.200000 84.552 -67.9771
3.250000 84.712 -68.8653
3.300000 84.868 -69.7499
3.350000 85.019 -70.6359
3.400000 85.164 -71.5207
3.450000 85.305 -72.3981
3.500000 85.441 -73.2621
3.550000 85.573 -74.1064
3.600000 85.702 -74.9249
3.650000 85.827 -75.7116
3.700000 85.950 -76.4620
3.750000 86.068 -77.1799
3.820000 86.227 -78.1392
3.870000 86.337 -78.7983
3.950000 86.507 -79.8208
4.000000 86.612 -80.4472
4.060000 86.736 -81.1920
4.120000 86.856 -81.9224
4.180000 86.973 -82.6351
4.250000 87.107 -83.4417
4.310000 87.219 -84.1094
4.370000 87.331 -84.7532
4.440000 87.460 -85.4689
4.500000 87.568 -86.0483
4.550000 87.658 -86.5119
4.620000 87.782 -87.1401
4.680000 87.887 -87.6670
4.750000 88.009 -88.2781
4.820000 88.131 -88.8865
4.870000 88.218 -89.3127
4.940000 88.339 -89.8998
5.000000 88.442 -90.3960
5.080000 88.578 -91.0509
5.150000 88.696 -91.6201
5.220000 88.813 -92.1811
5.300000 88.946 -92.8133
5.380000 89.077 -93.4411
5.450000 89.190 -93.9909
5.520000 89.301 -94.5443
5.600000 89.425 -95.1789
5.700000 89.578 -95.9725
5.800000 89.727 -96.7650
5.900000 89.869 -97.5557
6.000000 90.007 -98.3491
6.080000 90.114 -98.9818
6.150000 90.205 -99.5306
6.220000 90.292 -100.0718
6.300000 90.389 -100.6824
6.400000 90.506 -101.4374
6.500000 90.617 -102.1777
6.600000 90.724 -102.8976
6.700000 90.826 -103.5983
6.800000 90.924 -104.2809
6.900000 91.018 -104.9416
7.000000 91.110 -105.5772
7.100000 91.199 -106.1867
7.200000 91.286 -106.7741
7.300000 91.371 -107.3435
7.400000 91.455 -107.8959
7.500000 91.538 -108.4284
7.620000 91.636 -109.0478
7.750000 91.741 -109.7026
7.880000 91.844 -110.3353
8.000000 91.939 -110.9072
8.120000 92.032 -111.4755
8.250000 92.132 -112.0830
8.380000 92.231 -112.6845
8.500000 92.319 -113.2372
8.620000 92.405 -113.7870
8.750000 92.495 -114.3766
8.850000 92.563 -114.8252
9.000000 92.660 -115.4915
9.120000 92.736 -116.0153
9.250000 92.816 -116.5708
9.380000 92.895 -117.1152
9.500000 92.964 -117.6079
9.620000 93.029 -118.0906
9.750000 93.097 -118.6026
9.880000 93.157 -119.1050
10.000000 93.204 -119.5614
10.150000 93.253 -120.1205
10.300000 93.296 -120.6638
10.440000 93.327 -121.1549
10.600000 93.359 -121.7030
10.750000 93.390 -122.2069
10.900000 93.420 -122.7013
11.060000 93.452 -123.2274
11.200000 93.480 -123.6871
11.380000 93.516 -124.2681
11.500000 93.539 -124.6478
11.720000 93.579 -125.3282
11.800000 93.595 -125.5694
12.060000 93.645 -126.3345
12.200000 93.674 -126.7402
12.410000 93.719 -127.3390
12.500000 93.738 -127.5917
12.650000 93.769 -128.0074
12.800000 93.799 -128.4172
13.150000 93.868 -129.3526
13.200000 93.877 -129.4838
13.400000 93.916 -130.0033
13.600000 93.955 -130.5116
13.800000 93.994 -131.0072
14.000000 94.033 -131.4933
14.300000 94.090 -132.2056
14.500000 94.126 -132.6685
14.750000 94.171 -133.2352
15.000000 94.217 -133.7900
15.250000 94.265 -134.3391
15.500000 94.313 -134.8783
15.750000 94.361 -135.4065
16.000000 94.406 -135.9226
16.250000 94.451 -136.4342
16.500000 94.495 -136.9439
16.750000 94.538 -137.4550
17.000000 94.579 -137.9643
17.250000 94.618 -138.4659
17.500000 94.653 -138.9518
17.750000 94.686 -139.4080
18.000000 94.719 -139.8328
18.250000 94.753 -140.2244
18.500000 94.793 -140.5990
18.750000 94.838 -140.9769
19.000000 94.889 -141.3770
19.250000 94.943 -141.8267
19.500000 94.994 -142.3244
19.750000 95.039 -142.8667
20.000000 95.074 -143.4252
20.299999 95.101 -144.0694
20.600000 95.117 -144.6402
20.900000 95.129 -145.1060
21.200001 95.145 -145.4687
21.400000 95.163 -145.6778
21.799999 95.214 -146.0836
22.000000 95.245 -146.3122
22.400000 95.312 -146.8624
22.700001 95.356 -147.3426
23.000000 95.389 -147.8384
23.299999 95.413 -148.3054
23.600000 95.433 -148.7196
24.000000 95.460 -149.1879
24.299999 95.487 -149.5072
24.700001 95.531 -149.9470
25.000000 95.565 -150.3129
25.400000 95.603 -150.8430
25.799999 95.629 -151.3696
26.200001 95.646 -151.8349
26.500000 95.660 -152.1315
26.900000 95.685 -152.4799
27.200001 95.711 -152.7411
27.600000 95.752 -153.1360
28.000000 95.793 -153.6068
28.500000 95.830 -154.2623
29.000000 95.851 -154.8929
29.500000 95.865 -155.4360
30.000000 95.882 -155.9126
30.400000 95.900 -156.2877
30.700001 95.915 -156.5779
31.100000 95.932 -156.9729
31.500000 95.948 -157.3639
32.000000 95.965 -157.8355
32.500000 95.982 -158.2974
33.000000 95.995 -158.7560
33.500000 96.004 -159.1895
34.000000 96.014 -159.5795
34.500000 96.031 -159.9628
35.000000 96.051 -160.4015
35.500000 96.060 -160.8968
36.000000 96.052 -161.3531
36.500000 96.038 -161.6749
37.000000 96.039 -161.8849
37.500000 96.064 -162.1160
38.200001 96.112 -162.6562
38.700001 96.131 -163.1410
39.500000 96.143 -163.8277
40.000000 96.154 -164.1962
40.599998 96.170 -164.6393
41.200001 96.183 -165.0625
41.799999 96.197 -165.4218
42.500000 96.226 -165.8227
43.099998 96.254 -166.2326
43.700001 96.272 -166.6774
44.400002 96.278 -167.1542
45.000000 96.279 -167.5067
45.500000 96.280 -167.7768
46.200001 96.284 -168.1382
46.799999 96.289 -168.4518
47.500000 96.297 -168.8453
48.200001 96.302 -169.2564
48.700001 96.304 -169.5423
49.400002 96.308 -169.9237
50.000000 96.313 -170.2442
50.799999 96.318 -170.6728
51.500000 96.320 -171.0265
52.200001 96.322 -171.3445
53.000000 96.326 -171.7092
53.799999 96.325 -172.1052
54.500000 96.315 -172.4415
55.200001 96.303 -172.7648
56.000000 96.284 -173.1211
57.000000 96.265 -173.4935
58.000000 96.261 -173.9247
59.000000 96.247 -174.3382
60.000000 96.266 -174.6223
60.799999 96.300 -175.0546
61.500000 96.304 -175.5194
62.200001 96.289 -175.8435
63.000000 96.283 -176.0541
64.000000 96.291 -176.3398
65.000000 96.291 -176.6582
66.000000 96.289 -177.0053
67.000000 96.276 -177.4334
68.000000 96.250 -177.8865
69.000000 96.217 -178.3555
70.000000 96.176 -178.8117
71.000000 96.137 -179.1477
72.000000 96.124 -179.3843
73.000000 96.134 -179.7362
74.000000 96.123 179.8650
75.000000 96.105 179.6628
76.199997 96.109 179.5013
77.500000 96.111 179.1846
78.800003 96.092 178.8936
80.000000 96.084 178.6490
81.199997 96.077 178.2821
82.500000 96.054 177.8861
83.800003 96.030 177.5392
85.000000 96.002 177.2595
86.199997 95.974 177.0522
87.500000 95.955 176.8285
88.500000 95.943 176.6063
90.000000 95.923 176.2082
91.199997 95.907 175.8627
92.500000 95.888 175.4900
93.800003 95.868 175.1656
95.000000 95.851 174.8972
96.199997 95.829 174.6498
97.500000 95.803 174.4463
98.800003 95.783 174.2433
100.000000 95.763 174.0021
101.500000 95.726 173.6998
103.000000 95.689 173.4778
104.400002 95.664 173.2575
106.000000 95.633 172.9542
107.500000 95.599 172.6795
109.000000 95.568 172.4260
110.599998 95.535 172.1487
112.000000 95.502 171.9265
113.800003 95.463 171.7041
115.000000 95.440 171.5592
117.199997 95.394 171.2790
118.000000 95.374 171.1863
120.599998 95.311 170.9314
122.000000 95.278 170.7484
124.099998 95.230 170.4607
125.000000 95.212 170.3207
126.500000 95.184 170.0960
128.000000 95.158 169.9244
131.500000 95.106 169.5739
132.000000 95.097 169.5216
134.000000 95.056 169.3105
136.000000 95.014 169.0908
138.000000 94.971 168.8801
140.000000 94.930 168.7013
143.000000 94.871 168.4392
145.000000 94.832 168.2742
147.500000 94.785 168.0938
150.000000 94.740 167.9698
152.500000 94.695 167.8312
155.000000 94.642 167.6307
157.500000 94.590 167.4161
160.000000 94.542 167.2628
162.500000 94.492 167.2385
165.000000 94.447 167.1996
167.500000 94.401 167.0279
170.000000 94.344 166.8905
172.500000 94.280 166.8583
175.000000 94.221 166.7211
177.500000 94.163 166.4889
180.000000 94.106 166.4688
182.500000 94.053 166.6674
185.000000 93.984 166.9044
187.500000 93.929 167.2645
190.000000 93.930 167.5038
192.500000 93.939 167.3261
195.000000 93.906 166.8369
197.500000 93.833 166.5026
200.000000 93.776 166.5157
203.000000 93.731 166.6779
206.000000 93.707 166.8209
209.000000 93.691 166.8700
212.000000 93.644 166.8025
214.000000 93.592 166.7160
218.000000 93.508 166.5491
220.000000 93.478 166.5226
224.000000 93.399 166.6396
227.000000 93.332 166.7555
230.000000 93.282 166.8151
233.000000 93.238 166.8505
236.000000 93.182 166.9203
240.000000 93.103 167.0300
243.000000 93.057 167.0640
247.000000 93.005 167.1413
250.000000 92.962 167.2156
254.000000 92.896 167.3123
258.000000 92.833 167.4803
262.000000 92.777 167.6496
265.000000 92.733 167.7315
269.000000 92.674 167.8191
