* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -15.4 dBFS, measurement signal peak level -13.9 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 16, 2024 1:13:38 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0675 ms (-23 mm, -0.91 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Simgot EA500LM Gold L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 72.027 -30.1945
1.015000 72.317 -31.2659
1.030000 72.603 -32.2971
1.044000 72.864 -33.2192
1.060000 73.157 -34.2201
1.075000 73.423 -35.1025
1.090000 73.680 -35.9257
1.106000 73.946 -36.7353
1.120000 74.177 -37.3944
1.138000 74.472 -38.1807
1.150000 74.669 -38.6691
1.172000 75.028 -39.4957
1.180000 75.157 -39.7757
1.206000 75.576 -40.6171
1.220000 75.799 -41.0306
1.241000 76.130 -41.6055
1.250000 76.271 -41.8370
1.265000 76.503 -42.2053
1.280000 76.732 -42.5543
1.315000 77.256 -43.3100
1.320000 77.329 -43.4128
1.340000 77.618 -43.8160
1.360000 77.900 -44.2111
1.380000 78.175 -44.6052
1.400000 78.442 -45.0052
1.430000 78.826 -45.6318
1.450000 79.070 -46.0775
1.475000 79.362 -46.6726
1.500000 79.636 -47.2671
1.525000 79.895 -47.8496
1.550000 80.140 -48.4203
1.575000 80.372 -48.9796
1.600000 80.592 -49.5277
1.625000 80.802 -50.0649
1.650000 81.003 -50.5915
1.675000 81.197 -51.1076
1.700000 81.384 -51.6135
1.725000 81.567 -52.1096
1.750000 81.747 -52.5960
1.775000 81.925 -53.0731
1.800000 82.102 -53.5411
1.825000 82.280 -54.0002
1.850000 82.458 -54.4476
1.875000 82.629 -54.8773
1.900000 82.794 -55.2908
1.925000 82.954 -55.6902
1.950000 83.108 -56.0776
1.975000 83.258 -56.4549
2.000000 83.405 -56.8242
2.030000 83.577 -57.2596
2.060000 83.747 -57.6899
2.090000 83.914 -58.1184
2.120000 84.080 -58.5488
2.140000 84.191 -58.8385
2.180000 84.414 -59.4290
2.200000 84.527 -59.7319
2.240000 84.754 -60.3418
2.270000 84.923 -60.7990
2.300000 85.091 -61.2560
2.330000 85.257 -61.7131
2.360000 85.422 -62.1703
2.400000 85.640 -62.7803
2.430000 85.800 -63.2384
2.470000 86.011 -63.8500
2.500000 86.167 -64.3096
2.540000 86.369 -64.9237
2.580000 86.567 -65.5400
2.620000 86.760 -66.1605
2.650000 86.901 -66.6283
2.690000 87.086 -67.2540
2.720000 87.222 -67.7240
2.760000 87.401 -68.3504
2.800000 87.575 -68.9751
2.850000 87.789 -69.7516
2.900000 87.998 -70.5205
2.950000 88.204 -71.2789
3.000000 88.404 -72.0265
3.040000 88.560 -72.6186
3.070000 88.675 -73.0602
3.110000 88.826 -73.6466
3.150000 88.973 -74.2318
3.200000 89.154 -74.9638
3.250000 89.330 -75.6989
3.300000 89.503 -76.4401
3.350000 89.671 -77.1900
3.400000 89.834 -77.9468
3.450000 89.993 -78.7066
3.500000 90.148 -79.4657
3.550000 90.299 -80.2202
3.600000 90.447 -80.9663
3.650000 90.591 -81.7002
3.700000 90.731 -82.4198
3.750000 90.867 -83.1283
3.820000 91.051 -84.1056
3.870000 91.178 -84.7959
3.950000 91.375 -85.8924
4.000000 91.495 -86.5757
4.060000 91.635 -87.3969
4.120000 91.771 -88.2188
4.180000 91.902 -89.0382
4.250000 92.050 -89.9869
4.310000 92.172 -90.7901
4.370000 92.292 -91.5807
4.440000 92.427 -92.4845
4.500000 92.538 -93.2455
4.550000 92.628 -93.8713
4.620000 92.750 -94.7361
4.680000 92.851 -95.4684
4.750000 92.967 -96.3141
4.820000 93.078 -97.1519
4.870000 93.155 -97.7448
4.940000 93.260 -98.5659
5.000000 93.347 -99.2601
5.080000 93.460 -100.1702
5.150000 93.555 -100.9503
5.220000 93.647 -101.7156
5.300000 93.749 -102.5734
5.380000 93.846 -103.4140
5.450000 93.929 -104.1362
5.520000 94.010 -104.8463
5.600000 94.099 -105.6420
5.700000 94.207 -106.6135
5.800000 94.310 -107.5610
5.900000 94.410 -108.4860
6.000000 94.507 -109.3870
6.080000 94.581 -110.0911
6.150000 94.645 -110.6960
6.220000 94.708 -111.2912
6.300000 94.778 -111.9585
6.400000 94.863 -112.7726
6.500000 94.946 -113.5677
6.600000 95.028 -114.3475
6.700000 95.107 -115.1109
6.800000 95.185 -115.8576
6.900000 95.261 -116.5900
7.000000 95.336 -117.3103
7.100000 95.410 -118.0159
7.200000 95.482 -118.7089
7.300000 95.553 -119.3925
7.400000 95.622 -120.0683
7.500000 95.690 -120.7346
7.620000 95.770 -121.5224
7.750000 95.854 -122.3621
7.880000 95.935 -123.1875
8.000000 96.008 -123.9364
8.120000 96.078 -124.6732
8.250000 96.152 -125.4580
8.380000 96.223 -126.2273
8.500000 96.286 -126.9226
8.620000 96.347 -127.6042
8.750000 96.410 -128.3263
8.850000 96.457 -128.8694
9.000000 96.525 -129.6642
9.120000 96.578 -130.2836
9.250000 96.635 -130.9375
9.380000 96.692 -131.5737
9.500000 96.741 -132.1486
9.620000 96.787 -132.7129
9.750000 96.834 -133.3111
9.880000 96.875 -133.8985
10.000000 96.904 -134.4330
10.150000 96.931 -135.0884
10.300000 96.952 -135.7252
10.440000 96.962 -136.3014
10.600000 96.971 -136.9432
10.750000 96.979 -137.5299
10.900000 96.986 -138.1032
11.060000 96.994 -138.7092
11.200000 97.001 -139.2348
11.380000 97.010 -139.8972
11.500000 97.015 -140.3291
11.720000 97.023 -141.1020
11.800000 97.026 -141.3762
12.060000 97.038 -142.2461
12.200000 97.046 -142.7068
12.410000 97.059 -143.3862
12.500000 97.065 -143.6728
12.650000 97.073 -144.1440
12.800000 97.081 -144.6089
13.150000 97.098 -145.6724
13.200000 97.100 -145.8224
13.400000 97.109 -146.4181
13.600000 97.119 -147.0050
13.800000 97.128 -147.5824
14.000000 97.137 -148.1513
14.300000 97.148 -148.9879
14.500000 97.155 -149.5308
14.750000 97.164 -150.1946
15.000000 97.174 -150.8445
15.250000 97.189 -151.4928
15.500000 97.206 -152.1412
15.750000 97.223 -152.7905
16.000000 97.238 -153.4395
16.250000 97.250 -154.0840
16.500000 97.260 -154.7184
16.750000 97.268 -155.3327
17.000000 97.276 -155.9201
17.250000 97.286 -156.4814
17.500000 97.298 -157.0187
17.750000 97.313 -157.5436
18.000000 97.329 -158.0632
18.250000 97.347 -158.5854
18.500000 97.365 -159.1113
18.750000 97.381 -159.6356
19.000000 97.396 -160.1528
19.250000 97.410 -160.6529
19.500000 97.425 -161.1333
19.750000 97.439 -161.5930
20.000000 97.455 -162.0394
20.299999 97.476 -162.5739
20.600000 97.497 -163.1206
20.900000 97.515 -163.6863
21.200001 97.527 -164.2642
21.400000 97.531 -164.6438
21.799999 97.528 -165.3653
22.000000 97.524 -165.6973
22.400000 97.512 -166.2970
22.700001 97.506 -166.7030
23.000000 97.502 -167.0923
23.299999 97.501 -167.4834
23.600000 97.500 -167.8833
24.000000 97.498 -168.4292
24.299999 97.495 -168.8390
24.700001 97.488 -169.3739
25.000000 97.481 -169.7628
25.400000 97.473 -170.2675
25.799999 97.467 -170.7636
26.200001 97.461 -171.2601
26.500000 97.458 -171.6379
26.900000 97.455 -172.1535
27.200001 97.451 -172.5500
27.600000 97.443 -173.0849
28.000000 97.430 -173.6070
28.500000 97.409 -174.2036
29.000000 97.390 -174.7231
29.500000 97.380 -175.2018
30.000000 97.377 -175.6993
30.400000 97.375 -176.1282
30.700001 97.371 -176.4610
31.100000 97.361 -176.9010
31.500000 97.349 -177.3236
32.000000 97.334 -177.8300
32.500000 97.320 -178.3342
33.000000 97.302 -178.8449
33.500000 97.280 -179.3384
34.000000 97.258 -179.7910
34.500000 97.243 179.7757
35.000000 97.232 179.3123
35.500000 97.217 178.8032
36.000000 97.191 178.3013
36.500000 97.159 177.8733
37.000000 97.131 177.5240
37.500000 97.113 177.1926
38.200001 97.094 176.6749
38.700001 97.076 176.2978
39.500000 97.049 175.7543
40.000000 97.038 175.3977
40.599998 97.023 174.9052
41.200001 96.995 174.4023
41.799999 96.961 173.9586
42.500000 96.924 173.4909
43.099998 96.896 173.0819
43.700001 96.865 172.6790
44.400002 96.830 172.2425
45.000000 96.803 171.8798
45.500000 96.781 171.5714
46.200001 96.751 171.1330
46.799999 96.725 170.7582
47.500000 96.692 170.3352
48.200001 96.659 169.9456
48.700001 96.637 169.6846
49.400002 96.608 169.3199
50.000000 96.583 169.0008
50.799999 96.546 168.5864
51.500000 96.512 168.2409
52.200001 96.479 167.8983
53.000000 96.437 167.5151
53.799999 96.395 167.1613
54.500000 96.362 166.8575
55.200001 96.329 166.5295
56.000000 96.287 166.1448
57.000000 96.229 165.7247
58.000000 96.178 165.3702
59.000000 96.139 165.0052
60.000000 96.098 164.5506
60.799999 96.052 164.1757
61.500000 96.006 163.8984
62.200001 95.961 163.6620
63.000000 95.910 163.4191
64.000000 95.851 163.1376
65.000000 95.794 162.8376
66.000000 95.736 162.5729
67.000000 95.694 162.2955
68.000000 95.649 161.8510
69.000000 95.578 161.4278
70.000000 95.511 161.1666
71.000000 95.463 160.9070
72.000000 95.423 160.6238
73.000000 95.388 160.3092
74.000000 95.339 159.9786
75.000000 95.279 159.8528
76.199997 95.239 159.8107
77.500000 95.188 159.5991
78.800003 95.108 159.5204
80.000000 95.045 159.5020
81.199997 94.987 159.3699
82.500000 94.924 159.1060
83.800003 94.858 158.7351
85.000000 94.800 158.3639
86.199997 94.744 157.9871
87.500000 94.688 157.6635
88.500000 94.648 157.4418
90.000000 94.571 157.1894
91.199997 94.506 157.1446
92.500000 94.446 157.1087
93.800003 94.386 156.9807
95.000000 94.327 156.7922
96.199997 94.263 156.5798
97.500000 94.193 156.3788
98.800003 94.129 156.2398
100.000000 94.078 156.1359
101.500000 94.013 155.9950
103.000000 93.941 155.8804
104.400002 93.876 155.7681
106.000000 93.801 155.6182
107.500000 93.732 155.5020
109.000000 93.666 155.4272
110.599998 93.596 155.3555
112.000000 93.536 155.2820
113.800003 93.455 155.1259
115.000000 93.402 155.0294
117.199997 93.315 154.9075
118.000000 93.284 154.9097
120.599998 93.191 155.0490
122.000000 93.135 155.0550
124.099998 93.030 155.0031
125.000000 92.989 154.9629
126.500000 92.927 154.8506
128.000000 92.871 154.7531
131.500000 92.765 154.7095
132.000000 92.749 154.7144
134.000000 92.681 154.7365
136.000000 92.608 154.7516
138.000000 92.540 154.7939
140.000000 92.479 154.8776
143.000000 92.401 154.9683
145.000000 92.336 154.9474
147.500000 92.247 154.9833
150.000000 92.159 155.0621
152.500000 92.078 155.1371
155.000000 91.991 155.0984
157.500000 91.902 155.0453
160.000000 91.806 155.2650
162.500000 91.757 155.8189
165.000000 91.723 155.9715
167.500000 91.628 155.9224
170.000000 91.553 155.9829
172.500000 91.468 156.1393
175.000000 91.381 156.8118
177.500000 91.332 157.4195
180.000000 91.300 157.6700
182.500000 91.277 157.5934
185.000000 91.226 157.4606
187.500000 91.168 157.3495
190.000000 91.102 157.1281
192.500000 91.023 157.2370
195.000000 90.969 157.7150
197.500000 90.921 158.1678
200.000000 90.871 158.3460
203.000000 90.818 158.3566
206.000000 90.771 158.4518
209.000000 90.712 158.6543
212.000000 90.645 158.8839
214.000000 90.599 159.0717
218.000000 90.498 159.5065
220.000000 90.451 159.6989
224.000000 90.386 159.9396
227.000000 90.327 160.1077
230.000000 90.256 160.3469
233.000000 90.197 160.5566
236.000000 90.142 160.7497
240.000000 90.073 161.1188
243.000000 90.022 161.4368
247.000000 89.945 161.8588
250.000000 89.891 162.1200
254.000000 89.833 162.4597
258.000000 89.782 162.8504
262.000000 89.720 163.1811
265.000000 89.676 163.4108
269.000000 89.621 163.7773
272.000000 89.577 164.0651
276.000000 89.514 164.4412
280.000000 89.450 164.8678
