* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -15.9 dBFS, measurement signal peak level -15.0 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 16, 2024 1:17:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0677 ms (-23 mm, -0.91 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: Simgot EA500LM Gold R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 77.251 -43.8881
1.015000 77.469 -43.8658
1.030000 77.686 -43.8616
1.044000 77.887 -43.8748
1.060000 78.114 -43.9109
1.075000 78.326 -43.9658
1.090000 78.535 -44.0421
1.106000 78.755 -44.1496
1.120000 78.950 -44.2756
1.138000 79.202 -44.4808
1.150000 79.371 -44.6425
1.172000 79.683 -44.9857
1.180000 79.797 -45.1242
1.206000 80.166 -45.6179
1.220000 80.365 -45.9078
1.241000 80.662 -46.3685
1.250000 80.789 -46.5739
1.265000 80.999 -46.9245
1.280000 81.207 -47.2833
1.315000 81.685 -48.1372
1.320000 81.752 -48.2597
1.340000 82.016 -48.7466
1.360000 82.274 -49.2243
1.380000 82.525 -49.6864
1.400000 82.768 -50.1265
1.430000 83.116 -50.7316
1.450000 83.335 -51.0891
1.475000 83.594 -51.4761
1.500000 83.837 -51.8171
1.525000 84.065 -52.1230
1.550000 84.281 -52.3993
1.575000 84.484 -52.6515
1.600000 84.677 -52.8853
1.625000 84.860 -53.1060
1.650000 85.036 -53.3194
1.675000 85.204 -53.5309
1.700000 85.367 -53.7461
1.725000 85.526 -53.9706
1.750000 85.682 -54.2098
1.775000 85.837 -54.4693
1.800000 85.991 -54.7547
1.825000 86.146 -55.0716
1.850000 86.300 -55.4204
1.875000 86.449 -55.7910
1.900000 86.591 -56.1805
1.925000 86.728 -56.5863
1.950000 86.860 -57.0061
1.975000 86.989 -57.4375
2.000000 87.115 -57.8780
2.030000 87.262 -58.4151
2.060000 87.408 -58.9575
2.090000 87.552 -59.5012
2.120000 87.696 -60.0417
2.140000 87.793 -60.3983
2.180000 87.990 -61.0968
2.200000 88.091 -61.4362
2.240000 88.294 -62.1058
2.270000 88.448 -62.6044
2.300000 88.602 -63.1010
2.330000 88.755 -63.5960
2.360000 88.908 -64.0904
2.400000 89.110 -64.7496
2.430000 89.260 -65.2450
2.470000 89.456 -65.9084
2.500000 89.600 -66.4089
2.540000 89.788 -67.0815
2.580000 89.970 -67.7615
2.620000 90.146 -68.4461
2.650000 90.276 -68.9621
2.690000 90.445 -69.6533
2.720000 90.569 -70.1740
2.760000 90.732 -70.8711
2.800000 90.891 -71.5713
2.850000 91.086 -72.4506
2.900000 91.276 -73.3340
2.950000 91.463 -74.2223
3.000000 91.646 -75.1242
3.040000 91.788 -75.8536
3.070000 91.893 -76.4033
3.110000 92.031 -77.1373
3.150000 92.165 -77.8697
3.200000 92.329 -78.7785
3.250000 92.489 -79.6742
3.300000 92.645 -80.5510
3.350000 92.796 -81.4086
3.400000 92.942 -82.2518
3.450000 93.085 -83.0839
3.500000 93.222 -83.9081
3.550000 93.356 -84.7278
3.600000 93.487 -85.5460
3.650000 93.614 -86.3662
3.700000 93.737 -87.1918
3.750000 93.856 -88.0229
3.820000 94.017 -89.1871
3.870000 94.127 -90.0131
3.950000 94.297 -91.3129
4.000000 94.400 -92.1046
4.060000 94.521 -93.0274
4.120000 94.637 -93.9246
4.180000 94.750 -94.8010
4.250000 94.876 -95.8031
4.310000 94.980 -96.6495
4.370000 95.081 -97.4889
4.440000 95.196 -98.4635
4.500000 95.291 -99.2919
4.550000 95.367 -99.9754
4.620000 95.470 -100.9192
4.680000 95.557 -101.7136
4.750000 95.655 -102.6202
4.820000 95.751 -103.5024
4.870000 95.817 -104.1185
4.940000 95.908 -104.9640
5.000000 95.983 -105.6754
5.080000 96.082 -106.6093
5.150000 96.165 -107.4161
5.220000 96.247 -108.2101
5.300000 96.337 -109.1012
5.380000 96.425 -109.9762
5.450000 96.500 -110.7297
5.520000 96.573 -111.4728
5.600000 96.655 -112.3069
5.700000 96.754 -113.3284
5.800000 96.850 -114.3304
5.900000 96.943 -115.3162
6.000000 97.033 -116.2834
6.080000 97.102 -117.0443
6.150000 97.161 -117.7021
6.220000 97.219 -118.3533
6.300000 97.282 -119.0900
6.400000 97.359 -119.9984
6.500000 97.433 -120.8910
6.600000 97.504 -121.7660
6.700000 97.572 -122.6231
6.800000 97.637 -123.4631
6.900000 97.700 -124.2864
7.000000 97.760 -125.0934
7.100000 97.818 -125.8842
7.200000 97.873 -126.6583
7.300000 97.926 -127.4150
7.400000 97.978 -128.1534
7.500000 98.027 -128.8738
7.620000 98.084 -129.7162
7.750000 98.143 -130.6036
7.880000 98.200 -131.4634
8.000000 98.251 -132.2349
8.120000 98.301 -132.9872
8.250000 98.353 -133.7785
8.380000 98.403 -134.5492
8.500000 98.448 -135.2450
8.620000 98.492 -135.9243
8.750000 98.538 -136.6441
8.850000 98.573 -137.1881
9.000000 98.623 -137.9866
9.120000 98.662 -138.6118
9.250000 98.704 -139.2762
9.380000 98.745 -139.9265
9.500000 98.780 -140.5168
9.620000 98.812 -141.0987
9.750000 98.844 -141.7189
9.880000 98.869 -142.3282
10.000000 98.883 -142.8822
10.150000 98.892 -143.5618
10.300000 98.893 -144.2203
10.440000 98.886 -144.8143
10.600000 98.873 -145.4736
10.750000 98.863 -146.0736
10.900000 98.851 -146.6575
11.060000 98.840 -147.2740
11.200000 98.832 -147.8077
11.380000 98.820 -148.4812
11.500000 98.812 -148.9213
11.720000 98.797 -149.7109
11.800000 98.792 -149.9922
12.060000 98.778 -150.8870
12.200000 98.771 -151.3613
12.410000 98.763 -152.0608
12.500000 98.759 -152.3545
12.650000 98.752 -152.8362
12.800000 98.745 -153.3085
13.150000 98.727 -154.3736
13.200000 98.724 -154.5222
13.400000 98.716 -155.1076
13.600000 98.708 -155.6801
13.800000 98.702 -156.2395
14.000000 98.696 -156.7907
14.300000 98.687 -157.6026
14.500000 98.681 -158.1324
14.750000 98.673 -158.7811
15.000000 98.667 -159.4151
15.250000 98.664 -160.0409
15.500000 98.663 -160.6562
15.750000 98.662 -161.2599
16.000000 98.659 -161.8511
16.250000 98.655 -162.4309
16.500000 98.650 -162.9980
16.750000 98.644 -163.5485
17.000000 98.639 -164.0797
17.250000 98.635 -164.5920
17.500000 98.633 -165.0872
17.750000 98.631 -165.5724
18.000000 98.629 -166.0530
18.250000 98.628 -166.5353
18.500000 98.626 -167.0214
18.750000 98.622 -167.5073
19.000000 98.616 -167.9887
19.250000 98.607 -168.4538
19.500000 98.597 -168.8943
19.750000 98.585 -169.3046
20.000000 98.574 -169.6830
20.299999 98.565 -170.1093
20.600000 98.561 -170.5239
20.900000 98.561 -170.9488
21.200001 98.563 -171.4013
21.400000 98.563 -171.7190
21.799999 98.558 -172.3779
22.000000 98.553 -172.7087
22.400000 98.536 -173.3483
22.700001 98.521 -173.7969
23.000000 98.507 -174.2198
23.299999 98.495 -174.6295
23.600000 98.486 -175.0370
24.000000 98.475 -175.5866
24.299999 98.465 -176.0013
24.700001 98.451 -176.5446
25.000000 98.439 -176.9356
25.400000 98.423 -177.4307
25.799999 98.408 -177.9038
26.200001 98.394 -178.3673
26.500000 98.383 -178.7118
26.900000 98.369 -179.1642
27.200001 98.357 -179.4947
27.600000 98.342 -179.9221
28.000000 98.326 179.6601
28.500000 98.306 179.1391
29.000000 98.284 178.6152
29.500000 98.257 178.1007
30.000000 98.226 177.6102
30.400000 98.201 177.2346
30.700001 98.182 176.9581
31.100000 98.158 176.5900
31.500000 98.134 176.2208
32.000000 98.103 175.7651
32.500000 98.072 175.3242
33.000000 98.044 174.8934
33.500000 98.019 174.4603
34.000000 97.994 174.0268
34.500000 97.969 173.6129
35.000000 97.948 173.2289
35.500000 97.933 172.8476
36.000000 97.922 172.4205
36.500000 97.906 171.9326
37.000000 97.874 171.4362
37.500000 97.828 171.0129
38.200001 97.764 170.6077
38.700001 97.731 170.3886
39.500000 97.695 169.9650
40.000000 97.671 169.6412
40.599998 97.635 169.2518
41.200001 97.598 168.8947
41.799999 97.564 168.5462
42.500000 97.526 168.1187
43.099998 97.491 167.7496
43.700001 97.456 167.4007
44.400002 97.417 167.0135
45.000000 97.385 166.6829
45.500000 97.357 166.4094
46.200001 97.318 166.0427
46.799999 97.284 165.7456
47.500000 97.247 165.4058
48.200001 97.209 165.0661
48.700001 97.182 164.8251
49.400002 97.143 164.4915
50.000000 97.109 164.2075
50.799999 97.062 163.8340
51.500000 97.021 163.5183
52.200001 96.980 163.2148
53.000000 96.934 162.8745
53.799999 96.889 162.5339
54.500000 96.849 162.2441
55.200001 96.810 161.9693
56.000000 96.766 161.6647
57.000000 96.708 161.2894
58.000000 96.641 160.9755
59.000000 96.579 160.7759
60.000000 96.533 160.5590
60.799999 96.493 160.3042
61.500000 96.451 160.0801
62.200001 96.408 159.8740
63.000000 96.362 159.6138
64.000000 96.300 159.2602
65.000000 96.237 158.9326
66.000000 96.178 158.6171
67.000000 96.123 158.3355
68.000000 96.074 158.0758
69.000000 96.028 157.8273
70.000000 95.986 157.5456
71.000000 95.930 157.2133
72.000000 95.857 156.9434
73.000000 95.784 156.7827
74.000000 95.724 156.6592
75.000000 95.676 156.4633
76.199997 95.617 156.0939
77.500000 95.525 155.6342
78.800003 95.415 155.4664
80.000000 95.348 155.4576
81.199997 95.295 155.3687
82.500000 95.239 155.2383
83.800003 95.181 155.0603
85.000000 95.122 154.8799
86.199997 95.061 154.7231
87.500000 94.998 154.5724
88.500000 94.950 154.4688
90.000000 94.880 154.3112
91.199997 94.821 154.1819
92.500000 94.757 154.0624
93.800003 94.694 153.9407
95.000000 94.635 153.8193
96.199997 94.575 153.7034
97.500000 94.508 153.5958
98.800003 94.442 153.4979
100.000000 94.383 153.4093
101.500000 94.310 153.3097
103.000000 94.241 153.2147
104.400002 94.176 153.1444
106.000000 94.105 153.0899
107.500000 94.038 153.0392
109.000000 93.970 152.9875
110.599998 93.897 152.9471
112.000000 93.838 152.9184
113.800003 93.763 152.8776
115.000000 93.711 152.8493
117.199997 93.603 152.7842
118.000000 93.562 152.7724
120.599998 93.448 152.7358
122.000000 93.396 152.7118
124.099998 93.319 152.7180
125.000000 93.284 152.7487
126.500000 93.225 152.8327
128.000000 93.170 152.8873
131.500000 93.047 152.8810
132.000000 93.032 152.8756
134.000000 92.968 152.8314
136.000000 92.888 152.8464
138.000000 92.801 152.9358
140.000000 92.714 153.0293
143.000000 92.614 153.0956
145.000000 92.551 153.1163
147.500000 92.473 153.3321
150.000000 92.404 153.6848
152.500000 92.350 153.8065
155.000000 92.288 153.7009
157.500000 92.207 153.8183
160.000000 92.130 154.1760
162.500000 92.042 154.4395
165.000000 91.967 154.5640
167.500000 91.913 154.6566
170.000000 91.855 154.8237
172.500000 91.776 154.9957
175.000000 91.693 155.1514
177.500000 91.623 155.3338
180.000000 91.559 155.5661
182.500000 91.490 155.8250
185.000000 91.418 156.1254
187.500000 91.343 156.4734
190.000000 91.269 156.8263
192.500000 91.210 157.0993
195.000000 91.179 157.2446
197.500000 91.159 157.3363
200.000000 91.133 157.4975
203.000000 91.078 157.7333
206.000000 90.995 157.9644
209.000000 90.921 158.3067
212.000000 90.875 158.6299
214.000000 90.839 158.7623
218.000000 90.765 158.8376
220.000000 90.731 158.8657
224.000000 90.667 159.1358
227.000000 90.602 159.4072
230.000000 90.536 159.7144
233.000000 90.482 160.0154
236.000000 90.428 160.3395
240.000000 90.361 160.8056
243.000000 90.315 161.0559
247.000000 90.248 161.2990
250.000000 90.198 161.5381
254.000000 90.131 161.9550
258.000000 90.067 162.3701
262.000000 90.011 162.7608
265.000000 89.973 163.0580
269.000000 89.917 163.4364
272.000000 89.872 163.7157
276.000000 89.818 164.1061
280.000000 89.767 164.5017
285.000000 89.711 164.9548
