* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -14.2 dBFS, measurement signal peak level -13.2 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 25, 2023 2:20:09 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Apple + Abigail Delay -0.0686 ms (-24 mm, -0.93 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -0.3 ppm
* Measurement: Simgot EW200 S2 CP145 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 64.220 -60.5232
1.015000 64.584 -57.4869
1.030000 64.942 -54.6358
1.044000 65.270 -52.1563
1.060000 65.635 -49.5547
1.075000 65.966 -47.3574
1.090000 66.286 -45.4108
1.106000 66.613 -44.4132
1.120000 66.899 -44.4321
1.138000 67.268 -44.4812
1.150000 67.515 -44.5280
1.172000 67.967 -44.6397
1.180000 68.132 -44.6876
1.206000 68.665 -44.8662
1.220000 68.950 -44.9743
1.241000 69.376 -45.1483
1.250000 69.557 -45.2260
1.265000 69.857 -45.3585
1.280000 70.153 -45.4930
1.315000 70.831 -45.8046
1.320000 70.926 -45.8478
1.340000 71.301 -46.0151
1.360000 71.666 -46.1698
1.380000 72.021 -46.3078
1.400000 72.365 -46.4246
1.430000 72.856 -46.5509
1.450000 73.167 -46.5963
1.475000 73.534 -46.5184
1.500000 73.878 -46.2054
1.525000 74.201 -45.7731
1.550000 74.504 -45.2427
1.575000 74.790 -44.6351
1.600000 75.060 -43.9713
1.625000 75.317 -43.2725
1.650000 75.562 -42.5596
1.675000 75.796 -41.8536
1.700000 76.023 -41.1757
1.725000 76.243 -40.5467
1.750000 76.459 -39.9877
1.775000 76.672 -39.5198
1.800000 76.884 -39.1640
1.825000 77.098 -38.9413
1.850000 77.311 -38.8578
1.875000 77.514 -38.8819
1.900000 77.710 -39.0005
1.925000 77.898 -39.2014
1.950000 78.080 -39.4724
1.975000 78.255 -39.8015
2.000000 78.426 -40.1765
2.030000 78.626 -40.6702
2.060000 78.822 -41.1917
2.090000 79.015 -41.7202
2.120000 79.206 -42.2346
2.140000 79.334 -42.5594
2.180000 79.592 -43.1377
2.200000 79.722 -43.3790
2.240000 79.983 -43.8222
2.270000 80.176 -44.1433
2.300000 80.368 -44.4573
2.330000 80.557 -44.7661
2.360000 80.745 -45.0720
2.400000 80.992 -45.4790
2.430000 81.174 -45.7865
2.470000 81.414 -46.2034
2.500000 81.591 -46.5242
2.540000 81.824 -46.9666
2.580000 82.053 -47.4282
2.620000 82.277 -47.8909
2.650000 82.442 -48.2384
2.690000 82.660 -48.7061
2.720000 82.820 -49.0629
2.760000 83.030 -49.5505
2.800000 83.237 -50.0565
2.850000 83.490 -50.7219
2.900000 83.737 -51.4332
2.950000 83.979 -52.2034
3.000000 84.215 -53.0611
3.040000 84.399 -53.7976
3.070000 84.535 -54.3695
3.110000 84.713 -55.1460
3.150000 84.887 -55.9247
3.200000 85.101 -56.8783
3.250000 85.310 -57.7825
3.300000 85.515 -58.6079
3.350000 85.715 -59.3441
3.400000 85.910 -60.0136
3.450000 86.100 -60.6405
3.500000 86.285 -61.2487
3.550000 86.467 -61.8622
3.600000 86.644 -62.5048
3.650000 86.818 -63.2007
3.700000 86.988 -63.9686
3.750000 87.154 -64.7970
3.820000 87.380 -66.0177
3.870000 87.536 -66.9040
3.950000 87.779 -68.2875
4.000000 87.927 -69.0974
4.060000 88.101 -69.9832
4.120000 88.269 -70.7932
4.180000 88.431 -71.5519
4.250000 88.616 -72.4019
4.310000 88.770 -73.1258
4.370000 88.921 -73.8689
4.440000 89.093 -74.7820
4.500000 89.237 -75.5902
4.550000 89.353 -76.2711
4.620000 89.513 -77.2203
4.680000 89.647 -78.0160
4.750000 89.802 -78.9049
4.820000 89.954 -79.7392
4.870000 90.061 -80.3085
4.940000 90.208 -81.0795
5.000000 90.331 -81.7260
5.080000 90.493 -82.5837
5.150000 90.632 -83.3446
5.220000 90.768 -84.1093
5.300000 90.921 -84.9797
5.380000 91.070 -85.8418
5.450000 91.198 -86.5858
5.520000 91.323 -87.3170
5.600000 91.463 -88.1390
5.700000 91.634 -89.1489
5.800000 91.800 -90.1413
5.900000 91.962 -91.1174
6.000000 92.121 -92.0712
6.080000 92.245 -92.8232
6.150000 92.351 -93.4780
6.220000 92.455 -94.1336
6.300000 92.571 -94.8865
6.400000 92.713 -95.8278
6.500000 92.850 -96.7613
6.600000 92.982 -97.6786
6.700000 93.108 -98.5790
6.800000 93.230 -99.4657
6.900000 93.347 -100.3389
7.000000 93.460 -101.1992
7.100000 93.568 -102.0491
7.200000 93.672 -102.8845
7.300000 93.773 -103.7003
7.400000 93.871 -104.4919
7.500000 93.966 -105.2613
7.620000 94.076 -106.1630
7.750000 94.192 -107.1224
7.880000 94.304 -108.0602
8.000000 94.404 -108.9083
8.120000 94.501 -109.7419
8.250000 94.603 -110.6270
8.380000 94.702 -111.4958
8.500000 94.790 -112.2855
8.620000 94.875 -113.0623
8.750000 94.964 -113.8903
8.850000 95.031 -114.5181
9.000000 95.128 -115.4437
9.120000 95.203 -116.1729
9.250000 95.284 -116.9525
9.380000 95.363 -117.7203
9.500000 95.432 -118.4234
9.620000 95.497 -119.1238
9.750000 95.563 -119.8777
9.880000 95.622 -120.6258
10.000000 95.666 -121.3127
10.150000 95.711 -122.1643
10.300000 95.747 -122.9986
10.440000 95.769 -123.7611
10.600000 95.790 -124.6147
10.750000 95.807 -125.3956
10.900000 95.823 -126.1599
11.060000 95.838 -126.9650
11.200000 95.851 -127.6620
11.380000 95.865 -128.5342
11.500000 95.872 -129.0984
11.720000 95.885 -130.0963
11.800000 95.890 -130.4454
12.060000 95.906 -131.5349
12.200000 95.918 -132.0999
12.410000 95.938 -132.9195
12.500000 95.947 -133.2628
12.650000 95.963 -133.8220
12.800000 95.981 -134.3723
13.150000 96.026 -135.6363
13.200000 96.033 -135.8165
13.400000 96.062 -136.5384
13.600000 96.092 -137.2596
13.800000 96.122 -137.9808
14.000000 96.150 -138.6962
14.300000 96.188 -139.7527
14.500000 96.210 -140.4346
14.750000 96.237 -141.2593
15.000000 96.266 -142.0545
15.250000 96.298 -142.8345
15.500000 96.332 -143.6075
15.750000 96.367 -144.3774
16.000000 96.398 -145.1477
16.250000 96.423 -145.9106
16.500000 96.443 -146.6559
16.750000 96.458 -147.3649
17.000000 96.471 -148.0198
17.250000 96.484 -148.6194
17.500000 96.501 -149.1639
17.750000 96.525 -149.6842
18.000000 96.554 -150.2055
18.250000 96.589 -150.7562
18.500000 96.624 -151.3588
18.750000 96.657 -152.0074
19.000000 96.683 -152.6962
19.250000 96.699 -153.3933
19.500000 96.705 -154.0692
19.750000 96.702 -154.7007
20.000000 96.696 -155.2631
20.299999 96.689 -155.8567
20.600000 96.687 -156.3867
20.900000 96.694 -156.8945
21.200001 96.707 -157.4233
21.400000 96.715 -157.7968
21.799999 96.726 -158.5752
22.000000 96.727 -158.9639
22.400000 96.721 -159.6972
22.700001 96.716 -160.1910
23.000000 96.716 -160.6467
23.299999 96.723 -161.0995
23.600000 96.735 -161.5798
24.000000 96.752 -162.2879
24.299999 96.759 -162.8563
24.700001 96.756 -163.6106
25.000000 96.747 -164.1342
25.400000 96.733 -164.7541
25.799999 96.726 -165.3109
26.200001 96.725 -165.8571
26.500000 96.725 -166.2784
26.900000 96.723 -166.8475
27.200001 96.718 -167.2605
27.600000 96.709 -167.7739
28.000000 96.703 -168.2534
28.500000 96.701 -168.8549
29.000000 96.697 -169.4848
29.500000 96.684 -170.0948
30.000000 96.669 -170.6278
30.400000 96.662 -171.0168
30.700001 96.661 -171.3186
31.100000 96.664 -171.7722
31.500000 96.664 -172.2868
32.000000 96.649 -172.9537
32.500000 96.622 -173.5548
33.000000 96.597 -174.0668
33.500000 96.579 -174.5515
34.000000 96.567 -175.0715
34.500000 96.551 -175.6155
35.000000 96.531 -176.1306
35.500000 96.511 -176.5934
36.000000 96.497 -177.0327
36.500000 96.485 -177.4832
37.000000 96.467 -177.9480
37.500000 96.444 -178.3990
38.200001 96.409 -178.9628
38.700001 96.386 -179.3303
39.500000 96.354 -179.9192
40.000000 96.334 179.7071
40.599998 96.311 179.2597
41.200001 96.285 178.8129
41.799999 96.259 178.3768
42.500000 96.229 177.9050
43.099998 96.209 177.5228
43.700001 96.192 177.1278
44.400002 96.170 176.6461
45.000000 96.145 176.2562
45.500000 96.122 175.9709
46.200001 96.095 175.6047
46.799999 96.076 175.2664
47.500000 96.050 174.8245
48.200001 96.014 174.3825
48.700001 95.987 174.0847
49.400002 95.949 173.6795
50.000000 95.919 173.3326
50.799999 95.881 172.8741
51.500000 95.851 172.4850
52.200001 95.824 172.1168
53.000000 95.797 171.7080
53.799999 95.765 171.3323
54.500000 95.733 171.0812
55.200001 95.702 170.8561
56.000000 95.651 170.6301
57.000000 95.591 170.6919
58.000000 95.617 170.5483
59.000000 95.589 169.5701
60.000000 95.452 168.8865
60.799999 95.376 168.6605
61.500000 95.340 168.3796
62.200001 95.305 168.0429
63.000000 95.270 167.6960
64.000000 95.241 167.3021
65.000000 95.221 166.9375
66.000000 95.196 166.6016
67.000000 95.156 166.3717
68.000000 95.110 166.1763
69.000000 95.037 166.0384
70.000000 94.976 166.1208
71.000000 94.969 165.9786
72.000000 94.938 165.3730
73.000000 94.855 164.8427
74.000000 94.780 164.5583
75.000000 94.727 164.3153
76.199997 94.674 164.0442
77.500000 94.627 163.7453
78.800003 94.567 163.4182
80.000000 94.503 163.1921
81.199997 94.443 162.9880
82.500000 94.380 162.7523
83.800003 94.320 162.5113
85.000000 94.267 162.2969
86.199997 94.214 162.1044
87.500000 94.155 161.9427
88.500000 94.112 161.8351
90.000000 94.045 161.6635
91.199997 93.994 161.5132
92.500000 93.943 161.3265
93.800003 93.897 161.1221
95.000000 93.854 160.9188
96.199997 93.806 160.7516
97.500000 93.752 160.6276
98.800003 93.694 160.5597
100.000000 93.639 160.5333
101.500000 93.574 160.4820
103.000000 93.514 160.3807
104.400002 93.457 160.2309
106.000000 93.386 160.0508
107.500000 93.322 159.9456
109.000000 93.265 159.8580
110.599998 93.203 159.7822
112.000000 93.147 159.7284
113.800003 93.074 159.6630
115.000000 93.025 159.6194
117.199997 92.944 159.5073
118.000000 92.916 159.4505
120.599998 92.818 159.3125
122.000000 92.767 159.3207
124.099998 92.699 159.3322
125.000000 92.668 159.3264
126.500000 92.615 159.3149
128.000000 92.564 159.3045
131.500000 92.453 159.2847
132.000000 92.437 159.2862
134.000000 92.376 159.3025
136.000000 92.316 159.3280
138.000000 92.259 159.3351
140.000000 92.203 159.3072
143.000000 92.123 159.2988
145.000000 92.067 159.3581
147.500000 91.995 159.4954
150.000000 91.927 159.6218
152.500000 91.860 159.7196
155.000000 91.795 159.8062
157.500000 91.732 159.8953
160.000000 91.671 159.9887
162.500000 91.611 160.1098
165.000000 91.550 160.2379
167.500000 91.484 160.3790
170.000000 91.421 160.5458
172.500000 91.361 160.7055
175.000000 91.302 160.8269
177.500000 91.238 160.9528
180.000000 91.177 161.1033
182.500000 91.118 161.2591
185.000000 91.056 161.4031
187.500000 90.997 161.5445
190.000000 90.943 161.7202
192.500000 90.895 161.9075
195.000000 90.848 162.0564
197.500000 90.798 162.1962
200.000000 90.750 162.3764
203.000000 90.694 162.6315
206.000000 90.638 162.8611
209.000000 90.584 163.0540
212.000000 90.532 163.2649
214.000000 90.498 163.4283
218.000000 90.432 163.7475
220.000000 90.400 163.9014
224.000000 90.334 164.2161
227.000000 90.282 164.4527
230.000000 90.230 164.6947
233.000000 90.181 164.9514
236.000000 90.134 165.2142
240.000000 90.069 165.5599
243.000000 90.026 165.8094
247.000000 89.976 166.1476
250.000000 89.939 166.3908
254.000000 89.889 166.7064
258.000000 89.838 167.0489
262.000000 89.787 167.4225
265.000000 89.749 167.6944
269.000000 89.701 168.0336
272.000000 89.670 168.2861
