* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -15.4 dBFS, measurement signal peak level -13.9 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 25, 2023 2:11:28 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Apple + Abigail Delay -0.0623 ms (-21 mm, -0.84 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -0.1 ppm
* Measurement: Simgot EW200 S2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 67.189 -14.5672
1.015000 67.518 -17.5159
1.030000 67.841 -20.3248
1.044000 68.136 -22.8058
1.060000 68.464 -25.4572
1.075000 68.761 -27.7476
1.090000 69.044 -29.8319
1.106000 69.333 -31.8180
1.120000 69.586 -33.3962
1.138000 69.915 -35.2299
1.150000 70.136 -36.3368
1.172000 70.543 -38.1423
1.180000 70.692 -38.7311
1.206000 71.175 -40.4158
1.220000 71.435 -41.1889
1.241000 71.823 -42.1913
1.250000 71.988 -42.5680
1.265000 72.262 -43.1320
1.280000 72.533 -43.6234
1.315000 73.151 -44.5347
1.320000 73.238 -44.6426
1.340000 73.578 -45.0304
1.360000 73.909 -45.3634
1.380000 74.229 -45.6615
1.400000 74.536 -45.9443
1.430000 74.971 -46.3835
1.450000 75.242 -46.7151
1.475000 75.557 -47.1830
1.500000 75.847 -47.5199
1.525000 76.114 -47.6961
1.550000 76.361 -47.7346
1.575000 76.589 -47.6580
1.600000 76.800 -47.4893
1.625000 76.998 -47.2513
1.650000 77.183 -46.9667
1.675000 77.357 -46.6583
1.700000 77.523 -46.3491
1.725000 77.684 -46.0618
1.750000 77.839 -45.8192
1.775000 77.993 -45.6442
1.800000 78.147 -45.5595
1.825000 78.302 -45.5880
1.850000 78.457 -45.7311
1.875000 78.602 -45.9441
1.900000 78.739 -46.2160
1.925000 78.867 -46.5375
1.950000 78.989 -46.8995
1.975000 79.105 -47.2927
2.000000 79.217 -47.7080
2.030000 79.346 -48.2226
2.060000 79.473 -48.7398
2.090000 79.598 -49.2437
2.120000 79.724 -49.7184
2.140000 79.809 -50.0108
2.180000 79.986 -50.5168
2.200000 80.079 -50.7210
2.240000 80.266 -51.0527
2.270000 80.408 -51.2516
2.300000 80.549 -51.4164
2.330000 80.690 -51.5549
2.360000 80.831 -51.6748
2.400000 81.018 -51.8193
2.430000 81.158 -51.9261
2.470000 81.344 -52.0813
2.500000 81.482 -52.2173
2.540000 81.664 -52.4396
2.580000 81.845 -52.7218
2.620000 82.023 -53.0423
2.650000 82.156 -53.3006
2.690000 82.332 -53.6647
2.720000 82.463 -53.9497
2.760000 82.637 -54.3413
2.800000 82.809 -54.7414
2.850000 83.023 -55.2456
2.900000 83.235 -55.7446
2.950000 83.445 -56.2307
3.000000 83.654 -56.7187
3.040000 83.820 -57.1128
3.070000 83.944 -57.4101
3.110000 84.107 -57.8081
3.150000 84.270 -58.2072
3.200000 84.471 -58.7065
3.250000 84.671 -59.2050
3.300000 84.869 -59.7010
3.350000 85.066 -60.1876
3.400000 85.261 -60.6650
3.450000 85.454 -61.1400
3.500000 85.645 -61.6190
3.550000 85.834 -62.1089
3.600000 86.022 -62.6161
3.650000 86.206 -63.1473
3.700000 86.389 -63.7084
3.750000 86.569 -64.2973
3.820000 86.819 -65.1552
3.870000 86.995 -65.7823
3.950000 87.270 -66.7914
4.000000 87.439 -67.4146
4.060000 87.637 -68.1455
4.120000 87.831 -68.8651
4.180000 88.022 -69.5804
4.250000 88.239 -70.4171
4.310000 88.421 -71.1429
4.370000 88.599 -71.8830
4.440000 88.801 -72.7725
4.500000 88.970 -73.5573
4.550000 89.107 -74.2214
4.620000 89.295 -75.1572
4.680000 89.451 -75.9565
4.750000 89.630 -76.8747
4.820000 89.803 -77.7732
4.870000 89.924 -78.4086
4.940000 90.088 -79.2915
5.000000 90.225 -80.0440
5.080000 90.402 -81.0443
5.150000 90.552 -81.9199
5.220000 90.695 -82.8003
5.300000 90.853 -83.8060
5.380000 91.004 -84.8017
5.450000 91.132 -85.6570
5.520000 91.255 -86.4914
5.600000 91.390 -87.4262
5.700000 91.550 -88.5684
5.800000 91.702 -89.6788
5.900000 91.849 -90.7542
6.000000 91.990 -91.7928
6.080000 92.098 -92.6005
6.150000 92.189 -93.2927
6.220000 92.279 -93.9737
6.300000 92.380 -94.7377
6.400000 92.501 -95.6686
6.500000 92.618 -96.5748
6.600000 92.731 -97.4580
6.700000 92.840 -98.3171
6.800000 92.945 -99.1523
6.900000 93.048 -99.9665
7.000000 93.147 -100.7618
7.100000 93.244 -101.5361
7.200000 93.338 -102.2909
7.300000 93.430 -103.0285
7.400000 93.520 -103.7490
7.500000 93.608 -104.4501
7.620000 93.711 -105.2734
7.750000 93.820 -106.1516
7.880000 93.927 -107.0125
8.000000 94.022 -107.7933
8.120000 94.115 -108.5636
8.250000 94.212 -109.3851
8.380000 94.307 -110.1929
8.500000 94.391 -110.9263
8.620000 94.473 -111.6479
8.750000 94.559 -112.4164
8.850000 94.624 -112.9978
9.000000 94.718 -113.8531
9.120000 94.793 -114.5270
9.250000 94.874 -115.2484
9.380000 94.954 -115.9594
9.500000 95.025 -116.6129
9.620000 95.093 -117.2667
9.750000 95.164 -117.9730
9.880000 95.228 -118.6799
10.000000 95.278 -119.3357
10.150000 95.331 -120.1566
10.300000 95.376 -120.9716
10.440000 95.408 -121.7264
10.600000 95.439 -122.5836
10.750000 95.466 -123.3814
10.900000 95.490 -124.1743
11.060000 95.514 -125.0185
11.200000 95.533 -125.7585
11.380000 95.553 -126.6873
11.500000 95.562 -127.2902
11.720000 95.576 -128.3497
11.800000 95.580 -128.7143
12.060000 95.592 -129.8301
12.200000 95.601 -130.3845
12.410000 95.618 -131.1587
12.500000 95.627 -131.4727
12.650000 95.645 -131.9667
12.800000 95.668 -132.4446
13.150000 95.741 -133.5385
13.200000 95.753 -133.7011
13.400000 95.809 -134.3679
13.600000 95.867 -135.0815
13.800000 95.927 -135.8532
14.000000 95.981 -136.6719
14.300000 96.046 -137.9704
14.500000 96.073 -138.8446
14.750000 96.093 -139.8920
15.000000 96.099 -140.8616
15.250000 96.100 -141.7179
15.500000 96.102 -142.4643
15.750000 96.108 -143.1115
16.000000 96.124 -143.6936
16.250000 96.148 -144.2612
16.500000 96.179 -144.8381
16.750000 96.213 -145.4513
17.000000 96.247 -146.0963
17.250000 96.278 -146.7621
17.500000 96.303 -147.4316
17.750000 96.322 -148.0842
18.000000 96.337 -148.7160
18.250000 96.350 -149.3237
18.500000 96.363 -149.9118
18.750000 96.376 -150.4857
19.000000 96.391 -151.0505
19.250000 96.406 -151.6131
19.500000 96.421 -152.1715
19.750000 96.436 -152.7242
20.000000 96.450 -153.2671
20.299999 96.466 -153.9092
20.600000 96.482 -154.5473
20.900000 96.497 -155.1895
21.200001 96.509 -155.8395
21.400000 96.513 -156.2698
21.799999 96.513 -157.0939
22.000000 96.509 -157.4716
22.400000 96.501 -158.1325
22.700001 96.502 -158.5521
23.000000 96.515 -158.9420
23.299999 96.540 -159.3560
23.600000 96.572 -159.8366
24.000000 96.615 -160.6144
24.299999 96.637 -161.2805
24.700001 96.642 -162.1982
25.000000 96.629 -162.8373
25.400000 96.600 -163.5559
25.799999 96.573 -164.1155
26.200001 96.558 -164.5799
26.500000 96.557 -164.9184
26.900000 96.562 -165.4001
27.200001 96.566 -165.7886
27.600000 96.566 -166.3215
28.000000 96.561 -166.8366
28.500000 96.554 -167.4294
29.000000 96.551 -167.9850
29.500000 96.553 -168.5420
30.000000 96.552 -169.1177
30.400000 96.547 -169.5808
30.700001 96.541 -169.9216
31.100000 96.533 -170.3642
31.500000 96.525 -170.8003
32.000000 96.516 -171.3534
32.500000 96.504 -171.9216
33.000000 96.486 -172.4864
33.500000 96.464 -173.0233
34.000000 96.442 -173.5275
34.500000 96.425 -174.0155
35.000000 96.411 -174.5017
35.500000 96.400 -174.9863
36.000000 96.389 -175.4621
36.500000 96.380 -175.9313
37.000000 96.371 -176.4079
37.500000 96.358 -176.8941
38.200001 96.333 -177.5494
38.700001 96.310 -177.9705
39.500000 96.275 -178.5594
40.000000 96.255 -178.8914
40.599998 96.237 -179.2815
41.200001 96.220 -179.6976
41.799999 96.201 179.8461
42.500000 96.172 179.2903
43.099998 96.140 178.8317
43.700001 96.108 178.4058
44.400002 96.074 177.9387
45.000000 96.048 177.5477
45.500000 96.028 177.2292
46.200001 96.002 176.8031
46.799999 95.984 176.4451
47.500000 95.964 176.0140
48.200001 95.937 175.6042
48.700001 95.916 175.3568
49.400002 95.893 175.0520
50.000000 95.878 174.7623
50.799999 95.853 174.3059
51.500000 95.818 173.9165
52.200001 95.781 173.5773
53.000000 95.743 173.2135
53.799999 95.711 172.8469
54.500000 95.684 172.5126
55.200001 95.656 172.1643
56.000000 95.624 171.7844
57.000000 95.587 171.3197
58.000000 95.534 170.8296
59.000000 95.464 170.5153
60.000000 95.420 170.3144
60.799999 95.401 170.0004
61.500000 95.374 169.6457
62.200001 95.338 169.3179
63.000000 95.300 168.9747
64.000000 95.256 168.5150
65.000000 95.204 168.1001
66.000000 95.154 167.8515
67.000000 95.120 167.6958
68.000000 95.085 167.5578
69.000000 95.060 167.5628
70.000000 95.074 167.3341
71.000000 95.041 166.6656
72.000000 94.940 166.1837
73.000000 94.854 165.9994
74.000000 94.796 165.8156
75.000000 94.750 165.5725
76.199997 94.701 165.2304
77.500000 94.646 164.8838
78.800003 94.589 164.5802
80.000000 94.535 164.3555
81.199997 94.482 164.1429
82.500000 94.422 163.9149
83.800003 94.362 163.6928
85.000000 94.311 163.4916
86.199997 94.263 163.2905
87.500000 94.212 163.0577
88.500000 94.170 162.8896
90.000000 94.109 162.6656
91.199997 94.061 162.4816
92.500000 94.007 162.3008
93.800003 93.954 162.1373
95.000000 93.903 161.9904
96.199997 93.849 161.8592
97.500000 93.793 161.7245
98.800003 93.738 161.5900
100.000000 93.688 161.4634
101.500000 93.629 161.2901
103.000000 93.573 161.1277
104.400002 93.521 160.9928
106.000000 93.457 160.8444
107.500000 93.396 160.7542
109.000000 93.338 160.6820
110.599998 93.276 160.6003
112.000000 93.220 160.5368
113.800003 93.149 160.4625
115.000000 93.102 160.4010
117.199997 93.022 160.2616
118.000000 92.994 160.2020
120.599998 92.896 160.0597
122.000000 92.846 160.0709
124.099998 92.782 160.0933
125.000000 92.754 160.0850
126.500000 92.705 160.0616
128.000000 92.656 160.0351
131.500000 92.543 159.9770
132.000000 92.527 159.9724
134.000000 92.468 159.9735
136.000000 92.415 159.9958
138.000000 92.362 160.0178
140.000000 92.301 160.0210
143.000000 92.210 160.1061
145.000000 92.156 160.1497
147.500000 92.089 160.2104
150.000000 92.025 160.2945
152.500000 91.966 160.3412
155.000000 91.904 160.3618
157.500000 91.840 160.4520
160.000000 91.774 160.5812
162.500000 91.711 160.6923
165.000000 91.650 160.7799
167.500000 91.590 160.8901
170.000000 91.527 161.0128
172.500000 91.458 161.1141
175.000000 91.398 161.2446
177.500000 91.350 161.3872
180.000000 91.298 161.5447
182.500000 91.238 161.7143
185.000000 91.174 161.8594
187.500000 91.114 161.9963
190.000000 91.059 162.1574
192.500000 91.010 162.3236
195.000000 90.965 162.4893
197.500000 90.922 162.6646
200.000000 90.877 162.8295
203.000000 90.819 163.0219
206.000000 90.761 163.2180
209.000000 90.702 163.4138
212.000000 90.654 163.6274
214.000000 90.625 163.7771
218.000000 90.565 164.0660
220.000000 90.532 164.2060
224.000000 90.468 164.4843
227.000000 90.420 164.6957
230.000000 90.372 164.9221
233.000000 90.326 165.1603
236.000000 90.285 165.3929
240.000000 90.230 165.6800
243.000000 90.187 165.9203
247.000000 90.129 166.2625
250.000000 90.088 166.5175
254.000000 90.034 166.8688
258.000000 89.981 167.2046
262.000000 89.931 167.5085
265.000000 89.896 167.7396
269.000000 89.853 168.0614
272.000000 89.822 168.3030
