* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -13.9 dBFS, measurement signal peak level -13.5 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 25, 2023 2:13:21 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Apple + Abigail Delay -0.0666 ms (-23 mm, -0.9 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -0.1 ppm
* Measurement: Simgot EW200 S2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 66.372 -100.5969
1.015000 66.781 -98.4789
1.030000 67.178 -96.4356
1.044000 67.536 -94.6035
1.060000 67.927 -92.6078
1.075000 68.274 -90.8412
1.090000 68.598 -89.1846
1.106000 68.920 -87.5443
1.120000 69.193 -86.1952
1.138000 69.537 -84.5659
1.150000 69.762 -83.5421
1.172000 70.165 -81.7855
1.180000 70.309 -81.1831
1.206000 70.766 -79.3480
1.220000 71.006 -78.4314
1.241000 71.358 -77.1403
1.250000 71.506 -76.6150
1.265000 71.748 -75.7733
1.280000 71.986 -74.9696
1.315000 72.522 -73.2169
1.320000 72.597 -72.9780
1.340000 72.891 -72.0442
1.360000 73.177 -71.1372
1.380000 73.456 -70.2460
1.400000 73.727 -69.3597
1.430000 74.122 -68.0155
1.450000 74.376 -67.0936
1.475000 74.684 -65.9005
1.500000 74.975 -64.7170
1.525000 75.247 -63.5614
1.550000 75.504 -62.4368
1.575000 75.747 -61.3467
1.600000 75.976 -60.2945
1.625000 76.195 -59.2835
1.650000 76.404 -58.3171
1.675000 76.606 -57.3987
1.700000 76.802 -56.5316
1.725000 76.993 -55.7192
1.750000 77.182 -54.9649
1.775000 77.371 -54.2721
1.800000 77.559 -53.6441
1.825000 77.751 -53.0844
1.850000 77.943 -52.6028
1.875000 78.130 -52.2125
1.900000 78.312 -51.9053
1.925000 78.489 -51.6726
1.950000 78.662 -51.5056
1.975000 78.831 -51.3958
2.000000 78.997 -51.3341
2.030000 79.193 -51.3116
2.060000 79.386 -51.3310
2.090000 79.576 -51.3772
2.120000 79.765 -51.4350
2.140000 79.891 -51.4727
2.180000 80.143 -51.5255
2.200000 80.270 -51.5320
2.240000 80.523 -51.5551
2.270000 80.711 -51.5983
2.300000 80.897 -51.6625
2.330000 81.081 -51.7465
2.360000 81.264 -51.8492
2.400000 81.505 -52.0135
2.430000 81.684 -52.1557
2.470000 81.918 -52.3686
2.500000 82.091 -52.5444
2.540000 82.318 -52.7980
2.580000 82.541 -53.0728
2.620000 82.759 -53.3786
2.650000 82.920 -53.6284
2.690000 83.132 -53.9865
2.720000 83.288 -54.2722
2.760000 83.493 -54.6733
2.800000 83.694 -55.0951
2.850000 83.940 -55.6466
2.900000 84.180 -56.2196
2.950000 84.414 -56.8122
3.000000 84.643 -57.4508
3.040000 84.821 -57.9916
3.070000 84.952 -58.4102
3.110000 85.123 -58.9797
3.150000 85.291 -59.5560
3.200000 85.497 -60.2748
3.250000 85.698 -60.9792
3.300000 85.895 -61.6553
3.350000 86.087 -62.3038
3.400000 86.274 -62.9358
3.450000 86.456 -63.5583
3.500000 86.634 -64.1778
3.550000 86.807 -64.8010
3.600000 86.976 -65.4346
3.650000 87.142 -66.0852
3.700000 87.304 -66.7601
3.750000 87.462 -67.4592
3.820000 87.677 -68.4615
3.870000 87.825 -69.1820
3.950000 88.056 -70.3174
4.000000 88.197 -71.0022
4.060000 88.361 -71.7864
4.120000 88.520 -72.5399
4.180000 88.674 -73.2710
4.250000 88.848 -74.1050
4.310000 88.994 -74.8116
4.370000 89.137 -75.5179
4.440000 89.300 -76.3484
4.500000 89.435 -77.0618
4.550000 89.545 -77.6539
4.620000 89.696 -78.4740
4.680000 89.823 -79.1639
4.750000 89.970 -79.9475
4.820000 90.114 -80.7027
4.870000 90.215 -81.2263
4.940000 90.355 -81.9429
5.000000 90.472 -82.5470
5.080000 90.627 -83.3463
5.150000 90.759 -84.0474
5.220000 90.889 -84.7462
5.300000 91.035 -85.5385
5.380000 91.178 -86.3229
5.450000 91.301 -87.0020
5.520000 91.422 -87.6736
5.600000 91.557 -88.4314
5.700000 91.722 -89.3662
5.800000 91.882 -90.2899
5.900000 92.040 -91.2048
6.000000 92.194 -92.1063
6.080000 92.315 -92.8210
6.150000 92.418 -93.4448
6.220000 92.520 -94.0695
6.300000 92.633 -94.7863
6.400000 92.772 -95.6829
6.500000 92.906 -96.5758
6.600000 93.035 -97.4604
6.700000 93.158 -98.3386
6.800000 93.277 -99.2106
6.900000 93.391 -100.0715
7.000000 93.501 -100.9175
7.100000 93.606 -101.7521
7.200000 93.707 -102.5732
7.300000 93.804 -103.3769
7.400000 93.899 -104.1602
7.500000 93.990 -104.9248
7.620000 94.096 -105.8215
7.750000 94.207 -106.7715
7.880000 94.314 -107.6971
8.000000 94.409 -108.5326
8.120000 94.502 -109.3529
8.250000 94.600 -110.2226
8.380000 94.695 -111.0750
8.500000 94.781 -111.8485
8.620000 94.863 -112.6080
8.750000 94.950 -113.4171
8.850000 95.016 -114.0307
9.000000 95.111 -114.9353
9.120000 95.186 -115.6486
9.250000 95.267 -116.4131
9.380000 95.346 -117.1676
9.500000 95.416 -117.8589
9.620000 95.482 -118.5476
9.750000 95.549 -119.2891
9.880000 95.608 -120.0242
10.000000 95.654 -120.6985
10.150000 95.700 -121.5334
10.300000 95.738 -122.3477
10.440000 95.764 -123.0881
10.600000 95.788 -123.9140
10.750000 95.810 -124.6671
10.900000 95.831 -125.4023
11.060000 95.854 -126.1794
11.200000 95.875 -126.8532
11.380000 95.901 -127.7045
11.500000 95.917 -128.2615
11.720000 95.946 -129.2619
11.800000 95.957 -129.6183
12.060000 95.993 -130.7536
12.200000 96.014 -131.3565
12.410000 96.045 -132.2477
12.500000 96.059 -132.6233
12.650000 96.080 -133.2414
12.800000 96.100 -133.8492
13.150000 96.145 -135.2265
13.200000 96.151 -135.4190
13.400000 96.177 -136.1786
13.600000 96.202 -136.9210
13.800000 96.228 -137.6454
14.000000 96.253 -138.3556
14.300000 96.289 -139.3947
14.500000 96.310 -140.0691
14.750000 96.337 -140.8918
15.000000 96.362 -141.6931
15.250000 96.390 -142.4780
15.500000 96.417 -143.2416
15.750000 96.443 -143.9821
16.000000 96.467 -144.6972
16.250000 96.489 -145.3936
16.500000 96.511 -146.0748
16.750000 96.533 -146.7452
17.000000 96.554 -147.4074
17.250000 96.575 -148.0606
17.500000 96.593 -148.7034
17.750000 96.608 -149.3317
18.000000 96.621 -149.9445
18.250000 96.633 -150.5406
18.500000 96.644 -151.1195
18.750000 96.657 -151.6862
19.000000 96.672 -152.2456
19.250000 96.688 -152.8107
19.500000 96.704 -153.3823
19.750000 96.717 -153.9601
20.000000 96.728 -154.5331
20.299999 96.737 -155.1980
20.600000 96.743 -155.8263
20.900000 96.751 -156.4160
21.200001 96.763 -156.9832
21.400000 96.773 -157.3659
21.799999 96.796 -158.1650
22.000000 96.805 -158.5850
22.400000 96.813 -159.4449
22.700001 96.808 -160.0612
23.000000 96.798 -160.6057
23.299999 96.789 -161.0660
23.600000 96.789 -161.4655
24.000000 96.808 -161.9800
24.299999 96.832 -162.4207
24.700001 96.864 -163.1245
25.000000 96.878 -163.7139
25.400000 96.875 -164.4929
25.799999 96.854 -165.1558
26.200001 96.833 -165.6659
26.500000 96.825 -165.9838
26.900000 96.827 -166.3960
27.200001 96.834 -166.7386
27.600000 96.842 -167.2532
28.000000 96.841 -167.7968
28.500000 96.829 -168.4449
29.000000 96.817 -169.0346
29.500000 96.808 -169.6061
30.000000 96.798 -170.1935
30.400000 96.786 -170.6667
30.700001 96.775 -171.0141
31.100000 96.761 -171.4646
31.500000 96.748 -171.9079
32.000000 96.734 -172.4636
32.500000 96.717 -173.0159
33.000000 96.699 -173.5472
33.500000 96.682 -174.0540
34.000000 96.667 -174.5515
34.500000 96.655 -175.0507
35.000000 96.643 -175.5460
35.500000 96.630 -176.0270
36.000000 96.617 -176.4901
36.500000 96.602 -176.9360
37.000000 96.586 -177.3683
37.500000 96.569 -177.7890
38.200001 96.547 -178.3680
38.700001 96.530 -178.7884
39.500000 96.495 -179.4632
40.000000 96.469 -179.8553
40.599998 96.439 179.7132
41.200001 96.414 179.2951
41.799999 96.391 178.8724
42.500000 96.366 178.3802
43.099998 96.346 177.9576
43.700001 96.327 177.5308
44.400002 96.302 177.0482
45.000000 96.280 176.6593
45.500000 96.263 176.3425
46.200001 96.236 175.9057
46.799999 96.209 175.5570
47.500000 96.179 175.1835
48.200001 96.149 174.8141
48.700001 96.125 174.5535
49.400002 96.090 174.2181
50.000000 96.064 173.9433
50.799999 96.034 173.5229
51.500000 96.003 173.1049
52.200001 95.965 172.7049
53.000000 95.924 172.2969
53.799999 95.889 171.9055
54.500000 95.860 171.5581
55.200001 95.830 171.2210
56.000000 95.797 170.8761
57.000000 95.762 170.4675
58.000000 95.720 170.0744
59.000000 95.683 169.7266
60.000000 95.646 169.2527
60.799999 95.598 168.8434
61.500000 95.551 168.5754
62.200001 95.511 168.3539
63.000000 95.472 168.0797
64.000000 95.423 167.7329
65.000000 95.380 167.4070
66.000000 95.336 167.0905
67.000000 95.287 166.8300
68.000000 95.232 166.6236
69.000000 95.171 166.5044
70.000000 95.126 166.4592
71.000000 95.104 166.2307
72.000000 95.064 165.7640
73.000000 94.999 165.3232
74.000000 94.935 164.9977
75.000000 94.884 164.7054
76.199997 94.834 164.3585
77.500000 94.784 163.9961
78.800003 94.723 163.6931
80.000000 94.665 163.5410
81.199997 94.616 163.3967
82.500000 94.559 163.1918
83.800003 94.501 162.9774
85.000000 94.449 162.7637
86.199997 94.400 162.5490
87.500000 94.347 162.3293
88.500000 94.307 162.1703
90.000000 94.242 161.9550
91.199997 94.189 161.8019
92.500000 94.131 161.6455
93.800003 94.075 161.5043
95.000000 94.026 161.3651
96.199997 93.977 161.2149
97.500000 93.924 161.0602
98.800003 93.872 160.9399
100.000000 93.827 160.8243
101.500000 93.765 160.6298
103.000000 93.696 160.4660
104.400002 93.633 160.3645
106.000000 93.569 160.2525
107.500000 93.511 160.1306
109.000000 93.453 160.0143
110.599998 93.389 159.9235
112.000000 93.334 159.8598
113.800003 93.263 159.7852
115.000000 93.217 159.7345
117.199997 93.135 159.6381
118.000000 93.108 159.6065
120.599998 93.013 159.4906
122.000000 92.959 159.4754
124.099998 92.886 159.4777
125.000000 92.856 159.4650
126.500000 92.806 159.4372
128.000000 92.754 159.4296
131.500000 92.639 159.4566
132.000000 92.623 159.4581
134.000000 92.559 159.4525
136.000000 92.500 159.4492
138.000000 92.444 159.4542
140.000000 92.385 159.4971
143.000000 92.309 159.5980
145.000000 92.256 159.6165
147.500000 92.188 159.6684
150.000000 92.124 159.7427
152.500000 92.060 159.8238
155.000000 91.996 159.9090
157.500000 91.936 159.9991
160.000000 91.874 160.0731
162.500000 91.809 160.1752
165.000000 91.747 160.3049
167.500000 91.684 160.4284
170.000000 91.618 160.5541
172.500000 91.556 160.6812
175.000000 91.498 160.8163
177.500000 91.436 160.9738
180.000000 91.373 161.1178
182.500000 91.314 161.2218
185.000000 91.257 161.3435
187.500000 91.202 161.5051
190.000000 91.144 161.6754
192.500000 91.088 161.8450
195.000000 91.035 162.0170
197.500000 90.984 162.1987
200.000000 90.938 162.3845
203.000000 90.889 162.5875
206.000000 90.832 162.7860
209.000000 90.771 162.9777
212.000000 90.718 163.1713
214.000000 90.685 163.3301
218.000000 90.616 163.6770
220.000000 90.583 163.8324
224.000000 90.519 164.1340
227.000000 90.472 164.3658
230.000000 90.424 164.5910
233.000000 90.377 164.8331
236.000000 90.332 165.0811
240.000000 90.268 165.3847
243.000000 90.221 165.6350
247.000000 90.165 165.9749
250.000000 90.126 166.2340
254.000000 90.077 166.5844
258.000000 90.025 166.9152
262.000000 89.978 167.2449
265.000000 89.943 167.5023
269.000000 89.895 167.8473
272.000000 89.862 168.0976
