* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -27.6 dBFS, measurement signal peak level -22.3 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -31.3 dBFS using an acoustic timing reference
* Dated: Nov 20, 2024 9:12:38 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 Delay -0.0650 ms (-22 mm, -0.88 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -26.0 ppm
* Measurement: 3.5mm Gold 75 Ohm R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 76.279, -61.1046
1.015000, 76.520, -61.4313
1.030000, 76.757, -61.7604
1.044000, 76.975, -62.0709
1.060000, 77.218, -62.4309
1.075000, 77.441, -62.7744
1.090000, 77.658, -63.1236
1.106000, 77.886, -63.4965
1.120000, 78.082, -63.8122
1.138000, 78.330, -64.1968
1.150000, 78.494, -64.4402
1.172000, 78.790, -64.8666
1.180000, 78.896, -65.0191
1.206000, 79.234, -65.4915
1.220000, 79.413, -65.7332
1.241000, 79.675, -66.0816
1.250000, 79.785, -66.2264
1.265000, 79.965, -66.4626
1.280000, 80.142, -66.6930
1.315000, 80.539, -67.2136
1.320000, 80.593, -67.2865
1.340000, 80.807, -67.5753
1.360000, 81.013, -67.8598
1.380000, 81.210, -68.1799
1.400000, 81.397, -68.5138
1.430000, 81.661, -69.0164
1.450000, 81.824, -69.3537
1.475000, 82.012, -69.7725
1.500000, 82.178, -70.1723
1.525000, 82.323, -70.5468
1.550000, 82.447, -70.8978
1.575000, 82.555, -71.2453
1.600000, 82.649, -71.6055
1.625000, 82.731, -71.9506
1.650000, 82.805, -72.2833
1.675000, 82.872, -72.6060
1.700000, 82.935, -72.9210
1.725000, 82.997, -73.2306
1.750000, 83.061, -73.5366
1.775000, 83.129, -73.8549
1.800000, 83.204, -74.2003
1.825000, 83.287, -74.5452
1.850000, 83.377, -74.8856
1.875000, 83.469, -75.2142
1.900000, 83.560, -75.5293
1.925000, 83.652, -75.8316
1.950000, 83.744, -76.1220
1.975000, 83.835, -76.4127
2.000000, 83.927, -76.7156
2.030000, 84.036, -77.0674
2.060000, 84.145, -77.4099
2.090000, 84.253, -77.7449
2.120000, 84.361, -78.0742
2.140000, 84.432, -78.2914
2.180000, 84.575, -78.7415
2.200000, 84.645, -78.9823
2.240000, 84.786, -79.4502
2.270000, 84.891, -79.7856
2.300000, 84.995, -80.1082
2.330000, 85.099, -80.4194
2.360000, 85.203, -80.7212
2.400000, 85.340, -81.1491
2.430000, 85.442, -81.4677
2.470000, 85.578, -81.8849
2.500000, 85.679, -82.1937
2.540000, 85.814, -82.6017
2.580000, 85.948, -83.0185
2.620000, 86.081, -83.4511
2.650000, 86.181, -83.7636
2.690000, 86.313, -84.1671
2.720000, 86.411, -84.4614
2.760000, 86.542, -84.8438
2.800000, 86.672, -85.2554
2.850000, 86.834, -85.7698
2.900000, 86.994, -86.2819
2.950000, 87.152, -86.7910
3.000000, 87.309, -87.3142
3.040000, 87.434, -87.7309
3.070000, 87.527, -88.0375
3.110000, 87.650, -88.4402
3.150000, 87.773, -88.8380
3.200000, 87.924, -89.3612
3.250000, 88.074, -89.8984
3.300000, 88.222, -90.4372
3.350000, 88.368, -90.9714
3.400000, 88.513, -91.5220
3.450000, 88.656, -92.0748
3.500000, 88.798, -92.6213
3.550000, 88.937, -93.1635
3.600000, 89.075, -93.7312
3.650000, 89.211, -94.3120
3.700000, 89.345, -94.8947
3.750000, 89.477, -95.4762
3.820000, 89.659, -96.3128
3.870000, 89.786, -96.9120
3.950000, 89.985, -97.8636
4.000000, 90.107, -98.4798
4.060000, 90.249, -99.2326
4.120000, 90.388, -99.9876
4.180000, 90.523, -100.7479
4.250000, 90.677, -101.6574
4.310000, 90.805, -102.4280
4.370000, 90.928, -103.1941
4.440000, 91.068, -104.1134
