* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -20.7 dBFS, measurement signal peak level -12.0 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -20.8 dBFS using an acoustic timing reference
* Dated: Nov 20, 2024 9:44:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; EW300 DSP Cable  Delay -1.2213 ms (-419 mm, -(1 ft 4.49 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -23.9 ppm
* Measurement: Gold R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 62.480, 112.2619
1.015000, 62.769, 111.3241
1.030000, 63.056, 110.4445
1.044000, 63.322, 109.6755
1.060000, 63.623, 108.8566
1.075000, 63.902, 108.1403
1.090000, 64.178, 107.4292
1.106000, 64.470, 106.4834
1.120000, 64.725, 105.4861
1.138000, 65.053, 104.2027
1.150000, 65.273, 103.3780
1.172000, 65.676, 101.9309
1.180000, 65.823, 101.4232
1.206000, 66.301, 99.8302
1.220000, 66.558, 99.0027
1.241000, 66.943, 97.7928
1.250000, 67.108, 97.2837
1.265000, 67.382, 96.4454
1.280000, 67.655, 95.6171
1.315000, 68.289, 93.7095
1.320000, 68.379, 93.4387
1.340000, 68.737, 92.3565
1.360000, 69.092, 91.2735
1.380000, 69.444, 90.1862
1.400000, 69.792, 89.0918
1.430000, 70.306, 87.4322
1.450000, 70.642, 86.3132
1.475000, 71.057, 84.9180
1.500000, 71.465, 83.5734
1.525000, 71.868, 82.2944
1.550000, 72.267, 81.0718
1.575000, 72.660, 79.8940
1.600000, 73.049, 78.7508
1.625000, 73.434, 77.6328
1.650000, 73.813, 76.5316
1.675000, 74.188, 75.4398
1.700000, 74.558, 74.3510
1.725000, 74.924, 73.2596
1.750000, 75.285, 72.1605
1.775000, 75.642, 71.0496
1.800000, 75.994, 69.9238
1.825000, 76.342, 68.7844
1.850000, 76.685, 67.6477
1.875000, 77.022, 66.5364
1.900000, 77.355, 65.4551
1.925000, 77.683, 64.4003
1.950000, 78.007, 63.3673
1.975000, 78.325, 62.3518
2.000000, 78.640, 61.3492
2.030000, 79.011, 60.1577
2.060000, 79.377, 58.9725
2.090000, 79.737, 57.7877
2.120000, 80.092, 56.5977
2.140000, 80.325, 55.7991
2.180000, 80.786, 54.1850
