* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -16.3 dBFS, measurement signal peak level -11.5 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -20.8 dBFS using an acoustic timing reference
* Dated: Nov 20, 2024 9:37:51 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; EW300 DSP Cable  Delay -1.2557 ms (-431 mm, -(1 ft 4.96 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 27.3 ppm
* Measurement: Silver L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 59.913, 109.2134
1.015000, 60.592, 108.5761
1.030000, 61.248, 107.8330
1.044000, 61.836, 107.0546
1.060000, 62.473, 106.0743
1.075000, 63.030, 105.0755
1.090000, 63.544, 104.0100
1.106000, 64.052, 102.8338
1.120000, 64.481, 101.8208
1.138000, 65.022, 100.5713
1.150000, 65.377, 99.7708
1.172000, 66.019, 98.3620
1.180000, 66.249, 97.8663
1.206000, 66.985, 96.3054
1.220000, 67.374, 95.4915
1.241000, 67.947, 94.2975
1.250000, 68.189, 93.7938
1.265000, 68.588, 92.9626
1.280000, 68.980, 92.1393
1.315000, 69.871, 90.2358
1.320000, 69.996, 89.9647
1.340000, 70.487, 88.8793
1.360000, 70.967, 87.7893
1.380000, 71.436, 86.6909
1.400000, 71.894, 85.5804
1.430000, 72.560, 83.8857
1.450000, 72.990, 82.7337
1.475000, 73.509, 81.2791
1.500000, 74.005, 79.8440
1.525000, 74.477, 78.4451
1.550000, 74.926, 77.0817
1.575000, 75.356, 75.7500
1.600000, 75.767, 74.4457
1.625000, 76.163, 73.1641
1.650000, 76.544, 71.9004
1.675000, 76.913, 70.6499
1.700000, 77.272, 69.4080
1.725000, 77.623, 68.1701
1.750000, 77.968, 66.9318
1.775000, 78.310, 65.6890
1.800000, 78.649, 64.4378
1.825000, 78.986, 63.1760
1.850000, 79.321, 61.9085
1.875000, 79.647, 60.6456
1.900000, 79.965, 59.3935
1.925000, 80.274, 58.1547
