* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -21.1 dBFS, measurement signal peak level -13.5 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 6, 2024 1:22:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0655 ms (-22 mm, -0.88 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Sonic Memory SM2 Long L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 74.065 9.0607
1.015000 74.212 8.4306
1.030000 74.360 7.7604
1.044000 74.497 7.0984
1.060000 74.653 6.2983
1.075000 74.799 5.5059
1.090000 74.943 4.6721
1.106000 75.095 3.7290
1.120000 75.232 2.8164
1.138000 75.413 1.5213
1.150000 75.536 0.5883
1.172000 75.768 -1.2506
1.180000 75.854 -1.9563
1.206000 76.138 -4.3653
1.220000 76.294 -5.7246
1.241000 76.530 -7.8264
1.250000 76.631 -8.7453
1.265000 76.801 -10.2942
1.280000 76.971 -11.8577
1.315000 77.368 -15.5150
1.320000 77.424 -16.0339
1.340000 77.647 -18.0883
1.360000 77.868 -20.0937
1.380000 78.084 -22.0300
1.400000 78.296 -23.8773
1.430000 78.602 -26.4378
1.450000 78.796 -27.9753
1.475000 79.029 -29.6831
1.500000 79.252 -31.2365
1.525000 79.468 -32.6691
1.550000 79.678 -33.9922
1.575000 79.881 -35.2175
1.600000 80.080 -36.3562
1.625000 80.273 -37.4200
1.650000 80.463 -38.4203
1.675000 80.650 -39.3685
1.700000 80.833 -40.2763
1.725000 81.015 -41.1549
1.750000 81.196 -42.0160
1.775000 81.376 -42.8711
1.800000 81.556 -43.7315
1.825000 81.736 -44.6088
1.850000 81.918 -45.4953
1.875000 82.097 -46.3519
1.900000 82.274 -47.1784
1.925000 82.450 -47.9764
1.950000 82.624 -48.7477
1.975000 82.796 -49.4938
2.000000 82.967 -50.2164
2.030000 83.169 -51.0550
2.060000 83.369 -51.8649
2.090000 83.567 -52.6492
2.120000 83.763 -53.4107
2.140000 83.893 -53.9070
2.180000 84.149 -54.8766
2.200000 84.275 -55.3513
2.240000 84.526 -56.2582
2.270000 84.712 -56.8976
2.300000 84.897 -57.5064
2.330000 85.079 -58.0884
2.360000 85.259 -58.6476
2.400000 85.495 -59.3643
2.430000 85.669 -59.8853
2.470000 85.896 -60.5651
2.500000 86.064 -61.0690
2.540000 86.282 -61.7401
2.580000 86.494 -62.4153
2.620000 86.700 -63.0701
2.650000 86.851 -63.5460
2.690000 87.048 -64.1641
2.720000 87.192 -64.6179
2.760000 87.381 -65.2138
2.800000 87.564 -65.8035
2.850000 87.789 -66.5392
2.900000 88.007 -67.2819
2.950000 88.220 -68.0403
3.000000 88.427 -68.8123
3.040000 88.587 -69.4348
3.070000 88.705 -69.9021
3.110000 88.859 -70.5232
3.150000 89.008 -71.1386
3.200000 89.191 -71.8946
3.250000 89.369 -72.6295
3.300000 89.542 -73.3364
3.350000 89.710 -74.0094
3.400000 89.873 -74.6533
3.450000 90.030 -75.2767
3.500000 90.182 -75.8879
3.550000 90.330 -76.4955
3.600000 90.474 -77.1080
3.650000 90.614 -77.7337
3.700000 90.751 -78.3785
3.750000 90.882 -79.0368
3.820000 91.060 -79.9693
3.870000 91.182 -80.6349
3.950000 91.370 -81.6823
4.000000 91.484 -82.3165
4.060000 91.617 -83.0478
4.120000 91.745 -83.7500
4.180000 91.868 -84.4315
4.250000 92.006 -85.2109
4.310000 92.120 -85.8746
4.370000 92.231 -86.5429
4.440000 92.356 -87.3357
4.500000 92.458 -88.0214
4.550000 92.541 -88.5934
4.620000 92.652 -89.3903
4.680000 92.745 -90.0652
4.750000 92.849 -90.8370
4.820000 92.949 -91.5888
4.870000 93.018 -92.1163
4.940000 93.111 -92.8438
5.000000 93.188 -93.4594
5.080000 93.286 -94.2723
5.150000 93.368 -94.9794
5.220000 93.447 -95.6827
5.300000 93.533 -96.4789
5.380000 93.614 -97.2640
5.450000 93.682 -97.9392
5.520000 93.747 -98.6019
5.600000 93.817 -99.3477
5.700000 93.900 -100.2608
5.800000 93.977 -101.1473
5.900000 94.050 -102.0024
6.000000 94.117 -102.8311
6.080000 94.167 -103.4728
6.150000 94.209 -104.0162
6.220000 94.250 -104.5406
6.300000 94.295 -105.1187
6.400000 94.347 -105.8118
6.500000 94.397 -106.4648
6.600000 94.449 -107.0696
6.700000 94.500 -107.6220
6.800000 94.551 -108.1277
6.900000 94.605 -108.5938
7.000000 94.666 -109.0246
7.100000 94.730 -109.4078
7.200000 94.800 -109.7581
7.300000 94.878 -110.0964
7.400000 94.967 -110.4251
7.500000 95.063 -110.7282
7.620000 95.190 -111.1040
7.750000 95.342 -111.5778
7.880000 95.512 -112.0917
8.000000 95.677 -112.6393
8.120000 95.846 -113.2979
8.250000 96.040 -114.1175
8.380000 96.232 -115.0565
8.500000 96.402 -116.0456
8.620000 96.569 -117.1525
8.750000 96.737 -118.4488
8.850000 96.852 -119.5021
9.000000 97.006 -121.2030
9.120000 97.108 -122.5982
9.250000 97.195 -124.1062
9.380000 97.258 -125.6371
9.500000 97.295 -126.9886
9.620000 97.309 -128.2509
9.750000 97.299 -129.5449
9.880000 97.272 -130.6819
10.000000 97.227 -131.5615
10.150000 97.151 -132.4603
10.300000 97.079 -133.1071
10.440000 97.010 -133.4507
10.600000 96.952 -133.6558
10.750000 96.938 -133.7101
10.900000 96.955 -133.6541
11.060000 97.011 -133.7000
11.200000 97.097 -133.7974
11.380000 97.225 -134.1426
11.500000 97.320 -134.5532
11.720000 97.491 -135.6101
11.800000 97.543 -136.0992
12.060000 97.676 -137.9945
12.200000 97.707 -139.0895
12.410000 97.704 -140.7773
12.500000 97.684 -141.4179
12.650000 97.621 -142.4209
12.800000 97.539 -143.2456
13.150000 97.301 -144.2291
13.200000 97.272 -144.2744
13.400000 97.163 -144.1693
13.600000 97.101 -143.8525
13.800000 97.099 -143.3758
14.000000 97.146 -143.0193
14.300000 97.292 -142.8417
14.500000 97.404 -143.1053
14.750000 97.525 -143.7526
15.000000 97.609 -144.6788
15.250000 97.647 -145.6442
15.500000 97.655 -146.4984
15.750000 97.644 -147.1744
16.000000 97.639 -147.6513
16.250000 97.654 -148.0582
16.500000 97.691 -148.4709
16.750000 97.745 -149.0028
17.000000 97.798 -149.6712
17.250000 97.842 -150.4412
17.500000 97.868 -151.2536
17.750000 97.880 -152.0079
18.000000 97.887 -152.6864
18.250000 97.897 -153.2722
18.500000 97.919 -153.8306
18.750000 97.951 -154.4119
19.000000 97.990 -155.0615
19.250000 98.022 -155.7926
19.500000 98.040 -156.5481
19.750000 98.040 -157.2809
20.000000 98.025 -157.8922
20.299999 98.004 -158.4276
20.600000 97.997 -158.7642
20.900000 98.017 -158.9917
21.200001 98.067 -159.2542
21.400000 98.109 -159.5109
21.799999 98.190 -160.2240
22.000000 98.220 -160.6535
22.400000 98.249 -161.5325
22.700001 98.250 -162.1080
23.000000 98.245 -162.5690
23.299999 98.246 -162.9512
23.600000 98.254 -163.3066
24.000000 98.275 -163.8104
24.299999 98.292 -164.2336
24.700001 98.311 -164.8473
25.000000 98.321 -165.3344
25.400000 98.330 -166.0257
25.799999 98.329 -166.7761
26.200001 98.311 -167.5497
26.500000 98.285 -168.0904
26.900000 98.244 -168.6969
27.200001 98.219 -169.0654
27.600000 98.203 -169.5127
28.000000 98.206 -170.0373
28.500000 98.205 -170.8940
29.000000 98.168 -171.8161
29.500000 98.099 -172.5303
30.000000 98.035 -172.9341
30.400000 98.009 -173.1330
30.700001 98.006 -173.2814
31.100000 98.015 -173.5331
31.500000 98.034 -173.8616
32.000000 98.064 -174.3913
32.500000 98.092 -175.0885
33.000000 98.097 -175.9359
33.500000 98.064 -176.7807
34.000000 98.008 -177.4145
34.500000 97.963 -177.7963
35.000000 97.954 -178.0993
35.500000 97.967 -178.5332
36.000000 97.973 -179.1221
36.500000 97.958 -179.7285
37.000000 97.931 179.7717
37.500000 97.910 179.3685
38.200001 97.892 178.8146
38.700001 97.876 178.3903
39.500000 97.838 177.7690
40.000000 97.814 177.4374
40.599998 97.791 177.0459
41.200001 97.771 176.6103
41.799999 97.746 176.1262
42.500000 97.709 175.5334
43.099998 97.671 175.0399
43.700001 97.631 174.5921
44.400002 97.591 174.1377
45.000000 97.568 173.7705
45.500000 97.556 173.4358
46.200001 97.541 172.8889
46.799999 97.515 172.3854
47.500000 97.468 171.8882
48.200001 97.421 171.5640
48.700001 97.399 171.3817
49.400002 97.378 171.0528
50.000000 97.350 170.6921
50.799999 97.293 170.2686
51.500000 97.246 169.9740
52.200001 97.203 169.6232
53.000000 97.139 169.2292
53.799999 97.085 169.0096
54.500000 97.070 168.7853
55.200001 97.061 168.3738
56.000000 97.031 167.8443
57.000000 96.987 167.2714
58.000000 96.928 166.6722
59.000000 96.844 166.3282
60.000000 96.796 166.1788
60.799999 96.773 165.9044
61.500000 96.740 165.5984
62.200001 96.703 165.3264
63.000000 96.667 164.9912
64.000000 96.608 164.4742
65.000000 96.532 164.1367
66.000000 96.485 163.9159
67.000000 96.443 163.5650
68.000000 96.383 163.2597
69.000000 96.320 163.0253
70.000000 96.254 162.7994
71.000000 96.187 162.5917
72.000000 96.122 162.3577
73.000000 96.061 162.1215
74.000000 96.012 161.8721
75.000000 95.969 161.5523
76.199997 95.911 161.1928
77.500000 95.854 160.8636
78.800003 95.789 160.5896
80.000000 95.729 160.4726
81.199997 95.686 160.3590
82.500000 95.637 160.1111
83.800003 95.564 159.8425
85.000000 95.489 159.6694
86.199997 95.420 159.4529
87.500000 95.339 159.1229
88.500000 95.265 158.8771
90.000000 95.171 158.7986
91.199997 95.152 158.7552
92.500000 95.135 158.5469
93.800003 95.092 158.3842
95.000000 95.021 158.3782
96.199997 94.948 158.6224
97.500000 94.920 158.7918
98.800003 94.894 158.4630
100.000000 94.834 158.0721
101.500000 94.754 157.7996
103.000000 94.683 157.7484
104.400002 94.620 157.7094
106.000000 94.505 157.6459
107.500000 94.402 157.6255
109.000000 94.311 157.4262
110.599998 94.227 157.3766
112.000000 94.193 157.4560
113.800003 94.158 157.4542
115.000000 94.103 157.4771
117.199997 94.051 157.7308
118.000000 94.055 157.6132
120.599998 93.961 157.2022
122.000000 93.903 157.6548
124.099998 93.902 158.0529
125.000000 93.874 157.8569
126.500000 93.766 157.4985
128.000000 93.661 157.3758
131.500000 93.573 157.4588
132.000000 93.568 157.5033
134.000000 93.529 157.6038
136.000000 93.448 157.5158
138.000000 93.340 157.4133
140.000000 93.257 157.4940
143.000000 93.193 157.6170
145.000000 93.140 157.6842
147.500000 93.099 157.7316
150.000000 93.034 157.8117
152.500000 92.962 158.2227
155.000000 92.915 158.3427
157.500000 92.842 158.3136
160.000000 92.769 158.5001
162.500000 92.689 158.8071
165.000000 92.630 159.0002
167.500000 92.592 159.0137
170.000000 92.542 159.0776
172.500000 92.454 159.2375
175.000000 92.358 159.3958
177.500000 92.311 159.4495
180.000000 92.300 159.5414
182.500000 92.279 159.8685
185.000000 92.235 160.1472
187.500000 92.149 160.1058
190.000000 92.046 160.1205
192.500000 91.982 160.3030
195.000000 91.944 160.5363
197.500000 91.924 160.7702
200.000000 91.894 160.9186
203.000000 91.820 161.0847
206.000000 91.752 161.1971
209.000000 91.718 161.3019
212.000000 91.682 161.5483
214.000000 91.645 161.7896
218.000000 91.573 162.2180
220.000000 91.542 162.3624
224.000000 91.465 162.6389
227.000000 91.407 162.9042
230.000000 91.358 163.1739
233.000000 91.320 163.3662
236.000000 91.280 163.5250
240.000000 91.201 163.8507
243.000000 91.139 164.0750
247.000000 91.077 164.3262
250.000000 91.032 164.6881
254.000000 90.973 165.2160
258.000000 90.935 165.5607
262.000000 90.910 165.8065
265.000000 90.873 165.9979
269.000000 90.820 166.4084
272.000000 90.787 166.7896
276.000000 90.747 167.2929
280.000000 90.709 167.7084
285.000000 90.674 168.0383
