* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -18.1 dBFS, measurement signal peak level -12.6 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Feb 6, 2024 1:36:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1539 ms (-53 mm, -2.08 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: Sonic Memory SM2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 74.927 -85.7102
1.015000 75.213 -85.1635
1.030000 75.490 -84.6395
1.044000 75.738 -84.1726
1.060000 76.009 -83.6675
1.075000 76.248 -83.2235
1.090000 76.472 -82.8103
1.106000 76.694 -82.4064
1.120000 76.880 -82.0891
1.138000 77.109 -81.7281
1.150000 77.256 -81.5145
1.172000 77.515 -81.1737
1.180000 77.606 -81.0646
1.206000 77.889 -80.7576
1.220000 78.034 -80.6186
1.241000 78.242 -80.4379
1.250000 78.328 -80.3691
1.265000 78.468 -80.2635
1.280000 78.603 -80.1667
1.315000 78.900 -79.9589
1.320000 78.941 -79.9297
1.340000 79.099 -79.8099
1.360000 79.251 -79.6798
1.380000 79.397 -79.5328
1.400000 79.539 -79.3618
1.430000 79.742 -79.0452
1.450000 79.873 -78.7841
1.475000 80.032 -78.3917
1.500000 80.174 -77.9417
1.525000 80.299 -77.4461
1.550000 80.410 -76.9131
1.575000 80.507 -76.3507
1.600000 80.594 -75.7670
1.625000 80.673 -75.1703
1.650000 80.744 -74.5687
1.675000 80.812 -73.9701
1.700000 80.877 -73.3829
1.725000 80.942 -72.8150
1.750000 81.008 -72.2747
1.775000 81.079 -71.7700
1.800000 81.156 -71.3091
1.825000 81.240 -70.9001
1.850000 81.332 -70.5427
1.875000 81.423 -70.2193
1.900000 81.514 -69.9266
1.925000 81.604 -69.6618
1.950000 81.695 -69.4224
1.975000 81.786 -69.2057
2.000000 81.878 -69.0089
2.030000 81.990 -68.7954
2.060000 82.104 -68.6022
2.090000 82.220 -68.4248
2.120000 82.340 -68.2585
2.140000 82.421 -68.1516
2.180000 82.590 -67.9409
2.200000 82.677 -67.8346
2.240000 82.858 -67.6321
2.270000 83.001 -67.4943
2.300000 83.147 -67.3690
2.330000 83.297 -67.2569
2.360000 83.449 -67.1583
2.400000 83.654 -67.0489
2.430000 83.809 -66.9840
2.470000 84.015 -66.9212
2.500000 84.167 -66.8925
2.540000 84.368 -66.8799
2.580000 84.563 -66.8977
2.620000 84.756 -66.9468
2.650000 84.901 -67.0034
2.690000 85.093 -67.1040
2.720000 85.237 -67.1973
2.760000 85.427 -67.3445
2.800000 85.616 -67.5162
2.850000 85.850 -67.7627
2.900000 86.081 -68.0418
2.950000 86.308 -68.3529
3.000000 86.534 -68.7137
3.040000 86.713 -69.0357
3.070000 86.846 -69.2932
3.110000 87.022 -69.6539
3.150000 87.196 -70.0297
3.200000 87.410 -70.5128
3.250000 87.620 -71.0016
3.300000 87.825 -71.4860
3.350000 88.027 -71.9698
3.400000 88.224 -72.4617
3.450000 88.418 -72.9637
3.500000 88.609 -73.4779
3.550000 88.795 -74.0061
3.600000 88.977 -74.5505
3.650000 89.155 -75.1130
3.700000 89.329 -75.6988
3.750000 89.499 -76.3125
3.820000 89.729 -77.2051
3.870000 89.889 -77.8563
3.950000 90.137 -78.9009
4.000000 90.288 -79.5438
4.060000 90.464 -80.2959
4.120000 90.634 -81.0389
4.180000 90.799 -81.7771
4.250000 90.985 -82.6349
4.310000 91.139 -83.3697
4.370000 91.289 -84.1063
4.440000 91.457 -84.9724
4.500000 91.596 -85.7232
4.550000 91.708 -86.3507
4.620000 91.860 -87.2252
4.680000 91.986 -87.9645
4.750000 92.128 -88.8067
4.820000 92.266 -89.6244
4.870000 92.361 -90.1983
4.940000 92.489 -90.9881
5.000000 92.595 -91.6527
5.080000 92.733 -92.5222
5.150000 92.850 -93.2678
5.220000 92.962 -93.9997
5.300000 93.086 -94.8184
5.380000 93.205 -95.6171
5.450000 93.307 -96.2987
5.520000 93.406 -96.9630
5.600000 93.517 -97.6998
5.700000 93.650 -98.5908
5.800000 93.780 -99.4539
5.900000 93.907 -100.2936
6.000000 94.031 -101.1036
6.080000 94.127 -101.7339
6.150000 94.211 -102.2766
6.220000 94.293 -102.8143
6.300000 94.386 -103.4218
6.400000 94.499 -104.1666
6.500000 94.611 -104.8993
6.600000 94.720 -105.6242
6.700000 94.827 -106.3399
6.800000 94.932 -107.0459
6.900000 95.033 -107.7464
7.000000 95.132 -108.4452
7.100000 95.229 -109.1420
7.200000 95.322 -109.8342
7.300000 95.412 -110.5194
7.400000 95.499 -111.1972
7.500000 95.582 -111.8696
7.620000 95.677 -112.6641
7.750000 95.775 -113.5041
7.880000 95.867 -114.3264
8.000000 95.948 -115.0638
8.120000 96.025 -115.7739
8.250000 96.104 -116.5155
8.380000 96.181 -117.2272
8.500000 96.250 -117.8555
8.620000 96.317 -118.4557
8.750000 96.389 -119.0812
8.850000 96.445 -119.5471
9.000000 96.529 -120.2158
9.120000 96.597 -120.7375
9.250000 96.675 -121.2966
9.380000 96.755 -121.8443
9.500000 96.828 -122.3555
9.620000 96.900 -122.8793
9.750000 96.978 -123.4549
9.880000 97.049 -124.0490
10.000000 97.107 -124.6192
10.150000 97.171 -125.3556
10.300000 97.225 -126.1107
10.440000 97.265 -126.8347
10.600000 97.302 -127.6758
10.750000 97.332 -128.4721
10.900000 97.355 -129.2755
11.060000 97.374 -130.1271
11.200000 97.386 -130.8721
11.380000 97.394 -131.7999
11.500000 97.393 -132.3953
11.720000 97.387 -133.4323
11.800000 97.383 -133.7867
12.060000 97.368 -134.8621
12.200000 97.360 -135.3936
12.410000 97.348 -136.1286
12.500000 97.344 -136.4212
12.650000 97.336 -136.8777
12.800000 97.329 -137.2995
13.150000 97.319 -138.1573
13.200000 97.319 -138.2666
13.400000 97.321 -138.6704
13.600000 97.330 -139.0269
13.800000 97.346 -139.3358
14.000000 97.372 -139.6164
14.300000 97.427 -140.0007
14.500000 97.477 -140.2568
14.750000 97.553 -140.6181
15.000000 97.644 -141.0487
15.250000 97.744 -141.5924
15.500000 97.844 -142.2498
15.750000 97.939 -143.0149
16.000000 98.020 -143.8642
16.250000 98.083 -144.7552
16.500000 98.130 -145.6572
16.750000 98.159 -146.5271
17.000000 98.178 -147.3308
17.250000 98.188 -148.0578
17.500000 98.194 -148.6985
17.750000 98.201 -149.2642
18.000000 98.211 -149.7695
18.250000 98.225 -150.2307
18.500000 98.245 -150.6726
18.750000 98.270 -151.1098
19.000000 98.301 -151.5558
19.250000 98.334 -152.0259
19.500000 98.368 -152.5243
19.750000 98.402 -153.0541
20.000000 98.431 -153.6147
20.299999 98.458 -154.3188
20.600000 98.475 -155.0417
20.900000 98.479 -155.7603
21.200001 98.471 -156.4452
21.400000 98.460 -156.8654
21.799999 98.429 -157.5950
22.000000 98.413 -157.8985
22.400000 98.389 -158.3940
22.700001 98.386 -158.7094
23.000000 98.397 -159.0370
23.299999 98.419 -159.4321
23.600000 98.444 -159.9187
24.000000 98.468 -160.6928
24.299999 98.472 -161.3017
24.700001 98.461 -162.0405
25.000000 98.451 -162.4929
25.400000 98.453 -162.9885
25.799999 98.482 -163.5011
26.200001 98.525 -164.1708
26.500000 98.550 -164.7788
26.900000 98.559 -165.6239
27.200001 98.552 -166.1782
27.600000 98.542 -166.7366
28.000000 98.557 -167.1735
28.500000 98.612 -167.8635
29.000000 98.648 -168.8903
29.500000 98.611 -169.9347
30.000000 98.526 -170.4607
30.400000 98.486 -170.4485
30.700001 98.498 -170.3495
31.100000 98.562 -170.4101
31.500000 98.639 -170.8703
32.000000 98.681 -171.8773
32.500000 98.633 -172.8443
33.000000 98.549 -173.3586
33.500000 98.495 -173.5138
34.000000 98.492 -173.6868
34.500000 98.506 -174.0934
35.000000 98.504 -174.6553
35.500000 98.484 -175.2084
36.000000 98.462 -175.7122
36.500000 98.445 -176.2252
37.000000 98.424 -176.7765
37.500000 98.395 -177.3196
38.200001 98.348 -177.9656
38.700001 98.321 -178.3522
39.500000 98.296 -178.9568
40.000000 98.284 -179.3544
40.599998 98.269 -179.8398
41.200001 98.250 179.6905
41.799999 98.231 179.2523
42.500000 98.210 178.7644
43.099998 98.193 178.3361
43.700001 98.169 177.9200
44.400002 98.141 177.5014
45.000000 98.127 177.1433
45.500000 98.115 176.7654
46.200001 98.073 176.1796
46.799999 98.016 175.8476
47.500000 97.978 175.7137
48.200001 97.990 175.4554
48.700001 97.998 175.0516
49.400002 97.965 174.4240
50.000000 97.919 174.0998
50.799999 97.895 173.8272
51.500000 97.891 173.3917
52.200001 97.858 172.8592
53.000000 97.801 172.4442
53.799999 97.767 172.0873
54.500000 97.737 171.5943
55.200001 97.673 171.0623
56.000000 97.576 170.7234
57.000000 97.508 170.6294
58.000000 97.503 170.2818
59.000000 97.478 169.6644
60.000000 97.435 169.2444
60.799999 97.424 168.9932
61.500000 97.421 168.6836
62.200001 97.402 168.2995
63.000000 97.351 167.9104
64.000000 97.266 167.6838
65.000000 97.202 167.5927
66.000000 97.144 167.3237
67.000000 97.062 167.0461
68.000000 96.993 166.8771
69.000000 96.948 166.6376
70.000000 96.908 166.3152
71.000000 96.863 165.9680
72.000000 96.812 165.7072
73.000000 96.770 165.4903
74.000000 96.726 165.1792
75.000000 96.661 164.8452
76.199997 96.576 164.5296
77.500000 96.492 164.1845
78.800003 96.417 163.9213
80.000000 96.377 163.7089
81.199997 96.339 163.4005
82.500000 96.273 163.1356
83.800003 96.201 163.0359
85.000000 96.138 162.9517
86.199997 96.076 162.8549
87.500000 96.013 162.6727
88.500000 95.958 162.5301
90.000000 95.892 162.4066
91.199997 95.847 162.2269
92.500000 95.782 162.0453
93.800003 95.714 161.9593
95.000000 95.659 161.9127
96.199997 95.615 161.8306
97.500000 95.569 161.6472
98.800003 95.510 161.4671
100.000000 95.450 161.3804
101.500000 95.367 161.3601
103.000000 95.289 161.4238
104.400002 95.226 161.3972
106.000000 95.165 161.2770
107.500000 95.137 161.0768
109.000000 95.120 160.7085
110.599998 95.066 160.2984
112.000000 94.980 160.1625
113.800003 94.862 160.2822
115.000000 94.799 160.3930
117.199997 94.727 160.4939
118.000000 94.707 160.5359
120.599998 94.635 161.2049
122.000000 94.598 161.8390
124.099998 94.536 162.2594
125.000000 94.477 162.1388
126.500000 94.356 161.8527
128.000000 94.269 161.5530
131.500000 94.195 161.0902
132.000000 94.183 161.1248
134.000000 94.113 161.4930
136.000000 94.032 161.9254
138.000000 93.968 162.0204
140.000000 93.907 161.8785
143.000000 93.831 161.9987
145.000000 93.783 162.0801
147.500000 93.672 162.0608
150.000000 93.550 162.2479
152.500000 93.467 162.5896
155.000000 93.424 163.0462
157.500000 93.378 163.2235
160.000000 93.283 163.3125
162.500000 93.193 163.6223
165.000000 93.155 164.1562
167.500000 93.138 164.5534
170.000000 93.118 164.7192
172.500000 93.108 164.5038
175.000000 93.082 164.2516
177.500000 93.036 164.4006
180.000000 92.981 164.7724
182.500000 92.904 165.0325
185.000000 92.808 165.1965
187.500000 92.733 165.3725
190.000000 92.690 165.5590
192.500000 92.649 165.7836
195.000000 92.586 166.0406
197.500000 92.511 166.2436
200.000000 92.438 166.3674
203.000000 92.367 166.6317
206.000000 92.315 166.9858
209.000000 92.254 167.2443
212.000000 92.191 167.4863
214.000000 92.156 167.6494
218.000000 92.078 168.1006
220.000000 92.038 168.3790
224.000000 91.953 168.8929
227.000000 91.926 169.4349
230.000000 91.922 170.0317
233.000000 91.892 170.5633
236.000000 91.826 170.8625
240.000000 91.729 170.9785
243.000000 91.677 171.0792
247.000000 91.626 171.4142
250.000000 91.576 171.7582
254.000000 91.506 172.2335
258.000000 91.452 172.6713
262.000000 91.397 173.0962
265.000000 91.358 173.4077
269.000000 91.312 173.8399
272.000000 91.284 174.1503
276.000000 91.236 174.5304
