* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.910. Timing signal peak level -12.5 dBFS, measurement signal peak level -10.8 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 16, 2023 1:55:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0663 ms (-23 mm, -0.89 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Stellaris B 4 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 97.812 -175.3781
20.299999 97.793 -175.9296
20.600000 97.767 -176.4693
20.900000 97.737 -176.9745
21.200001 97.704 -177.4257
21.400000 97.684 -177.6958
21.799999 97.653 -178.1897
22.000000 97.644 -178.4339
22.400000 97.636 -178.9666
22.700001 97.634 -179.4296
23.000000 97.629 -179.9470
23.299999 97.618 179.5061
23.600000 97.600 178.9569
24.000000 97.570 178.2540
24.299999 97.544 177.7554
24.700001 97.508 177.1186
25.000000 97.477 176.6608
25.400000 97.430 176.0999
25.799999 97.379 175.6431
26.200001 97.334 175.3100
26.500000 97.312 175.1102
26.900000 97.301 174.8335
27.200001 97.302 174.5637
27.600000 97.304 174.0911
28.000000 97.294 173.5307
28.500000 97.257 172.8348
29.000000 97.206 172.2425
29.500000 97.155 171.7407
30.000000 97.108 171.2819
30.400000 97.074 170.9365
30.700001 97.051 170.6866
31.100000 97.027 170.3387
31.500000 97.009 169.9332
32.000000 96.981 169.3171
32.500000 96.933 168.6526
33.000000 96.866 168.0798
33.500000 96.797 167.6535
34.000000 96.742 167.3085
34.500000 96.699 166.9642
35.000000 96.658 166.6167
35.500000 96.620 166.2922
36.000000 96.588 165.9667
36.500000 96.559 165.5898
37.000000 96.522 165.1653
37.500000 96.474 164.7570
38.200001 96.399 164.2837
38.700001 96.348 163.9789
39.500000 96.264 163.4974
40.000000 96.212 163.2361
40.599998 96.158 162.9462
41.200001 96.111 162.6017
41.799999 96.060 162.2079
42.500000 95.995 161.8000
43.099998 95.948 161.5036
43.700001 95.911 161.1740
44.400002 95.863 160.7461
45.000000 95.818 160.4179
45.500000 95.784 160.1742
46.200001 95.742 159.8069
46.799999 95.700 159.4532
47.500000 95.639 159.0753
48.200001 95.572 158.7863
48.700001 95.525 158.6273
49.400002 95.464 158.4508
50.000000 95.419 158.3206
50.799999 95.367 158.1351
51.500000 95.329 157.9317
52.200001 95.295 157.6465
53.000000 95.241 157.2163
53.799999 95.159 156.8630
54.500000 95.090 156.7345
55.200001 95.044 156.6491
56.000000 95.006 156.4193
57.000000 94.939 156.0154
58.000000 94.852 155.6974
59.000000 94.767 155.4996
60.000000 94.692 155.3335
60.799999 94.636 155.1791
61.500000 94.588 155.0432
62.200001 94.542 154.8982
63.000000 94.490 154.7031
64.000000 94.417 154.4573
65.000000 94.344 154.2562
66.000000 94.275 154.0782
67.000000 94.209 153.8935
68.000000 94.141 153.6984
69.000000 94.070 153.5274
70.000000 94.002 153.3820
71.000000 93.937 153.2362
72.000000 93.870 153.1063
73.000000 93.805 153.0031
74.000000 93.742 152.9145
75.000000 93.682 152.8332
76.199997 93.610 152.7195
77.500000 93.530 152.5812
78.800003 93.450 152.4508
80.000000 93.377 152.3330
81.199997 93.305 152.2265
82.500000 93.231 152.1495
83.800003 93.163 152.0839
85.000000 93.101 152.0020
86.199997 93.037 151.9189
87.500000 92.967 151.8478
88.500000 92.913 151.8060
90.000000 92.835 151.7600
91.199997 92.776 151.7319
92.500000 92.714 151.6979
93.800003 92.650 151.6705
95.000000 92.592 151.6566
96.199997 92.533 151.6425
97.500000 92.468 151.6269
98.800003 92.404 151.6182
100.000000 92.348 151.6191
101.500000 92.280 151.6236
103.000000 92.214 151.6308
104.400002 92.151 151.6449
106.000000 92.080 151.6635
107.500000 92.012 151.6798
109.000000 91.944 151.7045
110.599998 91.874 151.7361
112.000000 91.815 151.7678
113.800003 91.741 151.8228
115.000000 91.691 151.8680
117.199997 91.601 151.9515
118.000000 91.569 151.9751
120.599998 91.465 152.0170
122.000000 91.412 152.0775
124.099998 91.342 152.2102
125.000000 91.314 152.2701
126.500000 91.266 152.3640
128.000000 91.215 152.4473
131.500000 91.095 152.6193
132.000000 91.079 152.6429
134.000000 91.016 152.7434
136.000000 90.957 152.8584
138.000000 90.901 152.9781
140.000000 90.843 153.0995
143.000000 90.759 153.3022
145.000000 90.706 153.4380
147.500000 90.644 153.6165
150.000000 90.583 153.7664
152.500000 90.514 153.9272
155.000000 90.441 154.1495
157.500000 90.394 154.3737
160.000000 90.345 154.5182
162.500000 90.286 154.7356
165.000000 90.222 154.9464
167.500000 90.154 155.1311
170.000000 90.091 155.3124
172.500000 90.033 155.4936
175.000000 89.981 155.6911
177.500000 89.928 155.9204
180.000000 89.867 156.1813
182.500000 89.798 156.3894
185.000000 89.732 156.5116
187.500000 89.683 156.6231
190.000000 89.644 156.8195
192.500000 89.604 157.0768
195.000000 89.556 157.3183
197.500000 89.511 157.5685
200.000000 89.477 157.7921
203.000000 89.424 158.0090
206.000000 89.353 158.2859
209.000000 89.294 158.6934
212.000000 89.260 159.0915
214.000000 89.241 159.2831
218.000000 89.190 159.5432
220.000000 89.158 159.6590
224.000000 89.093 159.9186
227.000000 89.047 160.1293
230.000000 89.002 160.3997
233.000000 88.961 160.7234
236.000000 88.923 161.0328
240.000000 88.879 161.3725
243.000000 88.848 161.6270
247.000000 88.801 161.9799
250.000000 88.766 162.2126
254.000000 88.726 162.5391
258.000000 88.683 162.8827
262.000000 88.647 163.1858
265.000000 88.624 163.4109
269.000000 88.586 163.7337
272.000000 88.558 164.0206
276.000000 88.528 164.3958
280.000000 88.502 164.7235
285.000000 88.468 165.1152
290.000000 88.428 165.4786
295.000000 88.388 165.8224
300.000000 88.362 166.2616
304.000000 88.331 166.4736
307.000000 88.301 166.6650
311.000000 88.271 167.0444
315.000000 88.254 167.4382
320.000000 88.235 167.8216
325.000000 88.208 168.1564
330.000000 88.180 168.5057
335.000000 88.164 168.8469
340.000000 88.147 169.2220
345.000000 88.114 169.6636
350.000000 88.086 170.0120
355.000000 88.075 170.3658
360.000000 88.044 170.7419
365.000000 88.015 171.0604
370.000000 87.991 171.4518
375.000000 87.972 171.8267
382.000000 87.949 172.3229
387.000000 87.931 172.6654
395.000000 87.904 173.2493
400.000000 87.886 173.6117
406.000000 87.864 174.0439
412.000000 87.846 174.4720
418.000000 87.829 174.8849
425.000000 87.810 175.3899
431.000000 87.796 175.8365
437.000000 87.784 176.2553
444.000000 87.765 176.7119
450.000000 87.747 177.1240
455.000000 87.739 177.4893
462.000000 87.738 177.9884
468.000000 87.737 178.3680
475.000000 87.720 178.7884
482.000000 87.703 179.2098
487.000000 87.697 179.5115
494.000000 87.695 179.9551
500.000000 87.693 -179.6566
508.000000 87.688 -179.1496
515.000000 87.685 -178.7150
522.000000 87.682 -178.2729
530.000000 87.681 -177.7641
538.000000 87.684 -177.2684
545.000000 87.688 -176.8419
552.000000 87.693 -176.4184
560.000000 87.699 -175.9270
570.000000 87.706 -175.3015
580.000000 87.714 -174.6941
590.000000 87.725 -174.0762
600.000000 87.737 -173.4755
608.000000 87.747 -173.0145
615.000000 87.756 -172.6064
622.000000 87.766 -172.1935
630.000000 87.780 -171.7181
640.000000 87.797 -171.1475
650.000000 87.814 -170.5854
660.000000 87.827 -169.9786
670.000000 87.840 -169.3582
680.000000 87.859 -168.7660
690.000000 87.884 -168.2378
700.000000 87.916 -167.7859
710.000000 87.960 -167.2671
720.000000 87.984 -166.5507
730.000000 87.998 -165.9569
740.000000 88.033 -165.4426
750.000000 88.072 -164.9401
762.000000 88.118 -164.3053
775.000000 88.162 -163.5809
788.000000 88.208 -162.8782
800.000000 88.259 -162.2595
812.000000 88.316 -161.6659
825.000000 88.380 -161.0278
838.000000 88.441 -160.3836
850.000000 88.497 -159.7992
862.000000 88.556 -159.2308
875.000000 88.627 -158.6463
885.000000 88.687 -158.2246
900.000000 88.779 -157.6118
912.000000 88.851 -157.1249
925.000000 88.931 -156.6174
938.000000 89.014 -156.1517
950.000000 89.093 -155.7541
962.000000 89.172 -155.3744
975.000000 89.256 -154.9818
988.000000 89.343 -154.6148
1000.000000 89.429 -154.3154
1015.000000 89.538 -154.0018
1030.000000 89.644 -153.7061
1044.000000 89.737 -153.4385
1060.000000 89.843 -153.1939
1075.000000 89.943 -153.0163
1090.000000 90.047 -152.8693
1106.000000 90.162 -152.7357
1120.000000 90.263 -152.6382
1138.000000 90.393 -152.5657
1150.000000 90.480 -152.5507
1172.000000 90.637 -152.5583
1180.000000 90.691 -152.5674
1206.000000 90.859 -152.6214
1220.000000 90.949 -152.6787
1241.000000 91.088 -152.8002
1250.000000 91.148 -152.8650
1265.000000 91.249 -152.9921
1280.000000 91.347 -153.1374
1315.000000 91.549 -153.4989
1320.000000 91.575 -153.5536
1340.000000 91.665 -153.7780
1360.000000 91.740 -154.0316
1380.000000 91.817 -154.3324
1400.000000 91.907 -154.6439
1430.000000 92.032 -155.1192
1450.000000 92.107 -155.4504
1475.000000 92.198 -155.8916
1500.000000 92.282 -156.3482
1525.000000 92.353 -156.8036
1550.000000 92.410 -157.2537
1575.000000 92.463 -157.7022
1600.000000 92.518 -158.1852
1625.000000 92.570 -158.7013
1650.000000 92.611 -159.2493
1675.000000 92.635 -159.8030
1700.000000 92.646 -160.3482
1725.000000 92.651 -160.9046
1750.000000 92.655 -161.4568
1775.000000 92.652 -161.9872
1800.000000 92.640 -162.4983
1825.000000 92.616 -162.9880
1850.000000 92.582 -163.4539
1875.000000 92.543 -163.9022
1900.000000 92.497 -164.3163
1925.000000 92.445 -164.6938
1950.000000 92.389 -165.0471
1975.000000 92.331 -165.3648
2000.000000 92.269 -165.6467
2030.000000 92.191 -165.9470
2060.000000 92.106 -166.1875
2090.000000 92.015 -166.3765
2120.000000 91.919 -166.5156
2140.000000 91.852 -166.5745
2180.000000 91.715 -166.6238
2200.000000 91.645 -166.6160
2240.000000 91.511 -166.5384
2270.000000 91.414 -166.4350
2300.000000 91.316 -166.2834
2330.000000 91.211 -166.0813
2360.000000 91.099 -165.8305
2400.000000 90.949 -165.4205
2430.000000 90.841 -165.0738
2470.000000 90.707 -164.5649
2500.000000 90.609 -164.1361
2540.000000 90.480 -163.5027
2580.000000 90.349 -162.8012
2620.000000 90.218 -162.0341
2650.000000 90.122 -161.4205
2690.000000 89.995 -160.5350
2720.000000 89.902 -159.8280
2760.000000 89.785 -158.8294
2800.000000 89.675 -157.7497
2850.000000 89.549 -156.2766
2900.000000 89.443 -154.6369
2950.000000 89.373 -152.8807
3000.000000 89.344 -151.1180
3040.000000 89.346 -149.7801
3070.000000 89.361 -148.8617
3110.000000 89.392 -147.7753
3150.000000 89.427 -146.8367
3200.000000 89.460 -145.7961
3250.000000 89.469 -144.7844
3300.000000 89.451 -143.7103
3350.000000 89.429 -142.5665
3400.000000 89.423 -141.3712
3450.000000 89.435 -140.1320
3500.000000 89.465 -138.8729
3550.000000 89.510 -137.6448
3600.000000 89.551 -136.4097
3650.000000 89.584 -135.1631
3700.000000 89.628 -133.9494
3750.000000 89.685 -132.7504
3820.000000 89.777 -131.0793
3870.000000 89.848 -129.8927
3950.000000 89.949 -127.9696
4000.000000 90.014 -126.7618
4060.000000 90.107 -125.3229
4120.000000 90.209 -123.8347
4180.000000 90.315 -122.2273
4250.000000 90.461 -120.1712
4310.000000 90.620 -118.2663
4370.000000 90.838 -116.3377
4440.000000 91.194 -114.2893
4500.000000 91.581 -112.9288
4550.000000 91.942 -112.2293
4620.000000 92.455 -112.0504
4680.000000 92.862 -112.6520
4750.000000 93.268 -114.1152
4820.000000 93.585 -116.1609
4870.000000 93.753 -117.8340
4940.000000 93.902 -120.2941
5000.000000 93.945 -122.3810
5080.000000 93.892 -124.9956
5150.000000 93.765 -127.0557
5220.000000 93.584 -128.8476
5300.000000 93.329 -130.5269
5380.000000 93.027 -131.7555
