* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.710. Timing signal peak level -16.6 dBFS, measurement signal peak level -12.9 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: May 24, 2024 10:06:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: Fosi DS1; Delay -0.0649 ms (-22 mm, -0.88 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -24.0 ppm
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 71.847, -32.0559
1.015000, 72.143, -32.2950
1.030000, 72.438, -32.5590
1.044000, 72.718, -32.8279
1.060000, 73.043, -33.1617
1.075000, 73.358, -33.4995
1.090000, 73.685, -33.8581
1.106000, 74.041, -34.2459
1.120000, 74.351, -34.5616
1.138000, 74.741, -34.9209
1.150000, 74.995, -35.1339
1.172000, 75.447, -35.4843
1.180000, 75.608, -35.6044
1.206000, 76.114, -35.9615
1.220000, 76.378, -36.1380
1.241000, 76.763, -36.3896
1.250000, 76.923, -36.4942
1.265000, 77.186, -36.6664
1.280000, 77.441, -36.8376
1.315000, 78.013, -37.2441
1.320000, 78.092, -37.3038
1.340000, 78.401, -37.5488
1.360000, 78.699, -37.8043
1.380000, 78.987, -38.1105
1.400000, 79.266, -38.4463
1.430000, 79.666, -38.9809
1.450000, 79.921, -39.3575
1.475000, 80.225, -39.8336
1.500000, 80.504, -40.2722
1.525000, 80.757, -40.6602
1.550000, 80.987, -41.0068
1.575000, 81.196, -41.3395
1.600000, 81.388, -41.6811
1.625000, 81.565, -42.0092
1.650000, 81.730, -42.3307
1.675000, 81.887, -42.6518
1.700000, 82.038, -42.9776
1.725000, 82.186, -43.3123
1.750000, 82.335, -43.6596
1.775000, 82.487, -44.0365
1.800000, 82.644, -44.4583
1.825000, 82.810, -44.8949
1.850000, 82.981, -45.3312
1.875000, 83.152, -45.7460
1.900000, 83.322, -46.1355
1.925000, 83.489, -46.5036
1.950000, 83.655, -46.8546
1.975000, 83.819, -47.2039
2.000000, 83.982, -47.5661
2.030000, 84.174, -47.9936
2.060000, 84.364, -48.4201
2.090000, 84.552, -48.8505
2.120000, 84.738, -49.2893
2.140000, 84.861, -49.5884
2.180000, 85.105, -50.2248
2.200000, 85.225, -50.5679
2.240000, 85.463, -51.2413
2.270000, 85.638, -51.7241
2.300000, 85.811, -52.1889
2.330000, 85.983, -52.6393
2.360000, 86.152, -53.0794
2.400000, 86.374, -53.6936
2.430000, 86.538, -54.1561
2.470000, 86.754, -54.7737
2.500000, 86.915, -55.2413
2.540000, 87.126, -55.8747
2.580000, 87.334, -56.5302
2.620000, 87.538, -57.2050
2.650000, 87.690, -57.6978
2.690000, 87.889, -58.3391
2.720000, 88.036, -58.8102
2.760000, 88.229, -59.4269
2.800000, 88.420, -60.0725
2.850000, 88.653, -60.8809
2.900000, 88.882, -61.6915
2.950000, 89.107, -62.5054
3.000000, 89.326, -63.3371
3.040000, 89.499, -64.0003
3.070000, 89.626, -64.4901
3.110000, 89.793, -65.1340
3.150000, 89.957, -65.7688
3.200000, 90.158, -66.5817
3.250000, 90.355, -67.4014
3.300000, 90.547, -68.2172
3.350000, 90.736, -69.0271
3.400000, 90.920, -69.8526
3.450000, 91.099, -70.6759
3.500000, 91.275, -71.4851
3.550000, 91.447, -72.2794
3.600000, 91.615, -73.0869
3.650000, 91.779, -73.8949
3.700000, 91.940, -74.6959
3.750000, 92.098, -75.4910
3.820000, 92.312, -76.6170
3.870000, 92.460, -77.4126
3.950000, 92.691, -78.6546
4.000000, 92.831, -79.4351
4.060000, 92.995, -80.3693
4.120000, 93.154, -81.2942
4.180000, 93.308, -82.2141
4.250000, 93.482, -83.2944
4.310000, 93.626, -84.1958
4.370000, 93.767, -85.0769
4.440000, 93.926, -86.1108
4.500000, 94.057, -86.9865
4.550000, 94.163, -87.7064
4.620000, 94.308, -88.7173
4.680000, 94.428, -89.5653
4.750000, 94.564, -90.5231
4.820000, 94.696, -91.4767
4.870000, 94.787, -92.1518
4.940000, 94.911, -93.0792
5.000000, 95.014, -93.8683
5.080000, 95.147, -94.8972
5.150000, 95.260, -95.7637
5.220000, 95.369, -96.6271
5.300000, 95.490, -97.5966
5.380000, 95.606, -98.5379
5.450000, 95.705, -99.3521
5.520000, 95.802, -100.1357
5.600000, 95.908, -101.0136
5.700000, 96.036, -102.0908
5.800000, 96.160, -103.1283
5.900000, 96.282, -104.1346
6.000000, 96.401, -105.1050
6.080000, 96.494, -105.8665
6.150000, 96.574, -106.5102
6.220000, 96.653, -107.1519
6.300000, 96.743, -107.8669
6.400000, 96.852, -108.7388
6.500000, 96.960, -109.5974
6.600000, 97.067, -110.4359
6.700000, 97.174, -111.2690
6.800000, 97.279, -112.0852
6.900000, 97.383, -112.8960
7.000000, 97.484, -113.6927
7.100000, 97.582, -114.4864
7.200000, 97.678, -115.2686
7.300000, 97.773, -116.0473
7.400000, 97.866, -116.8152
7.500000, 97.958, -117.5808
7.620000, 98.065, -118.4882
7.750000, 98.177, -119.4574
7.880000, 98.284, -120.4246
8.000000, 98.379, -121.3004
8.120000, 98.470, -122.1664
8.250000, 98.566, -123.0927
8.380000, 98.658, -123.9988
8.500000, 98.739, -124.8206
8.620000, 98.817, -125.6255
8.750000, 98.899, -126.4783
8.850000, 98.960, -127.1219
9.000000, 99.049, -128.0627
9.120000, 99.119, -128.8018
9.250000, 99.193, -129.5883
9.380000, 99.265, -130.3577
9.500000, 99.331, -131.0643
9.620000, 99.395, -131.7590
9.750000, 99.462, -132.5038
9.880000, 99.521, -133.2385
10.000000, 99.564, -133.9018
10.150000, 99.607, -134.7480
10.300000, 99.640, -135.5695
10.440000, 99.664, -136.3148
10.600000, 99.687, -137.1408
10.750000, 99.708, -137.8898
10.900000, 99.728, -138.6151
11.060000, 99.751, -139.3937
11.200000, 99.771, -140.0994
11.380000, 99.796, -140.9782
11.500000, 99.811, -141.5469
11.720000, 99.837, -142.5573
11.800000, 99.846, -142.9150
12.060000, 99.882, -144.0668
12.200000, 99.904, -144.7059
12.410000, 99.938, -145.6429
12.500000, 99.951, -146.0368
12.650000, 99.972, -146.6837
12.800000, 99.992, -147.3177
13.150000, 100.032, -148.7945
13.200000, 100.038, -149.0085
13.400000, 100.060, -149.8477
13.600000, 100.082, -150.6591
13.800000, 100.102, -151.4418
14.000000, 100.121, -152.2007
14.300000, 100.148, -153.3586
14.500000, 100.165, -154.1030
14.750000, 100.185, -155.0034
15.000000, 100.205, -155.8767
15.250000, 100.229, -156.7751
15.500000, 100.253, -157.6504
15.750000, 100.274, -158.4997
16.000000, 100.293, -159.3231
16.250000, 100.310, -160.1643
16.500000, 100.325, -160.9786
16.750000, 100.339, -161.7659
17.000000, 100.354, -162.5328
17.250000, 100.370, -163.3128
17.500000, 100.384, -164.0775
17.750000, 100.396, -164.8234
18.000000, 100.406, -165.5526
18.250000, 100.414, -166.2908
18.500000, 100.421, -167.0070
18.750000, 100.426, -167.6965
19.000000, 100.432, -168.3613
19.250000, 100.439, -169.0348
19.500000, 100.448, -169.6940
19.750000, 100.456, -170.3438
20.000000, 100.464, -170.9884
20.299999, 100.471, -171.7882
20.600000, 100.474, -172.5738
20.900000, 100.473, -173.3347
21.200001, 100.469, -174.0815
21.400000, 100.465, -174.5656
21.799999, 100.457, -175.4910
22.000000, 100.454, -175.9404
22.400000, 100.451, -176.8575
22.700001, 100.448, -177.5452
23.000000, 100.443, -178.2331
23.299999, 100.434, -178.9265
23.600000, 100.422, -179.6003
24.000000, 100.404, 179.5467
24.299999, 100.392, 178.9237
24.700001, 100.379, 178.1239
25.000000, 100.371, 177.5351
25.400000, 100.361, 176.7314
25.799999, 100.349, 175.9281
26.200001, 100.333, 175.1227
26.500000, 100.318, 174.5250
26.900000, 100.296, 173.7592
27.200001, 100.279, 173.2014
27.600000, 100.256, 172.4791
28.000000, 100.233, 171.7792
28.500000, 100.204, 170.9013
29.000000, 100.174, 170.0475
29.500000, 100.140, 169.2187
30.000000, 100.103, 168.4180
30.400000, 100.073, 167.7769
30.700001, 100.050, 167.3047
31.100000, 100.020, 166.6818
31.500000, 99.989, 166.0583
32.000000, 99.948, 165.2900
32.500000, 99.906, 164.5298
33.000000, 99.862, 163.7893
33.500000, 99.817, 163.0444
34.000000, 99.772, 162.3192
34.500000, 99.727, 161.6254
35.000000, 99.682, 160.9672
35.500000, 99.640, 160.3266
36.000000, 99.601, 159.6974
36.500000, 99.563, 159.0625
37.000000, 99.524, 158.4304
37.500000, 99.482, 157.7989
38.200001, 99.420, 156.9375
38.700001, 99.375, 156.3306
39.500000, 99.296, 155.3981
40.000000, 99.246, 154.8560
40.599998, 99.190, 154.2030
41.200001, 99.134, 153.5381
41.799999, 99.073, 152.8713
42.500000, 98.996, 152.1580
43.099998, 98.938, 151.6126
43.700001, 98.892, 151.0731
44.400002, 98.842, 150.3588
45.000000, 98.792, 149.7017
45.500000, 98.743, 149.1756
46.200001, 98.669, 148.4831
46.799999, 98.604, 147.9286
47.500000, 98.533, 147.3483
48.200001, 98.470, 146.7792
48.700001, 98.427, 146.3441
49.400002, 98.362, 145.7104
50.000000, 98.301, 145.1967
50.799999, 98.224, 144.5629
51.500000, 98.164, 143.9789
52.200001, 98.100, 143.3707
53.000000, 98.020, 142.7363
53.799999, 97.941, 142.1447
54.500000, 97.874, 141.6739
55.200001, 97.811, 141.2262
56.000000, 97.742, 140.7018
57.000000, 97.651, 140.0482
58.000000, 97.551, 139.4155
59.000000, 97.457, 138.8463
60.000000, 97.370, 138.2381
60.799999, 97.295, 137.6662
61.500000, 97.226, 137.1967
62.200001, 97.155, 136.7596
63.000000, 97.076, 136.2784
64.000000, 96.982, 135.7599
65.000000, 96.890, 135.2068
66.000000, 96.805, 134.6768
67.000000, 96.722, 134.1795
68.000000, 96.636, 133.6413
69.000000, 96.550, 133.1245
70.000000, 96.464, 132.6341
71.000000, 96.379, 132.1243
72.000000, 96.292, 131.6525
73.000000, 96.208, 131.2139
74.000000, 96.119, 130.7703
75.000000, 96.031, 130.3741
76.199997, 95.921, 129.8680
77.500000, 95.797, 129.4995
78.800003, 95.708, 129.1134
80.000000, 95.621, 128.5571
81.199997, 95.521, 128.0493
82.500000, 95.416, 127.5757
83.800003, 95.314, 127.1388
85.000000, 95.222, 126.7872
86.199997, 95.139, 126.3593
87.500000, 95.032, 125.9254
88.500000, 94.959, 125.6714
90.000000, 94.858, 125.1621
91.199997, 94.779, 124.7371
92.500000, 94.681, 124.2655
93.800003, 94.576, 124.0026
95.000000, 94.500, 123.6747
96.199997, 94.407, 123.3113
97.500000, 94.303, 123.0847
98.800003, 94.217, 122.8522
100.000000, 94.141, 122.5187
101.500000, 94.035, 122.0736
103.000000, 93.930, 121.6287
104.400002, 93.831, 121.2814
106.000000, 93.736, 120.9154
107.500000, 93.641, 120.5573
109.000000, 93.529, 120.4301
110.599998, 93.443, 120.5635
112.000000, 93.424, 120.3629
113.800003, 93.329, 119.2233
115.000000, 93.173, 118.7321
117.199997, 93.005, 118.9940
118.000000, 92.978, 118.9409
120.599998, 92.846, 118.5355
122.000000, 92.757, 118.5294
124.099998, 92.661, 118.2038
125.000000, 92.602, 118.0173
126.500000, 92.510, 117.9493
128.000000, 92.429, 117.7836
131.500000, 92.152, 117.1974
132.000000, 92.118, 117.1877
134.000000, 92.040, 117.0195
136.000000, 92.020, 116.7758
138.000000, 92.002, 116.2566
140.000000, 91.908, 115.7857
143.000000, 91.785, 115.4346
145.000000, 91.738, 115.3087
147.500000, 91.672, 115.2256
150.000000, 91.514, 114.8075
152.500000, 91.339, 114.6832
155.000000, 91.287, 114.9289
157.500000, 91.254, 115.0035
160.000000, 91.091, 115.0871
162.500000, 90.942, 114.8448
165.000000, 90.799, 114.4645
167.500000, 90.854, 115.5208
170.000000, 91.327, 116.7681
172.500000, 91.574, 113.5793
175.000000, 91.016, 111.1945
177.500000, 90.496, 113.6150
180.000000, 90.615, 115.2324
182.500000, 90.724, 113.6348
185.000000, 90.636, 112.4961
187.500000, 90.575, 112.4474
190.000000, 90.522, 112.9295
192.500000, 90.408, 113.6096
195.000000, 90.248, 113.9616
197.500000, 90.062, 113.7024
200.000000, 89.898, 113.7967
203.000000, 89.855, 113.5370
206.000000, 89.832, 112.1907
209.000000, 89.840, 111.5408
212.000000, 89.874, 111.6411
214.000000, 89.846, 111.9890
218.000000, 89.697, 112.4781
220.000000, 89.640, 112.2815
224.000000, 89.629, 111.7756
227.000000, 89.659, 111.8397
230.000000, 89.653, 111.8570
233.000000, 89.596, 111.5046
236.000000, 89.515, 111.0576
240.000000, 89.402, 110.7065
243.000000, 89.326, 110.7761
247.000000, 89.275, 110.9906
250.000000, 89.253, 110.9836
254.000000, 89.234, 110.7065
258.000000, 89.221, 110.3499
262.000000, 89.140, 110.0687
265.000000, 89.086, 110.2640
