* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -24.5 dBFS, measurement signal peak level -14.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 27, 2024 2:47:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0657 ms (-23 mm, -0.89 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: Symphonium Titan R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 77.952, -30.2382
1.015000, 78.255, -31.3785
1.030000, 78.556, -32.5168
1.044000, 78.835, -33.5794
1.060000, 79.151, -34.7959
1.075000, 79.444, -35.9395
1.090000, 79.733, -37.0843
1.106000, 80.041, -38.2895
1.120000, 80.313, -39.3002
1.138000, 80.670, -40.5209
1.150000, 80.912, -41.2864
1.172000, 81.362, -42.6045
1.180000, 81.527, -43.0634
1.206000, 82.069, -44.4658
1.220000, 82.361, -45.1710
1.241000, 82.800, -46.1731
1.250000, 82.988, -46.5845
1.265000, 83.298, -47.2490
1.280000, 83.607, -47.8904
1.315000, 84.310, -49.3147
1.320000, 84.408, -49.5116
1.340000, 84.795, -50.2863
1.360000, 85.168, -51.0437
1.380000, 85.526, -51.8279
1.400000, 85.868, -52.6198
1.430000, 86.344, -53.8026
1.450000, 86.635, -54.5905
1.475000, 86.965, -55.5598
1.500000, 87.258, -56.4672
1.525000, 87.519, -57.2974
1.550000, 87.751, -58.0589
1.575000, 87.958, -58.7844
1.600000, 88.143, -59.5015
1.625000, 88.310, -60.1809
1.650000, 88.462, -60.8313
1.675000, 88.604, -61.4608
1.700000, 88.740, -62.0765
1.725000, 88.872, -62.6847
1.750000, 89.005, -63.2908
1.775000, 89.143, -63.9168
1.800000, 89.288, -64.5828
1.825000, 89.444, -65.2547
1.850000, 89.607, -65.9196
1.875000, 89.771, -66.5575
1.900000, 89.933, -67.1636
1.925000, 90.094, -67.7403
1.950000, 90.253, -68.2912
1.975000, 90.410, -68.8370
2.000000, 90.566, -69.3976
2.030000, 90.750, -70.0508
2.060000, 90.931, -70.6904
2.090000, 91.109, -71.3224
2.120000, 91.285, -71.9525
2.140000, 91.401, -72.3739
2.180000, 91.630, -73.2460
2.200000, 91.742, -73.7048
2.240000, 91.963, -74.6097
2.270000, 92.125, -75.2667
2.300000, 92.285, -75.9039
2.330000, 92.442, -76.5230
2.360000, 92.596, -77.1264
2.400000, 92.798, -77.9586
2.430000, 92.947, -78.5777
2.470000, 93.141, -79.3926
2.500000, 93.284, -79.9999
2.540000, 93.472, -80.8092
2.580000, 93.656, -81.6383
2.620000, 93.836, -82.4977
2.650000, 93.969, -83.1321
2.690000, 94.141, -83.9627
2.720000, 94.268, -84.5738
2.760000, 94.434, -85.3716
2.800000, 94.596, -86.1929
2.850000, 94.792, -87.2065
2.900000, 94.984, -88.2045
2.950000, 95.169, -89.1943
3.000000, 95.348, -90.2109
3.040000, 95.486, -91.0282
3.070000, 95.588, -91.6340
3.110000, 95.720, -92.4301
3.150000, 95.848, -93.2113
3.200000, 96.004, -94.1966
3.250000, 96.156, -95.1727
3.300000, 96.303, -96.1296
3.350000, 96.445, -97.0769
3.400000, 96.583, -98.0522
3.450000, 96.715, -99.0296
3.500000, 96.843, -99.9884
3.550000, 96.966, -100.9230
3.600000, 97.085, -101.8572
3.650000, 97.201, -102.7767
3.700000, 97.312, -103.6792
3.750000, 97.419, -104.5747
3.820000, 97.561, -105.8481
3.870000, 97.659, -106.7462
3.950000, 97.807, -108.1354
4.000000, 97.897, -108.9914
4.060000, 98.001, -110.0010
4.120000, 98.101, -110.9939
4.180000, 98.197, -111.9790
4.250000, 98.303, -113.1344
4.310000, 98.391, -114.0926
4.370000, 98.476, -115.0218
4.440000, 98.571, -116.1043
4.500000, 98.649, -117.0144
4.550000, 98.712, -117.7600
4.620000, 98.796, -118.8084
4.680000, 98.866, -119.6882
4.750000, 98.946, -120.6813
4.820000, 99.024, -121.6677
4.870000, 99.078, -122.3638
4.940000, 99.151, -123.3199
5.000000, 99.213, -124.1366
5.080000, 99.292, -125.2103
5.150000, 99.359, -126.1238
5.220000, 99.424, -127.0411
5.300000, 99.497, -128.0784
5.380000, 99.566, -129.0965
5.450000, 99.625, -129.9876
5.520000, 99.682, -130.8603
5.600000, 99.746, -131.8538
5.700000, 99.822, -133.0927
5.800000, 99.894, -134.3098
5.900000, 99.962, -135.5174
6.000000, 100.025, -136.7148
6.080000, 100.072, -137.6739
6.150000, 100.111, -138.4937
6.220000, 100.148, -139.3107
6.300000, 100.187, -140.2305
6.400000, 100.232, -141.3685
6.500000, 100.272, -142.4919
6.600000, 100.308, -143.5784
6.700000, 100.340, -144.6439
6.800000, 100.367, -145.6832
6.900000, 100.392, -146.6960
7.000000, 100.414, -147.6660
7.100000, 100.434, -148.6071
7.200000, 100.453, -149.5158
7.300000, 100.471, -150.3976
7.400000, 100.490, -151.2439
7.500000, 100.508, -152.0679
7.620000, 100.530, -153.0232
7.750000, 100.557, -154.0244
7.880000, 100.587, -154.9995
8.000000, 100.616, -155.8800
8.120000, 100.648, -156.7599
8.250000, 100.684, -157.7109
8.380000, 100.720, -158.6628
8.500000, 100.753, -159.5563
8.620000, 100.785, -160.4587
8.750000, 100.816, -161.4415
8.850000, 100.836, -162.2020
9.000000, 100.861, -163.3449
9.120000, 100.876, -164.2517
9.250000, 100.884, -165.2191
9.380000, 100.886, -166.1656
9.500000, 100.882, -167.0098
9.620000, 100.874, -167.8099
9.750000, 100.860, -168.6317
9.880000, 100.836, -169.4026
10.000000, 100.805, -170.0541
10.150000, 100.757, -170.8339
10.300000, 100.706, -171.5365
10.440000, 100.660, -172.1257
10.600000, 100.615, -172.7485
10.750000, 100.584, -173.3037
10.900000, 100.565, -173.8468
11.060000, 100.556, -174.4735
11.200000, 100.556, -175.0865
11.380000, 100.560, -175.9260
11.500000, 100.562, -176.5244
11.720000, 100.562, -177.6875
11.800000, 100.560, -178.1291
12.060000, 100.541, -179.6281
12.200000, 100.523, 179.5217
12.410000, 100.485, 178.2740
12.500000, 100.463, 177.7620
12.650000, 100.421, 176.9439
12.800000, 100.374, 176.1782
13.150000, 100.258, 174.5678
13.200000, 100.242, 174.3520
13.400000, 100.185, 173.5430
13.600000, 100.137, 172.7978
13.800000, 100.098, 172.0928
14.000000, 100.068, 171.3954
14.300000, 100.036, 170.2559
14.500000, 100.016, 169.4709
14.750000, 99.990, 168.4687
15.000000, 99.961, 167.4530
15.250000, 99.931, 166.3913
15.500000, 99.896, 165.3580
15.750000, 99.855, 164.3716
16.000000, 99.809, 163.4417
16.250000, 99.763, 162.5289
