* Measurement data measured by REW V5.20.13
* Source: Microphone (High Definition Audio Device), MICROPHONE (Master Volume), L, volume: 0.950. Timing signal peak level -9.1 dBFS, measurement signal peak level -9.3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 13, 2022 2:23:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.1370 ms (-47 mm, -1.85 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 1.1 ppm
* Measurement: JBL T110BT Gray L Dec 13
* Smoothing: 1/24 octave
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
0.366211, 69.377, -33.7973
0.732422, 68.436, -61.0933
1.098633, 66.381, -97.7225
1.464844, 63.929, -127.4094
1.831055, 59.592, -142.5516
2.197266, 57.210, -114.1111
2.563477, 63.894, -94.2811
2.929688, 69.215, -105.1654
3.295898, 72.791, -121.1507
3.662109, 75.274, -135.5286
4.028320, 77.070, -147.7898
4.394531, 78.474, -157.1810
4.760742, 79.731, -164.3462
5.126953, 80.985, -170.1724
5.493164, 82.248, -175.7378
5.859375, 83.449, 178.4414
6.225586, 84.519, 172.3917
6.591797, 85.429, 166.4489
6.958008, 86.198, 160.9498
7.324219, 86.866, 156.0839
7.690430, 87.479, 151.8501
8.056641, 88.067, 148.1138
8.422852, 88.642, 144.6989
8.789062, 89.199, 141.4643
9.155273, 89.730, 138.3361
9.521484, 90.229, 135.2983
9.887695, 90.667, 132.3745
10.253906, 91.012, 129.6054
10.620117, 91.290, 127.0271
10.986328, 91.547, 124.6470
11.352539, 91.795, 122.4324
11.718750, 92.036, 120.3201
12.084961, 92.278, 118.2487
12.451172, 92.514, 116.1910
12.817383, 92.731, 114.1641
13.183594, 92.929, 112.2083
13.549805, 93.120, 110.3522
13.916016, 93.310, 108.5877
14.282227, 93.502, 106.8737
14.648438, 93.694, 105.1645
15.014648, 93.883, 103.4395
15.380859, 94.068, 101.7138
15.747070, 94.243, 100.0239
16.113281, 94.408, 98.4018
16.479492, 94.567, 96.8583
16.845703, 94.724, 95.3850
17.211914, 94.881, 93.9681
17.578125, 95.036, 92.6017
17.944336, 95.187, 91.2876
18.310547, 95.335, 90.0254
18.676758, 95.480, 88.8047
19.042969, 95.625, 87.6080
19.409180, 95.766, 86.4227
19.775391, 95.899, 85.2521
20.141602, 96.022, 84.1129
20.507812, 96.138, 83.0216
20.874023, 96.250, 81.9796
21.240234, 96.359, 80.9703
21.606445, 96.467, 79.9700
21.972656, 96.571, 78.9645
22.338867, 96.669, 77.9564
22.705078, 96.762, 76.9598
23.071289, 96.850, 75.9866
23.437500, 96.937, 75.0367
23.803711, 97.023, 74.1017
24.169922, 97.109, 73.1743
24.536133, 97.193, 72.2564
24.902344, 97.275, 71.3575
25.268555, 97.355, 70.4848
25.634766, 97.436, 69.6357
26.000977, 97.517, 68.7987
26.367188, 97.599, 67.9628
26.733398, 97.679, 67.1255
27.099609, 97.755, 66.2943
27.465820, 97.827, 65.4796
27.832031, 97.896, 64.6877
28.198242, 97.963, 63.9188
28.564453, 98.027, 63.1707
28.930664, 98.089, 62.4429
29.296875, 98.149, 61.7354
29.663086, 98.209, 61.0446
30.029297, 98.268, 60.3611
30.395508, 98.326, 59.6736
30.761719, 98.381, 58.9772
31.127930, 98.432, 58.2784
31.494141, 98.478, 57.5922
31.860352, 98.521, 56.9308
32.226562, 98.564, 56.2951
32.592773, 98.609, 55.6743
32.958984, 98.654, 55.0540
33.325195, 98.699, 54.4275
33.691406, 98.742, 53.7997
34.057617, 98.784, 53.1817
34.423828, 98.825, 52.5820
34.790039, 98.866, 52.0004
35.156250, 98.908, 51.4296
35.522461, 98.951, 50.8621
35.888672, 98.992, 50.2955
36.254883, 99.033, 49.7319
36.621094, 99.072, 49.1752
36.987305, 99.109, 48.6265
37.353516, 99.145, 48.0849
37.719727, 99.180, 47.5504
38.085938, 99.213, 47.0251
38.452148, 99.244, 46.5120
38.818359, 99.275, 46.0114
39.184570, 99.306, 45.5186
39.550781, 99.338, 45.0259
39.916992, 99.369, 44.5266
40.283203, 99.399, 44.0190
40.649414, 99.426, 43.5074
41.015625, 99.451, 42.9993
41.381836, 99.473, 42.5010
41.748047, 99.495, 42.0150
42.114258, 99.516, 41.5393
42.480469, 99.538, 41.0706
42.846680, 99.560, 40.6063
43.212891, 99.582, 40.1458
43.579102, 99.604, 39.6899
43.945312, 99.626, 39.2391
44.311523, 99.649, 38.7920
44.677734, 99.672, 38.3458
45.043945, 99.695, 37.8987
45.410156, 99.717, 37.4514
45.776367, 99.738, 37.0079
46.142578, 99.759, 36.5729
46.508789, 99.778, 36.1492
46.875000, 99.798, 35.7368
47.241211, 99.818, 35.3334
47.607422, 99.837, 34.9379
47.973633, 99.856, 34.5508
48.339844, 99.875, 34.1732
48.706055, 99.892, 33.8043
49.072266, 99.909, 33.4416
49.438477, 99.924, 33.0847
49.804688, 99.936, 32.7403
50.170898, 99.946, 32.4210
50.537109, 99.956, 32.1380
50.903320, 99.969, 31.8881
51.269531, 99.990, 31.6472
51.635742, 100.018, 31.3760
52.001953, 100.049, 31.0390
52.368164, 100.077, 30.6243
52.734375, 100.096, 30.1521
53.100586, 100.102, 29.6657
53.466797, 100.098, 29.2095
53.833008, 100.089, 28.8081
54.199219, 100.081, 28.4579
54.565430, 100.078, 28.1353
54.931641, 100.081, 27.8120
55.297852, 100.087, 27.4702
55.664062, 100.094, 27.1071
56.030273, 100.101, 26.7318
56.396484, 100.106, 26.3582
56.762695, 100.110, 25.9976
57.128906, 100.116, 25.6553
57.495117, 100.125, 25.3271
57.861328, 100.138, 25.0007
58.227539, 100.154, 24.6591
58.593750, 100.171, 24.2897
58.959961, 100.185, 23.8934
59.326172, 100.192, 23.4886
59.692383, 100.191, 23.1053
60.058594, 100.185, 22.7714
60.424805, 100.178, 22.4990
60.791016, 100.175, 22.2784
61.157227, 100.177, 22.0838
61.523438, 100.185, 21.8870
61.889648, 100.195, 21.6702
62.255859, 100.206, 21.4311
62.622070, 100.214, 21.1779
62.988281, 100.220, 20.9210
63.354492, 100.224, 20.6660
63.720703, 100.228, 20.4124
64.086914, 100.231, 20.1567
64.453125, 100.233, 19.8971
64.819336, 100.234, 19.6343
65.185547, 100.235, 19.3712
65.551758, 100.235, 19.1105
65.917969, 100.235, 18.8527
66.284180, 100.235, 18.5972
66.650391, 100.235, 18.3423
67.016602, 100.236, 18.0876
67.382812, 100.237, 17.8329
67.749023, 100.238, 17.5787
68.115234, 100.239, 17.3254
68.481445, 100.241, 17.0731
68.847656, 100.242, 16.8217
69.213867, 100.244, 16.5712
69.580078, 100.245, 16.3217
69.946289, 100.246, 16.0734
70.312500, 100.247, 15.8268
70.678711, 100.247, 15.5823
71.044922, 100.247, 15.3404
71.411133, 100.246, 15.1014
71.777344, 100.245, 14.8656
72.143555, 100.243, 14.6329
72.509766, 100.241, 14.4033
72.875977, 100.239, 14.1768
73.242188, 100.236, 13.9534
73.608398, 100.233, 13.7328
73.974609, 100.231, 13.5149
74.340820, 100.228, 13.2988
74.707031, 100.226, 13.0837
75.073242, 100.223, 12.8688
75.439453, 100.221, 12.6538
75.805664, 100.218, 12.4395
76.171875, 100.215, 12.2267
76.538086, 100.212, 12.0167
76.904297, 100.209, 11.8103
77.270508, 100.207, 11.6069
77.636719, 100.204, 11.4056
78.002930, 100.202, 11.2045
78.369141, 100.200, 11.0025
78.735352, 100.198, 10.7993
79.101562, 100.196, 10.5955
79.467773, 100.193, 10.3921
79.833984, 100.190, 10.1903
80.200195, 100.186, 9.9906
80.566406, 100.182, 9.7927
80.932617, 100.177, 9.5964
81.298828, 100.172, 9.4014
81.665039, 100.167, 9.2081
82.031250, 100.162, 9.0171
82.397461, 100.156, 8.8291
82.763672, 100.150, 8.6442
83.129883, 100.145, 8.4616
83.496094, 100.140, 8.2802
83.862305, 100.135, 8.0986
84.228516, 100.130, 7.9158
84.594727, 100.125, 7.7316
84.960938, 100.120, 7.5466
85.327148, 100.115, 7.3621
85.693359, 100.110, 7.1794
86.059570, 100.104, 6.9999
86.425781, 100.099, 6.8241
86.791992, 100.093, 6.6522
87.158203, 100.088, 6.4837
87.524414, 100.083, 6.3179
87.890625, 100.078, 6.1537
88.256836, 100.074, 5.9902
88.623047, 100.070, 5.8269
88.989258, 100.066, 5.6635
89.355469, 100.062, 5.4998
89.721680, 100.057, 5.3360
90.087891, 100.053, 5.1726
90.454102, 100.048, 5.0100
90.820312, 100.043, 4.8486
91.186523, 100.038, 4.6890
91.552734, 100.033, 4.5310
91.918945, 100.028, 4.3746
92.285156, 100.023, 4.2192
92.651367, 100.018, 4.0642
93.017578, 100.013, 3.9088
93.383789, 100.008, 3.7521
93.750000, 100.003, 3.5942
94.116211, 99.998, 3.4352
94.482422, 99.992, 3.2759
94.848633, 99.986, 3.1175
95.214844, 99.979, 2.9614
95.581055, 99.972, 2.8088
95.947266, 99.964, 2.6602
96.313477, 99.957, 2.5156
96.679688, 99.950, 2.3744
97.045898, 99.943, 2.2355
97.412109, 99.936, 2.0979
97.778320, 99.930, 1.9607
98.144531, 99.924, 1.8229
98.510742, 99.918, 1.6842
98.876953, 99.912, 1.5444
99.243164, 99.905, 1.4034
99.609375, 99.899, 1.2618
99.975586, 99.892, 1.1201
100.341797, 99.885, 0.9789
100.708008, 99.878, 0.8389
101.074219, 99.870, 0.7001
101.440430, 99.863, 0.5627
101.806641, 99.855, 0.4261
102.172852, 99.847, 0.2900
102.539062, 99.839, 0.1543
102.905273, 99.831, 0.0190
103.271484, 99.823, -0.1154
103.637695, 99.814, -0.2488
104.003906, 99.806, -0.3808
104.370117, 99.797, -0.5116
104.736328, 99.789, -0.6416
105.102539, 99.780, -0.7713
105.468750, 99.772, -0.9011
105.834961, 99.763, -1.0316
106.201172, 99.755, -1.1624
106.567383, 99.746, -1.2933
106.933594, 99.736, -1.4235
107.299805, 99.727, -1.5521
107.666016, 99.717, -1.6785
108.032227, 99.707, -1.8025
108.398438, 99.698, -1.9244
108.764648, 99.688, -2.0449
109.130859, 99.680, -2.1650
109.497070, 99.671, -2.2854
109.863281, 99.662, -2.4062
110.229492, 99.654, -2.5273
110.595703, 99.645, -2.6478
110.961914, 99.636, -2.7671
111.328125, 99.627, -2.8845
111.694336, 99.619, -2.9996
112.060547, 99.610, -3.1124
112.426758, 99.601, -3.2235
112.792969, 99.593, -3.3332
113.159180, 99.585, -3.4421
113.525391, 99.576, -3.5505
113.891602, 99.568, -3.6586
114.257812, 99.559, -3.7661
114.624023, 99.550, -3.8729
114.990234, 99.541, -3.9788
115.356445, 99.531, -4.0840
115.722656, 99.521, -4.1886
116.088867, 99.511, -4.2930
116.455078, 99.501, -4.3973
116.821289, 99.491, -4.5017
117.187500, 99.480, -4.6059
117.553711, 99.469, -4.7095
117.919922, 99.457, -4.8123
118.286133, 99.446, -4.9136
118.652344, 99.435, -5.0135
119.018555, 99.424, -5.1121
119.384766, 99.414, -5.2099
119.750977, 99.404, -5.3077
120.117188, 99.395, -5.4067
120.483398, 99.387, -5.5076
120.849609, 99.379, -5.6108
121.215820, 99.371, -5.7163
121.582031, 99.364, -5.8236
121.948242, 99.356, -5.9315
122.314453, 99.348, -6.0392
122.680664, 99.341, -6.1456
123.046875, 99.333, -6.2501
123.413086, 99.325, -6.3524
123.779297, 99.318, -6.4527
124.145508, 99.310, -6.5512
124.511719, 99.302, -6.6483
124.877930, 99.295, -6.7443
125.244141, 99.287, -6.8394
125.610352, 99.279, -6.9336
125.976562, 99.271, -7.0271
126.342773, 99.263, -7.1199
126.708984, 99.254, -7.2118
127.075195, 99.245, -7.3027
127.441406, 99.236, -7.3927
127.807617, 99.227, -7.4816
128.173828, 99.218, -7.5692
128.540039, 99.208, -7.6555
128.906250, 99.199, -7.7404
129.272461, 99.189, -7.8241
129.638672, 99.180, -7.9066
130.004883, 99.170, -7.9882
130.371094, 99.161, -8.0689
130.737305, 99.151, -8.1489
