* Measurement data measured by REW V5.31.1
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -14.7 dBFS, measurement signal peak level -14.6 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jul 16, 2024 9:31:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0690 ms (-24 mm, -0.93 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: Monitoring R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 55.628, 0.1898
1.015000, 55.633, -0.2315
1.030000, 55.636, -0.6477
1.044000, 55.638, -1.0307
1.060000, 55.637, -1.4611
1.075000, 55.633, -1.8572
1.090000, 55.628, -2.2469
1.106000, 55.621, -2.6648
1.120000, 55.616, -3.0483
1.138000, 55.612, -3.5760
1.150000, 55.611, -3.9492
1.172000, 55.610, -4.6805
1.180000, 55.610, -4.9650
1.206000, 55.609, -5.9273
1.220000, 55.608, -6.4665
1.241000, 55.602, -7.2971
1.250000, 55.599, -7.6596
1.265000, 55.590, -8.2702
1.280000, 55.577, -8.8864
1.315000, 55.530, -10.3299
1.320000, 55.521, -10.5351
1.340000, 55.478, -11.3491
1.360000, 55.423, -12.1451
1.380000, 55.355, -12.9549
1.400000, 55.271, -13.7477
1.430000, 55.115, -14.8613
1.450000, 54.988, -15.5451
1.475000, 54.801, -16.3489
1.500000, 54.581, -17.1602
1.525000, 54.330, -18.0098
1.550000, 54.052, -18.8957
1.575000, 53.749, -19.8311
1.600000, 53.426, -20.8232
1.625000, 53.086, -21.8203
1.650000, 52.732, -22.8081
1.675000, 52.367, -23.7696
1.700000, 51.996, -24.6856
1.725000, 51.621, -25.5347
1.750000, 51.247, -26.2933
1.775000, 50.875, -26.9526
1.800000, 50.511, -27.5026
1.825000, 50.153, -27.8903
1.850000, 49.792, -28.1353
1.875000, 49.409, -28.2837
1.900000, 49.005, -28.3505
1.925000, 48.583, -28.3308
1.950000, 48.151, -28.2135
1.975000, 47.716, -28.0013
2.000000, 47.284, -27.6931
2.030000, 46.781, -27.1233
2.060000, 46.305, -26.3003
2.090000, 45.870, -25.1821
2.120000, 45.486, -23.7286
2.140000, 45.265, -22.5566
2.180000, 44.923, -19.7159
2.200000, 44.805, -18.0429
2.240000, 44.664, -14.0887
2.270000, 44.630, -10.6054
2.300000, 44.650, -6.7726
2.330000, 44.719, -2.7180
2.360000, 44.834, 1.4072
2.400000, 45.048, 6.6932
2.430000, 45.249, 10.3374
2.470000, 45.562, 14.5656
2.500000, 45.825, 17.1759
2.540000, 46.207, 19.8758
2.580000, 46.634, 21.8299
2.620000, 47.141, 23.3959
2.650000, 47.577, 24.4208
2.690000, 48.215, 25.5582
2.720000, 48.725, 26.2201
2.760000, 49.427, 26.8353
2.800000, 50.133, 27.0995
2.850000, 50.988, 26.9904
2.900000, 51.772, 26.4179
2.950000, 52.468, 25.4723
3.000000, 53.107, 24.3412
3.040000, 53.591, 23.3930
3.070000, 53.940, 22.6700
3.110000, 54.389, 21.6885
3.150000, 54.820, 20.6811
3.200000, 55.336, 19.3406
3.250000, 55.830, 17.9097
3.300000, 56.302, 16.3852
3.350000, 56.749, 14.7825
3.400000, 57.170, 13.1160
3.450000, 57.566, 11.4466
3.500000, 57.940, 9.8121
3.550000, 58.294, 8.2228
3.600000, 58.631, 6.6506
3.650000, 58.954, 5.0961
3.700000, 59.260, 3.5361
3.750000, 59.548, 1.9510
3.820000, 59.921, -0.2962
3.870000, 60.167, -1.8595
3.950000, 60.534, -4.2122
4.000000, 60.748, -5.5970
4.060000, 60.989, -7.1939
4.120000, 61.211, -8.7733
4.180000, 61.413, -10.3364
4.250000, 61.629, -12.1052
4.310000, 61.800, -13.4959
4.370000, 61.960, -14.7464
4.440000, 62.133, -16.0826
4.500000, 62.266, -17.1534
4.550000, 62.366, -17.9963
4.620000, 62.498, -19.1026
4.680000, 62.607, -19.9343
4.750000, 62.735, -20.7292
4.820000, 62.861, -21.3628
