* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -14.0 dBFS, measurement signal peak level -14.0 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -29.7 dBFS using an acoustic timing reference
* Dated: Sep 12, 2024 10:57:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 Delay -0.0686 ms (-24 mm, -0.93 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -25.7 ppm
* Measurement: Natural R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 53.550, 17.6656
1.015000, 53.578, 18.7187
1.030000, 53.615, 19.7619
1.044000, 53.659, 20.7209
1.060000, 53.720, 21.7924
1.075000, 53.788, 22.7676
1.090000, 53.868, 23.7122
1.106000, 53.968, 24.7051
1.120000, 54.070, 25.5980
1.138000, 54.221, 26.7946
1.150000, 54.333, 27.6151
1.172000, 54.561, 29.1380
1.180000, 54.651, 29.6885
1.206000, 54.962, 31.4551
1.220000, 55.141, 32.3785
1.241000, 55.422, 33.7074
1.250000, 55.547, 34.2518
1.265000, 55.758, 35.1204
1.280000, 55.974, 35.9356
1.315000, 56.486, 37.6053
1.320000, 56.560, 37.8154
1.340000, 56.853, 38.5806
1.360000, 57.143, 39.2243
1.380000, 57.427, 39.7055
1.400000, 57.701, 40.0466
1.430000, 58.089, 40.3242
1.450000, 58.328, 40.3599
1.475000, 58.604, 40.2849
1.500000, 58.865, 40.1870
1.525000, 59.116, 40.1068
1.550000, 59.358, 40.0330
1.575000, 59.593, 39.9339
1.600000, 59.822, 39.7832
1.625000, 60.045, 39.6010
1.650000, 60.264, 39.3787
1.675000, 60.480, 39.1098
1.700000, 60.694, 38.7886
1.725000, 60.906, 38.4113
1.750000, 61.119, 37.9750
1.775000, 61.332, 37.4636
1.800000, 61.547, 36.8634
1.825000, 61.764, 36.2099
1.850000, 61.983, 35.5364
1.875000, 62.203, 34.8856
1.900000, 62.422, 34.2670
1.925000, 62.641, 33.6753
1.950000, 62.859, 33.1034
1.975000, 63.077, 32.5335
2.000000, 63.293, 31.9489
2.030000, 63.551, 31.2492
2.060000, 63.807, 30.5423
2.090000, 64.060, 29.8205
2.120000, 64.311, 29.0776
2.140000, 64.477, 28.5679
2.180000, 64.804, 27.4916
2.200000, 64.966, 26.9220
2.240000, 65.285, 25.8034
2.270000, 65.522, 25.0029
2.300000, 65.756, 24.2338
2.330000, 65.987, 23.4904
2.360000, 66.216, 22.7668
2.400000, 66.518, 21.7851
2.430000, 66.741, 21.0528
2.470000, 67.035, 20.0800
2.500000, 67.254, 19.3476
2.540000, 67.541, 18.3621
2.580000, 67.825, 17.3599
2.620000, 68.104, 16.3564
2.650000, 68.311, 15.6319
2.690000, 68.583, 14.6992
2.720000, 68.784, 14.0207
2.760000, 69.049, 13.1395
2.800000, 69.310, 12.2404
2.850000, 69.632, 11.1265
2.900000, 69.948, 10.0199
2.950000, 70.258, 8.9228
3.000000, 70.563, 7.8337
3.040000, 70.802, 6.9848
3.070000, 70.979, 6.3652
3.110000, 71.212, 5.5584
3.150000, 71.442, 4.7697
3.200000, 71.725, 3.7729
3.250000, 72.003, 2.7753
3.300000, 72.276, 1.7877
3.350000, 72.545, 0.8218
3.400000, 72.808, -0.1383
3.450000, 73.067, -1.0789
3.500000, 73.320, -1.9938
3.550000, 73.570, -2.8873
3.600000, 73.816, -3.7914
3.650000, 74.058, -4.6948
3.700000, 74.296, -5.5842
3.750000, 74.530, -6.4530
3.820000, 74.851, -7.6604
3.870000, 75.076, -8.5049
3.950000, 75.427, -9.8217
4.000000, 75.642, -10.6515
4.060000, 75.896, -11.6444
4.120000, 76.144, -12.6165
4.180000, 76.388, -13.5714
4.250000, 76.665, -14.6851
4.310000, 76.897, -15.6160
4.370000, 77.125, -16.5320
4.440000, 77.386, -17.6095
4.500000, 77.604, -18.5162
4.550000, 77.782, -19.2573
4.620000, 78.026, -20.2953
4.680000, 78.230, -21.1693
4.750000, 78.464, -22.1652
4.820000, 78.693, -23.1615
4.870000, 78.852, -23.8652
4.940000, 79.071, -24.8306
5.000000, 79.254, -25.6529
5.080000, 79.493, -26.7323
5.150000, 79.697, -27.6508
5.220000, 79.897, -28.5695
5.300000, 80.119, -29.6026
5.380000, 80.335, -30.6097
5.450000, 80.520, -31.4861
5.520000, 80.700, -32.3376
5.600000, 80.900, -33.2978
5.700000, 81.142, -34.4811
5.800000, 81.377, -35.6280
5.900000, 81.605, -36.7494
6.000000, 81.827, -37.8403
6.080000, 82.000, -38.6996
6.150000, 82.148, -39.4279
6.220000, 82.293, -40.1533
6.300000, 82.455, -40.9641
6.400000, 82.652, -41.9559
6.500000, 82.844, -42.9296
6.600000, 83.031, -43.8746
6.700000, 83.214, -44.8076
6.800000, 83.393, -45.7169
6.900000, 83.566, -46.6097
7.000000, 83.735, -47.4747
7.100000, 83.898, -48.3253
7.200000, 84.056, -49.1525
7.300000, 84.211, -49.9620
7.400000, 84.364, -50.7457
7.500000, 84.513, -51.5136
7.620000, 84.688, -52.4075
7.750000, 84.873, -53.3419
7.880000, 85.052, -54.2541
8.000000, 85.214, -55.0659
8.120000, 85.373, -55.8581
8.250000, 85.542, -56.6930
8.380000, 85.709, -57.5025
8.500000, 85.860, -58.2344
8.620000, 86.009, -58.9483
8.750000, 86.168, -59.7063
8.850000, 86.289, -60.2824
9.000000, 86.469, -61.1293
9.120000, 86.611, -61.8020
9.250000, 86.763, -62.5271
9.380000, 86.913, -63.2449
9.500000, 87.049, -63.9121
9.620000, 87.182, -64.5753
9.750000, 87.323, -65.2933
9.880000, 87.453, -66.0066
10.000000, 87.561, -66.6539
10.150000, 87.682, -67.4836
10.300000, 87.792, -68.2885
10.440000, 87.885, -69.0173
10.600000, 87.985, -69.8210
10.750000, 88.077, -70.5440
10.900000, 88.167, -71.2382
11.060000, 88.263, -71.9774
11.200000, 88.347, -72.6435
11.380000, 88.453, -73.4657
11.500000, 88.521, -73.9934
11.720000, 88.646, -74.9239
11.800000, 88.691, -75.2517
12.060000, 88.842, -76.3036
12.200000, 88.926, -76.8885
12.410000, 89.053, -77.7438
12.500000, 89.106, -78.1027
12.650000, 89.192, -78.6908
12.800000, 89.276, -79.2654
13.150000, 89.467, -80.5993
13.200000, 89.494, -80.7922
13.400000, 89.601, -81.5454
13.600000, 89.707, -82.2679
13.800000, 89.812, -82.9598
14.000000, 89.915, -83.6274
14.300000, 90.069, -84.6498
14.500000, 90.169, -85.3071
14.750000, 90.293, -86.1034
15.000000, 90.416, -86.8775
15.250000, 90.542, -87.6800
15.500000, 90.666, -88.4597
15.750000, 90.786, -89.2113
16.000000, 90.902, -89.9337
16.250000, 91.016, -90.6714
16.500000, 91.129, -91.3820
16.750000, 91.241, -92.0687
17.000000, 91.353, -92.7413
17.250000, 91.465, -93.4347
17.500000, 91.576, -94.1204
17.750000, 91.682, -94.7927
18.000000, 91.784, -95.4511
18.250000, 91.884, -96.1183
18.500000, 91.980, -96.7617
18.750000, 92.075, -97.3756
19.000000, 92.169, -97.9625
19.250000, 92.265, -98.5561
19.500000, 92.361, -99.1334
19.750000, 92.457, -99.6990
20.000000, 92.552, -100.2561
20.299999, 92.664, -100.9472
20.600000, 92.773, -101.6229
20.900000, 92.879, -102.2793
21.200001, 92.983, -102.9346
21.400000, 93.051, -103.3680
21.799999, 93.183, -104.2160
22.000000, 93.248, -104.6349
22.400000, 93.374, -105.4896
22.700001, 93.464, -106.1155
23.000000, 93.550, -106.7221
23.299999, 93.634, -107.3185
23.600000, 93.716, -107.8910
24.000000, 93.826, -108.6266
24.299999, 93.911, -109.1871
24.700001, 94.022, -109.9371
25.000000, 94.102, -110.5014
25.400000, 94.204, -111.2660
25.799999, 94.299, -112.0058
26.200001, 94.391, -112.7247
26.500000, 94.459, -113.2533
26.900000, 94.549, -113.9386
27.200001, 94.618, -114.4529
27.600000, 94.708, -115.1421
28.000000, 94.795, -115.8303
28.500000, 94.899, -116.7048
29.000000, 94.997, -117.5493
29.500000, 95.090, -118.3567
30.000000, 95.182, -119.1318
30.400000, 95.255, -119.7582
30.700001, 95.309, -120.2250
31.100000, 95.380, -120.8462
31.500000, 95.448, -121.4682
32.000000, 95.528, -122.2255
32.500000, 95.605, -122.9622
33.000000, 95.681, -123.6754
33.500000, 95.756, -124.4007
34.000000, 95.830, -125.1210
34.500000, 95.902, -125.8263
35.000000, 95.970, -126.5115
35.500000, 96.037, -127.1895
36.000000, 96.104, -127.8585
36.500000, 96.168, -128.5304
37.000000, 96.229, -129.1965
37.500000, 96.286, -129.8586
38.200001, 96.362, -130.7483
38.700001, 96.415, -131.3656
39.500000, 96.499, -132.3356
40.000000, 96.550, -132.9284
40.599998, 96.611, -133.6481
41.200001, 96.670, -134.3601
41.799999, 96.727, -135.0755
42.500000, 96.786, -135.9037
43.099998, 96.833, -136.5782
43.700001, 96.882, -137.2060
44.400002, 96.943, -137.9456
45.000000, 96.994, -138.6138
45.500000, 97.031, -139.1687
46.200001, 97.074, -139.9163
46.799999, 97.111, -140.5247
47.500000, 97.158, -141.2111
48.200001, 97.205, -141.9218
48.700001, 97.235, -142.4375
49.400002, 97.273, -143.1400
50.000000, 97.305, -143.7153
50.799999, 97.348, -144.4683
51.500000, 97.384, -145.1356
52.200001, 97.416, -145.7791
53.000000, 97.452, -146.4534
53.799999, 97.489, -147.1397
54.500000, 97.517, -147.7267
55.200001, 97.543, -148.2896
56.000000, 97.576, -148.9429
57.000000, 97.608, -149.7838
58.000000, 97.627, -150.6243
59.000000, 97.644, -151.4090
60.000000, 97.657, -152.1327
60.799999, 97.674, -152.7250
61.500000, 97.691, -153.2446
62.200001, 97.703, -153.7669
63.000000, 97.715, -154.3433
64.000000, 97.732, -154.9879
65.000000, 97.746, -155.7055
66.000000, 97.757, -156.4020
67.000000, 97.766, -157.0479
68.000000, 97.773, -157.7461
69.000000, 97.771, -158.4430
70.000000, 97.762, -159.0150
71.000000, 97.769, -159.5360
72.000000, 97.784, -160.1268
73.000000, 97.790, -160.7080
74.000000, 97.793, -161.2733
75.000000, 97.793, -161.8333
76.199997, 97.788, -162.4851
77.500000, 97.778, -163.1357
78.800003, 97.770, -163.7502
80.000000, 97.762, -164.3459
81.199997, 97.752, -164.9398
82.500000, 97.738, -165.5704
83.800003, 97.722, -166.1396
85.000000, 97.707, -166.6374
86.199997, 97.692, -167.1448
87.500000, 97.677, -167.6499
88.500000, 97.666, -168.0531
90.000000, 97.648, -168.6843
91.199997, 97.631, -169.2056
92.500000, 97.611, -169.6755
93.800003, 97.590, -170.1181
95.000000, 97.570, -170.5476
96.199997, 97.546, -170.9392
97.500000, 97.521, -171.3164
98.800003, 97.497, -171.7175
100.000000, 97.474, -172.1176
101.500000, 97.443, -172.6248
103.000000, 97.411, -173.0719
104.400002, 97.382, -173.4526
106.000000, 97.348, -173.8721
107.500000, 97.314, -174.2589
109.000000, 97.279, -174.6119
110.599998, 97.241, -175.0367
112.000000, 97.208, -175.3695
113.800003, 97.169, -175.7503
115.000000, 97.144, -176.0156
117.199997, 97.095, -176.5336
118.000000, 97.075, -176.7109
120.599998, 97.006, -177.2404
122.000000, 96.974, -177.5066
124.099998, 96.932, -177.9108
125.000000, 96.915, -178.0693
126.500000, 96.888, -178.2398
128.000000, 96.862, -178.4323
131.500000, 96.785, -178.8904
132.000000, 96.773, -178.9666
134.000000, 96.718, -179.3312
136.000000, 96.658, -179.6404
138.000000, 96.620, -179.9103
140.000000, 96.581, 179.7343
143.000000, 96.515, 179.4141
145.000000, 96.471, 179.1902
147.500000, 96.409, 178.9713
150.000000, 96.348, 178.9402
152.500000, 96.299, 178.9777
155.000000, 96.247, 178.8798
157.500000, 96.184, 178.7834
160.000000, 96.140, 178.6143
162.500000, 96.096, 178.3621
165.000000, 96.043, 178.2540
167.500000, 95.999, 178.3233
170.000000, 95.975, 178.4767
172.500000, 95.957, 178.5262
175.000000, 95.935, 178.4285
177.500000, 95.906, 178.2398
180.000000, 95.867, 177.9978
182.500000, 95.823, 177.8665
185.000000, 95.779, 177.7631
187.500000, 95.736, 177.7186
190.000000, 95.692, 177.6237
192.500000, 95.643, 177.5110
195.000000, 95.595, 177.4752
197.500000, 95.550, 177.4582
200.000000, 95.507, 177.4327
203.000000, 95.454, 177.3628
206.000000, 95.397, 177.3495
209.000000, 95.344, 177.3818
212.000000, 95.296, 177.3931
214.000000, 95.266, 177.4149
218.000000, 95.206, 177.5185
220.000000, 95.174, 177.5641
224.000000, 95.112, 177.6766
227.000000, 95.072, 177.7509
230.000000, 95.032, 177.8102
233.000000, 94.989, 177.8884
236.000000, 94.945, 177.9705
240.000000, 94.889, 178.0958
243.000000, 94.850, 178.1953
247.000000, 94.799, 178.3347
250.000000, 94.760, 178.4469
