* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.880. Timing signal peak level -15.9 dBFS, measurement signal peak level -14.9 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 11, 2023 5:06:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0642 ms (-22 mm, -0.87 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: Tanchjim Hana 2021 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 69.421 -8.9157
1.015000 69.741 -9.6552
1.030000 70.057 -10.3701
1.044000 70.346 -11.0129
1.060000 70.668 -11.7156
1.075000 70.961 -12.3408
1.090000 71.244 -12.9307
1.106000 71.536 -13.5182
1.120000 71.790 -13.9960
1.138000 72.115 -14.5640
1.150000 72.331 -14.9159
1.172000 72.725 -15.5109
1.180000 72.867 -15.7125
1.206000 73.328 -16.3203
1.220000 73.573 -16.6212
1.241000 73.938 -17.0441
1.250000 74.093 -17.2165
1.265000 74.349 -17.4943
1.280000 74.602 -17.7626
1.315000 75.179 -18.3673
1.320000 75.260 -18.4527
1.340000 75.580 -18.7963
1.360000 75.892 -19.1476
1.380000 76.196 -19.5134
1.400000 76.492 -19.9001
1.430000 76.919 -20.5339
1.450000 77.191 -21.0019
1.475000 77.517 -21.6462
1.500000 77.825 -22.3326
1.525000 78.117 -23.0499
1.550000 78.393 -23.7932
1.575000 78.656 -24.5574
1.600000 78.907 -25.3375
1.625000 79.147 -26.1287
1.650000 79.377 -26.9259
1.675000 79.600 -27.7242
1.700000 79.816 -28.5185
1.725000 80.027 -29.3040
1.750000 80.234 -30.0755
1.775000 80.439 -30.8282
1.800000 80.643 -31.5571
1.825000 80.847 -32.2571
1.850000 81.051 -32.9275
1.875000 81.247 -33.5766
1.900000 81.437 -34.2074
1.925000 81.622 -34.8222
1.950000 81.800 -35.4236
1.975000 81.975 -36.0139
2.000000 82.145 -36.5957
2.030000 82.344 -37.2861
2.060000 82.539 -37.9721
2.090000 82.732 -38.6578
2.120000 82.922 -39.3475
2.140000 83.048 -39.8117
2.180000 83.299 -40.7562
2.200000 83.425 -41.2389
2.240000 83.676 -42.2178
2.270000 83.861 -42.9590
2.300000 84.043 -43.7046
2.330000 84.223 -44.4531
2.360000 84.401 -45.2029
2.400000 84.633 -46.2024
2.430000 84.804 -46.9498
2.470000 85.026 -47.9407
2.500000 85.190 -48.6777
2.540000 85.403 -49.6492
2.580000 85.610 -50.6064
2.620000 85.811 -51.5594
2.650000 85.957 -52.2721
2.690000 86.147 -53.2176
2.720000 86.286 -53.9220
2.760000 86.467 -54.8529
2.800000 86.644 -55.7722
2.850000 86.858 -56.9016
2.900000 87.067 -58.0047
2.950000 87.271 -59.0774
3.000000 87.467 -60.1208
3.040000 87.619 -60.9368
3.070000 87.731 -61.5390
3.110000 87.875 -62.3301
3.150000 88.017 -63.1094
3.200000 88.189 -64.0693
3.250000 88.356 -65.0165
3.300000 88.520 -65.9542
3.350000 88.679 -66.8862
3.400000 88.832 -67.8101
3.450000 88.981 -68.7213
3.500000 89.125 -69.6151
3.550000 89.265 -70.4867
3.600000 89.403 -71.3313
3.650000 89.539 -72.1442
3.700000 89.672 -72.9208
3.750000 89.801 -73.6617
3.820000 89.977 -74.6500
3.870000 90.099 -75.3288
3.950000 90.291 -76.3839
4.000000 90.411 -77.0329
4.060000 90.553 -77.8076
4.120000 90.693 -78.5660
4.180000 90.831 -79.3067
4.250000 90.991 -80.1500
4.310000 91.126 -80.8562
4.370000 91.261 -81.5482
4.440000 91.419 -82.3340
4.500000 91.553 -82.9812
4.550000 91.664 -83.5071
4.620000 91.820 -84.2323
4.680000 91.952 -84.8523
4.750000 92.105 -85.5851
4.820000 92.258 -86.3302
4.870000 92.367 -86.8628
4.940000 92.519 -87.6101
5.000000 92.648 -88.2534
5.080000 92.817 -89.1170
5.150000 92.962 -89.8799
5.220000 93.105 -90.6486
5.300000 93.267 -91.5334
5.380000 93.424 -92.4248
5.450000 93.558 -93.2103
5.520000 93.688 -94.0013
5.600000 93.832 -94.9166
5.700000 94.005 -96.0711
5.800000 94.171 -97.2253
5.900000 94.327 -98.3696
6.000000 94.474 -99.5156
6.080000 94.586 -100.4276
6.150000 94.680 -101.2152
6.220000 94.770 -101.9876
6.300000 94.867 -102.8536
6.400000 94.982 -103.9178
6.500000 95.090 -104.9537
6.600000 95.192 -105.9529
6.700000 95.289 -106.9152
6.800000 95.381 -107.8434
6.900000 95.469 -108.7368
7.000000 95.556 -109.5936
7.100000 95.639 -110.4096
7.200000 95.721 -111.1925
7.300000 95.802 -111.9521
7.400000 95.884 -112.6911
7.500000 95.964 -113.4030
7.620000 96.061 -114.2352
7.750000 96.165 -115.1258
7.880000 96.270 -115.9970
8.000000 96.365 -116.7929
8.120000 96.458 -117.5915
8.250000 96.558 -118.4562
8.380000 96.654 -119.3174
8.500000 96.738 -120.1096
8.620000 96.819 -120.9013
8.750000 96.902 -121.7473
8.850000 96.962 -122.3844
9.000000 97.046 -123.3247
9.120000 97.109 -124.0544
9.250000 97.176 -124.8143
9.380000 97.241 -125.5462
9.500000 97.297 -126.1990
9.620000 97.351 -126.8280
9.750000 97.406 -127.4831
9.880000 97.457 -128.1235
10.000000 97.497 -128.7041
10.150000 97.541 -129.4142
10.300000 97.580 -130.1230
10.440000 97.610 -130.7802
10.600000 97.642 -131.5390
10.750000 97.672 -132.2693
10.900000 97.700 -133.0143
11.060000 97.726 -133.8314
11.200000 97.746 -134.5687
11.380000 97.765 -135.5174
11.500000 97.772 -136.1488
11.720000 97.775 -137.2849
11.800000 97.774 -137.6831
12.060000 97.761 -138.9270
12.200000 97.751 -139.5528
12.410000 97.733 -140.4337
12.500000 97.725 -140.7864
12.650000 97.710 -141.3402
12.800000 97.695 -141.8592
13.150000 97.669 -142.9479
13.200000 97.666 -143.0949
13.400000 97.661 -143.6587
13.600000 97.663 -144.2119
13.800000 97.672 -144.7617
14.000000 97.684 -145.3347
14.300000 97.708 -146.2498
14.500000 97.723 -146.9093
14.750000 97.734 -147.7736
15.000000 97.735 -148.6688
15.250000 97.724 -149.5519
15.500000 97.700 -150.3591
15.750000 97.668 -151.0529
16.000000 97.634 -151.5839
16.250000 97.612 -151.9765
16.500000 97.611 -152.2696
16.750000 97.638 -152.5336
17.000000 97.691 -152.8800
17.250000 97.760 -153.3536
17.500000 97.835 -154.0066
17.750000 97.896 -154.8069
18.000000 97.937 -155.6966
18.250000 97.953 -156.6096
18.500000 97.949 -157.4375
18.750000 97.932 -158.1489
19.000000 97.911 -158.7156
19.250000 97.900 -159.1675
19.500000 97.901 -159.5565
19.750000 97.914 -159.9230
20.000000 97.936 -160.3220
20.299999 97.966 -160.8489
20.600000 97.993 -161.4190
20.900000 98.016 -162.0074
21.200001 98.036 -162.6003
21.400000 98.049 -163.0115
21.799999 98.068 -163.9060
22.000000 98.069 -164.3927
22.400000 98.041 -165.4004
22.700001 97.989 -166.0717
23.000000 97.918 -166.5343
23.299999 97.849 -166.7225
23.600000 97.808 -166.6761
24.000000 97.827 -166.4595
24.299999 97.900 -166.4292
24.700001 98.047 -166.8378
25.000000 98.159 -167.5483
25.400000 98.271 -168.9425
25.799999 98.315 -170.5960
26.200001 98.289 -172.2357
26.500000 98.235 -173.3307
26.900000 98.132 -174.5154
27.200001 98.049 -175.1718
27.600000 97.948 -175.7667
28.000000 97.877 -176.1625
28.500000 97.827 -176.6270
29.000000 97.782 -177.1951
29.500000 97.707 -177.6884
30.000000 97.617 -177.7997
30.400000 97.571 -177.5918
30.700001 97.567 -177.3651
31.100000 97.598 -177.1561
31.500000 97.650 -177.1668
32.000000 97.705 -177.4659
32.500000 97.735 -177.9138
33.000000 97.747 -178.4115
33.500000 97.746 -178.9863
34.000000 97.724 -179.6283
34.500000 97.680 179.7667
35.000000 97.628 179.2675
35.500000 97.583 178.8228
36.000000 97.545 178.3458
36.500000 97.501 177.8430
37.000000 97.451 177.4056
37.500000 97.408 177.0854
38.200001 97.384 176.7188
38.700001 97.388 176.3806
39.500000 97.394 175.6397
40.000000 97.382 175.1525
40.599998 97.355 174.6618
41.200001 97.330 174.2941
41.799999 97.316 173.9655
42.500000 97.305 173.5079
43.099998 97.284 173.0424
43.700001 97.244 172.5938
44.400002 97.186 172.1860
45.000000 97.143 171.9153
45.500000 97.115 171.6780
46.200001 97.079 171.2852
46.799999 97.047 170.9360
47.500000 97.018 170.5429
48.200001 97.000 170.0872
48.700001 96.985 169.7103
49.400002 96.953 169.2026
50.000000 96.925 168.8510
50.799999 96.902 168.4254
51.500000 96.883 167.9795
52.200001 96.845 167.5123
53.000000 96.779 167.1429
53.799999 96.724 166.9562
54.500000 96.695 166.7408
55.200001 96.660 166.3873
56.000000 96.594 165.9755
57.000000 96.513 165.6324
58.000000 96.459 165.1731
59.000000 96.375 164.6354
60.000000 96.299 164.4772
60.799999 96.291 164.3362
61.500000 96.286 164.0208
62.200001 96.262 163.6968
63.000000 96.232 163.4489
64.000000 96.216 163.1094
65.000000 96.186 162.5941
66.000000 96.117 162.1473
67.000000 96.053 162.0244
68.000000 96.040 161.8609
69.000000 96.015 161.3387
70.000000 95.925 160.8704
71.000000 95.820 160.7682
72.000000 95.745 160.7850
73.000000 95.683 160.6877
74.000000 95.625 160.4892
75.000000 95.568 160.1590
76.199997 95.494 159.7501
77.500000 95.450 159.3734
78.800003 95.422 158.8158
80.000000 95.367 158.4122
81.199997 95.314 158.2008
82.500000 95.245 157.9828
83.800003 95.160 157.8216
85.000000 95.086 157.6287
86.199997 95.008 157.3203
87.500000 94.911 156.9500
88.500000 94.822 156.7863
90.000000 94.722 156.9308
91.199997 94.693 157.0422
92.500000 94.686 156.9698
93.800003 94.666 156.6709
95.000000 94.632 156.3883
96.199997 94.590 156.0771
97.500000 94.526 155.7544
98.800003 94.443 155.5350
100.000000 94.369 155.4597
101.500000 94.293 155.3536
103.000000 94.223 155.2397
104.400002 94.174 155.1142
106.000000 94.109 154.9342
107.500000 94.047 154.9230
109.000000 93.984 154.8304
110.599998 93.888 154.9126
112.000000 93.849 155.0800
113.800003 93.798 154.7479
115.000000 93.723 154.4927
117.199997 93.552 154.2593
118.000000 93.495 154.3316
120.599998 93.421 154.4873
122.000000 93.379 154.4205
124.099998 93.283 154.3561
125.000000 93.225 154.3190
126.500000 93.136 154.2444
128.000000 93.102 153.9084
131.500000 93.109 152.1670
132.000000 93.111 152.0380
134.000000 93.111 152.2278
136.000000 93.158 153.1322
138.000000 93.160 153.1207
140.000000 92.956 152.7638
143.000000 92.701 153.1572
145.000000 92.611 153.0759
147.500000 92.463 153.4152
150.000000 92.393 154.1432
152.500000 92.369 154.4370
155.000000 92.297 154.5274
157.500000 92.189 154.6845
160.000000 92.108 154.8979
162.500000 92.051 154.8991
165.000000 91.982 155.0738
167.500000 91.939 155.3426
170.000000 91.900 155.3803
172.500000 91.816 155.4303
175.000000 91.698 155.7667
177.500000 91.596 155.9285
180.000000 91.509 155.6167
182.500000 91.443 155.2928
185.000000 91.423 155.3218
187.500000 91.423 155.4121
190.000000 91.364 155.4233
192.500000 91.245 155.7765
195.000000 91.146 156.5548
197.500000 91.115 157.2039
200.000000 91.094 157.3442
203.000000 91.022 157.2904
206.000000 90.921 157.2628
209.000000 90.846 157.3823
212.000000 90.811 157.7383
214.000000 90.783 158.0546
218.000000 90.684 158.5247
220.000000 90.630 158.6400
224.000000 90.547 158.8323
227.000000 90.457 159.0191
230.000000 90.370 159.4064
233.000000 90.329 159.8900
236.000000 90.310 160.2372
240.000000 90.250 160.2950
243.000000 90.172 160.2955
247.000000 90.119 160.6146
250.000000 90.115 160.8647
254.000000 90.060 161.3217
258.000000 89.978 162.0019
262.000000 89.904 162.6564
265.000000 89.849 162.8734
269.000000 89.783 162.9531
272.000000 89.751 163.2063
276.000000 89.707 163.5835
280.000000 89.641 163.7880
