* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.910. Timing signal peak level -13.8 dBFS, measurement signal peak level -10.8 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 16, 2023 11:22:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0687 ms (-24 mm, -0.93 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: TangZu Waner L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 96.807 -164.8394
20.299999 96.808 -165.2853
20.600000 96.810 -165.7431
20.900000 96.809 -166.2158
21.200001 96.804 -166.6978
21.400000 96.798 -167.0172
21.799999 96.781 -167.6389
22.000000 96.770 -167.9360
22.400000 96.747 -168.4969
22.700001 96.730 -168.8884
23.000000 96.713 -169.2570
23.299999 96.699 -169.6053
23.600000 96.688 -169.9359
24.000000 96.681 -170.3567
24.299999 96.682 -170.6699
24.700001 96.691 -171.1075
25.000000 96.702 -171.4669
25.400000 96.717 -171.9979
25.799999 96.726 -172.5741
26.200001 96.725 -173.1551
26.500000 96.719 -173.5634
26.900000 96.706 -174.0445
27.200001 96.698 -174.3561
27.600000 96.694 -174.7297
28.000000 96.698 -175.1039
28.500000 96.705 -175.6303
29.000000 96.699 -176.2042
29.500000 96.674 -176.7249
30.000000 96.642 -177.1038
30.400000 96.624 -177.3246
30.700001 96.619 -177.4846
31.100000 96.620 -177.7508
31.500000 96.620 -178.1012
32.000000 96.605 -178.6112
32.500000 96.571 -179.0873
33.000000 96.532 -179.4583
33.500000 96.502 -179.7608
34.000000 96.484 179.9257
34.500000 96.470 179.5683
35.000000 96.456 179.1868
35.500000 96.440 178.8013
36.000000 96.424 178.4109
36.500000 96.404 178.0237
37.000000 96.381 177.6722
37.500000 96.360 177.3759
38.200001 96.347 176.9873
38.700001 96.344 176.6530
39.500000 96.325 176.0222
40.000000 96.300 175.6606
40.599998 96.268 175.3206
41.200001 96.248 175.0290
41.799999 96.236 174.6861
42.500000 96.216 174.1918
43.099998 96.184 173.7861
43.700001 96.148 173.4818
44.400002 96.120 173.2036
45.000000 96.107 172.9220
45.500000 96.094 172.6391
46.200001 96.065 172.2474
46.799999 96.038 171.9721
47.500000 96.014 171.6899
48.200001 95.995 171.3878
48.700001 95.982 171.1529
49.400002 95.959 170.8158
50.000000 95.936 170.5369
50.799999 95.904 170.1878
51.500000 95.876 169.8756
52.200001 95.845 169.5373
53.000000 95.798 169.1786
53.799999 95.750 168.9113
54.500000 95.718 168.7054
55.200001 95.694 168.4686
56.000000 95.668 168.1533
57.000000 95.633 167.7074
58.000000 95.588 167.2770
59.000000 95.542 166.9197
60.000000 95.497 166.5953
60.799999 95.461 166.3829
61.500000 95.435 166.2167
62.200001 95.411 166.0368
63.000000 95.383 165.8155
64.000000 95.346 165.5206
65.000000 95.304 165.2085
66.000000 95.260 164.9146
67.000000 95.216 164.6296
68.000000 95.171 164.3568
69.000000 95.127 164.0986
70.000000 95.085 163.8434
71.000000 95.044 163.5903
72.000000 95.003 163.3414
73.000000 94.962 163.0895
74.000000 94.919 162.8462
75.000000 94.875 162.6568
76.199997 94.834 162.4404
77.500000 94.787 162.1084
78.800003 94.723 161.7995
80.000000 94.661 161.5966
81.199997 94.606 161.4252
82.500000 94.553 161.2199
83.800003 94.498 160.9888
85.000000 94.445 160.8010
86.199997 94.396 160.6462
87.500000 94.347 160.4670
88.500000 94.307 160.3251
90.000000 94.245 160.1311
91.199997 94.197 159.9780
92.500000 94.146 159.8094
93.800003 94.094 159.6469
95.000000 94.047 159.5138
96.199997 94.002 159.3732
97.500000 93.951 159.2159
98.800003 93.899 159.0781
100.000000 93.852 158.9644
101.500000 93.794 158.8384
103.000000 93.739 158.7209
104.400002 93.688 158.6069
106.000000 93.627 158.4768
107.500000 93.568 158.3506
109.000000 93.507 158.2198
110.599998 93.443 158.0971
112.000000 93.390 157.9968
113.800003 93.321 157.8815
115.000000 93.273 157.8314
117.199997 93.191 157.7849
118.000000 93.165 157.7667
120.599998 93.083 157.6593
122.000000 93.041 157.6818
124.099998 92.997 157.6984
125.000000 92.972 157.6570
126.500000 92.913 157.5758
128.000000 92.841 157.5192
131.500000 92.675 157.4118
132.000000 92.656 157.4139
134.000000 92.599 157.4002
136.000000 92.537 157.4713
138.000000 92.499 157.6947
140.000000 92.475 157.6542
143.000000 92.395 157.4188
145.000000 92.345 157.3951
147.500000 92.292 157.4159
150.000000 92.228 157.4660
152.500000 92.163 157.5372
155.000000 92.103 157.5814
157.500000 92.041 157.6282
160.000000 91.974 157.7202
162.500000 91.907 157.8147
165.000000 91.841 157.8809
167.500000 91.778 157.9807
170.000000 91.720 158.1021
172.500000 91.661 158.2389
175.000000 91.611 158.3258
177.500000 91.551 158.3642
180.000000 91.483 158.4155
182.500000 91.404 158.4785
185.000000 91.333 158.6611
187.500000 91.278 158.9180
190.000000 91.225 159.1965
192.500000 91.176 159.3973
195.000000 91.133 159.4796
197.500000 91.089 159.5969
200.000000 91.044 159.8110
203.000000 90.984 160.0187
206.000000 90.922 160.0881
209.000000 90.867 160.1300
212.000000 90.815 160.2288
214.000000 90.781 160.3376
218.000000 90.713 160.6242
220.000000 90.678 160.7757
224.000000 90.606 161.0762
227.000000 90.554 161.3161
230.000000 90.498 161.5135
233.000000 90.433 161.7891
236.000000 90.377 162.2813
240.000000 90.355 163.1410
243.000000 90.366 163.5580
247.000000 90.307 163.5162
250.000000 90.226 163.2976
254.000000 90.168 163.1163
258.000000 90.109 163.3283
262.000000 90.032 163.7460
265.000000 89.992 164.0389
269.000000 89.963 164.3787
272.000000 89.937 164.6089
276.000000 89.887 164.9317
280.000000 89.838 165.2065
285.000000 89.791 165.5763
290.000000 89.743 165.9547
295.000000 89.693 166.3533
300.000000 89.653 166.7262
304.000000 89.619 167.0392
307.000000 89.591 167.2975
311.000000 89.556 167.6354
315.000000 89.522 167.9404
320.000000 89.480 168.2946
325.000000 89.442 168.6604
330.000000 89.404 169.0630
335.000000 89.370 169.4657
340.000000 89.334 169.8427
345.000000 89.294 170.2167
350.000000 89.259 170.5825
355.000000 89.220 170.8971
360.000000 89.184 171.2493
365.000000 89.165 171.6752
370.000000 89.149 172.0972
375.000000 89.122 172.5132
382.000000 89.061 173.1027
387.000000 89.010 173.4811
395.000000 88.963 174.0407
400.000000 88.928 174.4536
406.000000 88.908 175.1486
412.000000 88.880 175.5494
418.000000 88.852 175.8965
425.000000 88.836 176.3776
431.000000 88.806 176.7695
437.000000 88.774 177.2023
444.000000 88.741 177.7633
450.000000 88.715 178.2292
455.000000 88.697 178.6000
462.000000 88.671 179.1365
468.000000 88.646 179.5951
475.000000 88.621 -179.8832
482.000000 88.600 -179.3660
487.000000 88.588 -179.0038
494.000000 88.571 -178.4958
500.000000 88.553 -178.0513
508.000000 88.531 -177.4537
515.000000 88.515 -176.9352
522.000000 88.501 -176.4191
530.000000 88.487 -175.8308
538.000000 88.473 -175.2310
545.000000 88.461 -174.7078
552.000000 88.451 -174.1995
560.000000 88.438 -173.6169
570.000000 88.421 -172.8830
580.000000 88.407 -172.1571
590.000000 88.395 -171.4072
600.000000 88.381 -170.6349
608.000000 88.367 -170.0341
615.000000 88.349 -169.4922
622.000000 88.327 -168.9064
630.000000 88.300 -168.1735
640.000000 88.271 -167.1608
650.000000 88.254 -166.0152
660.000000 88.272 -164.8009
670.000000 88.330 -163.6493
680.000000 88.411 -162.6633
690.000000 88.497 -161.9103
700.000000 88.570 -161.3158
710.000000 88.623 -160.7774
720.000000 88.663 -160.2396
730.000000 88.695 -159.6765
740.000000 88.722 -159.0821
750.000000 88.749 -158.4595
762.000000 88.784 -157.6780
775.000000 88.822 -156.8046
788.000000 88.863 -155.9153
800.000000 88.905 -155.0961
812.000000 88.950 -154.2690
825.000000 89.004 -153.3574
838.000000 89.062 -152.4512
850.000000 89.119 -151.6266
862.000000 89.181 -150.8195
875.000000 89.252 -149.9565
885.000000 89.311 -149.2947
900.000000 89.406 -148.3162
912.000000 89.489 -147.5697
925.000000 89.583 -146.7927
938.000000 89.681 -146.0268
950.000000 89.771 -145.3423
962.000000 89.862 -144.6904
975.000000 89.961 -144.0090
988.000000 90.061 -143.3605
1000.000000 90.156 -142.7942
1015.000000 90.276 -142.1338
1030.000000 90.397 -141.5310
1044.000000 90.511 -141.0113
1060.000000 90.643 -140.4453
1075.000000 90.766 -139.9612
1090.000000 90.891 -139.5215
1106.000000 91.033 -139.0887
1120.000000 91.161 -138.7437
1138.000000 91.324 -138.3469
1150.000000 91.428 -138.1086
1172.000000 91.614 -137.7124
1180.000000 91.681 -137.5778
1206.000000 91.895 -137.1748
1220.000000 92.011 -136.9896
1241.000000 92.184 -136.7340
1250.000000 92.256 -136.6263
1265.000000 92.372 -136.4501
1280.000000 92.487 -136.2861
1315.000000 92.752 -135.9446
1320.000000 92.789 -135.8988
1340.000000 92.927 -135.7194
1360.000000 93.042 -135.5388
1380.000000 93.154 -135.3611
1400.000000 93.279 -135.1915
1430.000000 93.478 -134.9473
1450.000000 93.610 -134.7974
1475.000000 93.771 -134.6129
1500.000000 93.930 -134.4335
1525.000000 94.088 -134.2705
1550.000000 94.244 -134.1287
1575.000000 94.398 -134.0001
1600.000000 94.550 -133.8874
1625.000000 94.702 -133.7965
1650.000000 94.854 -133.7350
1675.000000 95.010 -133.6981
1700.000000 95.167 -133.6816
1725.000000 95.322 -133.6896
1750.000000 95.475 -133.7268
1775.000000 95.628 -133.8057
1800.000000 95.782 -133.9244
1825.000000 95.935 -134.0732
1850.000000 96.088 -134.2606
1875.000000 96.239 -134.4866
1900.000000 96.386 -134.7417
1925.000000 96.532 -135.0407
1950.000000 96.677 -135.3846
1975.000000 96.819 -135.7633
2000.000000 96.959 -136.1836
2030.000000 97.121 -136.7424
2060.000000 97.275 -137.3464
2090.000000 97.421 -138.0034
2120.000000 97.562 -138.7158
2140.000000 97.654 -139.2178
2180.000000 97.825 -140.2846
2200.000000 97.903 -140.8453
2240.000000 98.041 -142.0088
2270.000000 98.131 -142.9133
2300.000000 98.210 -143.8424
2330.000000 98.281 -144.7873
2360.000000 98.341 -145.7440
2400.000000 98.402 -147.0229
2430.000000 98.434 -147.9732
2470.000000 98.459 -149.2207
2500.000000 98.466 -150.1364
2540.000000 98.462 -151.3230
2580.000000 98.445 -152.4584
2620.000000 98.411 -153.5298
2650.000000 98.376 -154.2876
2690.000000 98.319 -155.2362
2720.000000 98.270 -155.8998
2760.000000 98.197 -156.7210
2800.000000 98.117 -157.4668
2850.000000 98.007 -158.2876
2900.000000 97.890 -158.9963
2950.000000 97.770 -159.5948
3000.000000 97.648 -160.0941
3040.000000 97.551 -160.4245
3070.000000 97.477 -160.6335
3110.000000 97.378 -160.8633
3150.000000 97.280 -161.0400
3200.000000 97.160 -161.1889
3250.000000 97.043 -161.2567
3300.000000 96.931 -161.2336
3350.000000 96.826 -161.1258
3400.000000 96.737 -160.9504
3450.000000 96.671 -160.7518
3500.000000 96.627 -160.5930
3550.000000 96.594 -160.5107
3600.000000 96.564 -160.5240
3650.000000 96.533 -160.6391
3700.000000 96.494 -160.8705
3750.000000 96.437 -161.2709
3820.000000 96.263 -162.2010
3870.000000 95.966 -162.5663
3950.000000 95.435 -158.9925
4000.000000 95.619 -155.7682
4060.000000 96.043 -155.0496
4120.000000 96.237 -156.1140
4180.000000 96.274 -157.1052
4250.000000 96.248 -157.9366
4310.000000 96.197 -158.4975
4370.000000 96.124 -158.9753
4440.000000 96.020 -159.4561
4500.000000 95.923 -159.8279
4550.000000 95.839 -160.1253
4620.000000 95.712 -160.5374
4680.000000 95.593 -160.8922
4750.000000 95.440 -161.2938
4820.000000 95.271 -161.6602
4870.000000 95.142 -161.8904
4940.000000 94.948 -162.1485
5000.000000 94.772 -162.3002
5080.000000 94.526 -162.3903
5150.000000 94.301 -162.3537
5220.000000 94.073 -162.2101
