* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -12.4 dBFS, measurement signal peak level -9.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Oct 15, 2023 1:09:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0623 ms (-21 mm, -0.84 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: TangZu Xuanwu Gate R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 73.524 -95.9601
1.015000 73.820 -95.9533
1.030000 74.112 -95.8835
1.044000 74.378 -95.7591
1.060000 74.675 -95.5442
1.075000 74.944 -95.2697
1.090000 75.203 -94.9220
1.106000 75.468 -94.4588
1.120000 75.698 -93.9288
1.138000 75.990 -93.0770
1.150000 76.184 -92.4117
1.172000 76.537 -91.0115
1.180000 76.664 -90.4503
1.206000 77.075 -88.4625
1.220000 77.294 -87.3038
1.241000 77.619 -85.4754
1.250000 77.758 -84.6654
1.265000 77.987 -83.2894
1.280000 78.214 -81.8908
1.315000 78.738 -78.6050
1.320000 78.812 -78.1394
1.340000 79.105 -76.3029
1.360000 79.395 -74.5293
1.380000 79.681 -72.8457
1.400000 79.963 -71.2796
1.430000 80.380 -69.2107
1.450000 80.653 -68.0581
1.475000 80.988 -66.9048
1.500000 81.316 -65.9573
1.525000 81.638 -65.1696
1.550000 81.952 -64.5257
1.575000 82.261 -64.0095
1.600000 82.564 -63.6050
1.625000 82.861 -63.2959
1.650000 83.153 -63.0663
1.675000 83.441 -62.9000
1.700000 83.725 -62.7810
1.725000 84.005 -62.6930
1.750000 84.281 -62.6202
1.775000 84.554 -62.5463
1.800000 84.825 -62.4552
1.825000 85.093 -62.3310
1.850000 85.359 -62.1804
1.875000 85.621 -62.0509
1.900000 85.880 -61.9451
1.925000 86.135 -61.8635
1.950000 86.386 -61.8067
1.975000 86.634 -61.7752
2.000000 86.878 -61.7695
2.030000 87.165 -61.7975
2.060000 87.448 -61.8644
2.090000 87.725 -61.9709
2.120000 87.997 -62.1181
2.140000 88.175 -62.2393
2.180000 88.523 -62.5381
2.200000 88.694 -62.7164
2.240000 89.028 -63.1537
2.270000 89.272 -63.5518
2.300000 89.509 -64.0020
2.330000 89.742 -64.4971
2.360000 89.969 -65.0297
2.400000 90.264 -65.7860
2.430000 90.479 -66.3784
2.470000 90.758 -67.1880
2.500000 90.962 -67.8006
2.540000 91.228 -68.6109
2.580000 91.485 -69.4047
2.620000 91.733 -70.2241
2.650000 91.913 -70.8595
2.690000 92.145 -71.7284
2.720000 92.313 -72.3926
2.760000 92.531 -73.2889
2.800000 92.741 -74.1908
2.850000 92.994 -75.3152
2.900000 93.237 -76.4230
2.950000 93.471 -77.5019
3.000000 93.693 -78.5617
3.040000 93.863 -79.4017
3.070000 93.986 -80.0290
3.110000 94.143 -80.8642
3.150000 94.295 -81.7007
3.200000 94.476 -82.7527
3.250000 94.649 -83.8169
3.300000 94.816 -84.8992
3.350000 94.973 -86.0160
3.400000 95.121 -87.1647
3.450000 95.260 -88.3288
3.500000 95.391 -89.4915
3.550000 95.516 -90.6361
3.600000 95.633 -91.7462
3.650000 95.746 -92.8049
3.700000 95.853 -93.8031
3.750000 95.952 -94.7545
3.820000 96.079 -96.0258
3.870000 96.162 -96.9024
3.950000 96.286 -98.2750
4.000000 96.359 -99.1278
4.060000 96.441 -100.1599
4.120000 96.516 -101.1987
4.180000 96.584 -102.2306
4.250000 96.656 -103.4069
4.310000 96.714 -104.3753
4.370000 96.769 -105.2921
4.440000 96.831 -106.2810
4.500000 96.878 -107.0655
4.550000 96.915 -107.6837
4.620000 96.964 -108.5082
4.680000 97.005 -109.1892
4.750000 97.052 -109.9699
4.820000 97.098 -110.7393
4.870000 97.130 -111.2724
4.940000 97.174 -111.9960
5.000000 97.211 -112.5956
5.080000 97.261 -113.3665
5.150000 97.306 -114.0143
5.220000 97.351 -114.6272
5.300000 97.404 -115.2924
5.380000 97.457 -115.9349
5.450000 97.505 -116.4909
5.520000 97.553 -117.0502
5.600000 97.608 -117.6808
5.700000 97.680 -118.4562
5.800000 97.750 -119.2261
5.900000 97.820 -119.9994
6.000000 97.890 -120.7747
6.080000 97.945 -121.3932
6.150000 97.992 -121.9315
6.220000 98.038 -122.4655
6.300000 98.090 -123.0711
6.400000 98.152 -123.8227
6.500000 98.213 -124.5666
6.600000 98.271 -125.3010
6.700000 98.327 -126.0291
6.800000 98.380 -126.7493
6.900000 98.432 -127.4543
7.000000 98.484 -128.1373
7.100000 98.533 -128.7988
7.200000 98.582 -129.4434
7.300000 98.630 -130.0752
7.400000 98.679 -130.6957
7.500000 98.728 -131.3020
7.620000 98.786 -132.0159
7.750000 98.850 -132.7781
7.880000 98.915 -133.5240
8.000000 98.974 -134.2062
8.120000 99.033 -134.8909
8.250000 99.097 -135.6319
8.380000 99.160 -136.3722
8.500000 99.215 -137.0565
8.620000 99.269 -137.7423
8.750000 99.324 -138.4807
8.850000 99.363 -139.0430
9.000000 99.418 -139.8816
9.120000 99.459 -140.5390
9.250000 99.501 -141.2314
9.380000 99.540 -141.9068
9.500000 99.571 -142.5092
9.620000 99.599 -143.0882
9.750000 99.625 -143.6914
9.880000 99.644 -144.2691
10.000000 99.653 -144.7791
10.150000 99.657 -145.3858
10.300000 99.656 -145.9587
10.440000 99.649 -146.4582
10.600000 99.640 -147.0049
10.750000 99.636 -147.5027
10.900000 99.633 -147.9874
11.060000 99.635 -148.5163
11.200000 99.639 -148.9871
11.380000 99.644 -149.6056
11.500000 99.648 -150.0285
11.720000 99.652 -150.8180
11.800000 99.652 -151.1087
12.060000 99.651 -152.0627
12.200000 99.648 -152.5740
12.410000 99.641 -153.3317
12.500000 99.635 -153.6429
12.650000 99.624 -154.1469
12.800000 99.612 -154.6283
13.150000 99.582 -155.6498
13.200000 99.579 -155.7884
13.400000 99.570 -156.3196
13.600000 99.566 -156.8461
13.800000 99.570 -157.3764
14.000000 99.576 -157.9394
14.300000 99.587 -158.8544
14.500000 99.591 -159.5166
14.750000 99.587 -160.3714
15.000000 99.572 -161.2370
15.250000 99.548 -162.0668
15.500000 99.519 -162.8289
15.750000 99.488 -163.5108
16.000000 99.460 -164.1114
16.250000 99.439 -164.6706
16.500000 99.426 -165.2121
16.750000 99.419 -165.7706
17.000000 99.415 -166.3568
17.250000 99.409 -166.9618
17.500000 99.398 -167.5698
17.750000 99.382 -168.1436
18.000000 99.363 -168.6722
18.250000 99.344 -169.1441
18.500000 99.331 -169.5757
18.750000 99.324 -169.9906
19.000000 99.324 -170.4108
19.250000 99.327 -170.8623
19.500000 99.329 -171.3373
19.750000 99.327 -171.8281
20.000000 99.319 -172.3033
20.299999 99.306 -172.8280
20.600000 99.295 -173.2973
20.900000 99.291 -173.7330
21.200001 99.298 -174.1890
21.400000 99.305 -174.5362
21.799999 99.316 -175.3487
22.000000 99.313 -175.8025
22.400000 99.283 -176.7305
22.700001 99.240 -177.3560
23.000000 99.187 -177.8546
23.299999 99.135 -178.2224
23.600000 99.093 -178.4915
24.000000 99.056 -178.7696
24.299999 99.040 -178.9616
24.700001 99.030 -179.2037
25.000000 99.030 -179.3619
25.400000 99.048 -179.5508
25.799999 99.091 -179.8040
26.200001 99.148 179.7480
26.500000 99.185 179.2522
26.900000 99.206 178.4438
27.200001 99.195 177.8372
27.600000 99.151 177.1776
28.000000 99.102 176.7546
28.500000 99.069 176.4012
29.000000 99.065 175.9204
29.500000 99.046 175.2159
30.000000 98.986 174.5155
30.400000 98.923 174.1181
30.700001 98.882 173.9153
31.100000 98.845 173.6717
31.500000 98.824 173.3508
32.000000 98.794 172.7946
32.500000 98.743 172.2014
33.000000 98.681 171.7375
33.500000 98.633 171.4062
34.000000 98.611 171.0885
34.500000 98.606 170.6885
35.000000 98.606 170.1850
35.500000 98.602 169.5840
36.000000 98.581 168.9170
36.500000 98.535 168.2758
37.000000 98.472 167.7850
37.500000 98.411 167.4769
38.200001 98.354 167.1426
38.700001 98.320 166.8265
39.500000 98.240 166.3181
40.000000 98.186 166.1218
40.599998 98.143 165.9143
41.200001 98.107 165.5615
41.799999 98.053 165.1308
42.500000 97.974 164.8000
43.099998 97.935 164.6480
43.700001 97.929 164.3634
44.400002 97.920 163.7277
45.000000 97.880 163.0818
45.500000 97.827 162.6296
46.200001 97.752 162.2062
46.799999 97.707 161.9546
47.500000 97.676 161.5911
48.200001 97.633 161.1128
48.700001 97.585 160.8216
49.400002 97.515 160.6435
50.000000 97.481 160.6236
50.799999 97.470 160.4805
51.500000 97.459 160.1871
52.200001 97.434 159.8464
53.000000 97.390 159.4318
53.799999 97.317 159.0731
54.500000 97.241 158.9571
55.200001 97.183 158.9879
56.000000 97.145 158.9459
57.000000 97.083 158.5848
58.000000 96.956 158.3223
59.000000 96.853 158.5763
60.000000 96.855 158.5591
60.799999 96.845 157.9469
61.500000 96.780 157.3120
62.200001 96.685 156.8802
63.000000 96.583 156.6451
64.000000 96.493 156.5131
65.000000 96.441 156.3493
66.000000 96.402 156.0336
67.000000 96.344 155.6196
68.000000 96.265 155.2556
69.000000 96.175 154.9841
70.000000 96.084 154.8221
71.000000 96.007 154.7294
72.000000 95.947 154.6262
73.000000 95.902 154.4698
74.000000 95.860 154.2404
75.000000 95.816 154.0251
76.199997 95.763 153.7647
77.500000 95.688 153.6100
78.800003 95.631 153.5298
80.000000 95.565 153.3384
81.199997 95.475 153.2106
82.500000 95.367 153.2264
83.800003 95.281 153.4057
85.000000 95.233 153.4399
86.199997 95.178 153.3163
87.500000 95.119 153.1838
88.500000 95.077 152.9767
90.000000 94.979 152.6426
91.199997 94.893 152.5515
92.500000 94.810 152.5345
93.800003 94.738 152.5512
95.000000 94.682 152.5562
96.199997 94.634 152.5098
97.500000 94.580 152.4324
98.800003 94.524 152.4108
100.000000 94.476 152.4621
101.500000 94.414 152.5600
103.000000 94.345 152.6877
104.400002 94.274 152.7537
106.000000 94.184 152.7420
107.500000 94.101 152.6785
109.000000 94.026 152.6234
110.599998 93.963 152.6301
112.000000 93.911 152.6633
113.800003 93.827 152.8147
115.000000 93.767 152.9779
117.199997 93.656 153.2339
118.000000 93.621 153.2875
120.599998 93.530 153.1945
122.000000 93.484 153.0709
124.099998 93.413 153.0437
125.000000 93.386 153.1169
126.500000 93.349 153.2879
128.000000 93.313 153.4861
131.500000 93.223 153.8228
132.000000 93.207 153.8495
134.000000 93.133 153.9497
136.000000 93.059 154.0699
138.000000 93.002 154.1595
140.000000 92.954 154.1766
143.000000 92.885 154.2995
145.000000 92.841 154.5477
147.500000 92.777 154.8956
150.000000 92.710 155.1342
152.500000 92.653 155.2076
155.000000 92.611 155.3096
157.500000 92.582 155.5336
160.000000 92.538 155.6852
162.500000 92.462 155.8061
165.000000 92.394 155.9892
167.500000 92.342 156.1242
170.000000 92.286 156.3466
172.500000 92.245 156.6313
175.000000 92.211 156.8558
177.500000 92.161 157.0887
180.000000 92.093 157.2945
182.500000 92.022 157.4440
185.000000 91.982 157.5277
187.500000 91.957 157.6887
190.000000 91.926 157.9822
192.500000 91.866 158.2474
195.000000 91.801 158.4606
197.500000 91.761 158.5804
200.000000 91.733 158.6822
203.000000 91.689 158.9145
206.000000 91.637 159.2119
209.000000 91.586 159.4891
212.000000 91.552 159.7534
214.000000 91.542 159.9009
218.000000 91.506 160.2175
220.000000 91.477 160.4358
224.000000 91.435 160.7093
227.000000 91.408 160.7732
230.000000 91.379 160.9005
233.000000 91.351 161.0594
236.000000 91.325 161.2311
240.000000 91.270 161.6248
243.000000 91.224 161.9745
247.000000 91.183 162.3033
250.000000 91.159 162.5388
254.000000 91.117 162.8344
258.000000 91.077 163.0004
262.000000 91.041 163.1456
265.000000 91.018 163.3032
269.000000 91.007 163.5827
272.000000 91.002 163.7863
276.000000 90.970 163.9995
280.000000 90.922 164.2247
285.000000 90.880 164.6283
290.000000 90.847 164.9565
