* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -24.6 dBFS, measurement signal peak level -21.8 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 18, 2024 5:18:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; test Delay -0.0641 ms (-22 mm, -0.87 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: TangZu Xuanwu Gate S2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 79.357, 23.4263
1.015000, 79.263, 22.3224
1.030000, 79.183, 21.0965
1.044000, 79.123, 19.8331
1.060000, 79.074, 18.2365
1.075000, 79.047, 16.5804
1.090000, 79.042, 14.7597
1.106000, 79.059, 12.6330
1.120000, 79.091, 10.6259
1.138000, 79.154, 7.8608
1.150000, 79.209, 5.9096
1.172000, 79.333, 2.1238
1.180000, 79.386, 0.6827
1.206000, 79.581, -4.1718
1.220000, 79.700, -6.8687
1.241000, 79.895, -10.9761
1.250000, 79.985, -12.7465
1.265000, 80.140, -15.6938
1.280000, 80.303, -18.6186
1.315000, 80.706, -25.2555
1.320000, 80.766, -26.1738
1.340000, 81.009, -29.7545
1.360000, 81.257, -33.1709
1.380000, 81.507, -36.4487
1.400000, 81.757, -39.5582
1.430000, 82.129, -43.8787
1.450000, 82.370, -46.5341
1.475000, 82.670, -49.5858
1.500000, 82.979, -52.2901
1.525000, 83.305, -54.6493
1.550000, 83.644, -56.7035
1.575000, 83.995, -58.5176
1.600000, 84.353, -60.1487
1.625000, 84.718, -61.5931
1.650000, 85.084, -62.8819
1.675000, 85.451, -64.0414
1.700000, 85.814, -65.0940
1.725000, 86.171, -66.0587
1.750000, 86.520, -66.9510
1.775000, 86.856, -67.8013
1.800000, 87.178, -68.6361
1.825000, 87.484, -69.4255
1.850000, 87.775, -70.1564
1.875000, 88.056, -70.8091
1.900000, 88.328, -71.3855
1.925000, 88.593, -71.8966
1.950000, 88.850, -72.3528
1.975000, 89.100, -72.7808
2.000000, 89.343, -73.2052
2.030000, 89.628, -73.6760
2.060000, 89.905, -74.1172
2.090000, 90.175, -74.5386
2.120000, 90.438, -74.9483
2.140000, 90.611, -75.2183
2.180000, 90.950, -75.7776
2.200000, 91.116, -76.0739
2.240000, 91.439, -76.6340
2.270000, 91.671, -77.0153
2.300000, 91.897, -77.3671
2.330000, 92.115, -77.6947
2.360000, 92.327, -78.0041
2.400000, 92.601, -78.4444
2.430000, 92.801, -78.7720
2.470000, 93.060, -79.2040
2.500000, 93.250, -79.5290
2.540000, 93.499, -79.9689
2.580000, 93.743, -80.4321
2.620000, 93.979, -80.9205
2.650000, 94.151, -81.2729
2.690000, 94.373, -81.7266
2.720000, 94.535, -82.0567
2.760000, 94.744, -82.4849
2.800000, 94.948, -82.9450
2.850000, 95.194, -83.5216
2.900000, 95.433, -84.1002
2.950000, 95.663, -84.6842
3.000000, 95.885, -85.2974
