* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.710. Timing signal peak level -15.7 dBFS, measurement signal peak level -15.0 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 12, 2023 6:15:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0649 ms (-22 mm, -0.88 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: CP145 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 63.967 -77.2107
1.015000 64.148 -76.3892
1.030000 64.331 -75.5485
1.044000 64.501 -74.7474
1.060000 64.696 -73.8132
1.075000 64.879 -72.9204
1.090000 65.062 -72.0118
1.106000 65.256 -71.0195
1.120000 65.430 -70.0951
1.138000 65.658 -68.8267
1.150000 65.813 -67.9359
1.172000 66.103 -66.2209
1.180000 66.209 -65.5741
1.206000 66.561 -63.4017
1.220000 66.754 -62.1957
1.241000 67.044 -60.3530
1.250000 67.170 -59.5545
1.265000 67.380 -58.2169
1.280000 67.590 -56.8764
1.315000 68.082 -53.7716
1.320000 68.152 -53.3341
1.340000 68.432 -51.6084
1.360000 68.710 -49.9326
1.380000 68.985 -48.3214
1.400000 69.257 -46.7896
1.430000 69.656 -44.6729
1.450000 69.916 -43.4039
1.475000 70.232 -41.9930
1.500000 70.544 -40.6995
1.525000 70.853 -39.4992
1.550000 71.160 -38.3886
1.575000 71.464 -37.3644
1.600000 71.765 -36.4230
1.625000 72.063 -35.5610
1.650000 72.357 -34.7748
1.675000 72.648 -34.0610
1.700000 72.935 -33.4161
1.725000 73.218 -32.8367
1.750000 73.498 -32.3193
1.775000 73.773 -31.8604
1.800000 74.045 -31.4564
1.825000 74.311 -31.1041
1.850000 74.574 -30.8183
1.875000 74.832 -30.6365
1.900000 75.087 -30.5503
1.925000 75.337 -30.5499
1.950000 75.584 -30.6249
1.975000 75.827 -30.7655
2.000000 76.066 -30.9614
2.030000 76.348 -31.2553
2.060000 76.624 -31.5971
2.090000 76.896 -31.9691
2.120000 77.163 -32.3540
2.140000 77.338 -32.6091
2.180000 77.681 -33.0926
2.200000 77.850 -33.3110
2.240000 78.180 -33.7642
2.270000 78.421 -34.1382
2.300000 78.657 -34.5384
2.330000 78.887 -34.9619
2.360000 79.112 -35.4058
2.400000 79.406 -36.0247
2.430000 79.620 -36.5054
2.470000 79.899 -37.1630
2.500000 80.104 -37.6651
2.540000 80.371 -38.3409
2.580000 80.631 -39.0214
2.620000 80.882 -39.7308
2.650000 81.065 -40.2823
2.690000 81.301 -41.0381
2.720000 81.474 -41.6164
2.760000 81.697 -42.3972
2.800000 81.915 -43.1828
2.850000 82.178 -44.1608
2.900000 82.433 -45.1217
2.950000 82.682 -46.0555
3.000000 82.920 -46.9837
3.040000 83.103 -47.7250
3.070000 83.237 -48.2790
3.110000 83.410 -49.0138
3.150000 83.578 -49.7425
3.200000 83.782 -50.6421
3.250000 83.980 -51.5261
3.300000 84.173 -52.3910
3.350000 84.359 -53.2414
3.400000 84.538 -54.0806
3.450000 84.709 -54.9068
3.500000 84.875 -55.7177
3.550000 85.035 -56.5113
3.600000 85.192 -57.2857
3.650000 85.345 -58.0387
3.700000 85.495 -58.7699
3.750000 85.639 -59.4825
3.820000 85.833 -60.4486
3.870000 85.967 -61.1158
3.950000 86.177 -62.1431
4.000000 86.306 -62.7597
4.060000 86.459 -63.4721
4.120000 86.608 -64.1495
4.180000 86.754 -64.7961
4.250000 86.920 -65.5188
4.310000 87.062 -66.1176
4.370000 87.203 -66.7029
4.440000 87.369 -67.3699
4.500000 87.509 -67.9174
4.550000 87.625 -68.3595
4.620000 87.787 -68.9629
4.680000 87.926 -69.4712
4.750000 88.088 -70.0612
4.820000 88.251 -70.6453
4.870000 88.368 -71.0523
4.940000 88.531 -71.6142
5.000000 88.672 -72.0942
5.080000 88.858 -72.7418
5.150000 89.020 -73.3235
5.220000 89.182 -73.9121
5.300000 89.366 -74.5914
5.380000 89.550 -75.2813
5.450000 89.708 -75.8967
5.520000 89.863 -76.5256
5.600000 90.039 -77.2599
5.700000 90.255 -78.1978
5.800000 90.465 -79.1540
5.900000 90.668 -80.1260
6.000000 90.864 -81.1211
6.080000 91.015 -81.9281
6.150000 91.144 -82.6367
6.220000 91.269 -83.3429
6.300000 91.406 -84.1504
6.400000 91.571 -85.1657
6.500000 91.728 -86.1750
6.600000 91.878 -87.1651
6.700000 92.020 -88.1385
6.800000 92.156 -89.0977
6.900000 92.285 -90.0351
7.000000 92.410 -90.9439
7.100000 92.528 -91.8272
7.200000 92.642 -92.6857
7.300000 92.753 -93.5185
7.400000 92.861 -94.3242
7.500000 92.965 -95.1024
7.620000 93.086 -96.0056
7.750000 93.215 -96.9519
7.880000 93.340 -97.8608
8.000000 93.453 -98.6730
8.120000 93.563 -99.4659
8.250000 93.681 -100.2999
8.380000 93.796 -101.1103
8.500000 93.899 -101.8404
8.620000 93.999 -102.5526
8.750000 94.106 -103.3013
8.850000 94.186 -103.8599
9.000000 94.302 -104.6707
9.120000 94.395 -105.2952
9.250000 94.495 -105.9445
9.380000 94.596 -106.5661
9.500000 94.688 -107.1250
9.620000 94.779 -107.6705
9.750000 94.878 -108.2445
9.880000 94.973 -108.8209
10.000000 95.055 -109.3594
10.150000 95.154 -110.0386
10.300000 95.247 -110.7484
10.440000 95.330 -111.4361
10.600000 95.419 -112.2626
10.750000 95.500 -113.0902
10.900000 95.577 -113.9617
11.060000 95.649 -114.9341
11.200000 95.706 -115.8284
11.380000 95.763 -116.9785
11.500000 95.791 -117.7432
11.720000 95.823 -119.0966
11.800000 95.830 -119.5560
12.060000 95.838 -120.9377
12.200000 95.839 -121.5800
12.410000 95.838 -122.4185
12.500000 95.841 -122.7341
12.650000 95.848 -123.1923
12.800000 95.862 -123.6050
13.150000 95.932 -124.4713
13.200000 95.946 -124.6009
13.400000 96.012 -125.1346
13.600000 96.086 -125.7339
13.800000 96.164 -126.4198
14.000000 96.237 -127.1719
14.300000 96.330 -128.3979
14.500000 96.376 -129.2224
14.750000 96.423 -130.2021
15.000000 96.461 -131.1002
15.250000 96.503 -131.9075
15.500000 96.552 -132.6631
15.750000 96.609 -133.3951
16.000000 96.670 -134.1559
16.250000 96.729 -134.9636
16.500000 96.781 -135.8107
16.750000 96.821 -136.6715
17.000000 96.849 -137.4882
17.250000 96.869 -138.2371
17.500000 96.885 -138.8901
17.750000 96.905 -139.4605
18.000000 96.932 -139.9747
18.250000 96.967 -140.4631
18.500000 97.008 -140.9648
18.750000 97.053 -141.4845
19.000000 97.098 -142.0260
19.250000 97.142 -142.5717
19.500000 97.187 -143.1113
19.750000 97.232 -143.6391
20.000000 97.280 -144.1641
20.299999 97.343 -144.8221
20.600000 97.408 -145.5391
20.900000 97.469 -146.3325
21.200001 97.518 -147.1914
21.400000 97.541 -147.7757
21.799999 97.566 -148.9157
22.000000 97.568 -149.4424
22.400000 97.562 -150.3642
22.700001 97.554 -150.9280
23.000000 97.552 -151.3906
23.299999 97.562 -151.7873
23.600000 97.586 -152.1723
24.000000 97.638 -152.7749
24.299999 97.679 -153.3647
24.700001 97.709 -154.3334
25.000000 97.697 -155.0860
25.400000 97.634 -155.8744
25.799999 97.557 -156.1726
26.200001 97.536 -156.0510
26.500000 97.583 -155.9695
26.900000 97.710 -156.3136
27.200001 97.800 -157.0821
27.600000 97.837 -158.6352
28.000000 97.734 -160.1397
28.500000 97.482 -160.8249
29.000000 97.338 -159.9781
29.500000 97.471 -158.9564
30.000000 97.759 -159.3625
30.400000 97.927 -160.8078
30.700001 97.970 -162.1674
31.100000 97.928 -163.7450
31.500000 97.838 -164.7275
32.000000 97.769 -165.2673
32.500000 97.789 -165.7060
33.000000 97.832 -166.4681
33.500000 97.838 -167.3556
34.000000 97.817 -168.0128
34.500000 97.815 -168.4189
35.000000 97.844 -168.8219
35.500000 97.878 -169.4054
36.000000 97.884 -170.1024
36.500000 97.858 -170.7313
37.000000 97.821 -171.1850
37.500000 97.795 -171.5176
38.200001 97.786 -172.0533
38.700001 97.780 -172.5958
39.500000 97.735 -173.5383
40.000000 97.697 -174.0089
40.599998 97.672 -174.4724
41.200001 97.674 -175.0034
41.799999 97.679 -175.6748
42.500000 97.668 -176.4935
43.099998 97.652 -177.0885
43.700001 97.645 -177.5998
44.400002 97.645 -178.1894
45.000000 97.642 -178.7115
45.500000 97.634 -179.1311
46.200001 97.617 -179.6816
46.799999 97.599 179.8588
47.500000 97.570 179.3450
48.200001 97.537 178.9012
48.700001 97.519 178.6106
49.400002 97.501 178.1633
50.000000 97.484 177.7252
50.799999 97.453 177.1375
51.500000 97.425 176.6469
52.200001 97.396 176.1521
53.000000 97.355 175.6224
53.799999 97.316 175.1827
54.500000 97.292 174.8112
55.200001 97.271 174.3956
56.000000 97.240 173.9048
57.000000 97.199 173.3416
58.000000 97.164 172.7902
59.000000 97.129 172.2012
60.000000 97.083 171.6203
60.799999 97.042 171.2263
61.500000 97.009 170.9277
62.200001 96.982 170.6293
63.000000 96.951 170.2675
64.000000 96.909 169.8059
65.000000 96.865 169.3370
66.000000 96.817 168.8891
67.000000 96.771 168.4789
68.000000 96.728 168.0542
69.000000 96.680 167.6202
70.000000 96.626 167.2368
71.000000 96.578 166.8843
72.000000 96.530 166.5042
73.000000 96.477 166.1494
74.000000 96.427 165.8396
75.000000 96.380 165.5225
76.199997 96.324 165.1762
77.500000 96.275 164.7720
78.800003 96.216 164.2758
80.000000 96.150 163.8477
81.199997 96.085 163.5078
82.500000 96.031 163.1819
83.800003 95.979 162.8142
85.000000 95.923 162.4995
86.199997 95.856 162.2115
87.500000 95.768 161.9958
88.500000 95.707 161.9101
90.000000 95.637 161.6815
91.199997 95.585 161.4425
92.500000 95.550 161.1155
93.800003 95.508 160.7064
95.000000 95.465 160.4307
96.199997 95.426 160.2005
97.500000 95.377 159.9604
98.800003 95.320 159.7487
100.000000 95.265 159.5813
101.500000 95.202 159.3846
103.000000 95.141 159.1213
104.400002 95.075 158.8781
106.000000 94.994 158.6714
107.500000 94.918 158.4879
109.000000 94.840 158.3286
110.599998 94.771 158.1778
112.000000 94.717 158.0070
113.800003 94.645 157.7947
115.000000 94.597 157.6812
117.199997 94.506 157.4330
118.000000 94.470 157.3306
120.599998 94.354 157.0929
122.000000 94.305 156.9863
124.099998 94.233 156.8332
125.000000 94.201 156.7816
126.500000 94.147 156.7104
128.000000 94.092 156.6494
131.500000 93.961 156.4915
132.000000 93.942 156.4655
134.000000 93.868 156.3474
136.000000 93.797 156.2266
138.000000 93.735 156.1429
140.000000 93.674 156.0722
143.000000 93.570 156.0264
145.000000 93.502 155.9776
147.500000 93.414 155.8624
150.000000 93.324 155.8448
152.500000 93.243 155.9187
155.000000 93.174 155.9435
157.500000 93.104 155.9410
160.000000 93.033 156.0032
162.500000 92.956 156.0766
165.000000 92.880 156.1276
167.500000 92.800 156.2007
170.000000 92.739 156.3918
172.500000 92.689 156.4271
175.000000 92.615 156.3270
177.500000 92.524 156.3119
180.000000 92.439 156.4501
182.500000 92.368 156.5970
185.000000 92.296 156.6607
187.500000 92.221 156.7072
190.000000 92.146 156.8112
192.500000 92.078 156.9792
195.000000 92.019 157.1495
197.500000 91.970 157.2892
200.000000 91.921 157.3772
203.000000 91.846 157.5052
206.000000 91.767 157.7180
209.000000 91.695 157.9367
212.000000 91.630 158.1499
214.000000 91.590 158.2767
218.000000 91.507 158.4249
220.000000 91.460 158.4848
224.000000 91.365 158.7459
227.000000 91.300 159.0454
230.000000 91.238 159.2958
233.000000 91.173 159.4826
236.000000 91.108 159.6704
240.000000 91.024 159.9640
243.000000 90.964 160.1863
247.000000 90.894 160.4753
250.000000 90.847 160.7139
254.000000 90.779 161.0717
258.000000 90.709 161.3961
262.000000 90.644 161.6639
265.000000 90.598 161.8794
269.000000 90.538 162.1941
272.000000 90.486 162.4399
276.000000 90.414 162.8069
