* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -16.8 dBFS, measurement signal peak level -14.9 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 12, 2023 7:20:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0664 ms (-23 mm, -0.9 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: CP145 double filter R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 67.562 21.7789
1.015000 67.781 20.8051
1.030000 67.996 19.8060
1.044000 68.194 18.8520
1.060000 68.415 17.7377
1.075000 68.615 16.6712
1.090000 68.809 15.5852
1.106000 69.009 14.3980
1.120000 69.182 13.2892
1.138000 69.406 11.7631
1.150000 69.556 10.6887
1.172000 69.830 8.6150
1.180000 69.929 7.8313
1.206000 70.252 5.1936
1.220000 70.425 3.7257
1.241000 70.683 1.4780
1.250000 70.793 0.5023
1.265000 70.975 -1.1345
1.280000 71.156 -2.7780
1.315000 71.570 -6.5970
1.320000 71.629 -7.1367
1.340000 71.860 -9.2696
1.360000 72.087 -11.3479
1.380000 72.309 -13.3538
1.400000 72.526 -15.2696
1.430000 72.840 -17.9352
1.450000 73.042 -19.5479
1.475000 73.285 -21.3569
1.500000 73.517 -23.0051
1.525000 73.739 -24.5223
1.550000 73.952 -25.9204
1.575000 74.156 -27.2116
1.600000 74.354 -28.4079
1.625000 74.545 -29.5212
1.650000 74.731 -30.5636
1.675000 74.912 -31.5472
1.700000 75.090 -32.4838
1.725000 75.265 -33.3857
1.750000 75.439 -34.2647
1.775000 75.612 -35.1330
1.800000 75.786 -36.0024
1.825000 75.961 -36.8851
1.850000 76.136 -37.7729
1.875000 76.309 -38.6242
1.900000 76.478 -39.4390
1.925000 76.645 -40.2193
1.950000 76.810 -40.9669
1.975000 76.972 -41.6837
2.000000 77.133 -42.3717
2.030000 77.323 -43.1619
2.060000 77.511 -43.9166
2.090000 77.697 -44.6391
2.120000 77.882 -45.3327
2.140000 78.004 -45.7807
2.180000 78.248 -46.6463
2.200000 78.370 -47.0659
2.240000 78.612 -47.8532
2.270000 78.792 -48.3943
2.300000 78.970 -48.8979
2.330000 79.146 -49.3682
2.360000 79.321 -49.8095
2.400000 79.552 -50.3601
2.430000 79.723 -50.7502
2.470000 79.948 -51.2482
2.500000 80.114 -51.6105
2.540000 80.334 -52.0868
2.580000 80.549 -52.5602
2.620000 80.761 -53.0015
2.650000 80.917 -53.3097
2.690000 81.122 -53.6955
2.720000 81.273 -53.9697
2.760000 81.473 -54.3201
2.800000 81.670 -54.6594
2.850000 81.914 -55.0777
2.900000 82.156 -55.5015
2.950000 82.397 -55.9413
3.000000 82.635 -56.3835
3.040000 82.822 -56.7348
3.070000 82.962 -56.9962
3.110000 83.147 -57.3415
3.150000 83.330 -57.6820
3.200000 83.557 -58.0999
3.250000 83.781 -58.5075
3.300000 84.004 -58.9031
3.350000 84.225 -59.2751
3.400000 84.444 -59.6233
3.450000 84.661 -59.9583
3.500000 84.876 -60.2907
3.550000 85.088 -60.6311
3.600000 85.298 -60.9900
3.650000 85.505 -61.3780
3.700000 85.710 -61.8006
3.750000 85.913 -62.2483
3.820000 86.194 -62.9073
3.870000 86.391 -63.3943
3.950000 86.700 -64.1880
4.000000 86.889 -64.6855
4.060000 87.112 -65.2770
4.120000 87.331 -65.8672
4.180000 87.546 -66.4615
4.250000 87.791 -67.1660
4.310000 87.995 -67.7847
4.370000 88.195 -68.4219
4.440000 88.420 -69.1962
4.500000 88.608 -69.8879
4.550000 88.761 -70.4784
4.620000 88.969 -71.3171
4.680000 89.142 -72.0382
4.750000 89.337 -72.8706
4.820000 89.525 -73.6923
4.870000 89.655 -74.2803
4.940000 89.831 -75.1028
5.000000 89.976 -75.8046
5.080000 90.164 -76.7318
5.150000 90.322 -77.5323
5.220000 90.473 -78.3289
5.300000 90.638 -79.2326
5.380000 90.796 -80.1221
5.450000 90.930 -80.8831
5.520000 91.061 -81.6235
5.600000 91.204 -82.4487
5.700000 91.374 -83.4511
5.800000 91.538 -84.4218
5.900000 91.699 -85.3602
6.000000 91.854 -86.2607
6.080000 91.974 -86.9594
6.150000 92.077 -87.5599
6.220000 92.180 -88.1542
6.300000 92.296 -88.8239
6.400000 92.437 -89.6419
6.500000 92.577 -90.4468
6.600000 92.713 -91.2472
6.700000 92.848 -92.0405
6.800000 92.980 -92.8259
6.900000 93.109 -93.6100
7.000000 93.234 -94.3990
7.100000 93.356 -95.1931
7.200000 93.473 -95.9872
7.300000 93.587 -96.7765
7.400000 93.695 -97.5604
7.500000 93.799 -98.3428
7.620000 93.917 -99.2685
7.750000 94.037 -100.2428
7.880000 94.149 -101.1943
8.000000 94.248 -102.0436
8.120000 94.342 -102.8546
8.250000 94.440 -103.6928
8.380000 94.535 -104.4942
8.500000 94.623 -105.2012
8.620000 94.709 -105.8731
8.750000 94.804 -106.5802
8.850000 94.878 -107.1182
9.000000 94.992 -107.9024
9.120000 95.085 -108.5322
9.250000 95.188 -109.2318
9.380000 95.294 -109.9409
9.500000 95.388 -110.6176
9.620000 95.479 -111.3249
9.750000 95.575 -112.1190
9.880000 95.659 -112.9370
10.000000 95.724 -113.7174
10.150000 95.792 -114.7205
10.300000 95.844 -115.7200
10.440000 95.876 -116.6549
10.600000 95.900 -117.7034
10.750000 95.915 -118.6488
10.900000 95.921 -119.5618
11.060000 95.923 -120.4808
11.200000 95.919 -121.2417
11.380000 95.913 -122.1446
11.500000 95.908 -122.6936
11.720000 95.900 -123.6042
11.800000 95.900 -123.9048
12.060000 95.909 -124.7822
12.200000 95.925 -125.2155
12.410000 95.960 -125.8209
12.500000 95.979 -126.0785
12.650000 96.018 -126.4966
12.800000 96.063 -126.9244
13.150000 96.188 -128.0140
13.200000 96.208 -128.1852
13.400000 96.290 -128.9123
13.600000 96.371 -129.7039
13.800000 96.450 -130.5644
14.000000 96.519 -131.4623
14.300000 96.601 -132.8496
14.500000 96.639 -133.7482
14.750000 96.676 -134.7884
15.000000 96.703 -135.7131
15.250000 96.734 -136.5089
15.500000 96.775 -137.2129
15.750000 96.827 -137.8574
16.000000 96.891 -138.5073
16.250000 96.960 -139.2133
16.500000 97.027 -139.9873
16.750000 97.084 -140.8310
17.000000 97.126 -141.6895
17.250000 97.151 -142.5244
17.500000 97.161 -143.2856
17.750000 97.163 -143.9375
18.000000 97.163 -144.4874
18.250000 97.167 -144.9453
18.500000 97.180 -145.3646
18.750000 97.200 -145.7793
19.000000 97.227 -146.2208
19.250000 97.254 -146.7100
19.500000 97.277 -147.2318
19.750000 97.292 -147.7738
20.000000 97.300 -148.3014
20.299999 97.304 -148.8927
20.600000 97.306 -149.4296
20.900000 97.313 -149.9254
21.200001 97.328 -150.4167
21.400000 97.341 -150.7651
21.799999 97.371 -151.5297
22.000000 97.384 -151.9434
22.400000 97.401 -152.7933
22.700001 97.407 -153.3940
23.000000 97.413 -153.9198
23.299999 97.429 -154.3797
23.600000 97.461 -154.8232
24.000000 97.528 -155.5003
24.299999 97.582 -156.1418
24.700001 97.635 -157.1596
25.000000 97.646 -157.9336
25.400000 97.625 -158.7691
25.799999 97.596 -159.2182
26.200001 97.603 -159.3666
26.500000 97.644 -159.4700
26.900000 97.724 -159.8274
27.200001 97.774 -160.3011
27.600000 97.792 -161.0446
28.000000 97.754 -161.5652
28.500000 97.703 -161.5964
29.000000 97.748 -161.3458
29.500000 97.875 -161.6255
30.000000 97.962 -162.7312
30.400000 97.944 -163.8454
30.700001 97.883 -164.5542
31.100000 97.780 -165.1651
31.500000 97.695 -165.4839
32.000000 97.641 -165.8438
32.500000 97.609 -166.4232
33.000000 97.563 -167.1042
33.500000 97.516 -167.6950
34.000000 97.492 -168.2433
34.500000 97.484 -168.8874
35.000000 97.466 -169.5625
35.500000 97.440 -170.0595
36.000000 97.442 -170.3476
36.500000 97.487 -170.6447
37.000000 97.548 -171.1626
37.500000 97.586 -171.8593
38.200001 97.581 -172.7333
38.700001 97.564 -173.1337
39.500000 97.559 -173.6159
40.000000 97.563 -173.9918
40.599998 97.553 -174.5440
41.200001 97.516 -175.0843
41.799999 97.468 -175.4915
42.500000 97.433 -175.8310
43.099998 97.433 -176.1976
43.700001 97.440 -176.7535
44.400002 97.425 -177.5250
45.000000 97.395 -178.0898
45.500000 97.376 -178.4524
46.200001 97.373 -178.9581
46.799999 97.368 -179.5144
47.500000 97.326 179.8914
48.200001 97.274 179.6717
48.700001 97.267 179.6640
49.400002 97.303 179.4508
50.000000 97.321 178.9447
50.799999 97.279 178.2006
51.500000 97.214 177.8130
52.200001 97.166 177.5898
53.000000 97.137 177.3382
53.799999 97.130 176.9908
54.500000 97.129 176.5534
55.200001 97.118 176.0847
56.000000 97.108 175.6491
57.000000 97.118 175.1136
58.000000 97.138 174.6241
59.000000 97.198 173.8897
60.000000 97.163 172.5894
60.799999 97.030 172.0333
61.500000 96.933 172.0549
62.200001 96.882 172.1047
63.000000 96.835 172.0301
64.000000 96.788 171.9194
65.000000 96.760 171.6310
66.000000 96.728 171.2616
67.000000 96.710 170.8503
68.000000 96.685 170.3651
69.000000 96.650 169.9945
70.000000 96.623 169.7460
71.000000 96.606 169.4868
72.000000 96.580 169.1276
73.000000 96.528 168.7801
74.000000 96.471 168.5435
75.000000 96.426 168.2834
76.199997 96.375 167.9033
77.500000 96.328 167.4614
78.800003 96.281 167.0085
80.000000 96.241 166.6494
81.199997 96.200 166.2857
82.500000 96.142 165.9077
83.800003 96.075 165.6180
85.000000 96.026 165.3552
86.199997 95.983 165.0148
87.500000 95.951 164.5674
88.500000 95.919 164.0689
90.000000 95.820 163.5749
91.199997 95.756 163.5422
92.500000 95.716 163.6085
93.800003 95.693 163.6121
95.000000 95.663 163.4625
96.199997 95.609 163.2266
97.500000 95.534 162.9931
98.800003 95.467 162.7919
100.000000 95.419 162.5909
101.500000 95.376 162.3174
103.000000 95.339 162.0692
104.400002 95.308 161.8613
106.000000 95.255 161.6512
107.500000 95.190 161.5600
109.000000 95.123 161.5239
110.599998 95.052 161.4665
112.000000 94.994 161.3753
113.800003 94.933 161.1155
115.000000 94.891 160.8721
117.199997 94.827 160.5641
118.000000 94.812 160.4950
120.599998 94.765 160.3087
122.000000 94.714 160.1989
124.099998 94.618 160.0862
125.000000 94.577 159.9958
126.500000 94.507 159.7955
128.000000 94.442 159.6349
131.500000 94.351 159.4912
132.000000 94.341 159.4745
134.000000 94.289 159.4368
136.000000 94.228 159.4662
138.000000 94.168 159.4562
140.000000 94.105 159.3919
143.000000 94.013 159.2196
145.000000 93.950 159.1521
147.500000 93.881 159.1161
150.000000 93.820 158.9820
152.500000 93.749 158.8641
155.000000 93.682 158.8713
157.500000 93.612 158.8777
160.000000 93.529 158.8291
162.500000 93.453 158.8917
165.000000 93.402 158.9543
167.500000 93.341 158.9512
170.000000 93.269 158.9682
172.500000 93.199 158.9918
175.000000 93.131 159.0122
177.500000 93.061 159.0176
180.000000 92.985 159.0226
182.500000 92.916 159.0996
185.000000 92.855 159.2302
187.500000 92.794 159.3718
190.000000 92.732 159.4748
192.500000 92.674 159.5356
195.000000 92.623 159.5918
197.500000 92.571 159.6719
200.000000 92.514 159.7788
203.000000 92.445 159.9190
206.000000 92.382 160.0529
209.000000 92.318 160.1779
212.000000 92.251 160.3082
214.000000 92.207 160.4018
218.000000 92.129 160.5943
220.000000 92.090 160.6922
224.000000 92.011 160.9092
227.000000 91.953 161.0707
230.000000 91.899 161.2205
233.000000 91.842 161.4103
236.000000 91.772 161.6630
240.000000 91.673 162.0056
243.000000 91.629 162.1885
247.000000 91.587 162.3812
250.000000 91.541 162.5683
254.000000 91.466 162.8176
258.000000 91.387 163.0464
262.000000 91.317 163.3661
265.000000 91.276 163.5944
269.000000 91.219 163.7653
272.000000 91.187 163.9063
276.000000 91.151 164.2983
280.000000 91.091 164.7139
