* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.710. Timing signal peak level -39.7 dBFS, measurement signal peak level -36.5 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Oct 25, 2023 5:11:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0557 ms (-19 mm, -0.75 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 118.9 ppm
* Measurement: Truthear Hola R
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 0.366 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
0.366299, 51.779, -117.4472
0.368954, 51.776, -117.6050
0.371627, 51.773, -117.7680
0.374320, 51.769, -117.9364
0.377033, 51.766, -118.1101
0.379765, 51.763, -118.2892
0.382517, 51.759, -118.4738
0.385289, 51.756, -118.6640
0.388081, 51.752, -118.8597
0.390893, 51.749, -119.0611
0.393725, 51.745, -119.2681
0.396578, 51.742, -119.4809
0.399452, 51.738, -119.6995
0.402347, 51.735, -119.9240
0.405262, 51.731, -120.1544
0.408199, 51.727, -120.3907
0.411157, 51.724, -120.6330
0.414136, 51.720, -120.8814
0.417137, 51.716, -121.1359
0.420160, 51.712, -121.3965
0.423205, 51.709, -121.6634
0.426272, 51.705, -121.9365
0.429361, 51.701, -122.2158
0.432472, 51.697, -122.5015
0.435606, 51.693, -122.7936
0.438762, 51.689, -123.0921
0.441942, 51.685, -123.3971
0.445144, 51.681, -123.7086
0.448370, 51.677, -124.0266
0.451619, 51.673, -124.3512
0.454892, 51.669, -124.6824
0.458188, 51.665, -125.0202
0.461508, 51.661, -125.3647
0.464852, 51.657, -125.7159
0.468221, 51.653, -126.0739
0.471614, 51.648, -126.4386
0.475031, 51.644, -126.8101
0.478474, 51.640, -127.1884
0.481941, 51.636, -127.5736
0.485433, 51.631, -127.9656
0.488951, 51.627, -128.3644
0.492494, 51.622, -128.7701
0.496063, 51.618, -129.1827
0.499658, 51.614, -129.6023
0.503278, 51.609, -130.0287
0.506925, 51.605, -130.4620
0.510599, 51.600, -130.9022
0.514299, 51.595, -131.3493
0.518025, 51.591, -131.8033
0.521779, 51.586, -132.2643
0.525560, 51.581, -132.7320
0.529369, 51.577, -133.2067
0.533205, 51.572, -133.6882
